"","DAAA","DBAA","DGS30","FF","MORTGAGE30US","WAAA","WBAA","WGS10YR","WGS1YR","WGS2YR","WGS30YR","WGS3YR","WGS5YR","WGS7YR","WTB3MS","WTB6MS"
"2005-11-17",0.0169728449568861,0.0239007907090825,0.12458111878948,0.0947269839404964,0.0332300277762939,0.0176031348479598,0.0213809908300652,0.0263505113841912,0.0977550921032823,0.0728117040939608,0.126871099243633,0.0527293220597522,0.0425973486043544,0.0373719535063258,0.111386627519199,0.0997304496350376
"2005-11-23",0.0158848955500128,0.0241973933654978,0.126183715312014,0.0797947025433479,0.0360554169766195,0.0154864948760182,0.0232236973048733,0.0277926364907053,0.100462910706237,0.075916249590183,0.126329455381252,0.0505497485359638,0.0447464531534121,0.0400967087659975,0.11184404400488,0.101435477442985
"2005-12-01",0.0193693678460595,0.0265444130431767,0.11004902255194,0.0805315874260497,0.036615980810851,0.0178880762198962,0.0258194571408427,0.0277308259829629,0.10747825887271,0.0823140334337782,0.113343194908946,0.0487574416142557,0.0422392149802839,0.039033260414803,0.117842069770177,0.104443794983268
"2005-12-08",0.0190473789907745,0.0252943159990666,0.103628853702812,0.0708361857196057,0.0396126284850302,0.0188039936876903,0.0261492449909111,0.0323406027974898,0.114020325592626,0.0938837603521289,0.10786567099892,0.0491892941112912,0.0445544767931826,0.041355620592547,0.109410175862264,0.10400747132366
"2005-12-15",0.018176055015972,0.0287361232691158,0.123974558013886,0.0665378602496632,0.043999631604948,0.0171123701925649,0.0239100331567715,0.0348702637398773,0.102724750041519,0.0771676392562878,0.127494047015997,0.043380956425372,0.0449659877853686,0.0433306046511957,0.10364348415637,0.0999756354250921
"2005-12-22",0.0159190959432875,0.0297901838414789,0.105844292937611,0.0669164319759845,0.051237300368444,0.0179614056242044,0.0317093841029254,0.0344549123807991,0.101461852087203,0.092376629353809,0.104867823179367,0.0465131867840464,0.0504970469677376,0.0499327002678309,0.0972327662060386,0.103284987979233
"2005-12-29",0.0155946858084679,0.0301398994675222,0.10772447794804,0.0645855063613771,0.0515269921810601,0.0173282626912138,0.0332042913568196,0.0341229655535419,0.100952465961034,0.0882675525518974,0.106520352058536,0.0458783021532899,0.0513086991112891,0.0471049759928261,0.108973374086104,0.0967671967169822
"2006-01-05",0.0158135526181322,0.0302894842983201,0.0998868859551168,0.0640180898416621,0.0545724156519575,0.0186434551174601,0.0372313873567321,0.0321594108240632,0.106844369404592,0.0903017401233235,0.0968077320347587,0.0492675997812872,0.0515717387855585,0.0493723663661382,0.101328395994274,0.101891375846623
"2006-01-12",0.0147806942271954,0.0301827940421167,0.104297122242346,0.0634784451683497,0.0582911133870608,0.0181121211400581,0.0396187328332275,0.0339215845709755,0.0997944617051235,0.0812704493705985,0.105881879087775,0.0499060528522181,0.053472925616065,0.0523202696928276,0.0997161644353706,0.0949551896286913
"2006-01-19",0.014241177335335,0.0316646070019279,0.107887280314705,0.0740610383339363,0.0539903456748695,0.0167962422276161,0.0372299182193619,0.0301173028142584,0.101444130500669,0.0757648628258026,0.102237095389975,0.0549300466911097,0.05311279080166,0.0485024533075851,0.0969472862917006,0.101073422269489
"2006-01-26",0.0173916153133934,0.0345342833554119,0.113115968646863,0.0788111725802881,0.0540464878180555,0.0176206046143524,0.0386483035023928,0.0326094977014992,0.0907319915515692,0.0677187859003821,0.115825509957541,0.0481117277552857,0.0515310990655775,0.0486221728745048,0.0923486514438937,0.0983321279189898
"2006-02-02",0.0186522121738738,0.0388288269063356,0.110827589278909,0.0726950453772472,0.0613785401535687,0.0203924935704632,0.0440807076671547,0.0330345142705039,0.0853949316828042,0.0665766454632772,0.11248637960652,0.0523455071826111,0.0567372237780442,0.0502792712425758,0.0881435211932752,0.0881465904528354
"2006-02-09",0.0216298213236881,0.0480673177487466,0.0905257159499687,0.0723978435967992,0.063338594564325,0.0231103397748906,0.0525139525497879,0.0348659421069586,0.0890032304792027,0.0684411655611359,0.092283433860447,0.059579739446079,0.0616937574404287,0.0540964131132782,0.0809649878581105,0.0874877446261533
"2006-02-16",0.0225817801936061,0.0562865242570256,0.0924656578139083,0.0710494803993307,0.0771882029641133,0.0227539204455625,0.0595865069196224,0.0369193038226555,0.074180408025956,0.0588950464222643,0.089106207214048,0.0573757641906055,0.071240034691925,0.0597463772762802,0.0728705436731448,0.0777542416899516
"2006-02-23",0.0212972807480764,0.0590331867716802,0.0758039960391214,0.0640424282761539,0.0770303011172143,0.0213654860426499,0.0601728562264197,0.0383884735360008,0.0806881525471804,0.0744308961350892,0.0759757806110224,0.0628208543552319,0.07797814070847,0.0600839318286581,0.0710092426938224,0.0798789923632092
"2006-03-02",0.023436738374013,0.0610657923422388,0.0845726516239706,0.0602167611112296,0.0783118151281645,0.0217081164254303,0.075738285915399,0.0420768196197645,0.0691829744230557,0.0625994628319036,0.0854298130854052,0.0563644222448905,0.0810853548753635,0.0630541711322826,0.0593977802680347,0.0757590405988538
"2006-03-09",0.0241252728115958,0.0685377472356944,0.0416100946593814,0.0541723585598273,0.0858244490770679,0.0230068696000063,0.0875247957694936,0.0450051866767045,0.0771964998212713,0.0730032361744,0.0428289913208873,0.0663783949844088,0.0961808855669539,0.0796351237897496,0.060441586829195,0.074528507123363
"2006-03-16",0.0204890666888326,0.0662318293048827,0.0253462067637034,0.0532272208461988,0.0833230720396574,0.0209521832692035,0.0923859603956768,0.0433627894710213,0.0827963429167233,0.0806532605367461,0.025558678079288,0.0785158465486322,0.10031101150744,0.0745254738286446,0.0684093491956893,0.0839117086076601
