"Argentina","Australia","Austria","Belgium","Bolivia","Brazil","Canada","Chile","Colombia","Czech.Republic","Democratic.Republic.Of.The.Congo","Denmark","Ecuador","England","France","Germany","Ghana","Greece","Hungary","Ireland","Israel","Italy","Luxembourg","Mexico","Netherlands","Nigeria","Norway","Peru","Poland","Portugal","Puerto.Rico","Scotland","Spain","Sweden","Switzerland","United.States","ALLOFTHEM"
78.2217395176919,47.8553675233746,28.1750298117914,18.2434165707245,49.5788540917417,36.2830459304115,17.1174970365407,57.0534790792981,78.4766834454292,34.7457730931925,18.532555141019,20.0432049434461,46.8252856575839,8.23764845400781,19.8686538605987,7.58795252066964,155.69849592957,20.1070755053297,25.359102469895,39.9920755965564,17.2382953319493,20.8584907447146,20.3719504069852,106.997387921104,14.2067259089604,21.4327762785822,12.6206875379956,40.3975786810147,26.7888748875311,19.1540308608367,46.5555824369444,4.15099060757625,18.1493812487403,21.976533722406,23.804808373025,33.2023597830097,30.4259788779051
73.5831203853842,50.278465010311,28.1792047428736,18.2826269959847,49.933283768211,36.5459385558868,17.0720516296504,59.6271821039149,90.4760047777057,33.6395757736344,18.5329793794157,20.038764025014,48.5961120321928,8.12867308306128,21.408699430113,7.51900078930737,143.197747559315,19.6216401385986,25.464637782564,40.6402441662745,17.6847907894245,20.7701140329355,21.0748533913121,102.722063226322,14.2068925544133,21.6038652477782,12.3880563378031,41.2859109695878,27.0448900918795,19.240716787797,47.2449213642804,4.89802242206895,18.188807899631,21.97132715379,23.89122674153,33.272928807282,30.6207486592151
63.6739919912534,52.6960181824118,28.3441567540681,18.305537103557,49.352227320221,36.6235044807928,17.0525533753289,64.1830853488495,98.6673470352425,32.1961000184731,18.5339125850889,20.0442956396247,50.8316692209863,8.16177036599361,21.1625406917497,7.37980635346982,134.0929075689,19.2874465937181,25.6741719407253,40.5556911713733,19.6750380680177,20.8352401275193,20.8236523490468,104.672175330152,14.1332837733007,21.9653940518481,12.5203323691832,42.2327509011322,26.82948740676,19.3244393404173,47.3071330130175,6.31769089970308,18.2184628623878,21.9231114824865,23.9591358477677,33.1957063589802,30.5578760664843
76.838803292625,57.2742133705506,28.4467097826538,18.3053832448504,47.4239114291511,36.3914181606629,17.0725741142607,69.5856154724159,89.5843084251744,30.4837046912058,18.5348223917496,20.0371464474072,52.8817130248125,8.21507664554646,21.1728432421849,7.12362034889077,131.543495389725,19.1235575751294,26.0105615893403,39.7592294437412,20.0387472366878,20.8662867843141,20.6724006474107,100.104812982499,1.33368989267587,21.8768358679358,12.4099182978314,42.7835522921844,26.4987128168593,19.4019002798296,46.0851004653058,5.49146120911758,18.2342410573558,21.9785185620242,24.0134965310325,33.0475024815993,30.4926884424704
87.1660333226691,62.6685056897327,28.7065263637714,18.2787114351279,46.9106102869322,35.8809489280688,17.1251946380054,74.5355394144793,85.144997565809,29.8739743694456,18.5358088264312,20.039701451891,54.520642040468,8.23894178902799,20.9097881556952,7.02522035493839,99.6020828090068,19.3419844749128,26.2886951602332,38.0240187554662,20.2330919563594,20.8502236236303,20.8287502760065,79.0671421005874,14.0767448425821,21.9415595571521,12.4112677278034,43.4896174823913,26.3508077761385,19.4660788264563,46.0598786790461,4.76882704500105,18.2314329373972,22.1036422275714,24.0811002856999,33.0366605702791,30.3275248849584
100.733968704335,68.3395519605266,29.01345963323,18.20555033856,47.9214474146544,35.5447002975758,17.0702389159822,74.7666132996687,58.8579529254248,29.0685487436254,18.5368917289275,20.0566449724693,62.1234910880108,8.65860963418015,20.9371176677468,6.92175034399416,39.5506822008102,19.2851989592563,26.6971350346063,35.1591160246755,20.7031438287667,20.9741670937601,20.6299911495497,49.4615411766263,14.1134714173572,22.1865216745459,12.4363387428446,43.7246156138254,26.0261874890092,19.5168222295315,49.5385521098015,3.43316792486068,18.3026962625466,22.199103528145,24.1295329709845,33.4589139350161,30.629738620289
93.661208123327,75.2735315680738,29.2459888575019,18.2973742902362,48.0566392385899,35.2209501316371,17.0363155475247,78.9842623870208,75.7205096730693,29.369649355879,18.5381685164755,20.0822106573677,74.01519455068,8.46592090155274,20.9234409943459,6.58952620782062,43.0062268973125,19.018987253006,27.124059439087,31.4990452264471,20.5387980539781,21.0588470567701,20.7561645234574,55.3412300906795,14.1937279399787,22.337442437899,12.4068176601251,44.4998511403094,26.6144112767485,19.5418449354364,53.7252131289961,6.02459480464325,18.3604982567147,22.3829834463509,24.2140671577506,33.7468718424918,30.7556500996002
94.9934215077739,81.3527915193178,29.3516021708235,18.367197148478,47.4239329756237,35.3461924983191,17.0095792560681,80.5207595824099,82.1328653688408,29.6123495342841,18.5393044878243,20.1027497814756,89.7841818416711,8.05375944774378,20.8723350899215,6.655114233424,46.4720058276325,19.0985651145374,27.5522936717277,27.4522893152662,20.552911226133,21.085176213564,20.7125743713939,59.7781005583649,0.0894395813683838,22.5841711766036,12.3931228004815,45.7820968265529,27.2488028252806,19.5244638751423,59.285751063698,2.46606500509814,18.3976662604067,22.5322337629142,24.1722218993722,33.9435140365818,31.1519565217201
94.9660071662639,83.6435890374711,29.2641390437057,18.4038265210728,45.6107774262626,35.0557564047154,17.117017860359,72.8541828809924,88.4587512427042,29.7578276111495,18.5407669255621,20.1118142230217,86.9335332187752,7.91118860358854,20.5085806068279,6.85335588767771,49.4002868618386,18.7561241573647,27.9556616886248,26.8476882462642,20.4233041080588,21.0296629481895,20.8606780664943,59.1753096840388,0.969564357384045,22.8725583265002,12.580187271686,47.163908776676,27.8522787098328,19.4614152012687,65.0507400432028,1.7361944364179,18.4053467803665,22.6243304043923,24.0435845625132,33.5030497133498,30.9174376371883
91.2124250950427,82.6885675311723,29.5407981949166,18.3921411071282,42.4148148016103,34.1881172062961,17.1618568141632,55.7706484447358,82.9511642252546,29.7182686266628,18.5133082177811,20.1049605179768,89.9985153458648,7.93274354047588,19.8970507886625,7.02448345527803,50.5254000304613,18.6449060326659,28.2950658696523,25.7398386544277,19.4619888368043,21.1175801398505,20.7435746146957,77.524850648805,2.30807303547801,23.2153721717243,12.3793133938088,49.2595928367232,28.4187438242956,19.333370774507,70.9271499343291,2.17093532200774,18.5041784251239,22.6304159755911,23.6660991451797,33.7262500020377,30.7077521111479
