"","Tick_2000-12-11_To_2002-08-07","Membership_2000-12-11_To_2002-08-07"
"257","ESL.DU",7
"258","BSN.HM",7
"259","FME.DE",8
"260","DTE.DE",8
"261","DPW.DE",8
"262","ALV.DE",8
"263","MRK.DE",8
"264","BAYN.DE",8
"265","DAI.DE",8
"266","HEN3.DE",8
"267","VOW3.DE",8
"268","BMW.DE",8
"269","SIE.DE",8
"270","DB1.DE",8
"271","^GDAXI",8
"272","ZHJ.SG",8
"273","RTL.SG",8
"274","PFV.DE",8
"275","R6C3.SG",8
"276","EUCA.DE",8
"277","P1Z.HM",8
"278","SMD.BE",8
"279","UTDI.DE",8
"280","HLG.DE",8
"281","CXX.SG",8
"282","COZ.SG",8
"283","LCR.SG",8
"284","ILT.SG",8
"285","DTV.MU",8
"286","CTP2.BE",8
"287","VT9.DE",8
"288","IVY.SG",8
"289","599A.SG",8
"290","M82.BE",8
"291","SRT3.DU",8
"292","PRG.HA",8
"293","VSC.DU",8
"294","FUC.SG",8
"295","CPM.MU",8
"296","DAP.DU",8
"297","VNA.DE",9
"298","BEI.DE",9
"299","CSB.BE",9
"300","VODI.DE",9
"301","H2J.BE",9
"302","CDM1.SG",9
"303","E2E.BE",9
"304","MLP.HM",9
"305","TBCN.BE",9
"306","P8AA.BE",9
"307","KRX.SG",9
"308","FSM.BE",9
"309","B6JA.SG",9
"310","R1D.SG",9
"311","BUF.DU",9
"312","34S.BE",9
"313","VNA.BE",9
"314","KIK.SG",9
"315","NEX.DU",9
"316","8GCA.SG",9
"317","SMM.MU",9
"318","LEG.DU",9
"319","CSH.SG",9
"320","KONN.MU",9
"321","BSR.SG",9
"322","UPR.DU",9
"323","LHA.DE",10
"324","3IX.BE",10
"325","TE1.BE",10
"326","AGT.BE",10
"327","EC8.BE",10
"328","CENB.DU",10
"329","WDI.HM",10
"330","P2F.MU",10
"331","CGN.HM",10
"332","NBI.MU",10
"333","P6K.MU",10
"334","SFO.BE",10
"335","BTQ.DU",10
"336","3IW.DU",10
"337","ERMK.DU",10
"338","NDA.SG",10
"339","RYD.BE",10
"340","NWP.SG",10
"341","LIN.HM",10
"342","CENB.MU",10
"343","TEKB.MU",10
"344","EQR.DU",10
"345","BBK.BE",10
"346","EVZ.BE",10
"347","I5P.BE",10
"348","MUM.SG",10
"349","G7L.BE",11
"350","NYVU.BE",11
"351","TEV.BE",11
"352","REB.BE",11
"353","YOC.DE",11
"354","G3V.BE",11
"355","3OX.BE",11
"356","LBH1.MU",11
"357","WT5.BE",11
"358","E4S.MU",11
"359","IFA.SG",11
"360","WKM.BE",11
"361","NT9P.SG",11
"362","016.BE",11
"363","AD8.SG",11
"364","YOJ.MU",11
"365","DAIC.SG",11
"366","RIO1.HM",11
"367","RNR.BE",11
"368","6PG.SG",11
"369","CE2.DE",11
"370","R6L.SG",11
"371","NX9.SG",11
"372","AKG.SG",11
"373","02X.BE",11
"374","LSE.HM",11
"375","AJ91.DU",11
"376","9LTN.SG",11
"377","M6Z.MU",11
"378","LLI.BE",11
"379","JUU.BE",11
"380","LIL3.BE",11
"381","NI9.BE",11
"382","HEZ.MU",11
"383","CTNK.SG",11
"384","RMX.BE",11
"385","KOG.SG",12
"386","MTT.SG",12
"387","APM.BE",12
"388","3V64.DE",12
"389","PAJA.BE",12
"390","L8H.BE",12
"391","PES.DE",12
"392","GIS.HM",12
"393","CUR.DU",12
"394","FRS.DU",12
"395","HPR.SG",12
"396","ZEF.BE",12
"397","TUI1.MU",12
"398","F9E.BE",12
"399","TDM.SG",12
"400","PA8.BE",12
"401","BGR.HM",12
"402","THK1.BE",12
"403","IM1.BE",12
"404","NRM.SG",12
"405","BWV.BE",12
"406","A9D.MU",12
"407","SBS.DE",12
"408","GTQ1.MU",12
"409","DCIK.MU",12
"410","RUC.BE",12
"411","CVLA.SG",12
"412","A1G.MU",12
"413","FLN.SG",12
"414","1NS.MU",12
"415","G82.SG",12
"416","CPH.SG",12
"417","TRBA.DU",12
"418","ACOG.SG",12
"419","DAM.MU",12
"420","LSN.BE",12
"421","R7H1.BE",12
"422","TPN.DU",12
"423","IC8.BE",12
"424","GIL.DU",12
"425","AYB.SG",12
"426","AEC1.DE",12
"427","HDD.HA",12
"428","TIC.SG",12
"429","TZ8.BE",12
"430","HA5.BE",12
"431","CBK.MU",12
"432","UNH.HA",12
"433","GET.SG",12
"434","Q9H1.SG",12
"435","PTCA.DU",12
"436","VI9.MU",12
"437","OKN.MU",12
"438","DIE.MU",12
"439","LUS.DU",12
"440","UXO.MU",12
"441","P1Q.BE",12
"442","IPU1.BE",12
"443","PIT.BE",12
"444","G2M.MU",12
"445","0M1.BE",12
"446","PLM.SG",12
"447","SAPA.MU",12
"448","BM8.MU",12
"449","R7X1.SG",12
"450","G8O2.SG",12
"451","SCB.BE",12
"452","ITP.MU",12
"453","O5G.DE",12
"454","AOMD.MU",12
"455","MM4.BE",12
"456","MJE.SG",12
"457","OBS.SG",12
"458","DUL.SG",12
"459","ZEF.DU",12
"460","EUK3.HA",12
"461","AKJ.MU",12
"462","SCE.DU",12
"463","B9H.SG",12
"464","IUR.DU",12
"465","T3V1.SG",12
"466","5IX.BE",12
"467","RJN.MU",12
"468","ELN.DU",12
"469","IS7.BE",12
"470","TUL1.SG",12
"471","GV6.MU",12
"472","8CZ.SG",12
"473","VEN.MU",12
"474","RSL2.DE",12
"475","M4I.DE",12
"476","RMA.BE",12
"477","2M6.SG",12
"478","EV3A.SG",12
"479","LMX.MU",12
"480","CEV.HM",12
"481","WOF.DU",12
"482","MBH3.BE",12
"483","D3A.BE",12
"484","RME.MU",12
"485","JSO1.BE",12
"486","TCO.SG",12
"487","BM6.SG",12
"488","J6W.MU",12
"489","02TP.BE",12
"490","UTG.BE",12
"491","P2QM.BE",12
"492","GV6.SG",12
"493","WHE.SG",12
"494","P04.BE",12
"495","SQ82.BE",12
"496","CLS1.HM",12
"497","HO7.SG",12
"498","MQ8.MU",12
"499","BGPA.MU",12
"500","SYY.SG",12
"501","P4Q.MU",12
"502","1RA1.BE",12
"503","WLM.BE",12
"504","BJ9.BE",12
"505","DKA.DU",12
"506","BYG.MU",12
"507","ZY3.BE",12
"508","L3I.MU",12
"509","E6Q.SG",12
"510","HI11.MU",12
"511","SHB3.BE",12
"512","MJT.MU",12
"513","7NR.BE",13
"514","BNE.MU",13
"515","C4F.BE",13
"516","IUI1.HM",13
"517","UP7.SG",13
"518","OBK.MU",13
"519","ISI.SG",13
"520","UMA.BE",13
"521","G4U.BE",13
"522","LNU.BE",13
"523","MMG.DU",13
"524","58I.SG",13
"525","LFL.MU",13
"526","GLK.BE",13
"527","ABEA.SG",13
"528","AHR.BE",13
"529","TSE1.SG",13
"530","NYH.HM",13
"531","SW5.SG",13
"532","PZX.MU",13
"533","BMI.BE",13
"534","RG2A.SG",13
"535","NAL.DU",13
"536","ASV.BE",13
"537","PJJ1.MU",13
"538","SBL.SG",13
"539","PCD1.BE",13
"540","NSN.SG",13
"541","IGQ5.DU",13
"542","RAE.MU",13
"543","HYR.BE",13
"544","PTC.SG",13
"545","SY9.SG",13
"546","DR3.BE",13
"547","LHL.HM",13
"548","D4V.BE",13
"549","NYVU.SG",13
"550","9OI.SG",14
"551","B4E.BE",14
"552","DSZ.HM",14
"553","C9F.MU",14
"554","3GK.BE",14
"555","NC5A.MU",14
"556","NYVG.MU",14
"557","NIU.MU",14
"558","LZ6.BE",14
"559","PD2.MU",14
"560","BU3.MU",14
"561","OUW.BE",14
"562","HSM.BE",14
"563","PAD.DU",14
"564","VCX.DU",14
"565","DY6.MU",14
"566","IXY.MU",14
"567","CTYA.MU",14
"568","BTPC.BE",14
"569","CRS1.BE",14
"570","KAO.MU",14
"571","USY1.BE",14
"572","VOL3.MU",14
"573","MNG.SG",14
"574","AIW.BE",14
"575","THS.MU",14
"576","CSJ.MU",14
"577","BEZ.HA",14
"578","3O1.BE",14
"579","WCQ1.MU",14
"580","DW4.BE",14
"581","G3C.SG",14
"582","OII.BE",14
"583","USE.HM",14
"584","TIG.BE",14
"585","C62.BE",14
"586","COI.BE",14
"587","GRF.MU",14
"588","5CM.MU",14
"589","PORTFO",14
"590","RWE.DE",15
"591","EOAN.DE",15
"592","FRE.DE",15
"593","LIN.DE",15
"594","EOAN.SG",15
"595","PO9.MU",15
"596","SFD1.DU",15
"597","NEX.MU",15
"598","BSL.DU",15
"599","B4U.BE",15
"600","SZG.SG",15
"601","IIE.SG",15
"602","1LGC.BE",15
"603","CAJ.SG",15
"604","SVHH.DU",15
"605","BMP.BE",15
"606","AEP.MU",15
"607","SQQ1.SG",15
"608","LPK.SG",16
"609","ALE.SG",16
"610","TO7.DU",16
"611","6CB.SG",16
"612","F7I.BE",16
"613","EUX.BE",16
"614","CON.DE",17
"615","CBK.DE",17
"616","3BG.MU",17
"617","XCL1.BE",17
"618","AINN.MU",17
"619","TXG.SG",17
