"","Tick_2000-09-04_To_2002-01-09","Membership_2000-09-04_To_2002-01-09"
"277","034120.KS",6
"278","000660.KS",6
"279","000030.KS",6
"280","122870.KQ",6
"281","129260.KS",6
"282","004365.KS",6
"283","004989.KS",6
"284","078860.KQ",6
"285","054090.KQ",6
"286","045340.KQ",6
"287","014100.KQ",6
"288","081660.KS",6
"289","011370.KQ",6
"290","064480.KQ",6
"291","038390.KQ",6
"292","127120.KQ",6
"293","052300.KQ",6
"294","048550.KQ",6
"295","138360.KQ",6
"296","012860.KQ",6
"297","002210.KS",6
"298","006200.KS",6
"299","032350.KS",6
"300","065510.KQ",6
"301","039020.KQ",6
"302","122350.KQ",6
"303","067310.KQ",6
"304","078070.KQ",6
"305","053050.KQ",6
"306","030520.KQ",6
"307","051390.KQ",6
"308","005180.KS",6
"309","017900.KS",6
"310","005710.KQ",6
"311","054780.KQ",6
"312","065950.KQ",6
"313","126880.KQ",6
"314","105560.KS",6
"315","007690.KS",6
"316","038500.KQ",6
"317","151910.KQ",6
"318","019440.KS",6
"319","062860.KQ",6
"320","093190.KQ",6
"321","126700.KQ",6
"322","007810.KS",6
"323","089030.KQ",6
"324","084370.KQ",6
"325","007070.KS",6
"326","076080.KQ",6
"327","043290.KQ",6
"328","126560.KS",6
"329","000075.KS",6
"330","001520.KS",6
"331","025770.KQ",6
"332","083930.KQ",6
"333","006890.KS",6
"334","038680.KQ",6
"335","002795.KS",6
"336","092200.KS",6
"337","126600.KQ",6
"338","066430.KQ",6
"339","036420.KQ",6
"340","049630.KQ",6
"341","114090.KS",6
"342","104830.KQ",6
"343","023000.KS",6
"344","026890.KS",6
"345","008060.KS",6
"346","016710.KS",6
"347","001500.KS",6
"348","069960.KS",6
"349","023460.KQ",6
"350","003080.KS",6
"351","106080.KQ",6
"352","066130.KQ",6
"353","014440.KS",6
"354","010600.KS",6
"355","040910.KQ",6
"356","011790.KS",6
"357","055550.KS",6
"358","003550.KS",6
"359","032685.KQ",6
"360","130740.KQ",6
"361","038010.KQ",6
"362","041460.KQ",6
"363","100700.KQ",6
"364","170900.KS",6
"365","131220.KQ",6
"366","74401722.KS",6
"367","011280.KS",6
"368","153360.KS",6
"369","035080.KQ",6
"370","013570.KS",6
"371","058820.KQ",6
"372","126870.KQ",6
"373","122900.KS",6
"374","145995.KS",6
"375","096630.KQ",6
"376","020180.KQ",6
"377","068930.KQ",6
"378","060250.KQ",6
"379","000440.KQ",6
"380","028150.KQ",6
"381","033290.KQ",6
"382","048470.KQ",6
"383","080520.KQ",6
"384","083420.KS",6
"385","149980.KQ",6
"386","009680.KS",6
"387","089010.KQ",6
"388","007340.KS",6
"389","086670.KQ",6
"390","004840.KS",6
"391","013000.KS",6
"392","004780.KQ",6
"393","015890.KS",6
"394","002220.KS",6
"395","084180.KQ",6
"396","141000.KQ",6
"397","031390.KQ",6
"398","072130.KS",6
"399","023890.KQ",6
"400","005725.KS",6
"401","038060.KQ",6
"402","011000.KS",6
"403","005810.KS",6
"404","104200.KQ",6
"405","072770.KQ",6
"406","015750.KQ",6
"407","140910.KS",6
"408","089470.KS",6
"409","036000.KQ",6
"410","034940.KQ",6
"411","090360.KQ",6
"412","045890.KQ",6
"413","033180.KS",6
"414","109080.KQ",6
"415","100250.KS",6
"416","094820.KQ",6
"417","115310.KQ",6
"418","053590.KQ",6
"419","032800.KQ",6
"420","060310.KQ",6
"421","033110.KQ",6
"422","024060.KQ",6
"423","034730.KS",6
"424","136540.KQ",6
"425","138070.KQ",6
"426","003920.KS",6
"427","037330.KQ",6
"428","056700.KQ",6
"429","085910.KQ",6
"430","007660.KS",6
"431","009270.KS",6
"432","005850.KS",6
"433","014710.KS",6
"434","120110.KS",6
"435","00781K.KS",6
"436","012510.KS",6
"437","032680.KQ",6
"438","101330.KQ",6
"439","003460.KS",6
"440","010690.KS",6
"441","024880.KQ",6
"442","003570.KS",6
"443","066980.KQ",6
"444","032850.KQ",6
"445","950130.KQ",6
"446","031330.KQ",6
"447","001550.KS",6
"448","053110.KQ",6
"449","056080.KQ",6
"450","017250.KQ",6
"451","005190.KS",6
"452","101680.KQ",6
"453","080000.KQ",6
"454","022220.KQ",6
"455","131290.KQ",6
"456","078340.KQ",7
"457","034020.KS",7
"458","012450.KS",7
"459","030200.KS",7
"460","028670.KS",7
"461","090150.KQ",7
"462","067830.KS",7
"463","096760.KS",7
"464","009420.KS",7
"465","014910.KS",7
"466","051490.KQ",7
"467","001340.KS",7
"468","071280.KQ",7
"469","101000.KQ",7
"470","047050.KS",7
"471","036630.KQ",7
"472","010640.KS",7
"473","014200.KQ",7
"474","003620.KS",7
"475","033230.KQ",7
"476","006370.KS",7
"477","083310.KQ",7
"478","043200.KQ",7
"479","038870.KQ",7
"480","039830.KQ",7
"481","009300.KQ",7
"482","008000.KS",7
"483","093240.KS",7
"484","005965.KS",7
"485","035460.KQ",7
"486","043220.KQ",7
"487","030270.KQ",7
"488","004200.KS",7
"489","057500.KQ",7
"490","002760.KS",7
"491","039230.KQ",7
"492","123700.KS",7
"493","119650.KS",7
"494","091340.KQ",7
"495","015020.KS",7
"496","053700.KQ",7
"497","097780.KQ",7
"498","004540.KS",7
"499","060900.KQ",7
"500","025000.KS",7
"501","041960.KQ",7
"502","011700.KS",7
"503","001230.KS",8
"504","086790.KS",8
"505","011200.KS",8
"506","073240.KS",8
"507","004380.KS",8
"508","112040.KQ",8
"509","136510.KQ",8
"510","043340.KQ",8
"511","003010.KS",8
"512","048870.KQ",8
"513","082740.KS",8
"514","025820.KS",8
"515","095700.KQ",8
"516","014285.KS",8
"517","010280.KQ",8
"518","024840.KQ",8
"519","083470.KQ",8
"520","064290.KQ",8
"521","005860.KQ",8
"522","086520.KQ",8
"523","037440.KQ",8
"524","007610.KS",8
"525","001470.KS",8
"526","052770.KQ",8
"527","049800.KS",8
"528","091970.KQ",8
"529","032790.KQ",8
"530","027740.KS",8
"531","071670.KQ",8
"532","053060.KQ",8
"533","008420.KS",8
"534","043260.KQ",8
"535","060560.KQ",8
"536","043910.KQ",8
"537","101390.KQ",8
"538","096640.KQ",8
"539","053290.KQ",8
"540","030530.KQ",8
"541","043710.KQ",8
"542","128820.KS",8
"543","105330.KQ",8
"544","121800.KQ",8
"545","023800.KS",8
"546","015230.KS",8
"547","081150.KQ",8
"548","^KS11",9
"549","005750.KS",9
"550","016385.KS",9
"551","016380.KS",9
"552","180640.KS",9
"553","099660.KQ",9
"554","000370.KS",9
"555","008775.KS",9
"556","028080.KQ",9
"557","064350.KS",9
"558","003490.KS",9
"559","005305.KS",9
"560","052220.KQ",9
"561","035420.KS",9
"562","036570.KS",9
"563","005930.KS",9
"564","123420.KQ",9
"565","025440.KQ",9
"566","005880.KS",9
"567","003240.KS",9
"568","054920.KQ",9
"569","007280.KS",9
"570","000400.KS",9
"571","073070.KQ",9
"572","091440.KQ",9
"573","002310.KS",9
"574","095660.KQ",9
"575","024950.KQ",9
"576","008600.KS",9
"577","066310.KQ",9
"578","005010.KS",9
"579","067000.KQ",9
"580","001210.KS",9
"581","016450.KS",9
"582","007110.KS",9
"583","067010.KQ",9
"584","078940.KQ",9
"585","081580.KQ",9
"586","065500.KQ",9
"587","149940.KQ",9
"588","177350.KQ",9
"589","040420.KQ",9
"590","171120.KQ",9
"591","054950.KQ",9
"592","096610.KQ",9
"593","003780.KS",9
"594","024890.KS",9
"595","023450.KS",9
"596","130500.KQ",9
"597","008730.KS",9
"598","023910.KQ",9
"599","009440.KS",9
"600","007630.KS",9
"601","043610.KQ",9
"602","025890.KS",9
"603","054340.KQ",9
"604","033660.KS",9
"605","170920.KQ",9
"606","024800.KQ",9
"607","018670.KS",9
"608","046970.KQ",9
"609","048830.KQ",9
"610","059120.KQ",9
