"","Bank rate","Target rate","BAR 1-month","BAR 2-month","BAR 3-month","TrB1-month","TrB1-year","TrB2-month","TrB3-month","TrB6-month","GCBBY 10 year","GCBBY 2 year","GCBBY 3 year","GCBBY 5 year","GCBBY 7 year","GCBBY long term","GCMB 1 to 3 years","GCMB 3 to 5 years","GCMB 5 to 10 years","GCMB over 10 years"
"2018-01-31",0.00143913764863174,0.00107271150298172,0.0645374654387531,0.0838067908032952,0.0730847926955562,0.00113878906343964,0.0399661476561596,0.0463267826121534,0.0858667175601322,0.0631214149561065,0.0581312845424445,0.0564619198189198,0.0571897970963575,0.0603850776346082,0.0957216011006441,0.00666636731073085,0.0563164824764763,0.0596225919630137,0.0818206022122309,0.00732352590736479
"2018-02-01",0.00181005867605615,0.00159284415867247,0.0651750076531009,0.0757924531027681,0.0758351318116682,0.0014894947465286,0.0365275065541736,0.042993080227329,0.0879432531925936,0.067727621113932,0.0581998806826028,0.0537878716658221,0.060748841691903,0.0708449855533693,0.0799976724991787,0.00744383603902697,0.0579192587373241,0.0658914295436815,0.079356084752023,0.00892368759824599
"2018-02-02",0.00167292813728806,0.00205351835155765,0.060605249343713,0.0713099086872009,0.0638494932328659,0.00183679197906686,0.0331953223535103,0.0584670171938323,0.0836111729712816,0.0722021028192206,0.0731538697157236,0.0540634014513779,0.0548964544436593,0.053806673273409,0.0912873851715454,0.00705942509819289,0.054413399315387,0.0649404100018184,0.0883098047626889,0.00926567169666047
"2018-02-03",0.00153086478634329,0.00127311332860384,0.0611876418893198,0.0795305416766603,0.0754998929700267,0.00163804567752765,0.0382510413485695,0.0553591435351396,0.075401658315495,0.0652057013130581,0.0584238993106851,0.0598710019348933,0.057556376005662,0.0574669804903573,0.0900443005104259,0.00765867950769513,0.0556030209730884,0.0637441965963916,0.084158759921646,0.0105951399084114
"2018-02-04",0.00186636906680877,0.00223566545731243,0.0727406297791499,0.0811342146167617,0.083576125941083,0.00235303133346318,0.0334948866433936,0.0616359843119481,0.096488146581074,0.0644965534271505,0.0594327689499443,0.0520393385468124,0.0506951457920564,0.0502666378218982,0.0797663071335182,0.0106952875077714,0.050763622296531,0.0503722013540343,0.078179613794153,0.0177674696451356
"2018-02-05",0.0017594806028432,0.00135963276168628,0.0754232569433922,0.0814101787303765,0.0730068433667161,0.00242506168596905,0.0373658705448252,0.0555019833520787,0.0865055866981028,0.0533294252960347,0.0819192249691645,0.0515065840643764,0.0461491071289495,0.0532810982298296,0.0820109845347012,0.0104839652796896,0.0491309055742743,0.0491082881671854,0.0902168236334169,0.0181056984363876
"2018-02-06",0.00189447844184039,0.00174213849099829,0.0615490258119427,0.0738792492682689,0.0661999861060227,0.00253545400847263,0.0291898441128691,0.0561074155778509,0.0773057954119621,0.0574546851048246,0.082369632793926,0.0479630188598968,0.044965983734871,0.0489501621657006,0.0893643819408187,0.0259653014761304,0.0438677848980425,0.0526843683855074,0.0971291230141928,0.0388821703958617
"2018-02-07",0.00200860401699657,0.00199534177081871,0.0694188108153938,0.0722860956291023,0.0649566208261108,0.0022408689974621,0.0332149735185699,0.060738076800344,0.0678096051143633,0.0493565367454589,0.0758949856004664,0.044618726679817,0.0551987072839442,0.0575517835678123,0.0885293500315246,0.024394081866276,0.0431747269701118,0.0494444997558133,0.0886620228684906,0.0485055811411234
"2018-02-08",0.00161058269475722,0.0020276308498936,0.072021579698678,0.0655911355337265,0.0747529307153387,0.00247359192356804,0.0340047426131484,0.041850473370584,0.0794340809539671,0.0550508893195592,0.0716462210842728,0.0571451345932902,0.0534122780271822,0.0540422792345201,0.0835404491011416,0.0189272536009776,0.0588518690139765,0.0544757346073627,0.0870609964474993,0.0320801466165564
"2018-02-09",0.00240729286533046,0.00203002007667544,0.0638998422386624,0.0724429013177714,0.0795912787914396,0.00245671453192026,0.0322758396212425,0.0619575043456402,0.0804466154472123,0.0538891565452896,0.0662047191532067,0.0505601975925567,0.054542190319738,0.0613150436768286,0.0795736540872919,0.0196309584685944,0.0516097416780028,0.0596576110678513,0.077184185618165,0.0283245325565805
"2018-02-10",0.00232015359114766,0.00229990616724326,0.0754701462048554,0.0750387604119928,0.0676987984809853,0.00260609795425445,0.0376873409665369,0.0699430961062014,0.0875286905637304,0.0609480458628372,0.0599911290162823,0.0480982311817841,0.0497817048165829,0.049091870078414,0.0767560805070113,0.0196939573517918,0.0511347157820348,0.0546081744355945,0.0721360140431683,0.0371670864775511
"2018-02-11",0.00225526606309355,0.00244588060758754,0.0604195043070027,0.0608957388440459,0.0628512017996264,0.00283429445341481,0.0259458891348417,0.0574604416187579,0.0609229863327271,0.0493216754670937,0.0807182580720122,0.0445977106509982,0.0495320632257987,0.0622537565634733,0.0881169547927595,0.0371731911233538,0.0467408031760841,0.0535967923755244,0.0925577609582559,0.0593598304335486
"2018-02-12",0.00214835709961186,0.00218286529540691,0.0541820694048658,0.0641029552326339,0.0649712430664661,0.00274731318832777,0.0385307564740121,0.0468454034968362,0.0651758916581361,0.0484779905286086,0.0783270491093129,0.0527066266698997,0.0543963774514184,0.0612256756277784,0.089330777088944,0.0298562203696874,0.0538283952966232,0.0588087468807776,0.0890588659630311,0.0430964200976217
"2018-02-13",0.00219034810912818,0.0021404375484517,0.0497336747228429,0.0675054605186092,0.0664610784203401,0.00292984340183629,0.0341512741136025,0.0632038499826852,0.0829257204907913,0.0507236848271963,0.0756890481952077,0.0515736658835022,0.0520194659785429,0.0447811527419736,0.0830977173975825,0.0425284558261092,0.0403332819762422,0.0491105426482956,0.0810118081762264,0.0578894890408341
