"","Bank rate","Target rate","BAR 1-month","BAR 2-month","BAR 3-month","TrB1-month","TrB1-year","TrB2-month","TrB3-month","TrB6-month","GCBBY 10 year","GCBBY 2 year","GCBBY 3 year","GCBBY 5 year","GCBBY 7 year","GCBBY long term","GCMB 1 to 3 years","GCMB 3 to 5 years","GCMB 5 to 10 years","GCMB over 10 years"
"2018-01-31",0.00207379730796705,0.00259172108589486,0.0552343394371438,0.0564477344800899,0.0535411147152245,0.00344092870896498,0.0451673107177329,0.0744919740340235,0.077948574193915,0.0687498229409059,0.0735609216726818,0.0475425678180186,0.0424422713814756,0.0489103275512208,0.081610213912282,0.0487182662887305,0.0421183651696966,0.0472652600914501,0.0839639644407257,0.0441805240518557
"2018-02-01",0.00313969756431617,0.00406707110234687,0.0610781310185544,0.0554240510615605,0.0611715674904192,0.00336331161468808,0.0537370460873254,0.0743696396455182,0.0754594782301793,0.0703825632225331,0.0807527193044405,0.0412779790244786,0.0416217490458002,0.0465696271251403,0.0832760973820145,0.0418104240263574,0.0381424691552862,0.0429308686790013,0.0776878030370719,0.0437377061829681
"2018-02-02",0.00310031739653441,0.00253227051899353,0.0583479259477244,0.0553713423268433,0.0532522262285814,0.00343112856860406,0.0574022474637773,0.0781537170900692,0.0762908735779064,0.0700250191079261,0.0799336287261344,0.0442985441517844,0.0439353584388223,0.0449723512019474,0.0832860710416328,0.0386814462841491,0.0407796857069398,0.0426503819827542,0.0819601891659244,0.0415952750729511
"2018-02-03",0.00283318043423075,0.00249898994916733,0.0583276914353702,0.0588951934543685,0.0601395851327522,0.00388802525994877,0.0441255441578904,0.0734568951841401,0.0761389725328132,0.0675360319956885,0.0726821983970622,0.0434103848432487,0.0437050253596152,0.0494466549426212,0.085346029262248,0.0420742905026704,0.0430299739166459,0.0457812518207451,0.0818331371191827,0.0448509442995906
"2018-02-04",0.00404089013371325,0.00348559142509851,0.0567329633332463,0.0620781558073907,0.0555361262313432,0.00558203123729168,0.0551059640257159,0.0809343814090313,0.0779477309944626,0.0705085324333395,0.0731385799914875,0.0445186922310502,0.0433134238616171,0.0485320655611638,0.0851662409033304,0.0329936892447739,0.0398692474479254,0.0446558983074962,0.0775620095883077,0.0382977858322147
"2018-02-05",0.00358589126336169,0.00382387709745336,0.0492651753259154,0.0571936183887054,0.0622300218611089,0.00442246993686968,0.0460642972833301,0.0793693376340585,0.0746186959385598,0.0634301678488909,0.0804459624241057,0.0461354466786004,0.0433624647772448,0.0534036361508383,0.0905444123427095,0.0367250665539267,0.039589243286875,0.0499418486114792,0.0788938135549263,0.0369545530410403
"2018-02-06",0.00372207799827625,0.00444784632926434,0.0492219294631183,0.0584203872028826,0.0561181180251645,0.00685419088020741,0.038332417593726,0.0750593635371349,0.0703231859143841,0.0573342324196911,0.0839850546347189,0.0489896888645559,0.0479151148200177,0.0595338871090102,0.0886769861488362,0.0358665263347043,0.041918467471041,0.0534785822439512,0.0764927984102562,0.0433091445990588
"2018-02-07",0.0077376722717729,0.00940864066527176,0.0338200794732628,0.0574479094521919,0.052580174276684,0.00968459878043198,0.0373040124957597,0.0809614580120854,0.0707839233813605,0.0550092420574821,0.0749547025129085,0.0499820307196627,0.0532027945696412,0.0651779345195135,0.0936731791791148,0.032545204263836,0.0435271969098952,0.0574364551253907,0.0801205345144833,0.0346422568192512
"2018-02-08",0.00684293856746642,0.00929853188607157,0.0335842042954742,0.0516484564316397,0.0523615676576797,0.0106738890293847,0.0405991804695899,0.078255751547292,0.0648679291219782,0.0531554784749051,0.0793399262282718,0.0565416449218725,0.0546084294868554,0.0684836420569597,0.0924954310497273,0.0295177895133832,0.0452887819216983,0.0603029924771368,0.0787457568405905,0.033387678022023
"2018-02-09",0.0136038726753781,0.0179023139727818,0.0315848820740692,0.0484756295125085,0.0497894328982196,0.0140379671123542,0.0360213934455011,0.081101573603701,0.0636477431331589,0.0479820329264908,0.0789735952593238,0.0498867169928763,0.0608398980980532,0.0735206188352314,0.0955056675469546,0.0283101906776745,0.0351224586959723,0.0583157920412102,0.0823558582028414,0.0330223622956993
"2018-02-10",0.0152921546262476,0.0155770294103509,0.0409071082775952,0.0442495194692295,0.0428660482601422,0.0185384090388519,0.0323647409359092,0.0806837579498184,0.0564485900784136,0.0470430924507444,0.0809834277504114,0.0458440658640353,0.0607829076844894,0.079363987191229,0.0993784377080561,0.0272792727730013,0.0366027966923535,0.0665087825561083,0.0797585370697294,0.0295273342132836
"2018-02-11",0.0234360275693594,0.0198865006709716,0.0289437195891451,0.044797196790784,0.036460343193638,0.0246973122288169,0.0347029640590459,0.0756514821777472,0.050676603529931,0.0434881791919648,0.0884268518138208,0.0406836744842086,0.0596249106399027,0.0813547639849937,0.102618316838552,0.0267220695307832,0.0313266268434903,0.0741154394213921,0.0795834065699152,0.0328036108715373
"2018-02-12",0.0196886033112399,0.0184515432888012,0.0276103912818305,0.0456117238107919,0.0394849359220155,0.0236092133763427,0.0323167755162562,0.0822610354407198,0.0489813229909443,0.041451802078633,0.0923875132795303,0.0396988267092966,0.0605026498434327,0.0853676863096271,0.100502299000586,0.0256236436090304,0.0287733053744149,0.0706972181938776,0.0858089956952412,0.0311705149673882
"2018-02-13",0.0231079463541377,0.0225333908961539,0.0298240626242615,0.0426359051893172,0.0332600110487547,0.0279091831842538,0.0281921701411224,0.0740369517059249,0.0418397360097728,0.0356362627942429,0.0888853183835355,0.0494121761523657,0.0627030073080061,0.0908191566855183,0.0983838144060646,0.0252664134990218,0.0330982559423808,0.0721657219103785,0.0888355055045114,0.0314550102602756
