"","timexxx","coeff"
"1","2018-01-31",0.424069023471191
"2","2018-02-01",0.36173163865416
"3","2018-02-02",0.362348928648297
"4","2018-02-03",0.435671553501236
"5","2018-02-04",0.393206366382516
"6","2018-02-05",0.435428194068389
"7","2018-02-06",0.438532143724897
"8","2018-02-07",0.393712577008668
"9","2018-02-08",0.385845458977411
"10","2018-02-09",0.353100846430873
"11","2018-02-10",0.368180499980923
"12","2018-02-11",0.323666148845614
"13","2018-02-12",0.326964587350178
"14","2018-02-13",0.310054900587484
"15","2018-02-14",0.273875086921202
"16","2018-02-15",0.275400267782523
"17","2018-02-16",0.294518215538749
"18","2018-02-17",0.279120287971674
"19","2018-02-18",0.284217656561932
"20","2018-02-19",0.338895683467178
"21","2018-02-20",0.308871971939058
"22","2018-02-21",0.309609574297697
"23","2018-02-22",0.330109830971346
"24","2018-02-23",0.321773539442644
"25","2018-02-24",0.262857702910612
"26","2018-02-25",0.237710208526729
"27","2018-02-26",0.241634761975657
"28","2018-02-27",0.270838909276724
"29","2018-02-28",0.249640322319598
"30","2018-03-01",0.240322589920118
"31","2018-03-02",0.232799320149355
"32","2018-03-03",0.208450262616675
"33","2018-03-04",0.183834979959626
"34","2018-03-05",0.192451406263417
"35","2018-03-06",0.183020038814502
"36","2018-03-07",0.192983821340815
"37","2018-03-08",0.230054729319202
"38","2018-03-09",0.213246318272661
"39","2018-03-10",0.201160491699722
"40","2018-03-11",0.219805143020966
"41","2018-03-12",0.228241557951957
"42","2018-03-13",0.229765304824473
"43","2018-03-14",0.222521839805027
"44","2018-03-15",0.206913514617755
"45","2018-03-16",0.20424525872216
"46","2018-03-17",0.193915525058857
"47","2018-03-18",0.177704563858578
"48","2018-03-19",0.196810289357423
"49","2018-03-20",0.230448326178129
"50","2018-03-21",0.187507418134795
"51","2018-03-22",0.18166005994481
"52","2018-03-23",0.183067315104231
"53","2018-03-24",0.177284933225667
"54","2018-03-25",0.17214372529832
"55","2018-03-26",0.1673731139659
"56","2018-03-27",0.180761626953976
"57","2018-03-28",0.164454628242246
"58","2018-03-29",0.166470443862663
"59","2018-03-30",0.15382787377285
"60","2018-03-31",0.159973200132711
"61","2018-04-01",0.148111059312919
"62","2018-04-02",0.134078031320498
"63","2018-04-03",0.127425065892114
"64","2018-04-04",0.125954816564039
"65","2018-04-05",0.127861135381788
"66","2018-04-06",0.117217724495909
"67","2018-04-07",0.12255966704188
"68","2018-04-08",0.124520265480306
"69","2018-04-09",0.138940429657446
"70","2018-04-10",0.151844425383859
"71","2018-04-11",0.16817846159925
"72","2018-04-12",0.186131552497178
"73","2018-04-13",0.187539221801962
"74","2018-04-14",0.18916876051197
"75","2018-04-15",0.194118245921468
"76","2018-04-16",0.197177260429899
"77","2018-04-17",0.193311254359706
"78","2018-04-18",0.199093380941657
"79","2018-04-19",0.20154597740021
"80","2018-04-20",0.196483953043629
"81","2018-04-21",0.188004001245472
"82","2018-04-22",0.192245168862152
"83","2018-04-23",0.18550538160679
"84","2018-04-24",0.180485889991242
"85","2018-04-25",0.151977355438896
"86","2018-04-26",0.154436808578944
"87","2018-04-27",0.146338441060941
"88","2018-04-28",0.145801314948953
"89","2018-04-29",0.148548251519148
"90","2018-04-30",0.143489364765262
"91","2018-05-01",0.144726196217021
"92","2018-05-02",0.151121817018648
"93","2018-05-03",0.144216799496138
"94","2018-05-04",0.1405922798292
"95","2018-05-05",0.150230542662388
"96","2018-05-06",0.163445511115295
"97","2018-05-07",0.171963172690149
"98","2018-05-08",0.196144492918621
"99","2018-05-09",0.218841475360272
"100","2018-05-10",0.21814270685778
"101","2018-05-11",0.252845977319158
"102","2018-05-12",0.26073344204179
"103","2018-05-13",0.263769475566961
"104","2018-05-14",0.31487133240708
"105","2018-05-15",0.326810272022059
"106","2018-05-16",0.361404093151787
"107","2018-05-17",0.357179736715107
"108","2018-05-18",0.350523411656142
"109","2018-05-19",0.36634243125463
"110","2018-05-20",0.380329956625141
"111","2018-05-21",0.356381113039112
"112","2018-05-22",0.363448356704716
"113","2018-05-23",0.359001481955578
"114","2018-05-24",0.349213397252883
"115","2018-05-25",0.35542882838372
"116","2018-05-26",0.346199621689459
"117","2018-05-27",0.312407924759368
"118","2018-05-28",0.279518565600968
"119","2018-05-29",0.273361850122948
"120","2018-05-30",0.235412695579744
"121","2018-05-31",0.222569108667605
"122","2018-06-01",0.207008027165885
"123","2018-06-02",0.194287425589139
"124","2018-06-03",0.184191433349329
"125","2018-06-04",0.190024847000898
"126","2018-06-05",0.174864783765839
"127","2018-06-06",0.165660910380053
"128","2018-06-07",0.158751902419425
"129","2018-06-08",0.160783328849544
"130","2018-06-09",0.165140677159742
"131","2018-06-10",0.186923330772284
"132","2018-06-11",0.173762936914173
"133","2018-06-12",0.172517508285505
"134","2018-06-13",0.190477324101307
"135","2018-06-14",0.170093702691834
"136","2018-06-15",0.181355406756926
"137","2018-06-16",0.181403486368625
"138","2018-06-17",0.180786839253797
"139","2018-06-18",0.164920216641982
"140","2018-06-19",0.174029321182687
"141","2018-06-20",0.171751019941237
"142","2018-06-21",0.182588049793068
"143","2018-06-22",0.17958424496349
"144","2018-06-23",0.199433445097207
"145","2018-06-24",0.188723926463693
"146","2018-06-25",0.223008380686759
"147","2018-06-26",0.240376497358286
"148","2018-06-27",0.220939805000432
"149","2018-06-28",0.222708954609754
"150","2018-06-29",0.231429095770618
"151","2018-06-30",0.281762602816724
"152","2018-07-01",0.287017394650039
"153","2018-07-02",0.300169753755537
"154","2018-07-03",0.295662001265143
