"","timexxx","coeff"
"1","2018-01-31",0.360358032128852
"2","2018-02-01",0.335453434492336
"3","2018-02-02",0.377555781445503
"4","2018-02-03",0.34667026445358
"5","2018-02-04",0.287332437538096
"6","2018-02-05",0.361072408379108
"7","2018-02-06",0.304830215900168
"8","2018-02-07",0.411462141331668
"9","2018-02-08",0.323319029475421
"10","2018-02-09",0.303072874710147
"11","2018-02-10",0.291838864562662
"12","2018-02-11",0.338721360875046
"13","2018-02-12",0.329977575668515
"14","2018-02-13",0.254636634169601
"15","2018-02-14",0.275637454426402
"16","2018-02-15",0.319283265476679
"17","2018-02-16",0.286976814839801
"18","2018-02-17",0.327597532793327
"19","2018-02-18",0.284371418047304
"20","2018-02-19",0.307913448874438
"21","2018-02-20",0.296434505028619
"22","2018-02-21",0.324526083266687
"23","2018-02-22",0.284301476212806
"24","2018-02-23",0.308949481187214
"25","2018-02-24",0.385842780069921
"26","2018-02-25",0.331463503460116
"27","2018-02-26",0.331784834134127
"28","2018-02-27",0.332821288189373
"29","2018-02-28",0.355974897546734
"30","2018-03-01",0.31298129789136
"31","2018-03-02",0.354174727348798
"32","2018-03-03",0.291924266155406
"33","2018-03-04",0.239621729807124
"34","2018-03-05",0.291477043401144
"35","2018-03-06",0.264602814880369
"36","2018-03-07",0.278913833744633
"37","2018-03-08",0.275803024654246
"38","2018-03-09",0.270765958367548
"39","2018-03-10",0.222906777579913
"40","2018-03-11",0.247884016740767
"41","2018-03-12",0.231716276004658
"42","2018-03-13",0.243364645810412
"43","2018-03-14",0.20952832362621
"44","2018-03-15",0.17389851762614
"45","2018-03-16",0.158876039625079
"46","2018-03-17",0.137275136428185
"47","2018-03-18",0.177225664069647
"48","2018-03-19",0.176492087011647
"49","2018-03-20",0.1736823519993
"50","2018-03-21",0.155101677428155
"51","2018-03-22",0.162764286601643
"52","2018-03-23",0.167119370155764
"53","2018-03-24",0.153245437338863
"54","2018-03-25",0.162275351798527
"55","2018-03-26",0.15854804172467
"56","2018-03-27",0.163343928533372
"57","2018-03-28",0.162444338505724
"58","2018-03-29",0.163271486029541
"59","2018-03-30",0.172916645408198
"60","2018-03-31",0.175099127421999
"61","2018-04-01",0.1584833477632
"62","2018-04-02",0.174565025564906
"63","2018-04-03",0.154060862089192
"64","2018-04-04",0.166122051522498
"65","2018-04-05",0.16821174728412
"66","2018-04-06",0.168891355183821
"67","2018-04-07",0.170420860772046
"68","2018-04-08",0.17979959555334
"69","2018-04-09",0.177626431074745
"70","2018-04-10",0.182742184865002
"71","2018-04-11",0.196221514921698
"72","2018-04-12",0.186318597089636
"73","2018-04-13",0.177707314673998
"74","2018-04-14",0.16594814619722
"75","2018-04-15",0.131098645756208
"76","2018-04-16",0.142494727536759
"77","2018-04-17",0.132152082703631
"78","2018-04-18",0.129480246500375
"79","2018-04-19",0.147449709035009
"80","2018-04-20",0.137727330530821
"81","2018-04-21",0.127346138461964
"82","2018-04-22",0.119443052219892
"83","2018-04-23",0.130247462214703
"84","2018-04-24",0.129759649847657
"85","2018-04-25",0.133591091983499
"86","2018-04-26",0.121257138179676
"87","2018-04-27",0.139726412083601
"88","2018-04-28",0.130357156888136
"89","2018-04-29",0.133022794798639
"90","2018-04-30",0.135630213166565
"91","2018-05-01",0.127502769360347
"92","2018-05-02",0.117085991530268
"93","2018-05-03",0.119056034899135
"94","2018-05-04",0.129762008770761
"95","2018-05-05",0.124841197180939
"96","2018-05-06",0.111411228634666
"97","2018-05-07",0.120773724906867
"98","2018-05-08",0.121957227702138
"99","2018-05-09",0.115970735391159
"100","2018-05-10",0.128129617107712
"101","2018-05-11",0.120908037377159
"102","2018-05-12",0.120713941771397
"103","2018-05-13",0.13603494659046
"104","2018-05-14",0.128549239187094
"105","2018-05-15",0.161259577053788
"106","2018-05-16",0.182400598858602
"107","2018-05-17",0.174477446444904
"108","2018-05-18",0.191908148830582
"109","2018-05-19",0.185696677049332
"110","2018-05-20",0.195545474570072
"111","2018-05-21",0.184587299202525
"112","2018-05-22",0.196956561267389
"113","2018-05-23",0.188518892685246
"114","2018-05-24",0.178310929070869
"115","2018-05-25",0.191019375221075
"116","2018-05-26",0.198778307061583
"117","2018-05-27",0.207036661945549
"118","2018-05-28",0.210394442787158
"119","2018-05-29",0.203013636452975
"120","2018-05-30",0.180780799965375
"121","2018-05-31",0.172522375024812
"122","2018-06-01",0.166051631216513
"123","2018-06-02",0.181490179857536
"124","2018-06-03",0.175942094433902
"125","2018-06-04",0.188272397180692
"126","2018-06-05",0.190430652740975
"127","2018-06-06",0.170414700035261
"128","2018-06-07",0.181726299952589
"129","2018-06-08",0.172009365470069
"130","2018-06-09",0.15251983381591
"131","2018-06-10",0.163504188674037
"132","2018-06-11",0.152592843392291
"133","2018-06-12",0.144418819436135
"134","2018-06-13",0.139256698339419
"135","2018-06-14",0.139908846129627
"136","2018-06-15",0.132923936656007
"137","2018-06-16",0.13559720713098
"138","2018-06-17",0.130207771235182
"139","2018-06-18",0.124245884273537
"140","2018-06-19",0.122226722049944
"141","2018-06-20",0.133326276235983
"142","2018-06-21",0.12497755920982
"143","2018-06-22",0.14373458625049
"144","2018-06-23",0.13557819802836
"145","2018-06-24",0.140765578244463
"146","2018-06-25",0.150286968407178
"147","2018-06-26",0.164417126259339
"148","2018-06-27",0.168834651230061
"149","2018-06-28",0.16713402243188
"150","2018-06-29",0.149918543893288
"151","2018-06-30",0.153922516683385
"152","2018-07-01",0.160121603157695
"153","2018-07-02",0.162615570622637
"154","2018-07-03",0.150463681189611
