"","Bank rate","Target rate","BAR 1-month","BAR 2-month","BAR 3-month","TrB1-month","TrB1-year","TrB2-month","TrB3-month","TrB6-month","GCBBY 10 year","GCBBY 2 year","GCBBY 3 year","GCBBY 5 year","GCBBY 7 year","GCBBY long term","GCMB 1 to 3 years","GCMB 3 to 5 years","GCMB 5 to 10 years","GCMB over 10 years"
"2018-02-21",0.0367044814880764,0.0367796247787046,0.0210607628749828,0.0248315621359974,0.021172698653928,0.0463454256581943,0.0167782509794384,0.0687834489334501,0.0173452050919045,0.0158632304776404,0.10704299759739,0.0325074733148462,0.0741331212586676,0.101355248219455,0.112430552208231,0.0246296067913531,0.0228012014088074,0.0877673757899639,0.102543808415943,0.0291239239230257
"2018-02-22",0.0417725169273763,0.0396113852475131,0.0155027296586855,0.0226690484986504,0.0224303359090004,0.0501749330531789,0.0137289419100336,0.0575489800530456,0.0162473255390726,0.015254636629851,0.106601558690982,0.0302362031479806,0.0784986530228142,0.10460421354467,0.118918346595398,0.024292240314411,0.0241877096361877,0.0891664587435377,0.098876462812933,0.0296773200646785
"2018-02-23",0.0349333698237425,0.034564247964231,0.0131645420622116,0.019872094752801,0.0174378733470345,0.0511464273445842,0.0110409121710731,0.0517532813226773,0.0131519965892072,0.0126522226616924,0.11909794782291,0.0317973922248644,0.094853731777888,0.0994846078219297,0.120466552363983,0.027033763041178,0.0227517857820756,0.0871655409057776,0.106734151586223,0.0308975586339157
"2018-02-24",0.0378281666001941,0.0412416352817052,0.0111621474698316,0.0164487059638785,0.0157847977520912,0.0481953907745041,0.00827439364848497,0.0458983758484763,0.0117923349667641,0.0102918116661844,0.121166852978504,0.0293817574566722,0.0865373777125896,0.105789798103289,0.125401955073492,0.0304950062708037,0.0229944148309942,0.082949980965858,0.113284629883526,0.0350804667521563
"2018-02-25",0.0341185796720311,0.0355527475331584,0.0121503074437748,0.0164659288754396,0.0172842339523746,0.0485988139675187,0.00975199258304017,0.045685917794402,0.0117981736376654,0.0100301507719353,0.119800472987117,0.029998171564673,0.0902182422096437,0.10216038017978,0.125433314607104,0.0327162009119587,0.0281234692243465,0.0835736953610311,0.109836878323164,0.0367023283998423
"2018-02-26",0.03204595607715,0.0313122772308404,0.0116222337942459,0.0151518727799984,0.0135352332686521,0.0523625727893484,0.0107361147258248,0.0422463547278324,0.0124513185167665,0.010449172292741,0.120603462551961,0.0322710944857174,0.0951903134574188,0.0922172644966067,0.122598523269531,0.0371162957275089,0.0283390464928958,0.092222416461513,0.109786050122738,0.0377424267307093
"2018-02-27",0.0326369266652432,0.031671322373622,0.0119659151340406,0.0138179002132883,0.0156001140279416,0.0417021184575975,0.011202331423289,0.0375045205392498,0.0137890242895317,0.0131669985165008,0.116752876335297,0.035359698472482,0.0821856719301274,0.0944186921039532,0.123340287073315,0.0363512611016713,0.0372650271525422,0.0935230748052279,0.114223042441507,0.0435231969435722
"2018-02-28",0.0254915568181463,0.0288878343420053,0.0125057461807288,0.0145980435918565,0.0158959298012154,0.0317875950685529,0.0114766724072765,0.0410675188720079,0.0142912410748286,0.0135994542574469,0.12237132183907,0.0405440859468694,0.0866777060122154,0.0918419281587245,0.124220601759497,0.0396441814650905,0.047476150277642,0.0791229621908295,0.113462946681211,0.0450365232547866
"2018-03-01",0.0207323138105144,0.0207319523227469,0.0123314854790686,0.014814920103992,0.0164303889305037,0.0286405791016369,0.0120712627455023,0.0280083204073712,0.015879766270378,0.0137309381549858,0.115564061439648,0.047145622852527,0.0901973156115259,0.0908266698531572,0.12371500057414,0.0442774069194979,0.0524596749194727,0.0779292712331303,0.12217501888206,0.0523380303881407
"2018-03-02",0.0166825370337723,0.0172842634042955,0.0115023322230059,0.0142819810077362,0.0158509234189307,0.0212990471039141,0.0144414366571402,0.0273311699771988,0.0181009934929595,0.0164010695084162,0.123589767168447,0.0541980376527425,0.0935969086484278,0.0828412352343571,0.120829523654079,0.0466325370892961,0.0536437819465763,0.0729973643251426,0.123452590041383,0.0550425004121791
"2018-03-03",0.0161680434000854,0.0141489419612446,0.0130244328385037,0.016654520282077,0.0201733812274856,0.0165078692486109,0.0181813511629237,0.022913612087725,0.0225853994293133,0.0204106302905827,0.117467942445794,0.0499959410547947,0.0921139884798469,0.0842192278020005,0.118525060038883,0.048844382585123,0.0522549039475707,0.0759279425586775,0.124301453441297,0.0555809757174611
"2018-03-04",0.0117708485433325,0.0106435782125151,0.0153934687803438,0.0190856406036999,0.0204426638976137,0.0187933182729471,0.0187475144413054,0.0194698617507414,0.0218352439543461,0.0221859487308129,0.121940930469974,0.0522175625916799,0.0862922963449561,0.0871585243791329,0.120193355578698,0.0481199634719132,0.051828443236505,0.0724376535249878,0.118605907380178,0.0628372758343164
"2018-03-05",0.0078837180179978,0.00927774788156613,0.0165987177421171,0.0212552819579107,0.0221159592966599,0.0117133657909293,0.0180746600395176,0.019363570194502,0.0249095566833525,0.0262144907672611,0.115193365105853,0.0543539266289618,0.0871082074514772,0.0838126837207744,0.118846334296367,0.0496990909814976,0.0542119435616089,0.0813589708852998,0.120312419426774,0.0576959895695726
"2018-03-06",0.00662058260246278,0.00641806068763276,0.0202315726164284,0.0239821637728965,0.0239995094516014,0.00950313149502466,0.0214339708784778,0.0130526112996656,0.0258306160333681,0.0294433908998036,0.118866202439738,0.0572979983048523,0.0853712059634215,0.0880338928305468,0.118858277666905,0.0533444503777228,0.0474912169460644,0.0708456486588015,0.114991078170905,0.064384418903681
