"","Tick_2000-11-21_To_2018-02-09","Membership_2000-11-21_To_2018-02-09"
"258","B2B.BE",6
"259","SRT.DU",6
"260","M3C.MU",6
"261","JSL.SG",6
"262","HHFA.MU",6
"263","CP2.BE",6
"264","WMC.BE",6
"265","MF6.BE",6
"266","BSR.SG",6
"267","BLZ.BE",6
"268","OMV.SG",6
"269","EMGA.BE",6
"270","9BM.BE",6
"271","UNC.BE",6
"272","IX1.SG",6
"273","BABB.MU",6
"274","ERCA.HM",6
"275","B1Z.SG",6
"276","MZ8.BE",6
"277","F5U.SG",6
"278","CMAB.DU",6
"279","PUG.BE",6
"280","HI7.BE",6
"281","IOC.SG",6
"282","KBIA.MU",6
"283","AF5.SG",6
"284","SCT.MU",6
"285","APM.MU",6
"286","AGX.HM",7
"287","NNND.BE",7
"288","HVP.SG",7
"289","HU7.BE",7
"290","CNO.MU",7
"291","XCI.DU",7
"292","SHK.SG",7
"293","ADS.DE",8
"294","DTE.DE",8
"295","SAP.DE",8
"296","IFX.DE",8
"297","FRE.DE",8
"298","VNA.DE",8
"299","HEN3.DE",8
"300","BEI.DE",8
"301","EB2.BE",8
"302","SNW.SG",8
"303","NEM.MU",8
"304","DEQ.HM",8
"305","SWN.MU",8
"306","AWM.BE",8
"307","CTP2.HM",8
"308","INL.SG",8
"309","IBM.SG",8
"310","NBFB.SG",8
"311","WI4.BE",8
"312","AIL.HM",8
"313","COP.DU",8
"314","XS4.BE",8
"315","DOD.SG",8
"316","NTZ.BE",8
"317","KAO.SG",8
"318","4BW.BE",8
"319","75C.SG",8
"320","ANL.DU",8
"321","R6C3.MU",8
"322","EW1.DU",8
"323","AIL.MU",8
"324","E4U.SG",8
"325","MSN.DU",8
"326","DC6.DU",8
"327","NEM.BE",8
"328","KIK.MU",8
"329","FREA.SG",8
"330","IFXA.BE",8
"331","OFP.BE",8
"332","NTP.BE",8
"333","DTEA.BE",8
"334","7A2.SG",8
"335","CHL.SG",8
"336","PIT.BE",9
"337","NAPN.SG",9
"338","DAIC.SG",9
"339","NR4.MU",9
"340","OXGP.SG",9
"341","BEZ.SG",9
"342","ZPFK.MU",9
"343","WL6.MU",9
"344","NVPB.MU",9
"345","LCM.BE",9
"346","KEQ.BE",9
"347","TZ8.BE",9
"348","4CU.SG",9
"349","VWS.SG",9
"350","CON.DE",10
"351","BAS.DE",10
"352","ALV.DE",10
"353","BAYN.DE",10
"354","DAI.DE",10
"355","HEI.DE",10
"356","BMW.DE",10
"357","SIE.DE",10
"358","DB1.DE",10
"359","^GDAXI",10
"360","AA9.DU",10
"361","A4W.SG",10
"362","DSN.DU",10
"363","TTU.MU",10
"364","PAH3.HA",10
"365","DIO.SG",10
"366","B3Y1.BE",10
"367","KPO.DU",10
"368","REW.SG",10
"369","SIE.HM",10
"370","AXA.DU",10
"371","SDF.BE",10
"372","01T.DU",10
"373","TUP.BE",10
"374","KPN.HM",10
"375","SGE.HM",10
"376","QAN.SG",10
"377","TO91.BE",10
"378","SGE.SG",10
"379","DEVL.MU",10
"380","BNR.DE",10
"381","S7MB.DU",10
"382","GMM.HM",10
"383","VNX.MU",10
"384","MSPA.SG",10
"385","ADI1.BE",10
"386","4AJ.SG",10
"387","TPO.BE",10
"388","KAJ.BE",10
"389","3LN.BE",10
"390","ZYA.SG",10
"391","HMSB.SG",10
"392","PORTFO",10
"393","ESHB.MU",11
"394","TTR1.DU",11
"395","CTO.DU",11
"396","ADV.HM",11
"397","BDT.MU",11
"398","DR0.SG",11
"399","WOO.BE",11
"400","WOO.MU",11
"401","XM8.SG",11
"402","AY7A.BE",11
"403","DRW8.DU",11
"404","CR8.MU",12
"405","ME7.BE",12
"406","M9E.BE",12
"407","VEE.BE",12
"408","IIN.MU",12
"409","OBK.SG",12
"410","CR8.SG",12
"411","OHB.HM",13
"412","FIE.BE",13
"413","OHB.MU",13
"414","4EM.BE",14
"415","THAF.MU",14
"416","JASN.BE",14
"417","EL8.BE",14
"418","MOR.DU",14
