"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","COUNTRY"
"UZS",0.00509,2,0.996,0.9984,0.9992,0.99972,0.9999,1.00051,1.00148,1.0033,1.00656,"Uzbekistan Sum"
"ZAR",0.00658,2,0.98954,0.99478,0.99641,0.99904,0.99974,1.0037,1.00565,1.00901,1.01444,"Rand"
"ANG",0.02398,3,0.99626,0.99884,0.99937,0.99977,0.99989,1.0004,1.00137,1.00336,1.00643,"Netherlands Antillian Guilder"
"BZD",0.02749,3,0.99594,0.99882,0.99944,0.99985,0.9999,1.00046,1.00122,1.00271,1.00605,"Belize Dollar"
"BBD",0.03277,3,0.99609,0.99878,0.99939,0.9998,0.99992,1.00046,1.00123,1.00252,1.00591,"Barbados Dollar"
"CUP",0.02944,3,0.99629,0.99877,0.99938,0.99982,1,1.00048,1.00118,1.00265,1.00622,"Cuban Peso Peso Convertible"
"CRC",0.01833,3,0.99603,0.99822,0.99923,0.99984,1,1.00055,1.00127,1.00305,1.00665,"Costa Rican Colon"
"GHS",0.00483,3,0.99274,0.99769,0.9989,1,1.00011,1.00138,1.00304,1.00578,1.01081,"Cedi"
"GTQ",0.0246,3,0.99628,0.99882,0.99939,0.99988,1.00003,1.00062,1.00148,1.00282,1.00641,"Quetzal"
"GYD",0.00579,3,0.99402,0.99731,0.99864,0.9995,0.9999,1.00151,1.00241,1.00501,1.00926,"Guyana Dollar"
"HTG",0.00503,3,0.9942,0.99724,0.99837,0.99927,0.9996,1.00104,1.00291,1.00568,1.01175,"Gourde US Dollar"
"JMD",0.00856,3,0.99445,0.9973,0.99865,0.99976,1,1.00129,1.00284,1.00481,1.00879,"Jamaican Dollar"
"KZT",0.00666,3,0.99291,0.99734,0.99894,0.99966,1.00033,1.00186,1.00312,1.0053,1.00902,"Tenge"
"KYD",0.03411,3,0.99626,0.99885,0.99947,0.99985,0.99989,1.00042,1.00108,1.00264,1.00599,"Cayman Islands Dollar"
"MOP",0.0309,3,0.99633,0.9988,0.99944,0.99991,1.00004,1.00042,1.00113,1.00264,1.00586,"Pataca"
"MMK",0.00691,3,0.99342,0.99765,0.99901,0.9997,1,1.00129,1.0025,1.00441,1.00814,"Kyat"
"MDL",0.01018,3,0.99444,0.9976,0.99856,0.99927,0.99953,1.00105,1.00222,1.00342,1.0067,"Moldovan Leu"
