"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","COUNTRY"
"CUP",0.02543,3,-0.00321,-9e-04,-0.00056,-0.00014,0,0.00049,0.00104,0.00228,0.00582,"Cuban Peso Peso Convertible"
"CRC",0.01882,3,-0.00377,-0.00135,-0.00061,-0.00016,2e-05,0.00052,0.00105,0.00273,0.0059,"Costa Rican Colon"
"GHS",0.0044,3,-0.00705,-0.00224,-0.00087,0,0.00011,0.00136,0.00276,0.00511,0.01053,"Cedi"
"GTQ",0.02414,3,-0.00335,-0.00088,-0.00039,-7e-05,8e-05,6e-04,0.00134,0.00257,0.00597,"Quetzal"
"GYD",0.00723,3,-0.00489,-0.00255,-0.00129,-0.00049,-0.00015,0.00127,0.00225,0.00482,0.00892,"Guyana Dollar"
"HTG",0.00617,3,-0.00501,-0.00276,-0.00165,-0.00076,-0.00042,0.00096,0.00267,0.00547,0.011,"Gourde US Dollar"
"JMD",0.00712,3,-0.00512,-0.00235,-0.00122,0,5e-05,0.00135,0.00284,0.0046,0.00889,"Jamaican Dollar"
"KYD",0.02955,3,-0.00338,-0.00087,-0.00038,-0.00012,-1e-05,0.00037,8e-04,0.00226,0.00568,"Cayman Islands Dollar"
"MOP",0.02893,3,-0.00341,-0.00088,-0.00031,-3e-05,5e-05,0.00039,0.00082,0.00242,0.0055,"Pataca"
"MMK",0.00747,3,-0.00546,-0.00191,-0.00078,-0.00015,0.00023,0.00143,0.0025,0.00416,0.0076,"Kyat"
"MDL",0.01048,3,-0.00437,-0.00202,-0.00114,-0.00067,-0.00031,8e-04,0.00175,0.00331,0.00605,"Moldovan Leu"
"NPR",0.01037,3,-0.00447,-0.00206,-0.00092,-0.00018,2e-04,0.0017,0.00284,0.00387,0.00674,"Nepalese Rupee"
"PYG",0.01214,3,-0.00391,-0.00196,-0.00127,-0.00031,7e-05,0.00135,0.00198,0.00325,0.00682,"Guarani"
"PAB",0.02604,3,-0.00337,-0.00087,-0.00041,-0.00016,0,0.00041,0.00095,0.00222,0.00565,"Balboa US Dollar"
"SHP",0.00395,3,-0.00801,-0.00437,-0.00226,-0.00018,0.00025,0.00266,0.00453,0.00723,0.01055,"Saint Helena Pound"
"SVC",0.03121,3,-0.00336,-0.00082,-0.00037,-0.00013,0,0.00039,0.00085,0.00222,0.00565,"El Salvador Colon US Dollar"
"UAH",0.00889,3,-0.00472,-0.00157,-2e-04,0,1e-05,0.00133,0.0028,0.00418,0.00831,"Hryvnia"
"UGX",0.0122,3,-0.00467,-0.00125,-0.00068,-1e-04,0.00035,0.00121,0.00206,0.00357,0.00655,"Uganda Shilling"
"BGN",0.01899,4,-0.00545,-0.00332,-0.00231,-0.00074,-0.00024,0.00216,0.00333,0.00549,0.00822,"Bulgarian Lev"
"CVE",0.0115,4,-0.00507,-0.00275,-0.00158,-0.00048,0,0.00188,0.00308,0.00448,0.00676,"Cape Verde Escudo"
"CZK",0.02203,4,-0.00653,-0.00344,-0.00195,-0.00076,-2e-04,0.00163,0.00322,0.00577,0.00836,"Czech Koruna"
"CHF",0.00796,4,-0.00512,-0.00252,-0.00132,-5e-05,0.00042,0.00164,0.00263,0.00391,0.00664,"Swiss Franc"
"HRK",0.02114,4,-0.00525,-0.00285,-0.00186,-0.00047,0.00016,0.00164,0.00254,0.00471,0.00839,"Croatian Kuna"
"DKK",0.02777,4,-0.00493,-0.00285,-0.0017,-0.00052,-5e-05,0.00174,0.00287,0.00488,0.00728,"Danish Krone"
"DZD",0.00603,4,-0.00209,-0.00094,-0.00051,-0.00018,0.00014,0.00095,0.00148,0.00236,0.00411,"Algerian Dinar"
"EUR",0.02806,4,-0.00493,-0.00287,-0.00152,-0.00055,-6e-05,0.00174,0.00287,0.0048,0.00745,"Euro"
"GBP",0.00538,4,-0.00592,-0.00275,-0.00155,-0.00061,-0.00014,0.00163,0.00317,0.00479,0.00828,"Pound Sterling"
"HUF",0.01998,4,-0.0067,-0.00336,-0.0016,-0.00053,0.00016,0.00259,0.00425,0.00602,0.00899,"Forint"
