"","Bank rate","BAR 1-month","BAR 2-month","BAR 3-month","GCBBY 10 year","GCBBY 2 year","GCBBY 3 year","GCBBY 5 year","GCBBY 7 year","GCBBY long term","GCMB 1 to 3 years","GCMB 3 to 5 years","GCMB 5 to 10 years","GCMB over 10 years","Operating band, high","Operating band, low","Overnight money market financing","PCPR 1-month","PCPR 2-month","PCPR 3-month","RRBBYLT","Target rate","TrB1-month","TrB1-year","TrB2-month","TrB3-month","TrB6-month"
"2017-11-02",0.00142097187076497,0.00612131447125088,0.00469831421167579,0.00605092391371574,0.0262325042978812,0.0479737548044845,0.0792917228102626,0.0615107959607632,0.0616454907475145,0.0555188963638482,0.0790510790225031,0.0777041210810177,0.0561113283495845,0.0489013777001881,0.0013679443468133,0.103601255508668,0.107393920194043,0.0112483595969641,0.0100714072850525,0.0101363372944151,0.00168186391569554,0.00130056300370021,0.00121052552720771,0.0233494421767188,0.000980038307796304,0.108123379534087,0.00730236770338332
"2017-11-03",0.00131665548387085,0.00605818881240356,0.00402632770258972,0.00659470022692118,0.0316425596216159,0.0437694076482574,0.079620284133976,0.0635286356780404,0.0657541524067465,0.0548485689359984,0.0650341649304113,0.0812285314400923,0.053868759884722,0.0517995108571919,0.00153762634880763,0.105539788849442,0.109593148717712,0.0106457234494514,0.0079792952376313,0.0114727477745129,0.00133841917873025,0.00128348084729765,0.00134562778757395,0.0224924619397228,0.00120300733183015,0.106176694772365,0.0103015300020855
"2017-11-04",0.0012837146652466,0.00582210522077829,0.0042783288422082,0.00506604649046034,0.0425363138777905,0.0476531040029531,0.0811245214468786,0.0612330383958773,0.0621006644128078,0.0546008887819223,0.0667090449731401,0.0761632176292624,0.061046566923122,0.0476498172542747,0.00153621662669719,0.103888472859775,0.106852294145647,0.00984931684550103,0.0080436755034068,0.0107121200744804,0.00129049371727704,0.0012377694168249,0.00102340504958885,0.0244694525829635,0.00128745904023014,0.103968110403669,0.0085738408172165
"2017-11-05",0.00129564912200666,0.00551261066734208,0.00448711211275288,0.0043148144408053,0.0535403553458251,0.0514938151616023,0.0790032654916226,0.0635325156431739,0.0593269592118865,0.0533897771754394,0.0768408227615121,0.0796522060850436,0.0609179326048457,0.0485971997846172,0.00112736665441306,0.0992825531809726,0.0986351261602315,0.00890092812446666,0.00706476501958139,0.00904862624982617,0.00114536795207001,0.00108726135848468,0.00116107520893873,0.0242249253041404,0.00131270413412008,0.0955825246700393,0.00952174037424014
"2017-11-06",0.00126101077529635,0.00535588422914395,0.00360615877849036,0.00458279548523705,0.0600778355095828,0.0523776700619797,0.0816541872678468,0.056731402080908,0.0650484062373626,0.0473667464024354,0.0820985694759616,0.0712589821599063,0.0526636079865389,0.0483992421759233,0.00137202609525433,0.094166919265382,0.100715473397343,0.00835909696531193,0.00743629805270735,0.00977741795719794,0.00104602520945213,0.00124102887333711,0.00131741149237064,0.0300751000222745,0.00132240078374612,0.0990446149506481,0.0116436883083623
"2017-11-07",0.00134812240989758,0.00467695107005527,0.00289198221392204,0.00505960224489524,0.0745583093767107,0.0560616152989483,0.0742743710972986,0.0564972814119087,0.0585680470326129,0.0482824928500862,0.0805800765643286,0.0790782454292777,0.0493316343637231,0.0465868698675172,0.00160513987369317,0.0980594504022145,0.098938565965548,0.00722538028593025,0.00869118524028134,0.00802568495345619,0.00110116319658861,0.00145857895141534,0.00148713654715425,0.0305328745010446,0.001306644286425,0.0928094528056983,0.0109631417593685
"2017-11-08",0.00116716351306908,0.00586366594398574,0.00292601408567786,0.00416332506287025,0.0849933903466069,0.0601029880983317,0.0721319324851824,0.065920829041047,0.057281220957622,0.046390804919934,0.0731824890889265,0.0747129697903634,0.0485401401800527,0.0453896695448313,0.00132463726517339,0.0940768341513775,0.100309516805071,0.00665907357133335,0.00718331444345443,0.00709200393813981,0.000926946498089047,0.0011353649213919,0.00128854787512371,0.0317797290293661,0.00141637548889694,0.0925970949286815,0.0114439580254002
"2017-11-09",0.00102313059305511,0.00495432445425658,0.00380038606350643,0.00368595639611006,0.0845904779706701,0.0600020646946083,0.0765319414938115,0.053710416901845,0.0629380746760308,0.0449601360559564,0.0747885457256499,0.0762643784420909,0.0473015086066666,0.0439835274817117,0.00116498923760293,0.0982369071435735,0.0952809076458416,0.00610895743497098,0.00703945628629928,0.00621325374666484,0.00100182847488996,0.0010180733740284,0.00106974360189471,0.037166396072772,0.000984544146889793,0.0962728991325369,0.00990717414606574
"2017-11-10",0.0010489823109874,0.00632708553675779,0.00359423985304331,0.00394668043167808,0.0862407106455965,0.0717067852248101,0.0866064436321872,0.0515533665756632,0.0527388167862513,0.0431379093699685,0.0824238129249553,0.0710211089140796,0.0435898205387412,0.0383778249329142,0.0010027223512316,0.0938098124728973,0.096802111428493,0.00666253317003152,0.00678545550585245,0.00679716522124085,0.00110117266755544,0.0012488077948669,0.00127412276536152,0.0374989186224751,0.00143463315165389,0.0929774582680406,0.0102914989026658
"2017-11-11",0.00118616537428032,0.00688579389190736,0.00452846772698258,0.00501034015543726,0.0856944707718846,0.0678748103843543,0.0867344116889463,0.0569096708664296,0.0519764555248405,0.0374349546764954,0.0755303845973815,0.0812936273986327,0.0370376426717074,0.0356121125925416,0.00109397991838392,0.0953680687966712,0.0973522931598127,0.00673476226730614,0.00626690963335455,0.00652192649383593,0.00189925036474942,0.00104198411308296,0.00199168242345534,0.0384790852493434,0.00157955495333315,0.0921346533911273,0.0158265409137223
