"","^FTSE","AHT.L","CCL.L","VOD.L","CCH.L","SSE.L","PPB.L","NMC.L","TUI.L","RR.L","RTO.L","EXPN.L","ANTO.L","SN.L","PRU.L","NG.L","DLG.L","CNA.L","CPG.L","RMV.L","SMT.L","SHP.L","WG.L","RB.L","SDR.L","SMIN.L","STJ.L","EZJ.L","GVC.L","BATS.L","LSE.L"
"2017-11-13",0.0588320867268373,0.0286542590560903,0.0236825597230484,0.0305855904079892,0.0310303328758197,0.0375934900968971,0.026245929991643,0.0267496921443904,0.0359695724397559,0.0430798022449243,0.0311533064070508,0.0344259221480866,0.0317473759743552,0.0355386462296052,0.0241138026482862,0.0363771010724647,0.0232997664826802,0.0318454708098406,0.0482503443183686,0.0312023624195649,0.0245349445540251,0.0227062341736365,0.020969824349165,0.0329597043679688,0.0498717937365652,0.0244238935300451,0.0313018414092684,0.0213209246772076,0.0327132403146831,0.0287379859680715,0.040082198701665
"2017-11-14",0.0526207334896158,0.0276535484998009,0.0217752994036702,0.0291061158000374,0.0307789987207552,0.0367039523588163,0.0247104354021345,0.0282611435991465,0.0378084291501624,0.0436105434246094,0.0327337502465286,0.0388715477403115,0.0291450492794634,0.0355489187369011,0.0247172089205788,0.0348211722791433,0.0257861879805137,0.0297237627078892,0.0480558458041558,0.0326153050835227,0.0262474970270257,0.0217568435953744,0.0237853817330164,0.0316295963354934,0.0493773853300051,0.0257122299852843,0.0315300993867988,0.0203235685675613,0.033348367047182,0.0290325902842017,0.0422084920803002
"2017-11-15",0.0540280750364601,0.0299485498858211,0.0211878389774573,0.0286456588910403,0.0305189701013706,0.0367099827893218,0.0252185247035656,0.0286693794396306,0.0391013373486484,0.0450499422182543,0.0338036535149345,0.0398484717594403,0.0283967880006585,0.0366910670638321,0.0238190619235,0.0336118129211442,0.0241013363874786,0.0308689462694277,0.0498043040421363,0.0339399963974657,0.0251019618685907,0.0226281978520478,0.0223382379047753,0.0325001825307237,0.0476108435036922,0.0245674437483182,0.0318388805349724,0.0204337773816686,0.033369317764541,0.0285843753738514,0.0370630838652306
"2017-11-16",0.0502707914057186,0.0314312285180522,0.0220388874545004,0.0251174593726134,0.0286711442475319,0.0378269163155637,0.0289116128257288,0.0252582035036512,0.0391142585748691,0.0402628826355738,0.0305875694508065,0.0408657844821379,0.0275173137253033,0.0360312648616341,0.0271113756771616,0.0326673174827676,0.023958401679756,0.0284121165591819,0.0490587026923649,0.0377019756639796,0.0301572565536031,0.0249309556594397,0.0226495758259779,0.0303748491841992,0.0508386226961586,0.0257115498895324,0.0299895908225446,0.0229994169054314,0.0344815945572058,0.0282919996003499,0.0367593811766607
"2017-11-17",0.0496356485029035,0.0318933970541065,0.0222927957947081,0.0259858025274071,0.0303801504536477,0.0392830623569305,0.0277050039060149,0.0261323708161757,0.0380200283345748,0.0399195270321732,0.031772943554763,0.0366138235771971,0.0288454095858632,0.0382794571321761,0.0282075297617568,0.0372201752490189,0.0248805227439961,0.0298404105668537,0.0479734451125926,0.0374582403385189,0.0269094601599707,0.0248796946110976,0.0208046478569021,0.0291575396472694,0.0484863041188798,0.0291633723907376,0.0318804428525817,0.023432671727908,0.0330551205579465,0.0272585269176415,0.0326324747576869
"2017-11-20",0.0500307984486751,0.0343981603531182,0.023366688293525,0.0260716388615069,0.0310873670628085,0.0385448359374347,0.0266547673626224,0.0256438488037553,0.0397834556773666,0.0383680478449142,0.030421999697482,0.0365132128293302,0.0299158256507469,0.0372881369062764,0.0279233137947294,0.0360623176211506,0.0245110474604607,0.0290874700200724,0.048260496467947,0.0385215698406732,0.0264112709075979,0.0233198528015559,0.0219647106582569,0.0281475583061907,0.0464454598197118,0.0323015912148309,0.0323640538358584,0.0234818716483023,0.034259932001321,0.0287695801243138,0.0300791197474647
"2017-11-21",0.0489080696326045,0.0364806353508024,0.0248759035951113,0.0255725996287498,0.0279829252558305,0.0372425719804878,0.0262354346816095,0.0289951913506928,0.0379992817215357,0.035551506398651,0.0301847948361553,0.0333503257523173,0.0282477342900114,0.0352438476919732,0.0343350408890965,0.0351822544521505,0.0231019716372997,0.0305128980536267,0.0435996217588152,0.0362937500821602,0.0284205767129347,0.0248058364999022,0.022136692317199,0.0297341150042444,0.0486872849377544,0.032513374372538,0.0300250125931413,0.0248495185179086,0.0335811216070015,0.034833979452889,0.0305161289448055
"2017-11-22",0.0502573340398176,0.0330284997313563,0.0253597412915704,0.0265374076270194,0.0287692122511985,0.0361272540085231,0.0288966708871127,0.0274804399410246,0.0383784932370173,0.0367926322151289,0.0308221798638466,0.0317290619877284,0.027357967538481,0.0356713343855532,0.0359957051242576,0.0349292274118215,0.0236913675985829,0.029842204978766,0.0427507352855305,0.0346767201913783,0.0290014689998359,0.0261910109403364,0.0234275433686772,0.0272774001369656,0.0450562997121183,0.0315030082299619,0.0315061158711498,0.0247669390290786,0.0333813007603636,0.0365575662200879,0.0322371571357103
"2017-11-23",0.0488514759248711,0.0302678041813121,0.025185676478077,0.0291343887673265,0.02762794191358,0.0339627203610838,0.0281539728618509,0.0297384223587861,0.0400171518839256,0.0349544887487709,0.0283602768820917,0.0324045595323101,0.0276341510171662,0.036105023660627,0.0352154829029003,0.0396817962692019,0.0233405018882456,0.0314865952413505,0.0436941105448691,0.0340269874353458,0.0280306233034378,0.0260399843839542,0.023963656942033,0.0267922299904911,0.0457755211200519,0.0293961200377932,0.0307369296976608,0.0245600080037637,0.0343447098821568,0.0365532056756199,0.0339634821093454
"2017-11-24",0.047872073525056,0.0316401966288558,0.0239686013442481,0.0309096153970615,0.0264040363609061,0.0343137246454381,0.0306639577007125,0.0269497781947833,0.0342961532748305,0.0361338882821714,0.0294839345063281,0.0306522650318905,0.0275231893496953,0.0354639690839217,0.0382380197573531,0.0423158599299818,0.0232448243567077,0.0327237789384019,0.0430680995018919,0.0338964694691533,0.0292951820333897,0.0261010681542606,0.0251102301275446,0.027946417899667,0.042621128066138,0.0298530673342894,0.0310946525840791,0.0244967697260839,0.0378831652818311,0.0350669783805195,0.0307689051328084
