"","^BANK","^BKX","^GSPTSE","^GDAXI","^FCHI","^N100","^SSMI","^STOXX","^SPEUP","^CXKCX","^FTSE","^STOXX50E","^GSPC","^DJI","^IXIC","^NYA","^RUT","^RUA","^RUI","^XAX","^BFX","^N225","^HSI","^STI","^AXJO","^AORD","^BSESN","^JKSE","^KLSE","^NZ50","^KS11","^TWII","^BVSP","^MXX","^IPSA","^MERV","^NSEI","^SSEC","^ATX","^OSEAX","^OMXSPI","^XAU","^XMI","^OEX","^MID","^NBI","^NWX","^PSE","^DJU","^AEX","^KFX","^XU100","^SMSI","FTSEMIB.MI","BSE-500.BO","^IBEX","^DJT","^DJAT","000001.SS","^BUX","^OMX","MOEX.ME","^OMXC20","SDJ600.MI"
"2017-11-30",0.0137808049006082,0.0130354430537354,0.00882011250979502,0.0159117376292041,0.0194058745181152,0.0243095532140972,0.00869126512057033,0.0178807525408226,0.0156076587429447,0.0159996025139404,0.0091645304358735,0.015792381008184,0.0528121696408266,0.0310575641899416,0.0300413919866795,0.0305788161352402,0.022639386605389,0.0542196753061016,0.0530300431957055,0.00939766143120099,0.0189435679752091,0.00712741732357756,0.00702871239582859,0.00698859611962603,0.0102836787931025,0.0109587530291231,0.0146367399424822,0.00635160964653661,0.00696140988973843,0.00858796462177784,0.00744764578032135,0.00740661301398015,0.00765438093848212,0.00749801602461533,0.0108638530700457,0.00908352085737426,0.014744502596382,0.00806130359976509,0.00872351506917948,0.00795799060485913,0.0166000216480413,0.00941802983009274,0.0239105145193314,0.0442638953921367,0.0344545985714576,0.0116092271255592,0.00800220574625348,0.0283749286447689,0.00776766889445851,0.0159846855155474,0.00791796220513503,0.00803918291472288,0.0131330517720965,0.00636088525820446,0.014276626133799,0.013537492393027,0.0179097136663099,0.00977553320320282,0.00697626313070935,0.00996417911096673,0.0152568573087265,0.00703318776569203,0.0108135105570237,0.0091335627217548
"2017-12-01",0.0137979130428204,0.0125649394545754,0.00755879199929544,0.0153967490473338,0.0202517297775924,0.0259339340823311,0.00850473871589742,0.018102010205312,0.0155052475378906,0.0165700421401718,0.0100670546986099,0.0152675008858406,0.0481179632019839,0.0301856338151464,0.0282867095454937,0.0307980816734882,0.0249188345839819,0.0495313932004424,0.0474171482587698,0.0104023308811181,0.0195080726833364,0.00729208384251758,0.00706590770659529,0.00715902139950068,0.0103232296241838,0.0108061523294072,0.0144663075254897,0.00608810880531822,0.00717989978642945,0.00851640407878154,0.00726908213812347,0.0071555045785013,0.00761467691429752,0.00746175375362917,0.0108521972119075,0.00934831514619354,0.0151306250084194,0.00796320092808928,0.00893821139475315,0.00758078468318844,0.0174988334662343,0.00998399860288909,0.0232533066521478,0.0399667227748621,0.0408091005379435,0.0131658256689703,0.00807865043555372,0.0330915635516233,0.00754525203501642,0.0166784140759143,0.0080174936718203,0.00819544584594433,0.0147949195832439,0.00649450672804796,0.0139603807846102,0.0147175718223588,0.0195687354005701,0.00972126147934098,0.00693558211165839,0.00940341771277769,0.0158439936964556,0.00746672620834147,0.00859187222078226,0.00931813864613557
"2017-12-04",0.0155484085624827,0.0148531544286819,0.00745839838172046,0.0158699610767816,0.0198505631603971,0.0239911388239366,0.0084599620111284,0.0174359206326482,0.0137567489624047,0.0170345992828719,0.00923246807044356,0.0155090824724716,0.0467811185376758,0.0275153584097245,0.030444173392143,0.0285153805838809,0.0254448249896566,0.0474024232824367,0.0467288105696299,0.0102823694857812,0.0188517397392509,0.0075126031253746,0.0063096240799476,0.00718076014036015,0.0106088108475073,0.0115402306429211,0.0152342845148724,0.00603185189638401,0.00777392718425821,0.00803708258230044,0.00778832881530918,0.00782562409901713,0.00811037959512947,0.00775177313663073,0.0135315721059295,0.00883784340683226,0.0152213438078604,0.00757789555711481,0.00925137847395546,0.00825944123235633,0.0187107705886834,0.00987112138371822,0.0228257373797436,0.0357342333107587,0.0423223194642126,0.0127647585644143,0.0086738010255827,0.0344031267541314,0.00778466071911809,0.0160340257548208,0.0081779093744065,0.0082944702153942,0.0154296108120374,0.00644975068759392,0.0148648731712321,0.0150570724469105,0.0183677255916208,0.00968338150472162,0.00689372872343322,0.00970465788016843,0.0165963250422829,0.00757977166466594,0.0093551647058187,0.00906964313432101
"2017-12-05",0.01392320130636,0.0132566820012566,0.00761314737154138,0.01621287872218,0.0198280119307446,0.0233667339245992,0.00906573102391675,0.0169352640934053,0.0120957848462949,0.0159181275327895,0.00816474457032951,0.0158776493306478,0.0478730415947976,0.0279397809560791,0.0316020629876629,0.0315971270787741,0.0264501449337795,0.0503558595929963,0.04783318053576,0.0103919508475226,0.0191496031153604,0.00729098153507565,0.00689433122504413,0.007450576893959,0.00996541047061349,0.0107927903463599,0.014817364949306,0.00612968488592303,0.00744590877050025,0.00777728667570756,0.00795530314587999,0.00782881779339618,0.0082466075501194,0.0075910506775218,0.012315382053237,0.00811375722608874,0.0150737774043953,0.00726182187672532,0.00856228736219065,0.00793637309097557,0.0180519196716381,0.0102011956454305,0.0233953036045327,0.0375791728490823,0.0445030552692758,0.0128671191101611,0.00868631979912606,0.0340743374175679,0.00750531704310605,0.0164510408144281,0.00756128726157743,0.00753094420229447,0.0149912199380805,0.00636768506544391,0.0150703558107921,0.0146976210059159,0.0186655735507051,0.00949647912432494,0.00671592235703828,0.00947473370525464,0.017220945244154,0.00700992397800806,0.00814435708400841,0.00883794821823657
"2017-12-06",0.0141250824757913,0.0131033618922407,0.00792868351711957,0.016673887026034,0.0207668139698523,0.0249601568483958,0.00962227134068722,0.0168085218642033,0.0120424906067452,0.0159920262808115,0.00879591820335374,0.0161501644366067,0.0467684246192931,0.0273495121468576,0.0296566588781349,0.0322968479867011,0.0241031936028785,0.0482848911983962,0.0476477767574489,0.0100903404922529,0.0213267329009516,0.0078799443007954,0.00647754979124139,0.00720899892240391,0.0100322779001116,0.0107506555170036,0.014732739698435,0.00592695474024844,0.0076700060671944,0.00750161777831258,0.00805325788485514,0.00821176228442097,0.00814584117875563,0.0075856402686386,0.0113640670515148,0.00858772139494212,0.0150272226898882,0.00841768600596838,0.00823595935093264,0.00840315381713256,0.0192551587793412,0.0105133357515326,0.0230096669353022,0.0379361206721516,0.0432341394438598,0.0120659684246593,0.00820290760137698,0.0336646143399554,0.00807891003351751,0.0161455340989729,0.00720204028029873,0.00799038254077082,0.015575784140827,0.00679675357012795,0.0149309468696816,0.0158977212439585,0.0181133724719245,0.00998051057277674,0.00732625164165964,0.00922354513188305,0.0174867408483105,0.00701987160180727,0.00738834204170175,0.00825456727605108
"2017-12-07",0.014019504789136,0.0127032132852967,0.00793252148045441,0.0160191230250158,0.0217032527688205,0.0244750022604034,0.00948027759928492,0.0168568148910719,0.0119303025408162,0.0163071487333505,0.00880038869870977,0.015455985844157,0.0490104484204425,0.0281876205831695,0.0312894579403009,0.0331511668216311,0.023647796432815,0.0542656619918895,0.0516806467403587,0.00955953921266934,0.0210552787835493,0.00785562685435511,0.00782724124117186,0.00750537318784127,0.0103254616731317,0.0105478390489165,0.0138354688745048,0.00626367968736357,0.00860605060480322,0.00716061799398852,0.00768275603075067,0.00837973746763866,0.00865366791125338,0.00761383467261834,0.0116644548336262,0.00851126764893647,0.0145643712807348,0.00804216729060644,0.00886426725907208,0.00828073033865966,0.0180317863584683,0.0101570857994039,0.0233819636933806,0.0377148263728915,0.0371244908785968,0.0120160050730005,0.00838337364334737,0.0305618295375095,0.00818906695032024,0.015594184393777,0.0073706873331354,0.00777310893813939,0.0153535630993389,0.00672879048069923,0.0140274286070865,0.0153079643250449,0.0176571504144735,0.00972911593313455,0.00732595142333588,0.00909997162414332,0.0173876898754655,0.00692064143389615,0.00657272360434345,0.00787483346375153
"2017-12-08",0.012271592316774,0.0124900104489812,0.00895238156356134,0.0149281647860791,0.0223296373619413,0.0239263939655004,0.00870763352333029,0.0153937938159035,0.0109449649753631,0.0153310835573343,0.00905896622620777,0.0143632318464609,0.0554049939811206,0.0286020017288442,0.0285628766286245,0.0353499714231682,0.0217840842112093,0.0567637295706658,0.054851598936599,0.00900728426535204,0.0200442233431461,0.00745439246476109,0.00863031822809882,0.00744719395971078,0.0096332662589953,0.0100857098761312,0.0134820581297173,0.00651446884685908,0.00795795103392693,0.00722225201890007,0.00704622360544693,0.00822382736931215,0.00904420653821071,0.00726125604617293,0.0113854304953321,0.00880758698748104,0.0146434429252178,0.00746871768878753,0.00874414302925372,0.0077106432628861,0.0178791987281926,0.0108819381513967,0.0246285973145086,0.0403270708943487,0.0320522115968653,0.0117142380152979,0.00841038514700113,0.0339545523816024,0.00784345569021293,0.0159774843132945,0.00740908134910635,0.00756220146101373,0.0151306750109854,0.00683378537953321,0.0138072311583399,0.0151916150587078,0.018918655082085,0.00918544239002824,0.00719690735439933,0.00855063425517216,0.016771645478207,0.00747872177936782,0.00682333647001207,0.00763922829895268
"2017-12-11",0.0131539126876465,0.0130320181134015,0.00960635476276203,0.0137999584417636,0.0216479467646207,0.023432891518626,0.00916005241765132,0.0161060659516297,0.0108977926121708,0.0147953832582151,0.00892515978754337,0.0146758534448943,0.0542891311174636,0.0292816142821461,0.0302435335060011,0.0323084060925287,0.0218585381988766,0.054862937408247,0.0563989695229865,0.00940932846651745,0.0197159308882207,0.00728322911342432,0.00769528279175725,0.00714683811970072,0.0103699210746668,0.0110050495521358,0.0141375798877453,0.0069517984357692,0.00816087617750922,0.00743469410940916,0.00823850173028742,0.008443652599403,0.00937213596958761,0.00728124634791174,0.0107112843909691,0.00881105303020655,0.0147987022019585,0.00786634649834343,0.00883812793449764,0.00784389177120997,0.0180265328537947,0.0104167557605983,0.0261640706377193,0.0374053607853074,0.0305322844872881,0.010932207731917,0.00894639314289851,0.0341265660014919,0.00844050957574969,0.0157455834755444,0.00763989785596473,0.00738705072825576,0.0152654189867159,0.00686987930626847,0.0143009776563384,0.0147964620735961,0.0188889408735999,0.00951649886974736,0.00709395100289215,0.00861660257694708,0.0163469792110252,0.00788843271446237,0.00659353851026027,0.00806711420121188
"2017-12-12",0.0127105308280709,0.0119975492062722,0.00937279344311833,0.0148158148940335,0.0219511828720123,0.0244723050194213,0.00893297400386072,0.0152387929365963,0.00973603431369544,0.0152586430367266,0.00920008010202851,0.0141378900715003,0.05269559605182,0.0264152950705944,0.0320275158287011,0.0315384338959452,0.0214687561701346,0.0587711296750616,0.0555380551147462,0.00853934873966461,0.0210153920209449,0.00779616754451162,0.0078556172262029,0.0072555997533312,0.0105591389201864,0.0112309621141015,0.0148660794477855,0.00686875143502383,0.00865313625829018,0.00702677469796067,0.00862469150003283,0.00829770892131928,0.00843579603872645,0.00737407011808482,0.010550680351951,0.0083984121137205,0.0151993377075551,0.00753717144377387,0.010037518146831,0.00844247626431782,0.0187728849150103,0.0109569257085528,0.0227540206580115,0.037132419684767,0.0297196897465276,0.0115772814662985,0.00930766050688578,0.0341221673815832,0.00807481115816177,0.0164275149525042,0.00785693217696049,0.00750324959578043,0.0153303589935797,0.00678254118213645,0.0145094339193384,0.0155467432777356,0.0175877410131536,0.00875794114853187,0.00700719015817885,0.00795704254001589,0.0178061292205206,0.00785929755947724,0.00702429136801635,0.00878152836961695
"2017-12-13",0.0125631920832956,0.0117584168787277,0.00903224553389352,0.01632347213532,0.0212631076169675,0.0245178797891154,0.00929632010984445,0.0149148917891859,0.00947365952708827,0.014321425221812,0.0091809210470581,0.0140105664524206,0.0549994500491812,0.0253931382563627,0.0317635618274837,0.0324409004477256,0.0218946053246567,0.058048478550388,0.0568226071926098,0.00925030768821272,0.0202696854013083,0.00730658314004111,0.00841244295127545,0.00762245992721508,0.0108575149444978,0.0116664351085221,0.0148757586478138,0.00697109897763703,0.00905703509331605,0.00706209530156785,0.00877745176973481,0.00876222325824781,0.00841214034361753,0.00826357834136177,0.0107973184957601,0.00801457234719568,0.0155839952479127,0.00779438714284936,0.00915290045483452,0.00903261453287548,0.0186462364534918,0.0105834826905818,0.0204862012316579,0.0367821871278164,0.0286023549794764,0.00980869980309531,0.00914692866591978,0.0333766381142198,0.00809842942450197,0.01588277614606,0.00767473753742467,0.00755336872207059,0.0154448064395523,0.00740904840818737,0.0147020072121031,0.0153080758838943,0.0181809270314368,0.00854412128515239,0.00666438534803408,0.00801763975956625,0.0175358042656237,0.00827805279432938,0.00753336362569554,0.00977828810117437
