"","^BANK","^BKX","^GDAXI","^FCHI","^N100","^SSMI","^STOXX","^SPEUP","^CXKCX","^FTSE","^STOXX50E","IQQQ.F","C061.F","EXV5.F","LYYN.F","SC0P.F","18M3.F","C062.F","DXSF.F","S7XE.F","EXX1.F","EXV1.F","LYYP.F","SC0U.F","540B.F","LYPH.F","SPYP.F","CD91.F","C063.F","DXSC.F","IS0E.F","EXV6.F","LYYX.F","M9SD.F","SC0W.F","C064.F","EXV7.F","LYYY.F","SC00.F","C065.F","EXV8.F","LYYZ.F","SC01.F","18M4.F","LYPA.F","SPYR.F","18M5.F","LYPB.F","SPYC.F","AMEE.F","CEBP.F","IQQH.F","LYPC.F","LYM9.F","SPYN.F","C066.F","DX2D.F","IQQL.F","EXH2.F","LYPD.F","LYM4.F","LYMA.F","SPYZ.F","SC02.F","C067.F","DXSK.F","EXH3.F","LYYR.F","SC03.F","18M6.F","C068.F","DXSE.F","EXV4.F","LYPE.F","LYYS.F","SPYH.F","SC0T.F","C069.F","DXSL.F","EXH4.F","LYYT.F","SC0S.F","18M8.F","LYPF.F","SPYQ.F","DX2E.F","IQQI.F","IUS8.F","UIMY.F","UIMZ.F","C070.F","EXH5.F","LYYQ.F","SC0Y.F","C071.F","EXH6.F","LYYU.F","SC06.F","C072.F","DXSD.F","IS0D.F","EXH1.F","LYMB.F","SC0V.F","C073.F","EXH7.F","LYYV.F","SC04.F","C074.F","D5BK.F","IM2A.F","IQQ4.F","IQQ6.F","IQQ7.F","IQQP.F","EXI5.F","LYPL.F","LYPM.F","LYPP.F","SPYJ.F","C075.F","EXH8.F","LYYI.F","SC05.F","C076.F","DXSH.F","EXV3.F","EXS2.F","LYPG.F","LYYW.F","SPYK.F","SC0X.F","540C.F","C077.F","DXSG.F","EXX2.F","EXV2.F","LYPI.F","LYYK.F","SPYT.F","SC0Q.F"
"2017-10-19",0.00235929878842648,0.00237706503029839,0.0131176013558669,0.00221522839796228,0.0020892285302957,0.00255772306026258,0.00274178406636891,0.00229084494846744,0.00805868409561292,0.00166992934159448,0.00266610554830693,0.00492972527968397,0.00433075702724472,0.00433353450483464,0.00400014796608224,0.00375816149560526,0.0069382919405635,0.00722943038808022,0.00750360244144414,0.00354780315146251,0.00528103383492361,0.00690512219979436,0.00751805485715887,0.00390646332953914,0.00982170451064241,0.00888461055175704,0.0111874257821183,0.00232224487960589,0.00560724195980863,0.00340563880312004,0.00177134852012336,0.0057285250586094,0.00560419595152626,0.00239612161742021,0.00312836916971543,0.0108900111356674,0.0109796362959991,0.0107026313624535,0.00498070858363177,0.0141633481578977,0.0150534222657187,0.0150445035991029,0.00611271027778006,0.0150372448013144,0.00971794865604257,0.0147848779264157,0.00854691505452138,0.0061838844162886,0.00950618620063836,0.00468983099190328,0.0132646746411545,0.00333154696277707,0.00420257072662524,0.00604091307918116,0.00513670878726098,0.0113492845983039,0.00984903369612161,0.00477820332106525,0.0101705864911227,0.00644025837243361,0.00513561143054086,0.0106584985338412,0.0080133405049687,0.00459610136056826,0.00611289618150243,0.00682045924102837,0.00662750123402083,0.00663616023195559,0.00372954371609227,0.00608207182143726,0.00625732820858669,0.00356727985220476,0.00644054371602678,0.00508565616360837,0.00638741398096117,0.00651386026414119,0.00323857313154245,0.0243308541201035,0.0248124266815157,0.0237601479258947,0.025823566876137,0.00728494122390084,0.022266072966543,0.00994192994528183,0.0209321928094107,0.00492903942508486,0.0051275326088726,0.00409671645591691,0.00738981824603113,0.00757609935990825,0.00807004968920203,0.0047815682743802,0.00795201746720443,0.00487058059856919,0.00739658876827115,0.00644180703290993,0.0065126803174399,0.0041641913706416,0.00522701502357289,0.00361751642497507,0.00290424728194606,0.0049391775313301,0.00534115227477178,0.00376834269993972,0.00942152638136929,0.0083333823486655,0.00928481065838945,0.00413249853814837,0.00352399179774662,0.00346912402535521,0.0030720642523053,0.00239572538239969,0.00386937500099349,0.00297633946795119,0.00310036008066066,0.00356215221722654,0.00348696527099314,0.00322748302215918,0.00409830678053873,0.00370876529203094,0.0067087364009367,0.00605454377293002,0.0061206987371666,0.00235494347047757,0.0111147090963748,0.0106986200740897,0.0108051126712689,0.00687423151694707,0.00481447156010138,0.0103490245333764,0.0112964491826028,0.00549384274592992,0.00858024143984282,0.00826809324808994,0.00908518494006545,0.0059283479968513,0.00809048948325117,0.00389973290600279,0.00949179387369359,0.00923877081078104,0.00376728926375581
"2017-10-20",0.00233923753775253,0.00242414332978421,0.0121385117097021,0.00216648151762533,0.00206638636101649,0.00264315507619237,0.0028500104700299,0.00224161629031146,0.00821348078365328,0.00164936158189783,0.00272949644779373,0.00492204123091075,0.00409906604350125,0.00399087750389699,0.00410259406732437,0.00360931789239764,0.00733596517542962,0.00725008538110758,0.00795348327069569,0.00361398148246399,0.00536458240621343,0.00708381583199771,0.00762029282222812,0.00373315966323738,0.0105303147512903,0.0092742447742882,0.0115325109056536,0.00234552532893878,0.00585663606098113,0.00340094399757147,0.00177989037108878,0.0059410258360255,0.00590728485455144,0.00240835728142547,0.00314052821508896,0.0104041018929392,0.0106008639320238,0.0104564547555935,0.00510151985260797,0.0143785718069012,0.0158313008765272,0.0148639474934492,0.00620160869667312,0.0137738469082587,0.00939531547980681,0.0139538393203491,0.00867059997624387,0.00606205466637893,0.00947635337508893,0.00468997807067643,0.0136551256163066,0.0035129788915244,0.00400190166818377,0.00621530852855149,0.00507991443763398,0.0110357443893302,0.00999673795776226,0.00488553026996026,0.0102144123232991,0.00658688310722263,0.00548154505408625,0.0105566791182268,0.00798552141244341,0.00482217131177731,0.00654333564099502,0.00713382549303185,0.00655626285106661,0.00707517369854985,0.00359571456639267,0.0052237505872463,0.00566457795282833,0.00359248508450749,0.00617572697548189,0.00499400697036851,0.00602632233570761,0.00614261831264992,0.00327668832888479,0.0236112147023144,0.0262389512014178,0.0233927725791522,0.0252871285149997,0.00736847595217941,0.0217059323129096,0.00996985317760708,0.0214677748537896,0.00530865070919585,0.00502771164643483,0.0040781385066885,0.00750900852835802,0.00787788141059897,0.00804045183416805,0.00513762754971984,0.00792743493470568,0.00499682133959114,0.00731333292123884,0.00655353309441679,0.00652527797947208,0.00408774049369386,0.00517672403296199,0.00367579342251711,0.00291575800610626,0.00469415549323067,0.00510661081385175,0.00375648344770316,0.00903542307256762,0.0084220539222048,0.00915763153102081,0.00425092560222865,0.00377805704892148,0.003387041001926,0.00302318489067769,0.00235044914178708,0.00383172460846611,0.00298113708837121,0.00319928972143196,0.00336938880621085,0.00341261203684548,0.00329124288835923,0.0043036460345126,0.00374207456439147,0.00634009138376713,0.00582288551317566,0.00613722023796722,0.00228107137018522,0.0112777337493615,0.0108877451892827,0.0107431241728994,0.0068763508153064,0.00567079340244049,0.0108958273755937,0.0112547614589126,0.00522368270675279,0.00872012812320174,0.00863826902793189,0.00924467125243434,0.0061473039369478,0.00791703031796972,0.00390572166198104,0.00872925188948039,0.00907837815580882,0.00377113059804863
"2017-10-23",0.00240439115547559,0.0024371787860372,0.0126590094962117,0.0021463034988832,0.00209487055801972,0.00253633804321593,0.00278267906893919,0.00228631965688165,0.00840798855630878,0.00166698363608918,0.00275412967880142,0.00525346489703877,0.00414388610933696,0.00414192807656452,0.00409901970819809,0.00383146559648623,0.00751273650155389,0.00755200431240629,0.00786537891710712,0.00362971238163003,0.00564771661807611,0.00685003896468881,0.00776812151662338,0.00386653549721711,0.0108182020933078,0.00953543993703342,0.0113989899734025,0.00241897594482664,0.0057268372521157,0.00320056530340011,0.0017804497436174,0.00595061745864568,0.00604298579569689,0.00241249236938413,0.00306526996563889,0.0109543381523503,0.0111686991590557,0.0109925790534821,0.00490134713663271,0.0147325652390902,0.0155066605910139,0.0152742622780218,0.00622418199707353,0.0128220224819424,0.00910304943532404,0.0132115679814802,0.00930755505725443,0.00622123077607005,0.00998873130238453,0.004959046225913,0.0125974126759936,0.00336882611786673,0.0040821704177463,0.00581491271973214,0.0048697154066274,0.00958893136083771,0.00979474140889148,0.00500350608524836,0.0091099813797677,0.00675952681070354,0.00486048939162456,0.00981501267205643,0.00817177698442197,0.00497273270446388,0.00678861705845496,0.0072788132741302,0.00671770463759221,0.00715719313124207,0.00359093641886801,0.00566530287569961,0.00622206808899573,0.00357680451481802,0.00616061953294658,0.00504882862695071,0.0061864633725887,0.00620807318738616,0.00335604667015433,0.0242475610007127,0.0254731747732264,0.0232073184566186,0.0245330860701931,0.00744420824987646,0.0216523257145058,0.0103079837232663,0.0219664793073375,0.00532165662261717,0.00519255586128749,0.00410322259020905,0.00734408266882965,0.00756303525078299,0.00839579802220318,0.00503372832469182,0.00836647253130285,0.00517844559760708,0.00673003461356056,0.00619259162517124,0.00606627525816651,0.0040921346500933,0.00517170271662326,0.00385471255468516,0.00287764388962491,0.00500598922929317,0.00520636262413776,0.00407852662944919,0.00872354182387467,0.00770895215494083,0.00836508864943452,0.00410355433347398,0.0039418977748449,0.00361493986625889,0.003083090271253,0.00238407615369259,0.00387589270717076,0.00302180100939578,0.0031908934591939,0.00364764056349125,0.00357320373532654,0.00336155075167629,0.00434749007255711,0.0041324692745603,0.00584089304609711,0.00560730801174674,0.00601817074056237,0.00234073679645893,0.0106888856595084,0.0108203752076454,0.0105547957663277,0.00718423850480506,0.00540136898341508,0.0104630768410458,0.0103917497361586,0.00532333760616062,0.00924279463373739,0.00864595269960787,0.00922652733715966,0.00640263709262434,0.00819675650083806,0.00426880228868303,0.00976291869617991,0.00956815856675028,0.00354325266551126
"2017-10-24",0.00237221994946749,0.00244537224134624,0.0138752199268764,0.00213297064082339,0.00202332437775022,0.0025430007104221,0.00279985789300978,0.00224130270267267,0.0075667144549062,0.00165844099852447,0.00270744004433882,0.00501788944385545,0.00423758869087007,0.00430751369746463,0.00405586670118625,0.00376895051951324,0.00732612543923871,0.00706799149777061,0.00782762628360558,0.00348989880179873,0.00528091683197061,0.00713524377672454,0.00786319058138441,0.0037375086266794,0.0112177932833008,0.00988593057336377,0.0121617995929924,0.00242007917666577,0.00618985632314151,0.00315578239483054,0.00177710319994818,0.00597203460711533,0.00601492237610119,0.00245283895208683,0.00297995402943271,0.0106582658259695,0.0106092293683228,0.0105238735231679,0.00513822306438056,0.0147757630394057,0.017042531641613,0.015588491654349,0.00620003227395892,0.0133534475046904,0.00989786027153595,0.013651482054,0.00918181711612522,0.00656467032115446,0.0100772964373295,0.00484429642393656,0.0134339148879075,0.00345148827003281,0.00438595886939077,0.00616346571649183,0.00505823435362715,0.0101755497804626,0.0105194719403242,0.00535608440619004,0.00909152828290433,0.00725468973156962,0.00520205235577235,0.0101330221695899,0.0084248551257059,0.0047475761605377,0.00702371330688009,0.00762708888437836,0.00706733348249826,0.00728406785396774,0.0035375882281457,0.00525796015296131,0.00614192844779519,0.003442046026298,0.00626502956165624,0.00454327131176293,0.00650757370332112,0.00624276752600486,0.00331107288767226,0.0245232104133687,0.0266689411837092,0.0239146284172925,0.0255354864642024,0.00710993166322923,0.0220278628927933,0.0105437588672658,0.0212827442421763,0.00567559977725409,0.00504609642823413,0.00432276511167754,0.00737038191258205,0.00776509029124999,0.008689733785329,0.00509740887986114,0.00880602400945479,0.00492806011056675,0.0065573256409532,0.00614815924982655,0.00625557078917036,0.00400230552496536,0.00537060710677529,0.00372952067440182,0.00278140904585167,0.00506461336477453,0.00574975133990361,0.00380631777871499,0.00816565957723438,0.00714232508553626,0.00817237937734277,0.00408015712065777,0.00403362766486635,0.0036640526289374,0.00314132898791907,0.00234687685686193,0.00394454326096147,0.00275174223799894,0.00324864847891247,0.00352063884873833,0.00372970660288326,0.00344259323754188,0.00460494736841232,0.00418063798859976,0.00588164587955081,0.00552423172407657,0.00550214576622632,0.00229165318231711,0.0092273925598506,0.0093518663768415,0.00841095081836585,0.00716855838272713,0.00566080078089976,0.00864684433966053,0.00896028092934705,0.00520676779897248,0.00873852080730573,0.00841648287385139,0.00909361988540115,0.00593184567136659,0.00787632867716608,0.00414715371938882,0.00893207502830126,0.00910117935357537,0.0035196018708519
"2017-10-25",0.00230119351703015,0.0023671113266663,0.0143001595860726,0.00207248378785719,0.0020327854053589,0.00243259668757443,0.00275641473299905,0.00224393636581369,0.0078970564581734,0.00169625471320476,0.00266885224551977,0.00499256527119142,0.00409000091989359,0.00402899904555631,0.00394317530474621,0.00357650068517908,0.0073946620459229,0.00707989130616975,0.00751721170196042,0.0036282291315957,0.00517056415421662,0.00693621927862212,0.007858692437483,0.00390882841086803,0.0109747255261023,0.00955996180394609,0.0120106798557299,0.00232884572420978,0.00584575056970003,0.00326072090224346,0.00180639196840455,0.00618400727519542,0.00604283401255382,0.00234492126920548,0.0030039829207903,0.0110857724047769,0.0111234005027051,0.0107190312335253,0.00499100708041736,0.0142274021206205,0.0156489231742829,0.014543979252737,0.00621291453511783,0.0130529615458593,0.00993941812814255,0.0134899338038914,0.00912369939652681,0.00660662104375924,0.0104461679756274,0.00491175223869279,0.0134368143525551,0.00331828577546564,0.00453667127444749,0.00635635699712076,0.00519463218215299,0.0105760815744418,0.00998456067820609,0.00519557859204437,0.0091397670305864,0.00666816041338007,0.00543065074918904,0.010330426023369,0.00864697943353165,0.00480336956745644,0.00695685866563918,0.00793522205826197,0.00767049232727394,0.00762243757360779,0.00350666209111434,0.00561699870013882,0.00639480216036732,0.00349521874857375,0.00649631287399481,0.00467353694040698,0.00665769414855282,0.00630816638765657,0.00329045885148668,0.0248816423145272,0.0256432323592139,0.0237114012973751,0.0251278238461445,0.0073223059541072,0.0213992164593636,0.0110225213657837,0.0213970988973931,0.00553593573421137,0.00504615963359255,0.00430448928991174,0.00723850636240043,0.00737837876304937,0.00830613324286973,0.00489163920344568,0.00833934364801887,0.00489712682374965,0.00614490542186097,0.00581210725031962,0.00604501815764466,0.00413039139928239,0.00549187333229537,0.00355552053379767,0.00276395928525411,0.00508841591661974,0.00552314274870614,0.00370493132448954,0.00811993804563169,0.00748054904923433,0.00808428927767777,0.00415196670939938,0.00414648512190518,0.00359004980418615,0.00317983441020822,0.00241150235555216,0.00379425469899546,0.00288657241334632,0.00326175681441812,0.0035938169774333,0.00375625328295885,0.00357505959904604,0.0045397795457368,0.00421736263628923,0.00608522921235614,0.00577213327283551,0.0060223573107845,0.00234298351447623,0.00929164475457826,0.00930631399571192,0.00874773011869128,0.00770611241505416,0.00556172137444847,0.00891888087041201,0.00946384061891068,0.00519873395237112,0.00900303592656285,0.00848622706037647,0.00939402691477914,0.00608530857301371,0.00823537403027963,0.00412984343909628,0.00937619351670672,0.0094078136049475,0.00334841726069974
"2017-10-26",0.00221965346105455,0.00229208067343118,0.0136113358342908,0.00214360994768935,0.00207843338275738,0.00235501460474515,0.0026472496026602,0.00217733999718696,0.00734289967582284,0.00171460140428646,0.00256120557877644,0.00496022382228747,0.00458898876710554,0.00459686532983735,0.00413831614706806,0.00382980676930754,0.0073973502267425,0.00735387180598722,0.00787187426505576,0.00376518959349201,0.00530857291370315,0.00695588480052241,0.00762193125285725,0.00394697682074485,0.0108726652931379,0.00955219253820783,0.0118333940960034,0.00236277622635075,0.00608677020164096,0.00304618608757238,0.00174523636213217,0.00601288857819739,0.00610660012705982,0.00238286920492192,0.00300988102867857,0.0106293717907877,0.0111853585511325,0.0107206853714296,0.00488013774795629,0.013995957080609,0.0148735268099158,0.0148568730416441,0.00606606911083783,0.0137010917958207,0.00951529121054572,0.0141989404470799,0.00920171146368028,0.0064627593134091,0.0102920182258811,0.00493065079864158,0.0129058292785631,0.00322273284378627,0.00494513533995715,0.00596335822620338,0.00539624318335993,0.0101968169603382,0.00993969462035344,0.00505645849257378,0.00909734330502808,0.00617380175219703,0.00506688116819625,0.00957480791141933,0.00856734398941968,0.00460015145570789,0.00745659042523458,0.00777245287283106,0.00719250032287842,0.00763037926249616,0.00341952334665889,0.00561277330827935,0.00627085787985595,0.00345292567646364,0.00665948308416619,0.00450492500789909,0.00669682257627248,0.00618065950312304,0.00323001275764924,0.0241497384563222,0.0259935419675167,0.0234615169700472,0.0247982712254338,0.00716383696023882,0.0210198510789388,0.0105862664910804,0.0208220274323622,0.00564054143674541,0.00485160057661681,0.00428247471336901,0.00680698059023729,0.00757858875686541,0.00879842285032783,0.0048564895110729,0.00853322823587684,0.00476760609096183,0.00612446125575709,0.00583915255597214,0.00578948997914748,0.00377255352089366,0.00535584545682282,0.00359397427593132,0.00276071091672134,0.00513084963550039,0.00575630086566147,0.00370503509436036,0.00793868773702393,0.00706114642405392,0.00779675447499581,0.00388479645449253,0.00410108423184179,0.00355522319244334,0.00301470402683049,0.00235076746043765,0.0037461563546295,0.00280377246949662,0.00313129801769599,0.00342736613373752,0.00347046693921784,0.00345228344207645,0.00460540957397506,0.00417620231651627,0.00619517053953729,0.0059497924022315,0.00589400586568423,0.00233222060964951,0.00949747774762242,0.00907890891819275,0.00964499287989102,0.0067784585359289,0.00575403299246207,0.00900063797465595,0.00939037833737593,0.00488931074027312,0.0103328966713139,0.00974101604421031,0.0105831306300238,0.00650539775769638,0.0092991982279235,0.0047036525396325,0.0107067797239901,0.0109890085182143,0.00349037246164611
"2017-10-27",0.00227264756879165,0.00242719477862831,0.0127994837269832,0.00212369648763723,0.00208766960641454,0.00234342705487268,0.0025598245829406,0.00224449841276454,0.00703167629781623,0.00169907672515958,0.00261374930886929,0.00485404389245713,0.0048534693489188,0.00504407156691166,0.00393935906727827,0.00370363093252971,0.00713180244287837,0.00698253914368832,0.00745696976175228,0.00352313647568374,0.00531777697931139,0.00668924155603876,0.00750440560157169,0.00391677722389816,0.0112227671036139,0.00977188384852034,0.0118703045209555,0.00238068094990804,0.00640829966288445,0.00308594555172756,0.00185227501236561,0.00606692963499901,0.00623909788103793,0.00242706123976523,0.00291312783202551,0.0107847011613203,0.0105541292885296,0.0108802362346528,0.00495355684498383,0.0136380641955266,0.0144367747951489,0.0149361529059731,0.00634107661309202,0.0135593230966144,0.00981569996273012,0.014338783945155,0.0100237930925164,0.0067247946480108,0.0111396832826251,0.00574491867556706,0.0126266732453676,0.00317253322720587,0.00502002415567226,0.00571561019399516,0.00578602732091837,0.0099961034902109,0.00998610051867584,0.00513043056404994,0.00916288380535276,0.00645956722147557,0.00508563462011825,0.0092355733099023,0.00827790055986661,0.0046826069316816,0.00755550208659438,0.00797461398990959,0.00756517723566446,0.00769096560409724,0.00331632747740526,0.00545811443610708,0.00649487672633295,0.00351819185271372,0.00638680941191412,0.00466536416407002,0.00639551114765979,0.00638780091425804,0.00328724719760347,0.0230250124284983,0.0254654507488121,0.0222850413870696,0.0236455317430959,0.00736179101940336,0.0205469059256746,0.010397508366194,0.0200619792167019,0.00606593932194411,0.00475435247609517,0.00414148531149854,0.0071123896754344,0.00775508627921067,0.00874993088079037,0.00492414741940541,0.00930795481688505,0.00493625067435096,0.00613137384980387,0.00549765695518808,0.00552740721956392,0.00394605472877081,0.00575697025587925,0.00360341923076045,0.00284895410785969,0.00541877370538376,0.00630199446086156,0.00371316968072095,0.00820944073630587,0.00768308259174831,0.00818906741033606,0.00393641145624976,0.00393189907640192,0.00355956611822721,0.00302357075400013,0.00235793693816069,0.0038912449919986,0.0028856743549727,0.00327874260342752,0.00354198707972454,0.00359493679442923,0.0036738518119374,0.00476704508855185,0.00448651362831151,0.00586248214257346,0.0057736738893247,0.00571254911820407,0.00227669265478297,0.00887177030114459,0.00910955255909872,0.00870121572396608,0.00685356655080573,0.00530247639787224,0.00902645049706085,0.00912768755119577,0.00498934803288046,0.0106047235878301,0.0102473317730917,0.0109244489757489,0.00665998336112479,0.00976294369384013,0.00470429701463953,0.0107876480639916,0.0106834100708656,0.00345984278644902
"2017-10-30",0.0021860827497889,0.00229808310128299,0.0123651784494951,0.00209360634780906,0.00201433550563002,0.00239152023659212,0.00269124912854533,0.00225189486151852,0.00689954501624735,0.00171519915020872,0.00262836031189298,0.00480489511477925,0.00481164070202422,0.00490489829945457,0.0039237677527503,0.00353562480522217,0.0070267705509204,0.0068956734642158,0.00761191851983718,0.00388168688482594,0.00519135386665361,0.00698290478960828,0.00769846613985753,0.00415135643253007,0.0106775127443259,0.0102219546858812,0.0114191620330032,0.00242422608156596,0.00600613650623719,0.00303631929893737,0.00176957491697311,0.00623064063866474,0.00568443431445922,0.0024383263804403,0.00287204654907696,0.0107000730957341,0.0107256764554568,0.0103670622017304,0.00512515722653733,0.0141982679612705,0.0142253858318023,0.0149469578116736,0.00622914189041422,0.0140872228651454,0.00944708683853617,0.0142892736725761,0.0094632317212216,0.00673633595925911,0.0106124962304548,0.00523890417618689,0.0130451656855441,0.00330867987655035,0.00490860755592404,0.00639828983854912,0.00541142291607033,0.00991961925750863,0.00966219033930956,0.00513429902393895,0.00886996388890581,0.00650496116684582,0.00525147534393865,0.00940967030194434,0.00839776139058263,0.00506611640072434,0.00755677110373947,0.00774844776717675,0.00772698623871798,0.00773649948730204,0.00351875508657724,0.0056861536800884,0.00648236376992663,0.00363842759038019,0.00635672018800204,0.00465526676729501,0.0065875311444219,0.00638368889353691,0.00333605191272996,0.0229465457666027,0.0241030059568785,0.0228410691883969,0.023646310238346,0.00718829824027858,0.0221976427033266,0.0109764605308805,0.0215464307554621,0.005947368395448,0.00469330447774024,0.00417503556345512,0.00705921423225334,0.00754530350895721,0.00862415069707558,0.00498284247935155,0.00898440099113826,0.00496084280485887,0.00573036091813159,0.00539192002111921,0.00525373601141506,0.00387039792729774,0.00530747921776183,0.00376393192287912,0.00291175414227811,0.0053574343648455,0.00541715047607464,0.00383295322164388,0.00812529668723395,0.0075385326587354,0.00812109397212814,0.00385036330273433,0.00420447187407767,0.00382265090951073,0.00306538755584497,0.00217506954823734,0.00370285219379518,0.00283428132921542,0.00337129374287304,0.00372157437645268,0.00354265036896352,0.00356804051379487,0.00468492975724237,0.00430647357381034,0.00563420748466028,0.00566572538947423,0.00556045756144454,0.00239116525849081,0.00950941718527977,0.00879959509108188,0.00895828407397149,0.00669200117410807,0.00547564790564562,0.00919035357227223,0.00900066233672839,0.00509502452247171,0.0104284107991253,0.0104851622589604,0.0111283738177792,0.00676502426539303,0.00964746285758187,0.00462773310135892,0.0113029537081241,0.0116940315866791,0.00322749204533647
"2017-10-31",0.00215332872280007,0.00225684498018107,0.0117286451640267,0.0021093248974701,0.00199719048520527,0.00236450618368672,0.00269595685279974,0.00224036116489425,0.00631398818011165,0.00178736460278297,0.00271993297285483,0.00491712692811407,0.00454349755347367,0.00465403947305214,0.0040450653812195,0.00368631041151905,0.00764352363330666,0.00742656009868235,0.00885884704498368,0.00369679734876587,0.00541880925194109,0.00774995234484667,0.00845756926162348,0.00405196595852073,0.0107350952545651,0.00959935371055886,0.0119040233130551,0.00232870760735317,0.00600723827184283,0.00309408161085849,0.00182536033356013,0.00604375610894194,0.00566197150822571,0.00237342936558658,0.0029469979495043,0.00980166457634815,0.0107617078473834,0.00984960103315663,0.00503756673959727,0.0137641349184332,0.013485562711938,0.0142218064244805,0.0060368142040155,0.0130832382728857,0.0104671298904537,0.0137682919941493,0.0100603238392923,0.00704742630791605,0.0111274627272669,0.00522696047215247,0.0146556171040229,0.00324057827333649,0.00510644018876848,0.00615012429424112,0.00538685438449945,0.00940736454200249,0.00999299909675793,0.00534799266242364,0.00937826692803613,0.00727614847151938,0.00530273119417341,0.00892252160610675,0.0086430785685527,0.00530118296048364,0.00768116907332337,0.00834148386981914,0.00774116073070427,0.0082658390485909,0.00350272048148274,0.00593971986330632,0.00660986754953019,0.00356395374480482,0.00661631666797901,0.00473801207593132,0.00637973052014586,0.00637578234628182,0.00331125211476081,0.0224586444460809,0.0240148556193382,0.021898279707774,0.022638888623426,0.00730479388735544,0.0207413415563077,0.0125094539515932,0.0197416383156312,0.00726296291728708,0.00474558460476286,0.00421028672889471,0.00731191377909933,0.00793701253074896,0.0089856433339427,0.00482295606400682,0.00899399482457895,0.0049054629527425,0.00564578974527097,0.00532656786554297,0.00557455054106612,0.00396756797843917,0.00528431053730502,0.00352975398343969,0.00300230683384347,0.00514458566543147,0.00527991355277671,0.00349029521386899,0.00820739260409282,0.00812968396765998,0.0082938211152871,0.00402744762078149,0.00397156330480407,0.00395704935917562,0.0031450397629279,0.00231018518017071,0.00391145086573864,0.00285055147487254,0.00345241951974756,0.00383000399738568,0.00365633912502418,0.00355567303163147,0.00493996980077041,0.00459871987650933,0.00519857611169002,0.00496163117324289,0.00505519207249405,0.00232205149403888,0.0090563141463814,0.00879821757652113,0.00864907026891972,0.0068302288374351,0.00535169705019376,0.00861319171164044,0.00883033902292914,0.00513042458580122,0.0102750282703946,0.0107326414695889,0.0108364245119545,0.00667015639764504,0.00988530260422624,0.00493723845739287,0.0107876790802799,0.0112078323460262,0.00334797219210057
"2017-11-01",0.00215629277669449,0.00224686372332182,0.0115597616545341,0.00209203802165556,0.00203765938358323,0.00233257741171769,0.00267223138213068,0.00217345158977049,0.00644838247380063,0.00175322999072944,0.00264574346068638,0.00483150991892377,0.0045342095616446,0.00457205438166349,0.00413064289285612,0.0036376259308807,0.00789654341762316,0.00833692185167196,0.00844828467562524,0.00365023021318503,0.00563136783986285,0.00742933695291876,0.00830215771306576,0.00402612603842119,0.0104436421385177,0.0104766625172111,0.0114174068278956,0.00236642922837168,0.00605997328599022,0.00324836059651505,0.00183273632067761,0.00589665184030034,0.00572998961571649,0.00240604418143744,0.00293948859110389,0.0098855923544542,0.0107195250127084,0.00951666282356729,0.00478041892275688,0.0135073947974122,0.0134909626447312,0.0132684308636677,0.00630420451756764,0.0138319417211137,0.0109584403043025,0.0137426608599538,0.0100171465005571,0.00790179059429628,0.0111711345344682,0.00494129436003412,0.0142938063336456,0.00333611861487361,0.00500572840347138,0.00723761400188519,0.00536757201982662,0.00972901913365513,0.0100733199359459,0.00521524794449921,0.0090270842597042,0.00704971475889471,0.00536480789707407,0.00949278609091242,0.00838090672196838,0.00505976784448761,0.00820537374019633,0.00838606469862866,0.00814351166525105,0.00820488133281138,0.00373516778349687,0.0056833550343858,0.00683337488432865,0.00362979355846185,0.00687276194226339,0.00520648678474987,0.00646882852161573,0.00635889237549173,0.00324728982038772,0.0239537380060634,0.0240231772354544,0.0219067970030245,0.0231154747942587,0.00724714164384638,0.0200666031582241,0.0124795103464626,0.0202849760659867,0.00792414801576234,0.00483368053866902,0.00426118281459763,0.00761043384514768,0.00814187648718685,0.00850584429043118,0.00501415354289306,0.00843531063033183,0.00483723496086416,0.00642175813657039,0.00560682906653912,0.00600475711353471,0.00407490335773915,0.00509930497468601,0.00346117064342442,0.0029035912940693,0.00473456697107614,0.00507949910092106,0.00346037481944306,0.00788553479618374,0.00799568098158251,0.00841857602598957,0.00416283920457663,0.00427436466004322,0.00392313575264453,0.00320157577361324,0.00225321368253279,0.00399585695762768,0.00292242144077752,0.00347917914320858,0.0037155091326806,0.00384885369421317,0.00371942605277148,0.00528859267644154,0.00471200555671794,0.00579259885713196,0.00555042912925716,0.00573438869209184,0.00235364242992153,0.00860758652457635,0.00831615860893441,0.00833121860399949,0.0069217722912467,0.00566661021399293,0.00819513135935555,0.00848428168515908,0.00529035893585022,0.0097163904601242,0.00989483760488668,0.00962847733556871,0.00603296998619513,0.00845921768534489,0.00454535874259893,0.009544833722167,0.0103004293526581,0.00333899807491778
