"","EWP","^IBEX","AMS.MC","TEF.MC","ELE.MC","SGRE.MC","REE.MC","ITX.MC","BBVA.MC","TRE.MC","MAP.MC","CABK.MC","IBE.MC","FER.MC","BKT.MC","MEL.MC","ENG.MC","GRF.MC","ACX.MC","MRL.MC","MTS.MC","AENA.MC","SAN.MC","ANA.MC","COL.MC","VIS.MC","CLNX.MC","ACS.MC","DIA.MC","SAB.MC","IAG.MC"
"2017-11-14",0.0190068350018266,0.0248361536723797,0.0178139561200935,0.0381181505617102,0.0363077636165706,0.0197837605469025,0.0515737181824863,0.040301770372387,0.0538701695044329,0.0121986165371414,0.0345520195176454,0.0413232334778677,0.0467594660139743,0.0396978208894725,0.0409782884765595,0.0197395846420661,0.0568716808872454,0.0230933677501906,0.0222829138432713,0.0457785147609087,0.0137919254637405,0.0387894178736026,0.044186163157656,0.0252733250565023,0.033151910626677,0.0227351784784397,0.0206942621621965,0.0290757415147974,0.0222455456228539,0.0505803855597986,0.0145883601086036
"2017-11-15",0.0173129029558822,0.0247761084428948,0.0176491704339726,0.0379980218131106,0.0388100139012432,0.0196180299145,0.0526409631839109,0.0390781026193395,0.0572539282644639,0.0122004274823832,0.0365260016571099,0.0411209560197203,0.0436461105817395,0.0392920051331677,0.0370543636258516,0.0202728244933719,0.0543466409812858,0.0234575535273122,0.022322795345299,0.0443013319032207,0.0136124600696873,0.0397880168037716,0.0479072911091207,0.0230778557308787,0.0325646337386795,0.0239312841128522,0.0194363691022521,0.0275193665343461,0.022395573948449,0.0556862347235579,0.0144026618466251
"2017-11-16",0.0182004881034291,0.0243061216706445,0.0183365757058832,0.040122524632514,0.0383590978665391,0.0183019873084491,0.0535518116006899,0.0391967894791589,0.0523569416096104,0.0131583831125582,0.036138802568104,0.0407264507159727,0.0447289502305853,0.0385034018278562,0.0351940948805069,0.0206299759574006,0.0563679221202998,0.0260838479475666,0.0211101322126881,0.04661180602948,0.0146363075939097,0.0397779340494542,0.0456535698114452,0.0222247340268341,0.0331427301403878,0.0236130152776314,0.0204428488894151,0.0292210688320419,0.0214534295380265,0.0526649390423477,0.0151833172185698
"2017-11-17",0.0180302132917942,0.023089033598892,0.018546534107982,0.0411607267812259,0.0360707182293634,0.0171292278059422,0.054181428473941,0.0390041835576966,0.0535977930873624,0.0126297633399348,0.0361535191518626,0.0419453817509391,0.0436093109142615,0.0398358683799309,0.0364994829887689,0.0188723160571477,0.0544176103104469,0.0265323605150947,0.0217053844753257,0.0460447426427962,0.0146951912971773,0.0400392723866112,0.0444610750583843,0.0224633205844077,0.0350302779596939,0.0245723156447403,0.0197040885223562,0.0292475704016557,0.0201803471396946,0.0548797238408357,0.0156712177037344
"2017-11-20",0.0209184962715607,0.0238756932192322,0.0185242072199768,0.0393543819819002,0.0343760578934023,0.0174555852711065,0.0603258094906848,0.0408283898625288,0.0532888348573644,0.013139632882749,0.0320433292026201,0.0401594914806352,0.0501407938669508,0.0388101279865727,0.0327337313245651,0.018758578622767,0.0563598268729809,0.0238587470785902,0.0226572552549937,0.0480169558548957,0.0162221712811343,0.0378698473427537,0.0421881313964469,0.0234201552744238,0.0350370191483506,0.026207465778425,0.0186426505987332,0.028875714802148,0.0203613726515616,0.0496207995511298,0.0159287456788162
"2017-11-21",0.0187520292212856,0.0226400417869564,0.0184328958496291,0.042864049196997,0.0337017638558076,0.0173647664121141,0.0579826996964397,0.0391525845883401,0.0534087542408951,0.013544768651475,0.0314050191332768,0.0399889078569553,0.0531275107510545,0.0368231664695642,0.0335161968632791,0.0180843764931499,0.0574131598034823,0.0276063898670356,0.0264401951972369,0.0455696276939682,0.0156135694930797,0.0362737700241886,0.0443892142970426,0.0242828407304909,0.034170379512611,0.0247508685252508,0.018691641150799,0.0294067052604993,0.0203391340488097,0.0493297040042095,0.0149332693240764
"2017-11-22",0.0179887600417668,0.0237864621184635,0.0185818283497969,0.0434576101280706,0.0330808929704566,0.0185518984175783,0.0571563836508063,0.0377843347238642,0.0595768443208768,0.013425271516831,0.0303258631194859,0.0400266162757818,0.0493678648979325,0.0378220643696636,0.0340659784124181,0.0173440174915143,0.0536464913255955,0.0282401116698512,0.024526517094475,0.0494765010546807,0.0141486110047301,0.0375488325553695,0.0449306678555786,0.0231870258087492,0.0349956451693618,0.0232576182757274,0.018882775588774,0.0283998557991651,0.0213722453212911,0.0498954572162254,0.0151489534551184
"2017-11-24",0.0194869017630137,0.0250918316437071,0.018949164418789,0.0392899728977902,0.0319656427856431,0.0196473669284713,0.0576310667392365,0.0392252780560095,0.0531984545648481,0.0139302879350062,0.0277467898140572,0.0373955637118998,0.0508021859845285,0.0380193390622735,0.035874724869372,0.0192610438340536,0.0516722132075986,0.0270077849761491,0.0259367386013803,0.0486116658276715,0.0156233815943196,0.0372684183867854,0.0433742076236747,0.0230651389583011,0.0366388551312138,0.0303282082482694,0.0197103179024961,0.0290384066243579,0.0227036060423203,0.045599819515922,0.0159056223508409
"2017-11-27",0.0188364988011443,0.0251583032793124,0.0201598921143772,0.0392195581643884,0.0304815513835247,0.0200813137094557,0.057811695448835,0.0428700605465452,0.053430515554905,0.0129441393725832,0.0280298954887803,0.0379526699262077,0.0521750204710977,0.0401539599129846,0.0340640063086899,0.0191413356574355,0.0503565704013975,0.0259001060614555,0.025717494111581,0.0474703920985666,0.0148770865064938,0.0396370051497533,0.0442095064247957,0.0207213699444305,0.0347984326619409,0.0313747651771297,0.0189729540344242,0.0296526540706384,0.0206792614779842,0.0466392913271374,0.0164826944120045
"2017-11-28",0.019046089303588,0.0180530417201596,0.0208931251361677,0.0352366202628075,0.030238474450913,0.0231058522830668,0.0585151655967935,0.0381211147932664,0.0566829194342244,0.0154770476972752,0.0319001339546794,0.0390756200515305,0.0478436172111759,0.0385099129697785,0.038519772369188,0.0203431788647516,0.0509954351000029,0.0262488914049766,0.0267335071583635,0.0403612515218585,0.0172049710133731,0.0394313511837353,0.0534896541993466,0.0207256829511074,0.0311454503594232,0.0286281990810331,0.0191898162897284,0.0249323705248719,0.0221779341779954,0.0476907675423857,0.019483031392432
