"","URTH","IVV","SPY","EWZ","INDA","FXI","EWT","EWY","MCHI","EWG","EWC","EWH","EWU","EWA","EWW","EWP","EWL","HEWJ","EWQ","INDY","EWS","EWM","EWI","THD","ERUS","EIDO","ECH","EZA","HEWG","SCJ","KSA","EPOL","SMIN","TUR","EWD","EPU","EPHE","EWO","ENZL","EWN","EIS","JPXN","EIRL","EWK","EWGS","EWUS","QAT","EWZS","EDEN","UAE","EFNL","ENOR","AGT","ICOL","HEWU","ECNS","JPMV","HEWP","CNYA","HEWC","HEWL","DEWJ","HJPX","HEWI","HEWY","HAUD","HEWW"
"2017-12-01",0.0297206690508844,0.0325678668066449,0.0326561207069997,0.0193105057032685,0.0226352567438801,0.0248461241408495,0.0215734873348735,0.0156779313601066,0.0239742579151329,0.0249070708788931,0.0108244859288402,0.0111330690926259,0.0139909200996159,0.0153171216677948,0.00979969629638972,0.0116502008669887,0.0129108088064054,0.0227201650718392,0.0245048809327604,0.021555711077192,0.00945991538373095,0.0111072392014164,0.0184780534791422,0.00982365464915406,0.0144521460735698,0.0198572828154524,0.0106569034510066,0.0161277187367987,0.0225610563033001,0.0250848906104099,0.0110451244820924,0.00800579778787996,0.0118979458289268,0.00731748678234381,0.0173047120343405,0.0076779643641344,0.0101014167953409,0.0117822398576442,0.00935082696195201,0.028316539695978,0.0103067289274157,0.0267739935819017,0.0100851412353245,0.0208853884022897,0.0166197226930397,0.00880866039943396,0.00758801615400164,0.0152067610247369,0.0149149680503528,0.00684919407149446,0.0109239488613296,0.0128079305543372,0.00823938041923996,0.00769711630587843,0.0131056803863139,0.00965117812531541,0.0249368648647879,0.0105747347509416,0.0153817158148482,0.0074475047464013,0.0107857070371696,0.00734001626430353,0.00840546422644765,0.00905773940077449,0.00900806017829423,0.00747233080177128,0.00644078694525519
"2017-12-04",0.0326064318714586,0.0306230154431732,0.0314020065429071,0.017328184380221,0.0238675211622604,0.0252942082924018,0.0211002845629761,0.0159604740295541,0.023234999116154,0.0248681868617236,0.0103888478763787,0.0107900281070718,0.0142776070995968,0.015057469152221,0.00886104568924833,0.0110998490388751,0.0126430493189611,0.0238629723787422,0.0230450638948855,0.0235680226500419,0.0101579736500086,0.0103684224228821,0.0171170549939643,0.00926458146882726,0.0120789795214804,0.0199849721165506,0.0112882253657472,0.0162431705774119,0.0196280131359216,0.0260786636820148,0.0105338116002989,0.00838486409877316,0.0124482924561008,0.00769768455528177,0.0165710587159478,0.00847004591206529,0.0106154290956312,0.0110110151043563,0.00911333300887742,0.0269021044333784,0.0110981077480117,0.0321694926196769,0.00962014646300296,0.0198607658064618,0.0174137562357769,0.00844975866919762,0.00772173239977975,0.0153189281361654,0.0133806734010717,0.00651250582999679,0.0101756916458256,0.0117851266562421,0.00785567783633697,0.00751702390730304,0.0146017121275424,0.0101429459227068,0.028355369363015,0.00977781198631576,0.0167230822668308,0.00770143367034461,0.0132233261459141,0.00769031480842932,0.00878998233267508,0.00954970459270985,0.00834719919021189,0.0066223167160948,0.00575845013798797
"2017-12-05",0.0294019633137182,0.0296159364387463,0.0314519391018578,0.016509611381636,0.0242378858861655,0.0243056097776208,0.0212069058450594,0.0159137245122715,0.0228969475824737,0.02525440772767,0.0105560722882028,0.0112860051143032,0.0154546930640232,0.0146519176588749,0.00891084650738879,0.0129879093305713,0.0125578891402072,0.0230135908225913,0.0235220085082218,0.0238871203414435,0.0102158035205689,0.0100156224521238,0.0176097234861539,0.0096921311295287,0.0119623919302937,0.0208723692861212,0.0119864427986736,0.0181734587227432,0.0192735981250121,0.0254292126218783,0.0103037799155254,0.00805369265082618,0.0127655107780409,0.00783347137630485,0.0152928781645616,0.00894641692246365,0.0115652767876406,0.011683191459616,0.00969178881424974,0.0253846741062985,0.0105467562380543,0.0280510973708619,0.0107520473366537,0.0209797709880471,0.0167350676604576,0.00935658820691181,0.00790788509343711,0.0150680839831923,0.0138072060444493,0.00667774121757771,0.0111038981894481,0.0126967328237377,0.00759062728837074,0.00740324129327808,0.015033408847924,0.00937911754110883,0.0260908510134182,0.0106799184812613,0.0163702881657732,0.00755713510706819,0.0124190740670042,0.00780399299532493,0.00859500318535246,0.00945127215525663,0.0093512287631975,0.00673569378049101,0.00748185277067021
"2017-12-06",0.0295389694899085,0.0311869239355204,0.0319645004332738,0.0157089476993801,0.0226251403428028,0.0258355541868437,0.0210236959661403,0.0159772773399483,0.0226324685567443,0.0234952455842167,0.011659069961627,0.0120067377466317,0.014490376216296,0.014774075604614,0.0106065207129643,0.0124546265596428,0.0121775560228901,0.0232297797934972,0.0213970953006562,0.0227306812304233,0.011460660775583,0.00947781486482419,0.0164997639023858,0.00965806624072887,0.0124046283326642,0.0174135969834247,0.0118765317908955,0.016444738314812,0.0197589329102291,0.0257957028621964,0.0108527316197835,0.00831378096417294,0.0123448484150372,0.00787296888486905,0.016053484231422,0.0113875919458595,0.0120640241937968,0.012052036851041,0.00935810370939228,0.0237072063162586,0.0105561618168079,0.0292146376225946,0.0101924340331734,0.0191192251242109,0.0176870134558754,0.0097911173638205,0.00832027389950227,0.0139792664732604,0.0123642993904448,0.00710581588981779,0.0106973685723449,0.0135940706569976,0.00803537657052679,0.00811829790197752,0.0125340713066037,0.0105646096104712,0.0266669370284557,0.0109450695219809,0.0180527491370999,0.00720117028549885,0.0126461622121326,0.0076834729590258,0.0102774929760151,0.0102865979869358,0.0112855501051292,0.00683602973789997,0.00593227156799815
"2017-12-07",0.028947357594166,0.0306720396115092,0.0314719531752184,0.0161156350999102,0.0238276235395816,0.0252490078153919,0.024062802558254,0.0173426349763291,0.0232524553888291,0.0249927706852765,0.0108594506823189,0.0120957433207885,0.0151273435508591,0.0153608017463769,0.0100721042246962,0.0127628019263867,0.0111099417564144,0.0243397791773412,0.0227657664206848,0.0242790875557563,0.0113667700735639,0.0103256040136646,0.0168628166192327,0.00858745404513415,0.0131830878310585,0.0175129354843644,0.0115680452476607,0.0150599244561013,0.0205018261229192,0.0255107408139705,0.0111883731855874,0.00844176450361476,0.0132458097085069,0.00735251718113828,0.0160344669817819,0.0111521721522569,0.0113586560598558,0.0120623532898546,0.00995846454623408,0.0231730179985115,0.0105804505199901,0.0295477587757768,0.0106044465707216,0.0177949781049598,0.0171554122602426,0.00973943855035979,0.00799992192064582,0.0143947035092968,0.0120786539469004,0.00679363487354554,0.00996757442787556,0.0132002709621034,0.0078909718126368,0.00803095385743906,0.0102740582621525,0.0104476212016321,0.0277551585620132,0.0107880054845688,0.0164009578923151,0.00775082460518431,0.0117920074092655,0.00772084406104376,0.00882861546791568,0.0104281750992784,0.0096958899497385,0.00725683820150362,0.00592793258979302
"2017-12-08",0.0294781627801864,0.0312956667008447,0.0322926119467288,0.0152998165492404,0.0235282350052116,0.0273209575723933,0.0249687877786125,0.0153170482485738,0.0253878051083723,0.0231422009631649,0.010924279050643,0.0124689005053699,0.0176632116717047,0.0152251222122427,0.0106780860140731,0.0127419136839955,0.0116855774628974,0.0233041705156407,0.0211119596554436,0.0244675373289325,0.0113663544227537,0.010070192500303,0.0168337292883085,0.00868375155500131,0.0134944619449577,0.0166944312502527,0.0117156450663338,0.0143786038126189,0.0198956401918078,0.0243200299161669,0.0111804673934577,0.00856292703745845,0.0126434791461391,0.00773688251626803,0.0165231954168235,0.010602364267187,0.0116004560212978,0.0121512120453114,0.00995457304072233,0.0241759494132549,0.0109281925984573,0.0274145273442934,0.00930573762547818,0.0186634515540198,0.0162051037886555,0.0103414565393252,0.00752950049981733,0.0135599982127647,0.0119021991606605,0.00676205777064936,0.00966928051385004,0.0135968338882822,0.00846134498105775,0.00817101948692245,0.0103179871014958,0.0103971515405709,0.0274538625665049,0.0112164566233348,0.0153355390094008,0.0071049727437863,0.0121022496957991,0.0089812954834312,0.0090933887191234,0.0098748151177415,0.0109805325845704,0.00695702780099657,0.00678762004831432
"2017-12-11",0.0282938740149241,0.0312607843200254,0.0327493713292982,0.0148523792891184,0.0228519752279054,0.0269034951381632,0.0247932961578605,0.0153412721223328,0.0259155366675536,0.0237700025490293,0.0108374337023684,0.01270006557879,0.0178749080193322,0.0144804489883809,0.0113585790983024,0.0122945056045239,0.0103037973453891,0.0249608232723964,0.0227570004998924,0.0236919557907964,0.0108056984790416,0.0101155453448433,0.0180622873013221,0.00920595353447116,0.0123562880713254,0.0150985149253939,0.0116835728871522,0.012568413750658,0.0202228611671951,0.022548527346865,0.0108029987234677,0.0086438773584988,0.0130998913984402,0.00874520303238674,0.0163755108781021,0.0111309195140403,0.0109357339394021,0.0134876526126802,0.00903120237764238,0.0244315098179504,0.0114405272598577,0.0274427997870307,0.00924598327497778,0.0185802857637796,0.0175121129594786,0.0100918824692987,0.0079163756469325,0.0137677750905529,0.014445727972196,0.00743853823057204,0.0101556177459675,0.0131205408718701,0.00842488580716632,0.00827899427938216,0.0104765934784274,0.0110868442730186,0.026796251583464,0.010977969447625,0.016549758155806,0.00726210539987561,0.0121327366515823,0.00781232088025924,0.0077316543360813,0.010361553450198,0.0094481728590128,0.00727010567994687,0.00688821946837876
"2017-12-12",0.02929191997828,0.0336451532425644,0.0346448115926222,0.0135620926884015,0.0257862578334796,0.027563312838003,0.0235262386919598,0.01496561205712,0.0240365208712583,0.024201257613006,0.0111762430600885,0.0111054543830074,0.0176293348748254,0.0139709680626423,0.0107704248713838,0.0114462038606647,0.0111542594291157,0.0265849099365943,0.0218612195231022,0.0241593534563946,0.0101299877776133,0.00942069366581781,0.017421065018688,0.00896578737146651,0.0121137436431391,0.0143295620693646,0.0129130270050881,0.0123610615819909,0.0207200557939032,0.0232878960923261,0.0109007090090233,0.00800065059625156,0.012814902139328,0.00889393307839367,0.0152194717017063,0.0113498315502487,0.0107972424787617,0.0132150105033142,0.00896894664457777,0.0226811614079693,0.0106094199823943,0.0286359939714673,0.00906875397289411,0.0174762080287275,0.0179206424577561,0.00950870821073768,0.00752269285619039,0.0127637318814112,0.0158507754156864,0.00685031059017901,0.00979088812542654,0.0130770629128025,0.00842519865932703,0.00818612019614926,0.0106479932640522,0.0109072787309682,0.0280747582247972,0.0102637234634307,0.0183580487005959,0.0074271894641556,0.0127176261365625,0.00704863599021383,0.00778657071932423,0.0112062623575615,0.0100318918370233,0.00746526393266253,0.00679196192401724
"2017-12-13",0.027371990590509,0.0292807208015162,0.030883526302054,0.0125347787627696,0.0242066216497138,0.029483214827122,0.0274797643409911,0.015394005074876,0.0285048610304325,0.0220592917120177,0.0117583420043765,0.0120314649182125,0.0178200070005951,0.0147993714608691,0.014830581243197,0.0134359056005504,0.0111124460789484,0.0228702076064904,0.0222826197618242,0.0253627238204949,0.0106003036196,0.00941126786590315,0.0165560461027384,0.00928792685632918,0.0119529394670214,0.0153218462024541,0.0154838296735944,0.014413491332055,0.0185810194946886,0.0207453432216355,0.011275025041677,0.00868653818873512,0.0118146711027321,0.00893623292079954,0.0134610986055342,0.0110801576047491,0.0122865447691668,0.0124570652359641,0.0100947019406933,0.0227229333165281,0.0107594940144319,0.0250346965014517,0.00912785018467602,0.0166823366507,0.0171775409667638,0.0097236650051129,0.0080923834108423,0.0123659596248612,0.0144742458201412,0.00742191427660537,0.00998249121829127,0.012680147638261,0.00936311399753222,0.0087314251532619,0.0098013372866357,0.0112757716245536,0.024377479702708,0.0111803280988033,0.0205264725170721,0.007550934808286,0.0119903177330385,0.00832463542119537,0.00806390680011085,0.0117284291377185,0.0112446291047165,0.00786792487130265,0.00577914128076666
"2017-12-14",0.0274500764534207,0.0302388375435056,0.0316334943357357,0.0123604133261491,0.0220016561620864,0.0292475010658491,0.0251947042510389,0.0152939057635225,0.0273645021258393,0.0225224548655826,0.0114464149722174,0.01319618793768,0.018180231237886,0.0149492320663096,0.0144930070636985,0.0129908779445213,0.0108415875504933,0.026715504123911,0.0225917467725768,0.0218306445224126,0.00993587632788471,0.00850608837915085,0.017400183027578,0.00928650893497194,0.012124117616973,0.0160479487813796,0.0135890821744042,0.0144646598888407,0.0198939324639125,0.0193925078907333,0.0110354839744382,0.00858894825868641,0.0114626287520276,0.00813958166484835,0.0149822062380154,0.011574150194365,0.0122917351861816,0.012779032098149,0.00968399398989796,0.0221517122255544,0.01093182426885,0.028237214905384,0.00893383622954947,0.0170918269873515,0.0166056084969821,0.00994233849312486,0.00763564791124723,0.012375034961229,0.0149714575454882,0.00709599473939059,0.0102143888554318,0.0114357141800049,0.00874836846130582,0.00855974366763771,0.0107533786438143,0.0108455615603954,0.0264261475294095,0.0110070838014295,0.0199591551417458,0.008522690306901,0.0115780189861266,0.0100864274617507,0.00880036468637675,0.0115311259914647,0.010222561637903,0.00702256761600438,0.00659255878127132
