"","^BANK","^BKX","^GSPTSE","^GDAXI","^FCHI","^N100","^SSMI","^STOXX","^SPEUP","^CXKCX","^FTSE","^STOXX50E","^GSPC","^DJI","^IXIC","^NYA","^RUT","^RUA","^RUI","^XAX","^BFX","^N225","^HSI","^STI","^AXJO","^AORD","^BSESN","^JKSE","^KLSE","^NZ50","^KS11","^TWII","^BVSP","^MXX","^IPSA","^MERV","^NSEI","^ATX","^OSEAX","^OMXSPI","^XAU","^XMI","^OEX","^MID","^NBI","^NWX","^PSE","^DJU","^AEX","^KFX","^XU100","^SMSI","BSE-500.BO","^IBEX","^DJT","^DJAT","000001.SS","^BUX","^OMX","MOEX.ME","SDJ600.MI"
"2017-12-21",0.0195246034715843,0.0191850394113221,0.00770832640187182,0.0149866015669013,0.0192418482539132,0.0219955346862585,0.0140652358186985,0.0168709331009992,0.0133892422443779,0.0146798983544938,0.00836639342674729,0.0151565094167539,0.0480599416976613,0.0345787425451702,0.0319732595618779,0.0405257871490501,0.0306948931279115,0.0512601161190565,0.0511444196698019,0.00829210275582668,0.0182926203672749,0.00692750772957043,0.00684374017653905,0.00740282209358007,0.0113757314266287,0.0114403806418928,0.0165198794437956,0.00603179046798198,0.00709287480833177,0.00717364476558307,0.00635591397350917,0.00656939350796525,0.00759515467187275,0.00746796927755603,0.00723995919615581,0.0074411243184926,0.0176508983256319,0.00740934590923864,0.0114600028561994,0.0169424124389522,0.00736949520536311,0.025685204842782,0.0401501233776543,0.0397392687602775,0.012120877755931,0.0164925720761683,0.0272806761327975,0.00670027914843038,0.0187330476901788,0.00693919948177618,0.00625306578798212,0.016559921176962,0.0167204139727865,0.0161911243654077,0.0151113172231987,0.007616228242031,0.00718726694091801,0.00722653241494485,0.0163191642817911,0.00780022719233671,0.00487139875325225
"2017-12-22",0.0192474974208885,0.0191048698516709,0.0075293963679738,0.0149889128497873,0.0192776430525615,0.021835779366345,0.0136299546865429,0.0166977435694059,0.0136557842826602,0.0147614453623381,0.00813200346956972,0.0147872545897693,0.0501557592146932,0.0355434066329237,0.032632508754404,0.0391031620142871,0.0305906518243928,0.0527005178779347,0.0512054504986501,0.00802374219069931,0.0184946412641732,0.00672372330972684,0.00680963703348407,0.00752524607065163,0.0110430592206997,0.0111612397292385,0.0172489088328279,0.00622914764760637,0.00765572922050649,0.00705566544962928,0.00631802231869134,0.00650903497526042,0.00754096063889122,0.00728338927360626,0.00751893166704489,0.00729692386828541,0.0175846844942859,0.007341877195572,0.0116341540098699,0.0173748097275159,0.00731827543712966,0.0255321304623541,0.0403877107588999,0.03858174097472,0.0122507686833367,0.0162875882423971,0.0273974744750244,0.00655958499404598,0.0180335205468947,0.00685494696769155,0.00616520486150361,0.0164683089156695,0.0163951282529542,0.0162883505920886,0.0146211191199972,0.00748482122636001,0.00740233636636954,0.00704388972638784,0.0164609446831751,0.007746245188716,0.0047666396992191
"2017-12-26",0.019467241865498,0.0193272891120482,0.00755807894656369,0.0155003036908408,0.0193370418178658,0.0213325621518089,0.0137397329420533,0.0168821183963478,0.0135788659604983,0.0151269952366303,0.0081948307686658,0.015298879174826,0.0488937075519612,0.0357227806872476,0.0315873996069619,0.0397816912233441,0.0309403254139074,0.053009401899012,0.050898428946033,0.00822267069408068,0.0183254229474957,0.00662769477572422,0.00695583737601053,0.0074459618367837,0.0111980820343642,0.0111174579683749,0.0169803229454103,0.00617304112641714,0.00752112791334322,0.00709518991895112,0.00644131969105779,0.00656015124933601,0.00776963717759971,0.00741834630462107,0.0073282412903796,0.00725733557075866,0.0173737266437698,0.0073431742747675,0.0116194985649272,0.0174201090447207,0.0073826440857958,0.0260043237265458,0.0399378883566955,0.0391321246179629,0.0122124146779116,0.0161782361245396,0.0259929044084617,0.00654544434745469,0.0180882727023539,0.00681055831790743,0.00609993933009509,0.016273326161839,0.0167503637317082,0.0159532350733578,0.0150348129107914,0.00748668722984186,0.0073311795560157,0.00718813793250835,0.0162639860671568,0.00802705143758067,0.00493444446246893
"2017-12-27",0.0194281436304409,0.0195502196090588,0.00744742766814646,0.0152917189450693,0.0184157607379508,0.0210229439725373,0.0138493683609082,0.0168858445991914,0.0140019970077058,0.0150226064129535,0.00829378146166957,0.0149634284714192,0.048910188500973,0.0354775549831367,0.0312787852225886,0.0383824174084255,0.0307923662220771,0.0523156786416706,0.051764320581366,0.00809186696169605,0.0177391870699816,0.00665058465315654,0.00706870498895727,0.00748704600212438,0.011225324404104,0.0113406137204007,0.0171574815117373,0.00619514610162797,0.0077077002925824,0.00709783586511259,0.00643956560133147,0.00663793304149883,0.00773921315607503,0.00726736076315241,0.00722276109181641,0.00718601174209811,0.0176487404824866,0.00730120106953195,0.0118579122296857,0.0172668863506226,0.00742586335824932,0.0253532296465042,0.04016149777744,0.0397170416827736,0.0124085887590488,0.0168210649706706,0.027133190401801,0.00664407612283505,0.0174977735573871,0.00710592985592953,0.00619003037808541,0.0161775833129571,0.0166273630112099,0.0162575627334703,0.0147085457533615,0.00793047731976713,0.00777314619796887,0.00703090348615117,0.0166610065795299,0.00806710304871816,0.00488439250907273
"2017-12-28",0.019918243009716,0.0193839485710143,0.0073977469953376,0.0150532669795797,0.0186669604636933,0.0213208895198741,0.0139788081402837,0.0167499864155481,0.0135968818867698,0.0148728203848574,0.0081340781741022,0.0152271933438639,0.0492533810441611,0.0344309213428776,0.0314872439882902,0.0387021829741346,0.0316115233686367,0.0528625114665699,0.0510654299838699,0.00827649240110377,0.0173195182954806,0.00650987089054,0.00690414510606282,0.00750139055151526,0.0111904325331806,0.011144446810439,0.0174901523970003,0.00613391034736109,0.00721890543993458,0.00698215537034245,0.00657322076636222,0.00659183135816494,0.00786907340960431,0.00702013193219525,0.00724278244309924,0.00705451375522888,0.018260821048887,0.00730586432003926,0.0119427750733598,0.0175439512554902,0.0073576776274283,0.0252291732419447,0.0394009560933311,0.0397565401234866,0.0124541983967676,0.0168740647278491,0.0277118726823722,0.0064859785930594,0.0179038872905806,0.0070333082570871,0.00612640831305199,0.0163442227349533,0.0170558163296631,0.0159760577486566,0.0145265177020042,0.00786534117588801,0.00756077156858476,0.00702504344868646,0.016719576385905,0.00796629941510126,0.00483588458502691
"2017-12-29",0.0194586567447485,0.0194585458295145,0.00749268160003155,0.0146677231220139,0.0178678116183522,0.0199643099947291,0.0134115730829729,0.0166687495141057,0.0131360134646206,0.0148319815466802,0.00812855658168476,0.0147932697001627,0.0514407180649068,0.0351540344396244,0.0326289895505694,0.0398521729417604,0.0323991526192772,0.0538920505947214,0.0520312460941682,0.00810758222585982,0.0169061592969324,0.00663744807808007,0.00683834059000863,0.00768074262584189,0.0110169051013315,0.0110510376861049,0.0169062141696314,0.00600537770378209,0.00710911049361538,0.00689644984918264,0.0067176510870454,0.00649011636003345,0.00735500409614175,0.00715922526379394,0.00709014090162919,0.0073971785196306,0.0177937708155738,0.00733561078891032,0.012021439480656,0.0165834139754981,0.00729624099419716,0.0258465703998433,0.041413694360308,0.0408103036476833,0.0125132407049587,0.016482265899113,0.0283838442113446,0.00653389129830457,0.0170447192763849,0.00693754402639913,0.006162814744885,0.0154675858807674,0.01680261678671,0.0149226300295991,0.0146629411519021,0.00778465093598611,0.00738109042051619,0.00698793261896015,0.0154992810397047,0.00786801662931014,0.00482096872919482
"2018-01-02",0.0185193146946069,0.0188202136925873,0.00769092277522272,0.0144674993732009,0.0182321569707657,0.0200348564424184,0.0137632880555133,0.01714866057605,0.0122925011742258,0.0141338631385027,0.00841655277691265,0.0151482739513446,0.0507342339707243,0.0346905058194156,0.0322410263476157,0.0395505601949417,0.030135430239129,0.0541465509938871,0.052859234234967,0.00825938939233432,0.0168817742536646,0.00651148712167753,0.00694328483750338,0.00733243129874284,0.0110887662469883,0.0110875304299003,0.0172514015100982,0.00599904527388202,0.0068787397122444,0.00689029607923409,0.00649550342203178,0.00652582718149559,0.00740267990904988,0.00720615337193992,0.00695510620379756,0.00759326795192039,0.0177204549765425,0.00720374860326228,0.0119774096346287,0.0168879193089612,0.00726866084150638,0.0261247083379206,0.0426761217472216,0.0403077887139782,0.0128836175028219,0.0162342974407866,0.0287376558616904,0.00645804630266935,0.0173320936034188,0.00711809639910689,0.00616317858560319,0.0161864094169382,0.016800636632862,0.0159546091954278,0.014622948687228,0.00751335534984564,0.00727540702081471,0.00701638551057354,0.0163576612899915,0.00801443627375357,0.00483602314390971
"2018-01-03",0.0167183892510496,0.0170147712397218,0.00800413740018452,0.0164710025526977,0.0191816169879643,0.0210194256109305,0.0135289721639882,0.0161345257882113,0.0126450408686703,0.0166085905515926,0.00790837478640517,0.0146552511659089,0.0516587696176507,0.0327340026199445,0.0332212545489563,0.0367308580920408,0.0284960070527039,0.0535264627719281,0.0538949477673144,0.00786882262344173,0.0173159479883466,0.00667573158026637,0.00727024383594428,0.00768750494571522,0.0107328410482541,0.0106811672921688,0.0179733936058924,0.00608952697110484,0.00799850647297003,0.00691215492396945,0.00670807879799531,0.00672058662379713,0.00765346440996102,0.00717236964867754,0.0073034856606129,0.00775660489471564,0.0183294360550504,0.00748891645607429,0.0120595074392927,0.0184790089276382,0.00764592030226367,0.0247320900346356,0.0423933466202295,0.0365574380965735,0.0121463873766055,0.0146137911746573,0.029585223878067,0.00663923846448274,0.0174694574725691,0.00680128170826794,0.00629352787995433,0.0163897041818345,0.0176035715346027,0.016043286520727,0.0142609320554764,0.00786988294337043,0.007855416512723,0.00739361647750653,0.0179061659783972,0.00791108595539286,0.0048589337919106
"2018-01-04",0.0168327756632007,0.0170490327483138,0.00801574928240331,0.0160761854635841,0.019019079783568,0.0209407743413052,0.0129709097987546,0.0160229024740282,0.0124277687106906,0.0166762923104778,0.00776892819151636,0.0143529576824251,0.0507048760521662,0.0330262787069019,0.0335433265159324,0.0374433603348136,0.0290480510769053,0.0534164444823657,0.0528936289052004,0.00804934436516752,0.0174901151018871,0.00678926897397881,0.00738458215532364,0.00812229669622061,0.0111465294154014,0.0109480983375052,0.017872650264768,0.00614163746487635,0.00790637967319434,0.00697836704826806,0.00656597670286411,0.00678754025924139,0.007727285188315,0.00714606549023665,0.00729713226110208,0.0078741544405729,0.0189748088790301,0.0075770246439169,0.0117961674484378,0.0186936131719514,0.00759519740574724,0.0240413092400881,0.0409935109876537,0.0366784892409727,0.012119399782563,0.0145936722110341,0.0312618894071126,0.00674004024559319,0.0175212281616975,0.00680443188856234,0.00637186565607263,0.0162493251892135,0.0173528377627762,0.0160499359639497,0.0143930783565603,0.00803600694650987,0.00786937293264756,0.00735771032562474,0.0177425747593875,0.00787972721698902,0.00485003581243171
"2018-01-05",0.0168612994814553,0.016987977708772,0.00812536311990442,0.0162994769662608,0.0184400755621145,0.0205704896812206,0.0134694419987237,0.0163114174230233,0.0123912795707904,0.0172683809165041,0.00801637717477379,0.0148337314633175,0.0507806424647282,0.0343355254553722,0.0337753353239018,0.0362426601216573,0.0267022986661816,0.0532640029678715,0.0528756154330198,0.00823226275380321,0.016790107019621,0.00669697282428213,0.00750292270532663,0.00856880661584282,0.0111161403167442,0.0113050346749308,0.018494682393796,0.00631912425786691,0.00799887620710146,0.00716324309078431,0.00649075729618569,0.00684237513542488,0.00772097626290962,0.00711939937353787,0.00749971506072059,0.00790123269512005,0.0190827842779496,0.00742969658478049,0.0125136406060848,0.0188790084579673,0.00788712981859846,0.0247120659448916,0.0420726516440851,0.0332375298005965,0.0114380628471621,0.0139699466293114,0.0293651654886643,0.0068659485676336,0.0171104758502411,0.0070876740748343,0.00642307170529756,0.0163487483302523,0.0183088359406894,0.0162749596159371,0.014377750185222,0.00828731183628082,0.0082259396518706,0.00761801488357269,0.0181461261321526,0.00808839797941959,0.00493504296291361
