"","EWZ","^BVSP","BBDC4.SA","RADL3.SA","ITSA4.SA","PETR3.SA","LAME4.SA","BRML3.SA","LREN3.SA","SBSP3.SA","EQTL3.SA","PETR4.SA","TIMP3.SA","BBDC3.SA","MULT3.SA","BBSE3.SA","PCAR4.SA","VIVT4.SA","UGPA3.SA","USIM5.SA","BRKM5.SA","BBAS3.SA","ENBR3.SA","CCRO3.SA","JBSS3.SA","ECOR3.SA","CMIG4.SA","OIBR4.SA"
"2017-11-21",0.0105833889983284,0.0951086530665072,0.0713630137093,0.0184194745083931,0.0675074793052378,0.0330324899527347,0.0245426286088612,0.0341239926186387,0.0359025588025304,0.0165002327538275,0.0205911605797391,0.0348338324539943,0.0439854911410826,0.0558106181540867,0.0348565321671111,0.0334641034348559,0.0443125947290442,0.0317934824974661,0.0256460243482177,0.0268845841189972,0.0223190032150372,0.0668208059601575,0.0276950568792341,0.0295367050148701,0.0175412867076741,0.0388311980874813,0.0237585734714209,0.0142350347151709
"2017-11-22",0.0112757526039371,0.0921320752141182,0.0744205138415495,0.0174087469956776,0.0611092006877973,0.0346094550575131,0.0236728835550919,0.0360199922141479,0.0370485410752676,0.0172700732592757,0.0194136438076323,0.0332140597750772,0.0470920067651323,0.0580231898721076,0.0342253271892984,0.026733279465072,0.0514300463793235,0.0349317236829966,0.027157655984864,0.0274717341036733,0.0223032902754732,0.0688548858401724,0.022439641487272,0.0287324501871331,0.0161389003109306,0.0394176283859738,0.0235561193457499,0.0138971826377417
"2017-11-24",0.0108508318648651,0.0907426316454341,0.0706680007703192,0.0172498653912442,0.061358210850323,0.034891904365161,0.0239725783297911,0.0344298823089078,0.0392908930456472,0.0179941470064045,0.0194972875111189,0.0334905231897284,0.0483885367448583,0.0557133538992878,0.0341555548386644,0.0284507317494189,0.0465403235656967,0.0383267582541943,0.0302686580883342,0.0305592889418846,0.0204297264900168,0.0673073375324671,0.0227199336438665,0.0284190553227902,0.0186958186319421,0.0373580043552064,0.0242032281222288,0.0140269335401983
"2017-11-27",0.0106336346576777,0.0806823765052956,0.068499508598187,0.0182621247365932,0.063517264580934,0.0300894369266936,0.025805727099518,0.0377786447606507,0.0417163246891097,0.0184740544999489,0.0187839636193291,0.0294502973357329,0.0494682521529259,0.0550005907447124,0.0351407029711527,0.0297434651081671,0.0517211824228435,0.0381337017738316,0.0303236873145443,0.031377159119945,0.019702550791314,0.0688589582813801,0.0223976103980478,0.0269271693219269,0.0174101810842894,0.0401036709994793,0.0259511644068052,0.0140465950989642
"2017-11-28",0.0114139631855083,0.079757597278389,0.0686670541217382,0.017784293942378,0.065577487819123,0.0284230998019595,0.0250458007045308,0.0345224322685585,0.0397203121419183,0.0155507616516385,0.0182631218016474,0.0314704219288555,0.0497527700384939,0.0581665346386835,0.0356398616385974,0.0298319606616704,0.0483935837423595,0.0393024423755597,0.0296323035461851,0.0320609908084233,0.0198476626958512,0.071617500455195,0.0281226729406953,0.024943713010601,0.0206484520950254,0.033862054730263,0.0277893429571087,0.0141918070190428
"2017-11-29",0.0103742784797233,0.0834729166829286,0.0679281991317715,0.0187263239272411,0.0636953507612472,0.0308555011591553,0.0245886071730273,0.0348706179274293,0.0474323548091169,0.0161535419786967,0.0175484567839917,0.030876639759689,0.0458772217613803,0.0585479898838863,0.0320718420615477,0.0291026004750565,0.0474032567882012,0.0363949238104698,0.032423906727708,0.0354703515903755,0.0213992290739425,0.0688895208786018,0.0286040428814908,0.0242983794090525,0.0202937652761646,0.0319319153726525,0.0269406443683065,0.0138276210671455
"2017-11-30",0.0110369736368143,0.0828243995933605,0.0677735857761006,0.0170721757998879,0.0641417902206636,0.0326733180534071,0.0241231133148465,0.0284316944967864,0.0468957947474302,0.0150083491781652,0.0184779355030022,0.0346125183630995,0.0488050162827652,0.0543030350547767,0.0324402089204369,0.0308663533781779,0.0566423475116965,0.0340809923779032,0.0315812448614015,0.0319436594030678,0.0210289198131014,0.0704217071130483,0.0267366172855704,0.0242813889517508,0.0209426230166697,0.0310774926945413,0.0269693881421058,0.0148073565094224
"2017-12-01",0.0116654229626361,0.0867924384968525,0.0665989866686196,0.0184625569801874,0.0554537704138021,0.0303824434803472,0.0247401366657907,0.0297273824908622,0.0442771237992792,0.015952921671805,0.0181771595981725,0.0291467869224488,0.0481315513593226,0.0686388896768042,0.0320163131849749,0.0307519276119904,0.058725480325924,0.034598282454075,0.032810744266421,0.0317757202872669,0.0180358605471713,0.0667943504654145,0.0272489796262337,0.0238847711138136,0.0224040238465465,0.0313252042097657,0.0278160177381504,0.0136647531353221
"2017-12-04",0.0120929828806231,0.0825014173741131,0.0664830028589674,0.019028144195401,0.0547285440978331,0.0282658165109411,0.0254546136050356,0.0288328246425838,0.0415770348953969,0.0175357002639659,0.019595712055854,0.0278846298570384,0.0516405766929708,0.0640088436688942,0.0370652320675365,0.0336894903164761,0.0573055429203041,0.0303076002954289,0.0327833701940218,0.0342620069509199,0.016010017302434,0.0595149025821111,0.0289373856447578,0.0254694358812126,0.024879846692583,0.0383145269963822,0.0252927621777964,0.0165380363784171
"2017-12-05",0.0120114370532376,0.0882332782623626,0.0657457438957748,0.0185752264975471,0.0570048665438678,0.0291728476899261,0.02462523500836,0.0312779051705001,0.0410198843418074,0.0175741918300674,0.0171707001857112,0.0286545179163989,0.0587379577400277,0.0617763222248416,0.0370245832674063,0.0287169008383009,0.0545636749391473,0.033458877159821,0.0308577880207254,0.034821577913235,0.0159278879807861,0.0617885464073868,0.0252583022027248,0.0250391214568506,0.0217999038163078,0.036770557632694,0.0280410814104845,0.0143510825936994
