"","^DJI","V","IBM","MRK","TRV","PFE","UNH","PG","MMM","NKE","INTC","VZ","CVX","XOM","UTX","HD","CSCO","AAPL","AXP","MCD","DIS","MSFT","KO","WMT","GS","JNJ","JPM","GE","BA","CAT","C","BAC","AIG","MS","WBA","DWDP"
"2017-11-09",0.0580653407774975,0.0169805352609702,0.0276034283772837,0.0258150603105791,0.0228232926154358,0.0218793829706631,0.0223388378110185,0.0199906163608723,0.022926619247536,0.0206939570198633,0.0319441842324705,0.0188721863001074,0.0307595432331042,0.0194230378748484,0.0225256465628895,0.0205108078984912,0.017381422036442,0.0326632030559374,0.0233152599637652,0.0168316718963879,0.0190639554101355,0.0287759431091414,0.0198896735558351,0.0186014620892833,0.0534943916588014,0.0226919718731865,0.0536110052960186,0.0210695153309442,0.0255172706605038,0.0228452425664072,0.0377880255391665,0.0527165923223226,0.0221698018285083,0.0613052045216215,0.0242026633771432,0.0229132470548175
"2017-11-10",0.0593408757207781,0.0192676437421101,0.0274925947528786,0.0245404513831459,0.0232958431208144,0.0232240966505534,0.0211485792324795,0.0199180778322867,0.0238471353082898,0.0205244201748855,0.0320375588773376,0.019292475332061,0.030829965045039,0.0197099683224846,0.0219830349371902,0.0219962754663792,0.017695150430608,0.0351742743129704,0.0243112819699131,0.0172606616322992,0.0183690311877454,0.0262847387166018,0.0188618535163319,0.0192026974712622,0.0499350562313111,0.0230555131582309,0.0529360772980942,0.0229868746478474,0.0284847286808128,0.0213251294497157,0.0387048133543007,0.0520417206123584,0.0209644515118556,0.0569553192237429,0.0245415739364128,0.0224600567588715
"2017-11-13",0.0568800587576631,0.0174605177906753,0.0276755833855191,0.0241988196884527,0.0213333421379234,0.0217719266309336,0.0233514595084366,0.0194050089038615,0.0245260252116216,0.0204858370574356,0.0330723179808571,0.0195432559918457,0.0330371264786177,0.0193640308877341,0.022746904252025,0.022339675165423,0.0174081582455263,0.0340895562938008,0.0243060522931905,0.017192385571963,0.0193765341636777,0.0286707387438572,0.0199676756208152,0.0188755365979826,0.052283247880141,0.0230140639530465,0.0525965519701879,0.0203556567661458,0.027188645726502,0.0221319320959133,0.0373681796979904,0.0543004742484046,0.0201530065231938,0.0574200463991835,0.0239751693087129,0.0221344980707399
"2017-11-14",0.0621789929088167,0.0167021720471906,0.0270795784813993,0.023201747363984,0.0211182856184227,0.0220091296820858,0.024677583255536,0.0190333206382585,0.02417416881255,0.0196019001099772,0.0307485048518469,0.0203739355481654,0.0349809328374507,0.0189256386043372,0.0205543819371014,0.0225672439082316,0.0179807482238331,0.0346254689618621,0.0227999380662686,0.016045612623181,0.0196600288984284,0.0266322289585853,0.0184467849887841,0.0188115582892203,0.0535032519888575,0.0232079266845097,0.0558320883582288,0.01829774280714,0.0289264218303624,0.019945533060565,0.0400922652600268,0.0543633720015007,0.0208763879257193,0.057397142713321,0.0229697959678064,0.0216581857864451
"2017-11-15",0.0593279501092358,0.0177752531760852,0.0260338114758556,0.0248843202942845,0.0215756415418568,0.022446218676286,0.0268403514974092,0.0193161210877832,0.0252270661044002,0.0204003730466694,0.0334737118141985,0.0200334748625696,0.0347269467062578,0.019811194471191,0.019524617692095,0.0216986226963595,0.0144466109498614,0.0351672505528406,0.0258702601702985,0.0178159408562492,0.017977229913227,0.0338005690792991,0.01920226828521,0.0197650083889933,0.0551008733941818,0.0295733286592031,0.0451698940648967,0.0208884033784321,0.0271766520307791,0.0233139796802793,0.0401481919510234,0.0428203804072571,0.0209400403625709,0.0532302590379595,0.0234677264347387,0.0210294571501618
"2017-11-16",0.0645754686533025,0.0181047464685107,0.0274670120491005,0.0244879262977514,0.0245097310269227,0.0219196859133707,0.0255769515964935,0.0223003226792411,0.0257771442816224,0.0199253108539657,0.0332897670044376,0.0200578916146135,0.0345111025518407,0.0193013249650993,0.0189021891846861,0.0220065176173345,0.017069157520218,0.0315637596942553,0.0251881572005643,0.0169438352474148,0.018177529709684,0.0302534657269284,0.0167287152214251,0.0206779024833635,0.0573887375823726,0.0279495571378097,0.0447554241928191,0.0198155318037063,0.0271050411893277,0.023585130731601,0.0365138736956144,0.0414672979646145,0.0218174009546797,0.0558757731632093,0.0234798729135135,0.0209307431085855
"2017-11-17",0.0639188125267045,0.0186130336031444,0.0257121127182188,0.0250042874791431,0.0249540624065877,0.0223221565419709,0.0266430064321695,0.0217614768931228,0.0255562634699189,0.017375158721618,0.0311354888397741,0.0230637805015293,0.0346848137143345,0.0192386220712604,0.0209439545904973,0.0220489891823985,0.0166844776515404,0.0333780549122635,0.0224563506664027,0.0178228280151269,0.0197561426036009,0.0333122411521392,0.0158863719150315,0.021668865658828,0.0577543296116808,0.0283979642931715,0.04465749054562,0.0200615516418416,0.0278685825445099,0.022190396631473,0.036471808803086,0.0405038665383518,0.0218688393913395,0.0527619914831573,0.0231882909577264,0.0203335352907163
"2017-11-20",0.0608528318340618,0.0188560866582921,0.0268640288562582,0.0261407734651964,0.0243935335927978,0.0237622683859833,0.0259247799850413,0.0246109515331549,0.0253089381221565,0.0174184932394029,0.0307794700490673,0.0208541786260718,0.0331725433060865,0.0196270738026374,0.0209088094237699,0.02242992017648,0.0190051529531482,0.0329403332168013,0.0237747908318589,0.0160945978417002,0.0187857499920296,0.0307366820384711,0.0166298321388161,0.0208543039722116,0.0545305970081836,0.0286619103019349,0.0451728839906294,0.0196292917155829,0.0265041093679399,0.0238227090784156,0.0369851156845542,0.0412904540922981,0.0218702699290452,0.0568168717370102,0.0226186131961,0.0213710498568108
"2017-11-21",0.0632014533215917,0.0173709128925254,0.0284018709374698,0.0270711590429568,0.0231357004296771,0.0237058811220953,0.0279611883680036,0.0232916471823046,0.0267583832565683,0.0178998218077272,0.0335235917244443,0.0203595306800078,0.0330081230744622,0.0195976128169226,0.0212030815602331,0.0191365599810211,0.0186888399234498,0.032886940642883,0.0237755613392236,0.0179954396157629,0.0197314712807158,0.0313833188134618,0.0161077730414142,0.0198125142444449,0.0539444048792841,0.0292618164943122,0.0415432792712483,0.0200365902179356,0.026017450934113,0.023208165658319,0.0363724148684674,0.0418846601316474,0.0224506304760304,0.0562928942228201,0.0224372793393292,0.0205420364071267
"2017-11-22",0.0639716628891454,0.0187239124994617,0.0298881241125575,0.0256842840598039,0.0248089381079773,0.0240513640002907,0.026589039512591,0.0231427396465554,0.0270808206140154,0.0200759141459606,0.0336144836376656,0.0194276485984955,0.0336894504637614,0.0181237249077382,0.0209981439182375,0.0191852140522131,0.0186914486654121,0.0326689743381708,0.0257998600721146,0.0179303739760169,0.0189949826720875,0.0308734997013767,0.0167747712257107,0.0204391812719485,0.051645208623658,0.030625142543988,0.0384329046218884,0.0196796101134884,0.0284474151865351,0.0230887737603092,0.034507135492638,0.0371298722869422,0.0208581091782402,0.058540778200939,0.0235978455275319,0.0222186473745338
