"","^OMX","SSAB-A.ST","SECU-B.ST","AZN.ST","KINV-B.ST","SWED-A.ST","SKF-B.ST","ABB.ST","SCA-B.ST","BOL.ST","ELUX-B.ST","INVE-B.ST","TELIA.ST","HM-B.ST","SWMA.ST","ALIV-SDB.ST","TEL2-B.ST","SEB-A.ST","SKA-B.ST","SAND.ST","SHB-A.ST","GETI-B.ST","VOLV-B.ST","ATCO-A.ST","ASSA-B.ST","ATCO-B.ST","HEXA-B.ST","ERIC-B.ST","ALFA.ST","EWD"
"2017-11-15",0.0627010793331044,0.0175390863663422,0.029811730747751,0.0194675249198471,0.0252183034620488,0.0313472466655325,0.0340133275099724,0.0323154513578921,0.0344681537137544,0.0290348598495845,0.0325751377139171,0.0438241695574458,0.0265377116613772,0.0169312972076425,0.0322883232795372,0.0360580207213551,0.0215261403309093,0.0339603524716046,0.034973491995434,0.0502121383932985,0.0262261933941424,0.0224403506677743,0.0319036053203914,0.0494438800307156,0.0292307322198626,0.0494569394850978,0.0438180711466924,0.0284533893909034,0.0508673574643675,0.0233559336217019
"2017-11-16",0.0604895779606883,0.0179632495520168,0.0294563834491567,0.0207466751241531,0.0260054620970337,0.03148907465734,0.0300534356748901,0.0320182858915002,0.0331820690456746,0.0297628586381293,0.0348980732098615,0.0431352147374531,0.0271273460951786,0.0171935096758027,0.0350350972640678,0.0340025787470499,0.0234203463226802,0.0314515358838958,0.0363337757745104,0.0503863359288163,0.0250137132050411,0.0223377817105005,0.0306035368762219,0.0513112028669109,0.0284795838158359,0.0512007436933593,0.0480167570724913,0.025414812819676,0.0501422699870935,0.0233287122229704
"2017-11-17",0.058829079687726,0.0179698262478762,0.0313506442445713,0.0207634012027175,0.0258063767602194,0.0314128831946924,0.0313906219653959,0.0318270686762773,0.0358642766185616,0.0302369292916944,0.032589085687916,0.0416012692573103,0.0287855530864139,0.0181983294422354,0.0335992340963422,0.0333098459538626,0.0259353417419309,0.0313666616316729,0.0380550186491568,0.0529138903460658,0.0242703026386615,0.021205925480952,0.0340175425409211,0.0534318175446974,0.0270188784640081,0.0513524860554914,0.0447562687483503,0.0251002507368799,0.0438810451709619,0.0231601448364377
"2017-11-20",0.0627004839079413,0.018000787022519,0.0286862086395734,0.0218696650447939,0.026075840017233,0.0319041298032398,0.0348841890802759,0.0334889487000747,0.035266715228084,0.0286124001341207,0.0317406830950677,0.0406460896248929,0.0286386197525488,0.0195761949969894,0.0347201258969953,0.0301986615066607,0.024070120344049,0.0306727231318458,0.0384759700882935,0.0546246240243498,0.0250946883309312,0.0207100877835793,0.0328418973962128,0.0525767181590889,0.0268039606162494,0.0522531877441235,0.0447852984281045,0.0236580708373063,0.0462282173502281,0.0201946933146274
"2017-11-21",0.0624999653542993,0.0196115039207838,0.0308138086318849,0.0219381758666387,0.0259754231546369,0.0322756028188727,0.0364510273011071,0.0340062659597114,0.0353703754135695,0.029700282332321,0.0311795595916195,0.0402442589789957,0.0283155061768945,0.0195075030811594,0.032177740770943,0.0292536935640491,0.0235902157303349,0.0269142011709587,0.0351614700233956,0.0578335579805411,0.0251617466584391,0.0222775905695234,0.034629325095564,0.0562252713501784,0.025655415319921,0.0550252519439929,0.0438107657412383,0.0240397452359538,0.0421723892894025,0.0181823609730699
"2017-11-22",0.0606909712959572,0.0191375219017677,0.0262201728192038,0.0227619069864804,0.0271596365624218,0.0274432479060983,0.0368170928884391,0.0366131897071259,0.0381940308582537,0.027369337332763,0.03545526628571,0.0405322125816457,0.0262495640701883,0.0195130530704568,0.0303519713266745,0.0299136938442373,0.0252531381710419,0.0253747463086387,0.0357119795233486,0.0618134064684444,0.0234337813998752,0.020479152805089,0.0371790402284817,0.0541677559357797,0.0226363046991468,0.058189957351853,0.0456892690047102,0.0232029351152905,0.0442985028600791,0.0181471606907978
"2017-11-23",0.0664270037154228,0.0182167753014874,0.0229875678493662,0.0231698060084617,0.0267237132737325,0.0293274273744872,0.0367634695813541,0.0388953752997489,0.0405333091559143,0.0263778709587054,0.0339589475668519,0.0420801957542708,0.0238939821658588,0.01996002144701,0.0292666753795428,0.0290087917026164,0.0242539223749258,0.027463448835095,0.0354304663878788,0.0613905049441097,0.022772701431235,0.0234883750954595,0.0367781487997685,0.0542559881708264,0.022360651571812,0.0557912993764364,0.0436458044558556,0.0241988199948309,0.0435406263757086,0.0170383096512267
"2017-11-24",0.0653705070560597,0.0187074562919961,0.0240532760125933,0.0222657028154491,0.0247978989117498,0.0278691755864792,0.0326921223030407,0.0368069050929419,0.0408476933993912,0.0279490426843131,0.0360444705526487,0.0393128507194163,0.0239522547177428,0.0213812400992391,0.0305116232989093,0.0300130535412203,0.0243685345173897,0.026745695410239,0.0322349236159288,0.0629380142040022,0.0236762850377093,0.0236393729726537,0.039293499198513,0.0527371276666758,0.0227591146663416,0.055586634749026,0.0485218867082014,0.0243421584194641,0.0433525372710623,0.0172289424796025
"2017-11-27",0.0644402121991579,0.0183802166440635,0.0248036577503062,0.0226104651314269,0.026576183281577,0.0276139049596548,0.0358321696576891,0.0374153765150848,0.03867859150123,0.0280052180132607,0.0335603036988119,0.0398764770779554,0.0229370277369481,0.0219346307837886,0.0281007827802051,0.030377937695046,0.0255146523228449,0.028410875964214,0.0331441396114258,0.0611012008480895,0.0252415145852636,0.0244565507301179,0.0374522136844117,0.0539404377408902,0.0233127148344723,0.0550843764801269,0.0468785788430834,0.0252707420156273,0.0414937026776145,0.0175551442356119
"2017-11-28",0.0631111067387391,0.0187646869493338,0.0258402324545327,0.0212343654324776,0.0246234510325093,0.0278175119724299,0.0357614317647486,0.0379896484838133,0.0411459174099327,0.0262677409428851,0.034166932521698,0.0413706229449047,0.0201872700164793,0.0211169896054915,0.0285273437650216,0.0298652512454441,0.0244653518167806,0.0277018244242937,0.0323953351815309,0.0586871265553429,0.0268145167665358,0.0241579003031624,0.039490695243699,0.0538894107585988,0.0230430546006498,0.0580450044371529,0.0493541057289432,0.0278307029011714,0.0396929860873486,0.0166414819143487
