"","EWN","^AEX","VPK.AS","REN.AS","GTO.AS","RDSA.AS","WKL.AS","UNA.AS","AD.AS","MT.AS","ABN.AS","HEIA.AS","LIGHT.AS","ATC.AS","NN.AS","DSM.AS","ASML.AS","AKZA.AS","URW.AS","PHIA.AS","RAND.AS","AGN.AS","KPN.AS","ASRNL.AS","AALB.AS","GLPG.AS","INGA.AS"
"2017-11-14",0.0286442673465412,0.0354968557551882,0.0248959588032565,0.0513849167003999,0.0293050190953406,0.023587031939312,0.0594976483709368,0.0426515621965692,0.0291605434115107,0.0314563644923747,0.0344764835160735,0.0410114839370076,0.0515384246376992,0.0258586538387798,0.0373840798260396,0.0337157993583942,0.0394066057185466,0.0345024258826292,0.0334216974993186,0.0499377134850885,0.039251222238209,0.0301364541472418,0.0212930003531792,0.03892888063377,0.0534697591709885,0.0364195274912722,0.0431676201543324
"2017-11-15",0.0287834728034664,0.033270301612081,0.0261538847069357,0.051334453486761,0.0300143936927982,0.0216849192577469,0.0590004905823044,0.042568313958381,0.0293061687555912,0.0311542961827636,0.0337191954648342,0.0433633314515406,0.0502334480880401,0.0234225169166563,0.0383489788606262,0.0307465272175695,0.0421318200958277,0.0359897980835056,0.0338025467994066,0.0506476379027069,0.0403416327956011,0.0306908307428486,0.0249727904443559,0.0383468670505958,0.0493938347718759,0.0375917433204098,0.04298580495477
"2017-11-16",0.0287474740476835,0.0345741561317871,0.0256183370880902,0.0599652369966126,0.0286649564926217,0.0225457406816413,0.0644906900659783,0.0431398287985782,0.0309457899677104,0.029831061051562,0.0321596538383274,0.0445648404124158,0.04487720325951,0.0233004625230045,0.0327627833193653,0.0326156986934459,0.0437603968912572,0.0345914415185769,0.033113020907784,0.0478083546803912,0.039717925962175,0.0303713032115175,0.0235322776774928,0.03486687363537,0.0557035889300894,0.0372641144009067,0.0404667888161053
"2017-11-17",0.0271853917647067,0.0342885441679405,0.0244427643957216,0.0598499546672464,0.0276214663700252,0.0216095989513522,0.0614123852674309,0.0462856343095927,0.0300415264591191,0.0302752387095917,0.0328696553428817,0.0437933236405078,0.0453377080606317,0.0239413709370095,0.0348008381391267,0.0337809207874318,0.0447631568887245,0.0366168330424569,0.0324473236922501,0.0493113270505519,0.0423103641747623,0.0292473587281251,0.0213939491633104,0.0339144465514725,0.055641825646473,0.0358051091807635,0.0410119839107937
"2017-11-20",0.0258579764470511,0.034629644710251,0.0241915608071957,0.0566067768319281,0.0268614923867848,0.022956453838736,0.0590657802493659,0.0452593356616926,0.0299084226860754,0.0304363104225502,0.0339147727300584,0.0398994853946905,0.0442798627367864,0.0234345320496035,0.0349096846650427,0.0331088397046253,0.0516550343686801,0.0373596237362168,0.0330346500786765,0.0505819993861752,0.0439489626336405,0.0261992572708568,0.0235333351154624,0.034777252836301,0.0537304426628131,0.0347257439823091,0.0451327666064309
"2017-11-21",0.0267617428398848,0.0347472716225534,0.0263843839943814,0.0526099688424386,0.0269118598170798,0.0223524455224411,0.060063456478902,0.0481569409811456,0.031052690218663,0.0287294149255364,0.0351783584914189,0.0416300617133118,0.0412057913744237,0.0238498579499704,0.0340086197506752,0.0308553573145932,0.0475831416695009,0.0357672880676938,0.0348940274380071,0.0528619265036138,0.0508436830330361,0.0250336200824165,0.0216256865263531,0.0338174503642254,0.0540696930118119,0.0345681809020799,0.0444370805638422
"2017-11-22",0.0261048085429452,0.0358752533644279,0.0272457448075662,0.0495341568170031,0.0270878448349672,0.0249759108448737,0.05649843007701,0.0474857887563027,0.0313754128114821,0.0281765947229377,0.0370146798407383,0.0413682273354777,0.0376837108473903,0.0225134885691306,0.0353227635346164,0.0359463779792037,0.0489182401243447,0.0366222754984711,0.0324598100061978,0.0498958207050586,0.0465736893341852,0.0258642849483035,0.0228935468257435,0.0341355737156194,0.0565705636722592,0.036851888123161,0.0450051133605831
"2017-11-24",0.0266895890516033,0.0367522829775178,0.0286468755612779,0.0458590613968362,0.0280357879455509,0.0245373760389842,0.0536072278969896,0.0446564161819864,0.0299636498901733,0.0295863633945657,0.0391107929247997,0.0409131522175943,0.039010871031968,0.0228351952324665,0.038450688481758,0.0354462231674757,0.0478631589310164,0.0362897946365939,0.0339820802517938,0.0495962081526516,0.043860761727364,0.0281599515564018,0.0231064397811807,0.0345885606423128,0.0546122494523055,0.0362708740412272,0.0475683674356051
"2017-11-27",0.0265513002329459,0.0362850083022139,0.0262792380101905,0.0515932841022159,0.0295631534481274,0.026318636258677,0.0547704221183885,0.0468658275584564,0.0305052162327161,0.0283011813656389,0.0356362524798183,0.0429516832675429,0.0424168463884368,0.0227764143802869,0.0410949852981423,0.0356309515365128,0.0421177171885392,0.0367686886535487,0.0339533931262756,0.0503063912153875,0.0437381603242215,0.0311399570270027,0.0215510994601579,0.0329578068694909,0.0531036454065465,0.0339548986165847,0.0428678411319342
"2017-11-28",0.0265500851503045,0.0351054287481173,0.0274270936916052,0.050496976427404,0.027257458391959,0.0252804057402099,0.0540641034968071,0.0450967481894348,0.0314733405984025,0.027541557553883,0.034672480989272,0.042556701109451,0.0449969926516607,0.0222113109050063,0.0395029188318202,0.0341533298447755,0.0443321350878755,0.0359812858969105,0.0334705005185268,0.0481632488169691,0.044747949714852,0.0302853664860346,0.0217673401331142,0.0343277986471202,0.0594645696968963,0.0359665362878967,0.0431063363936911
"2017-11-29",0.0278986325032788,0.0370693429113743,0.0284335047453805,0.0468831383312131,0.026878245337408,0.0264448244321748,0.0541822880316119,0.0423992346879269,0.0316963912573574,0.0292331681861201,0.0334065707417073,0.0409036274451841,0.0475276903147822,0.022847230731955,0.0343373590894796,0.0349415161958771,0.0419160233507786,0.0354270352010921,0.0334859059852482,0.0460926427040001,0.0469948447852171,0.0292534427751059,0.025849757917395,0.0365446687145954,0.0576024285028307,0.0384450759276833,0.0433054091932222
"2017-11-30",0.0267291277188821,0.0367621702385827,0.0265376673992435,0.0523604922465608,0.0260757216784905,0.0254954980788192,0.0543372468305971,0.0434270602119589,0.0312046167129874,0.0282455390453721,0.035065639338653,0.0409708852073817,0.0476565107368534,0.0225556465284454,0.0367628419164157,0.0380745215966601,0.0434015115862693,0.0321364705270887,0.0333646834369088,0.0447494017004799,0.0495189422478423,0.0304961773429559,0.0254860742953122,0.0358445965926067,0.0572286656196835,0.0350937857290346,0.0404185054359145
"2017-12-01",0.0236691967641227,0.0351124855638179,0.0299596844071196,0.0525872667842711,0.0253589340168584,0.0244294278078721,0.0520454490255711,0.0472240556199032,0.0372030475953988,0.0265094960318892,0.0341147131612355,0.0422477694412126,0.0419479669226992,0.0221907304861395,0.037286819135304,0.0384020772365839,0.0378188140646203,0.0382622751276165,0.0327649125406682,0.0482683505741028,0.0491114184107086,0.029282094386324,0.0228189201263012,0.0382788709896408,0.0636467877894437,0.0318869553412885,0.0375714806492866
"2017-12-04",0.0240432873958605,0.0353672866977366,0.0295004039293393,0.0512338755439912,0.0246464574042338,0.0239085922942213,0.0533464708562878,0.0465143174178109,0.041100216081539,0.0264146853092349,0.0348147193822974,0.0457541689030171,0.0376397261568871,0.0204741453337877,0.0368778881162289,0.0377126641887496,0.0383353614314205,0.0356035587510817,0.0349812900922399,0.0470940016200236,0.0529998542502997,0.0302787215052065,0.0230229842348278,0.0357878261079738,0.0612357866705268,0.0333565532562747,0.0379551570689021
