"","EWQ","AC.PA","AI.PA","AIR.PA","ATO.PA","CS.PA","BNP.PA","EN.PA","CAP.PA","CA.PA","ML.PA","ACA.PA","BN.PA","ENGI.PA","KER.PA","LHN.PA","LR.PA","OR.PA","MC.PA","NOKIA.PA","ORA.PA","RI.PA","UG.PA","PUB.PA","RNO.PA","SAF.PA","SGO.PA","SAN.PA","SU.PA","GLE.PA","SW.PA","FTI.PA","FP.PA","FR.PA","VIE.PA","DG.PA","VIV.PA","^FCHI"
"2017-11-20",0.01661618502642,0.0244632507972058,0.0265936612206671,0.0229890015745707,0.0328058399855835,0.0187478604100156,0.0207903921433551,0.0252472989839323,0.0289476400038555,0.023335070460023,0.0273358678193438,0.0225623633808599,0.0314979022244527,0.0208643525741222,0.0275590818406536,0.0258506608681797,0.0335179753816577,0.0416500143187997,0.0327784999907574,0.0194284375762286,0.0262020316632528,0.0293286480968246,0.0257488882659352,0.022104584893691,0.0359320239740983,0.0245669426628967,0.0225031129869821,0.0264475167522604,0.0282801088231906,0.0247033412710821,0.0181831052934685,0.0209078022495249,0.0288491419714774,0.0220204199327563,0.0244652834817421,0.0258910100721737,0.0175286695131681,0.0527560115147912
"2017-11-21",0.0149421719031347,0.025243325826373,0.0260638536011538,0.0227430188125113,0.0332471702669172,0.0185137073128287,0.0208455315588261,0.0271631919788826,0.0290724031501452,0.0221416009993996,0.0260732783972308,0.0242051984932725,0.0300385839879409,0.0213720759458752,0.0261748554087486,0.0243595073644053,0.0344691877294719,0.0407386130114633,0.0330366142714253,0.0202728148202786,0.0291767252915207,0.0301136541549566,0.0239508324818903,0.0214959919890997,0.0348748225345208,0.0243411289549767,0.0211805766019505,0.0276698394096697,0.0280607002426155,0.0248034542017645,0.0168759652764201,0.020325374051876,0.0308111162892961,0.0225722864743153,0.0267446940463291,0.0268511643122859,0.0165134393621635,0.0529215294840647
"2017-11-22",0.0147611071318107,0.0244895025681144,0.0328135976625428,0.0222462517723593,0.0319203999953074,0.0177345626362052,0.0220996333855181,0.027045721357863,0.0294037225230072,0.0225375898088624,0.0302825733542142,0.0233815509791961,0.0300926927169092,0.0219006265063577,0.0268471051996774,0.0262867582157763,0.0326858720897389,0.04098833190871,0.0367475406311188,0.0197652323477314,0.027355575468656,0.0274886681715234,0.0239261844632004,0.0213397002318518,0.0327275252449608,0.0256887561412698,0.0218103012724803,0.0201882476829883,0.0271737889415986,0.0242573534341615,0.0182880684375318,0.0217484141927391,0.03004191729519,0.0203092747034444,0.026226169803603,0.0290701532374517,0.0172081930030448,0.0511213354832832
"2017-11-24",0.0162886168335776,0.0250460822362827,0.0315405646991936,0.0225193190540703,0.0318112386739496,0.0181836050179356,0.0204962003684982,0.0258483897450825,0.0288232780694021,0.0208808332122475,0.0300324793635235,0.0236369945874487,0.0321085646392634,0.0233682355052966,0.0266547217417231,0.0244993681075031,0.0335182888979264,0.0400718915539385,0.034618035005789,0.0202156574634901,0.0281977381694205,0.0277268527390219,0.0231930981982324,0.0207966331421429,0.03323511715263,0.0257990821884078,0.0199783196045396,0.0206467670053364,0.0293148675647624,0.0246092769005894,0.017432466790501,0.0231761986377118,0.029189205795289,0.0202487899421657,0.0260977329334686,0.0297481091875967,0.0158121328956212,0.0546352463764206
"2017-11-27",0.0152959281276799,0.0233388154945722,0.0304836699801908,0.0242115924482369,0.0326749856807972,0.0188937167837749,0.0197483467304445,0.0254989376825797,0.0316624729523411,0.0224369787786095,0.0312109486924244,0.0237421099171173,0.0341576069330078,0.0238139108764694,0.0254644967750698,0.0236507482403108,0.0320317445870957,0.0381746389729014,0.0332708773800454,0.0192115679146654,0.0267808849629495,0.0292238755566942,0.0252476242366224,0.0205427355070124,0.0326666192132543,0.0283425899150602,0.0204055721529268,0.0206817775068044,0.0268264336776235,0.0214892780348408,0.0183984656435098,0.0234869111193243,0.0300724112645937,0.0197350413188876,0.027982424471339,0.0282070172400956,0.016972589867101,0.0539636533630263
"2017-11-28",0.0153965363812592,0.0255363623189553,0.0322913434305873,0.0252658569456172,0.0308322814387303,0.0193319172856144,0.022140682211041,0.0243940333172586,0.0309287761953419,0.0229342589809811,0.0323050626084586,0.0243084175841848,0.0325195298175208,0.0236758500054589,0.0249320352050842,0.0236625634735707,0.0301407917586007,0.038363292309902,0.033790341324687,0.0191420985264489,0.0256411858857502,0.0255933740655,0.0232532002056336,0.0209093554642471,0.0325816664394156,0.027850205073304,0.0219657902665151,0.0202779143193733,0.0286632455620369,0.0222713057193253,0.0186348855700606,0.0225312360752023,0.0282721796912275,0.0206267173754501,0.0290390573713015,0.0278784458932173,0.0165152012280953,0.0556030026750415
"2017-11-29",0.0151525960634667,0.0242987319945845,0.0325916231163195,0.0236013837138451,0.0286316623801317,0.0194408891152899,0.0209800830883734,0.0253348323251259,0.0278041728307716,0.0204677721309124,0.0297185330336992,0.0228844701935084,0.0355330233542766,0.0233786623522843,0.0217462020957695,0.0218363848673691,0.0290679746855108,0.0385729133972717,0.032414613558546,0.0197900415663954,0.023990021425437,0.0291406731274262,0.0226604525134677,0.0205145679349605,0.0349416629774813,0.0286385061242244,0.0223430645810392,0.0257564784191832,0.0326927895807984,0.0218573344091222,0.0167133804476168,0.0209327629676171,0.0254828682122867,0.0222096527148177,0.0298473619180317,0.0292846310409863,0.0180814838414225,0.0616657419006296
"2017-11-30",0.013718255874738,0.0250128309781055,0.0316317945426233,0.0265915330171321,0.0268921986355804,0.0211333953702866,0.020653499316194,0.0282940403637893,0.0264330267003334,0.0218072470671706,0.0301201087801929,0.0229439074767579,0.0289068790017874,0.0210231580569723,0.0198867963628176,0.0208497175103223,0.0314194049874714,0.0402431166050155,0.032143691634594,0.0201780462986472,0.0241049583280255,0.0298114439517945,0.0221688111370678,0.0195316992753532,0.0373873282326481,0.0292097587852632,0.0240401022778379,0.0242018087817324,0.0339997327262612,0.0219484372884753,0.0171445725014218,0.019038563911405,0.0249802747371487,0.0228524753616567,0.0293743257845283,0.0314552448758973,0.0154902301857633,0.0633775832771879
"2017-12-01",0.0134299225644121,0.0257264697240434,0.0300135327222931,0.025900195346305,0.0255103378535857,0.0209411755913181,0.0219808264436681,0.0269090771920457,0.0277274268929839,0.0222463162853593,0.032509681254737,0.0234453170945053,0.0283312220225728,0.0207074726996918,0.0189910581786343,0.019916874143541,0.0308273598132341,0.0420101066824219,0.0383533800173706,0.0179278670743833,0.0233059488213049,0.0285470870447045,0.0224574746571741,0.0198133417548015,0.0354739345112713,0.0269806071449272,0.021254205644908,0.0269650859398642,0.0326544623362896,0.0221190845910117,0.0176428777325704,0.0194705974603184,0.0246789494724767,0.0217463201935062,0.0301580195584778,0.0317260543407746,0.0163814451729363,0.0652188840255758
"2017-12-04",0.0137534297688744,0.025042038833416,0.0317161669513479,0.0268887186599239,0.0268148327247483,0.020356909908905,0.0212793171208279,0.0289757601975165,0.0277322660515106,0.0220585701224732,0.0307726939838313,0.0230538969513972,0.0278652572095039,0.0230646772188698,0.0188506862560946,0.0189245257698428,0.0293603302311868,0.041756417747441,0.0357023282922365,0.0186849819235789,0.0235223835764571,0.0288627015330258,0.0221033524045938,0.0199981280044519,0.034135675899247,0.0290025544785766,0.021906399698722,0.026317260940196,0.0324286037232637,0.0224969526079363,0.0183334287687192,0.0204940361693877,0.0260541030421659,0.021508630423805,0.0282246885573652,0.032094041677379,0.0161969967665081,0.0636662558046734
