"","^GSPC","^DJI","^IXIC","^NYA","^RUT","^RUA","^RUI","SMIN","TUR","EPU","EWW","THD","EWC","EWM","EWH","EZA","EWD","EWZ","EDEN","EWT","EWL","ECH","QAT","SCJ","ICOL","EWA","EPOL","FILL","ENZL","UAE","KSA","FM","EPP","EWS","AAIT","RING","EWJ","EIS","URTH","TOK","EUSA","EPHE","EWZS","EEMS","EIDO","EEM","MCHI","INDA","EEMA","ERUS","ECNS","AAXJ","BKF","EWY","EUFN","ENOR","EWK","EWI","EWUS","EWU","EIRL","EFNL","EWGS","EWO","EFG","EWG","EWP","IEUS","EWQ","EWN","EZU","000001.SS","MOEX.ME","BSE-500.BO","FXI","HEWJ","INDY","HEWG","JPXN","AGT","HEWU","JPMV","HEWP","CNYA","HEWC","HEWL","DEWJ","HJPX","HEWI","HEWY","HAUD","HEWW"
"2017-11-09",0.0220396260949451,0.0154872655034498,0.0171073523914471,0.0207262646610824,0.010742946177447,0.0227629342423925,0.0233301295187729,0.00924381409038455,0.00649739470877752,0.00468397443432417,0.00518648768714452,0.00785349540360971,0.00652891791001655,0.0109205912107551,0.00972970365352081,0.0091688670319839,0.0102550340549705,0.0092099525150552,0.00696960735653149,0.0123656392962341,0.0108966743943582,0.00663390915121159,0.00366800402086254,0.00721313650371924,0.00387861183393579,0.0088513182430156,0.00639484151912876,0.00441974765806041,0.00517443787874471,0.00404722104665057,0.00396223757795142,0.00422457355447025,0.0108212588822978,0.00477413996932378,0.00352835467399114,0.00477268230423424,0.0117477537071627,0.00547569099661611,0.0241768098454074,0.00935270416170248,0.0172127186488003,0.00661185606200499,0.0071995420838016,0.022312211949159,0.00825078062977515,0.0331276700199763,0.0209338222513385,0.0131084018399615,0.0280837172963539,0.0060908266787559,0.00696067417177708,0.0316209803198663,0.0281585385886453,0.0180383821837321,0.00890760547805266,0.00590431810341694,0.0118305117621372,0.0105174189134961,0.00465884814937778,0.0132688059149399,0.00517888202143848,0.00870208752609204,0.0145439676159091,0.00813457653150168,0.0240922899301015,0.0173087930278475,0.0115989965040835,0.0139199739716716,0.0202529616746732,0.0203237188289507,0.0236041004251296,0.0034038845775465,0.00372410231990931,0.0035801851776987,0.0159682910147538,0.0119411868600287,0.0142793106879358,0.0109805593947755,0.0124153551558319,0.00420630343159943,0.00613748240077224,0.00747602721863972,0.00985422355855,0.00398185437473925,0.0043365246573116,0.00431127511942352,0.00390698968849155,0.00380879042698466,0.00979619326820194,0.00346824488690502,0.00362402448721346,0.00351710632422997
"2017-11-10",0.0217093391044852,0.0157011897213351,0.0175444194201763,0.0222800840264795,0.0109958241359702,0.0236311544456852,0.0233064164506781,0.00910733962177891,0.00661810961218156,0.00471841553278632,0.00544788798853662,0.00840775412554025,0.00631146820699089,0.0110137964306998,0.00952762876591156,0.0098111767820536,0.0103551938717094,0.0092385762102455,0.00727691139385274,0.0121288796558798,0.0102008720290176,0.00695285573393849,0.00359258028319653,0.00721107577716681,0.00375921092315914,0.00872277743260729,0.00637999841398388,0.00441325056318621,0.00513957491952333,0.00402105376550234,0.00388126748779951,0.00421974349735861,0.0109105379166477,0.00468527764610026,0.00369132695706793,0.00479141674366785,0.0102419382657622,0.00534214273658758,0.0236811815832047,0.00926717982150335,0.0173641160366979,0.00698079864050516,0.00727967335226167,0.0225929093790571,0.00863086745478088,0.0337732584231942,0.0201887310938505,0.0125158171611388,0.0263237715064691,0.00612981881834535,0.00705373359447616,0.0320229108311261,0.0271466556026722,0.0177082213203769,0.00918312642418023,0.00574972596692589,0.0124333782613222,0.0110076444010667,0.00476758238546038,0.0133761911080357,0.00518073804013632,0.00832461468881245,0.0141468331548924,0.00812729953069656,0.0233019323024954,0.0170421858948816,0.012086342899553,0.0143708659831614,0.0209626519075121,0.021099347004065,0.0246870888015108,0.00340469504027003,0.00375994690464132,0.00349055069969363,0.0159301998402198,0.0112773162568336,0.0137834290447781,0.0115496836710059,0.0112468694724337,0.00399820846914059,0.00587706186172557,0.00713330019255539,0.0100896083696867,0.00391766375819184,0.00448167576369323,0.00441444371068917,0.00390921376849758,0.00393905605197252,0.00961610749474958,0.00351435030179084,0.00343236311510155,0.00343859624271148
"2017-11-13",0.0224737494316898,0.0150870809082068,0.0175891122179693,0.0214075568991183,0.0109656045115307,0.0231665690683659,0.023909462443393,0.00959368712201902,0.00607274905594572,0.00444847980362565,0.00528025137698912,0.00800997515583535,0.00626498285041096,0.010491910641366,0.009029343727327,0.00970645359329188,0.0104397871064663,0.00955646756877449,0.0075649449490066,0.0112266253871625,0.0109229141339567,0.00701399411112227,0.00351958850515646,0.00698504016301884,0.00368676051214086,0.00861818142586309,0.00674683750313645,0.00432485024304566,0.00505079907351479,0.00405349753208468,0.00395188249761148,0.00432830695026777,0.0101834879085832,0.00478004041939086,0.00363631646976379,0.00472211466438442,0.011169037165939,0.00531988519673615,0.023544240901617,0.0091143175470581,0.0167164026819343,0.00751680415977875,0.00741779082136951,0.0220866724239706,0.0082060886718906,0.0334831705630565,0.0200989528701214,0.013756537640455,0.0274901909131655,0.00644587197702777,0.00698714984168373,0.0321836827769081,0.0275454228953389,0.0178006042724317,0.00899694715002142,0.0057848440095191,0.0124404914039304,0.0106830270778193,0.00476807057100101,0.0139985034441944,0.00535281839093942,0.00860193581878601,0.0145395255900665,0.00820258609908691,0.0232573473352044,0.0172573674515871,0.0112047441321405,0.014360722173324,0.0210624463961814,0.0215968777405791,0.0234246311230574,0.00333698792674931,0.0036491205080554,0.00353403054088768,0.0155174578090889,0.0120922186643173,0.013652733223369,0.0113748678488752,0.0115676238396353,0.00400969672532977,0.00614372869652253,0.00713689953243586,0.00964044200692553,0.00391255231681309,0.00464048085271368,0.00450868189384832,0.00388759217289497,0.00396657187157924,0.00954865855073158,0.0035352326277381,0.0034425124872115,0.00367679474482139
"2017-11-14",0.0217424383571747,0.0160329652224564,0.0179562888305207,0.0223396561967745,0.0114787716977908,0.0243165724608682,0.0239297724187884,0.010144732671397,0.0063567944666772,0.00473241019005629,0.00519243739180823,0.0072781406800645,0.00638894504906063,0.0107760722418057,0.00840098246820128,0.00929469804197647,0.0104123838987983,0.00956231855325491,0.00720104490686114,0.0110624821577592,0.0110045278077686,0.0066989074316524,0.0035368875879338,0.00712722403125853,0.00371497861406175,0.00923647737901197,0.00639289786509992,0.00439931751959828,0.00509296241979544,0.00403204102397268,0.00407269507450927,0.00437835997233173,0.0110571306174475,0.00458156172134662,0.00383468332404136,0.00472536464598513,0.0105750750285384,0.00524675874728512,0.0239402545712533,0.00929035498100289,0.0177212080219948,0.00725172291149103,0.00750044143604235,0.0220655195037231,0.00861520670420653,0.0344399019019761,0.0199477838173621,0.0141348575499939,0.0272839662899398,0.00636550110972456,0.0072311771741743,0.0314480740309643,0.0272067628360643,0.0166531705904555,0.00920696894380314,0.00563462057843294,0.012497219395325,0.0108845582170048,0.00477705390883086,0.0132474003651255,0.00559081845202117,0.00834028997872549,0.0141889718501017,0.00841617511754441,0.0234846269955306,0.0162486512738565,0.0116965471225437,0.0137558448449798,0.0200013402154488,0.0211026201514499,0.0234083238749748,0.00340149802018381,0.0036772714325856,0.00357435761517147,0.0153433650229382,0.0119469089557477,0.0144115350425096,0.0115575850814552,0.010889775426038,0.00412969209399691,0.00600852802977808,0.00733826418621293,0.00993700606994968,0.0039975437342223,0.00417934627631091,0.00452016397630638,0.00358866917157123,0.00371464955804253,0.00925609242343707,0.00345466337813096,0.00357676325705327,0.00361062781855705
"2017-11-15",0.0237013428691242,0.015472802328246,0.0164566193582345,0.0221357851162655,0.0110621399973928,0.024076349445235,0.024485513491076,0.0093621322995606,0.00619862318771828,0.00474067915317648,0.00515727293825597,0.00700057915403463,0.00637101432273642,0.0104827922768979,0.00913481954773772,0.00903858337541266,0.0109078225431775,0.00932754877990918,0.00671135849332153,0.0117450270113235,0.0110928242283603,0.0069382577035879,0.00341595235691929,0.00730151619588667,0.0036621286337807,0.00908292351721733,0.00645472596495797,0.00435794723988037,0.00494159810392918,0.0039731895937843,0.00410518483466138,0.00432261167480532,0.0110700622649461,0.00471396476559146,0.0037966581213451,0.00478804112106205,0.0111068559135571,0.00514344939367242,0.0240323275831057,0.0100969698325541,0.017190821600923,0.00732582813496578,0.00676319857464899,0.0218308360868211,0.00765857071842307,0.0334684718943003,0.0208337717533455,0.0141658802300881,0.0280265700492039,0.00616831948692397,0.00710677315896661,0.032025416948913,0.0269413817494625,0.0144864653684812,0.0083294641823365,0.00587469326222495,0.0124458286308258,0.0107501094917011,0.00464717277745591,0.0134773706785768,0.00586541988400033,0.00804318595038293,0.0144125557325087,0.00854794772658009,0.0234487908793033,0.0165524354893554,0.0109347332580799,0.014223020484821,0.0198399906517463,0.0203808226979063,0.0236080127101201,0.00335676950774372,0.00368465698959483,0.00353869620362914,0.0157281376202061,0.0132946009440913,0.0144051139833819,0.0131930848457188,0.0120974191583056,0.00400057898650194,0.00601350058971078,0.0073399023851899,0.00932469429198681,0.00406618027926894,0.00434571650236495,0.00442651687327559,0.00392032680075644,0.00401595110940325,0.00934335021702986,0.00348631310212588,0.00332368766875103,0.00375494696512974
"2017-11-16",0.0233767648004517,0.0159516752644168,0.016907060719672,0.0226398251780798,0.0113363749667939,0.024653194722517,0.0241783306169763,0.00980770775311963,0.00576064930219392,0.00439080957137221,0.00511790744806391,0.00693212576032361,0.00639598216294091,0.00976681065784829,0.00839165318195385,0.00916241781643715,0.0114727932466838,0.00908563267196698,0.00687967924247232,0.0113087034393999,0.0125764852783263,0.00702981926465296,0.00343234572242679,0.00740693711764579,0.00368146578634844,0.00915638502418717,0.00669388082416973,0.00430679296753077,0.00505653854945223,0.0037853719029057,0.00395269333786757,0.00425729533835451,0.0113954757950747,0.00432232733963905,0.00355843040144296,0.00465263603044121,0.0112137692143391,0.00512641085563831,0.0242000702542644,0.0110404851550911,0.0169288997834969,0.00686497416255637,0.00692816057431669,0.0208072090656271,0.00821789093792981,0.0316696646897285,0.0193932077766096,0.0145033168600518,0.0257383506915066,0.0061112889625196,0.00766255672901518,0.0312272570445889,0.0263544191365978,0.0142629910189729,0.0084649258341085,0.00619152564438453,0.0127931552636368,0.0106726190950122,0.00468941501090873,0.0136698377787378,0.00591650310192779,0.0080140505821989,0.0150046457365777,0.0078646958231007,0.0254975610394695,0.0176791463206095,0.0113267814697355,0.0146992237168499,0.0211349541437158,0.0223017384636881,0.0247422551228448,0.00323197703729321,0.00355187831315559,0.00339640942628984,0.0151494978954704,0.0137406318174706,0.0143020168244179,0.0120660981589732,0.0117536588139653,0.00396775843803807,0.00562523027338946,0.00729212142245791,0.00954337571921324,0.00399815700021071,0.00410348546199407,0.00444898383208492,0.00350034850124044,0.00380904977963096,0.00833765618391581,0.00348366801440682,0.00350576714722605,0.0034972936746484
"2017-11-17",0.0229611128505932,0.0162328992203716,0.0166542758484099,0.0226617580554535,0.0102306506983349,0.0240168254260347,0.0237828919989581,0.0094598872517305,0.00548013135699865,0.00446300012758914,0.00503912636068584,0.00728140914792429,0.00591984801130872,0.0103680879106757,0.00899597288135304,0.00892488143495462,0.010536198886158,0.00926060475673138,0.00677167148574147,0.0110919319877325,0.0109401454706592,0.00756813832919162,0.00347876868441301,0.00744639505001938,0.00374652795521191,0.00914812780269679,0.00664109563227071,0.004346957878607,0.00487749506562663,0.00394017886789123,0.00398450549510654,0.00414897398201106,0.0113231158112769,0.00434881276822057,0.00389043744383244,0.00466290455962955,0.0118766705370131,0.00495275154579478,0.022653633717959,0.010800414201155,0.0158701869972599,0.00696809976463136,0.0069403516796354,0.0207658777783937,0.008258427682635,0.0319148346738182,0.0199553976148786,0.0142348423983706,0.0269845839827884,0.00620040454926189,0.00817458585562528,0.0306745080124927,0.0260926560027594,0.0140360736498262,0.00834244251256624,0.00617805224994545,0.0130160067209057,0.0114423515420651,0.00492894157401607,0.0136811305947608,0.00588901445532515,0.00796466330680226,0.0147206533002272,0.00798760904455612,0.0258542824824549,0.0183303155700557,0.0119878925816118,0.0146873144210548,0.0215318780496844,0.0214331053018732,0.0257426426856468,0.0033251458075158,0.00361285366562074,0.00348705341527861,0.0159482578451579,0.0130755310729079,0.0138430898854493,0.0112957896372902,0.0124107541708413,0.00401501043912656,0.00637157573523002,0.00781051277670117,0.00959810300592432,0.00421285117684572,0.00432072930792514,0.00446003802160625,0.00367236095604974,0.00379064492392501,0.00855760060056631,0.00351999357913842,0.00331101978845412,0.00366274065619088
"2017-11-20",0.0222560203223561,0.0145816632604151,0.016188473977744,0.0218967936830382,0.0114026679314571,0.0228943274096952,0.0229504263751663,0.00980481126807834,0.00559158350303595,0.00445991639613306,0.00545061565166451,0.0065474137200142,0.00644157057683952,0.00967960061568715,0.00991198296987063,0.00929304940546237,0.0111466893545162,0.0099363642519797,0.00706285937534023,0.0107721701473895,0.0112388538578832,0.0076089821790589,0.00362492677004652,0.00776178597018793,0.00387741787813695,0.0096368209520275,0.00718713574656009,0.00458852143331545,0.00529190240452412,0.00405310455897391,0.00420514017331921,0.00443152631218204,0.0137017586533103,0.00485520142835703,0.00402744183161899,0.00493042524710889,0.0108708099074116,0.00520190935391265,0.0226502343592472,0.0101312354930396,0.0153973887361045,0.00700216454319498,0.00726363035886925,0.0198916440626469,0.00816449067716725,0.0306421161805623,0.0190634587750348,0.014141694959503,0.0261883981050724,0.00618290417474439,0.00788682512360936,0.0306979935347452,0.0248633785141502,0.0137165280243061,0.0106090739431812,0.00652918098162025,0.0129230228687891,0.0113215990081627,0.00483141821802542,0.0146489231592006,0.00636102758117392,0.00801825831503333,0.0142412212467779,0.00924501090373324,0.0252355636194781,0.0172109352035233,0.0120448935916362,0.014639437350132,0.0210799474401494,0.0211264186823969,0.0252447056445101,0.00349630394055588,0.00410748078297876,0.00358013233638173,0.0157326040252367,0.0124229487208703,0.0136772505770974,0.0115992474992745,0.0111784945572299,0.00424798639280355,0.00697977855206431,0.00749220883304945,0.00964810432001207,0.0044270726610242,0.00442588898848187,0.00499093979941053,0.00384600561655906,0.00405906407399934,0.00857189488362057,0.00363220067324216,0.00361740597608538,0.0037095985566823
"2017-11-21",0.0230473404403666,0.0148777180545235,0.0161008895457027,0.0215213502693402,0.01101197215801,0.0232664962486098,0.0239592792442698,0.00995022518789822,0.00524157271980746,0.00443379387987475,0.00512835648902227,0.0062419330122276,0.00667925279623479,0.00989120054150891,0.00999142611303493,0.00908127381892859,0.0106971555056416,0.00901907769299856,0.00647699138070817,0.0106242638145705,0.0118573435660921,0.00775099237079782,0.00354083854712441,0.00780735705251883,0.00401319044329261,0.0104320964350596,0.00702018608551801,0.00460319955188201,0.00497136031490778,0.00402381037618434,0.0042100224730376,0.00422558765460456,0.0147525609031255,0.00492576919858556,0.00386952162255462,0.00490679182265807,0.010770325123257,0.00539689903037251,0.0230740107606188,0.00914637757159457,0.01533617511216,0.00655081254221811,0.00661567795107699,0.020082226058716,0.00765916304633254,0.0312280855483861,0.0191860719280947,0.0140826880062761,0.0264515651244253,0.00641868410402798,0.00821279036793015,0.0314310132436076,0.0251768336717686,0.0137635800846022,0.0104164734445993,0.00635331084477625,0.0130930915536499,0.0107864631105637,0.00474682821925868,0.0148180037259274,0.00567669751651934,0.00755373204676774,0.0145595623752372,0.00920691515901304,0.025370460997572,0.0183038050469888,0.0115108880263399,0.014128861618516,0.0212889925001582,0.022144467851021,0.0250746210523635,0.00343188402463406,0.0040674112760885,0.00360121124726989,0.016204608107515,0.0118905814022818,0.0134534295492971,0.0119539948738525,0.0115818001129015,0.0043141454517562,0.00653181601407892,0.00752897692454658,0.0089796527797718,0.00448203053186723,0.00435713720213632,0.00497945402198464,0.00383266297372169,0.00372213980587392,0.0085023426995922,0.00371916486067612,0.00344036211572603,0.00365684232846808
"2017-11-22",0.0227183481622433,0.0148940369342632,0.0177168797184359,0.0223366029201176,0.0121592767691479,0.023991075923313,0.0238031089182226,0.00918480546230803,0.00534669375383981,0.00450674068816155,0.00540103434186858,0.00626845410731697,0.00688826719728839,0.00942409057707187,0.00979115043519296,0.00885224454102876,0.0112296573343308,0.00897672202943174,0.00665935167813378,0.0102070719195249,0.0114901884282518,0.00736223721821119,0.00357050762581394,0.00760525262295021,0.00397121374780655,0.0104116323932768,0.00733402977098666,0.00470647179098124,0.00497648318563552,0.00405357261623935,0.00415651064294466,0.00417343701846643,0.014137782737156,0.00482265366136944,0.00385581180688765,0.00469385854787182,0.0107957997712451,0.00530081974487905,0.0226113426653385,0.00922207048835418,0.0157053142745355,0.0060482185268948,0.00674353401270303,0.0199190001614143,0.00728910596581014,0.0301193536201613,0.019248145697714,0.0135745004886561,0.0271526353251466,0.00596781116941119,0.00771676631409812,0.0300532219021627,0.0248477130988134,0.0134847943048312,0.0106115887130101,0.00661861478407359,0.0129028018518809,0.0117285128373207,0.00475827198379518,0.015474614078881,0.00587374773777354,0.00780755110143474,0.0152365088426059,0.00955348544195657,0.0253704678209766,0.0177703763027608,0.0119131070685014,0.0152722949023872,0.0218164030078191,0.0217721048998432,0.0255021001946074,0.00348824319886083,0.00399940718028343,0.00361634855538304,0.0158145068599132,0.011525591200805,0.0134966397586491,0.0116981318648626,0.0111502572697446,0.00440997169573607,0.00630999667159471,0.00752225784632504,0.0090992034794621,0.00460224792138981,0.00436380172520544,0.00485081183738725,0.00376125752350316,0.00387553903828085,0.00822364644406577,0.0035338811819772,0.00355657011107319,0.00364173230760991
