"","MC.PA","ORA.PA","BNP.PA","BMW.DE","BBVA.MC","G.MI","FRE.DE","PHIA.AS","INGA.AS","SU.PA","ENGI.PA","IBE.MC","ALV.DE","AI.PA","OR.PA","DTE.DE","DBK.DE","ABI.BR","BN.PA","BAYN.DE","ENEL.MI","ITX.MC","AIR.PA","DPW.DE","ASML.AS","SAN.PA","CA.PA","ENI.MI","SAF.PA","ADS.DE","AD.AS","CS.PA","SAN.MC","BAS.DE","BMW3.DE","CRG.IR","SGO.PA","DAI.DE","EOAN.DE","ISP.MI","MUV2.DE","NOKIA.HE","SAP.DE","SIE.DE","GLE.PA","TEF.MC","FP.PA","UNA.AS","DG.PA","VIV.PA","VOW3.DE"
"2017-11-28",0.0176023852501888,0.0232513244559915,0.024546144598262,0.0286068700567599,0.029351980968522,0.0158657006477065,0.0115031149642346,0.0177634698548203,0.0184925893539718,0.0186061436730992,0.0147809130971422,0.0228138868972144,0.0245138692902104,0.0186098256453949,0.0239842552360919,0.0154400137098675,0.0152268799596685,0.0186984036263584,0.0233710714034312,0.0166931974214749,0.0190229838233785,0.0242550010326913,0.0194630651270426,0.0173716183590203,0.0185549529128426,0.0132547543260854,0.018367935329496,0.0184530729801073,0.0184363436764966,0.0145770239297995,0.0140081031162386,0.0149950322221412,0.0287688125242852,0.0244706043226333,0.0218108955507379,0.0138228859111477,0.0167736793860194,0.0287023916568719,0.016009767218251,0.0140035889625634,0.0188612868540714,0.0158368175296014,0.0276808138457875,0.0207252651027035,0.0188306080147047,0.0225124570695129,0.0242707052273216,0.0269275365068543,0.0157812710774886,0.0119199681168797,0.0218087181768136
"2017-11-29",0.0180536433763195,0.0211059840966518,0.0276223163271752,0.0300381760896398,0.0320969244871097,0.0165173012598663,0.0114359797875012,0.0187593591153107,0.0192395171494035,0.0169324948485466,0.0154033548524686,0.0233906280783633,0.023822376294846,0.0180011077991904,0.0240009995054857,0.0149736131448257,0.0145343440941806,0.0176278204547884,0.0233906393351549,0.0151921178597645,0.0191725627944178,0.023597378549221,0.0203185674904278,0.0177183197836197,0.01731174120945,0.0129751010966692,0.0181122668575137,0.0191504094810172,0.0198735400491623,0.0146177379659942,0.0150003715186535,0.0165508164598747,0.0317581073395844,0.0237730093097088,0.0222439157432554,0.0134534466726712,0.0163342940928365,0.0298887373240522,0.017521824444493,0.0135488586562827,0.0192569329917546,0.0155227494633802,0.0258044512608312,0.020348060649371,0.0170463875505647,0.0209794007670846,0.0223429449277013,0.0255523678760758,0.0149661480650967,0.0117533466459904,0.0213675050066521
"2017-11-30",0.0191875670580839,0.0205961391270887,0.0277720860667059,0.0283563073496432,0.0284380732874531,0.0162755888097234,0.0120118733981359,0.017456338667111,0.0193735900934128,0.0184139244310303,0.0158101037603553,0.0196999541468589,0.0247965561387138,0.0179267285629789,0.0258704880157423,0.0149732978992053,0.0153883467267758,0.0197007963407469,0.0247788801246055,0.014478908357116,0.0190806193986193,0.0202245470046283,0.020478527381167,0.0186991515854968,0.0191829879634885,0.0135996211787782,0.0186398604577445,0.0177044602240248,0.0204697883514438,0.0140945897246049,0.0150611714227989,0.0172780568343259,0.029906515263252,0.0246779253628204,0.0212497304308782,0.0133750821848771,0.0183101781958418,0.0275903064644351,0.0182191462950657,0.012818747672182,0.0194246492182118,0.0157591129584565,0.0256391012985148,0.0203058533244344,0.0178001756450256,0.0192814387090035,0.0224951218361741,0.0276932461373243,0.0166411365897473,0.0125351344969785,0.0204584680281691
"2017-12-01",0.0178665169645123,0.020665573012522,0.0259450857239808,0.0269178969327522,0.0275021288530857,0.0158374162125387,0.0119994801442215,0.0177935633156353,0.0215888117860271,0.0214069697413053,0.0160485717845316,0.0213475570114807,0.0233737765366561,0.0200145644372297,0.0256789792666919,0.0136871736825697,0.0155880083326728,0.0190119759060826,0.0250513788312216,0.0150980365314127,0.0189186258277131,0.0197575266016219,0.0205812891994718,0.0191128192563725,0.0196492748909221,0.0161084445045148,0.0181149682633509,0.0186930989804784,0.0216445324165342,0.0142815711382163,0.0142623933970709,0.0176329302285303,0.0291802120085247,0.0246728026748005,0.0202286832343281,0.012534197923124,0.018950871633688,0.0283135841146836,0.017346738659411,0.0129213688489958,0.0192394839535686,0.015251607667461,0.0247993190403063,0.0224101356582922,0.0175141229048062,0.0186095697052032,0.0226113314485318,0.0255729419226819,0.0173130189278873,0.0133309294672267,0.0180181404945516
"2017-12-04",0.0187970816018004,0.0199874896913478,0.0263661975738111,0.0284709456823668,0.0302377931474946,0.0154840679846978,0.0118144125479796,0.0192747492175951,0.0221836364289273,0.020861558901717,0.0158951927289612,0.020371366438015,0.0243783511408314,0.0202013986747114,0.026697669102469,0.0126292228939281,0.0139017791096694,0.0191811609059683,0.0212550669367828,0.0142627619526219,0.0177389953726481,0.0188607126615133,0.0243176446093492,0.0199478905250975,0.017216928734326,0.0140023380716832,0.0183511794999031,0.0157564440743481,0.022930353827769,0.0132570613807254,0.0149853829897572,0.0178698080938815,0.0302540157625454,0.0251357408547817,0.0216018026842192,0.013115887512045,0.0216068512595233,0.0289595756546366,0.0173022478010801,0.0123191134413938,0.0187892551048637,0.0136503217248863,0.0240468490001567,0.0230158254713469,0.0188526093351324,0.0166459884010343,0.021978041449715,0.0258172393430054,0.0175049837484694,0.0122849180863141,0.0196320908621533
"2017-12-05",0.0197061682878281,0.0202589400928178,0.026283533010004,0.0324219149372585,0.026716390489822,0.0158750009404994,0.0110921794754286,0.0186869725426219,0.020622369047899,0.0207076140860417,0.0162455278668711,0.0193962167400871,0.0293688119270563,0.0196327937559448,0.0258416253633887,0.0122731872160715,0.0155456690296575,0.0169630483252353,0.0211838931769074,0.0141170835938066,0.0181630791011393,0.0180444848424568,0.0224679242052314,0.0220191219714104,0.0159727751167816,0.0154349443261484,0.0175906323762352,0.0154059105360867,0.0219754995864137,0.0127955112952781,0.0150538962478529,0.0179147616457736,0.0288263286852772,0.0281119854189901,0.0222112751699311,0.0129377288931373,0.0200693920151559,0.0301799255748608,0.0153157047118179,0.0130598974679311,0.020720718868913,0.0132014174146356,0.0299782866057971,0.0222732858875452,0.01972687571431,0.0154400852398842,0.0215665603715441,0.0247339744529383,0.0175176426303721,0.0114832818903106,0.016868151830593
"2017-12-06",0.0192765393959594,0.0196941453779028,0.0298682212070097,0.0322841343523978,0.0290142583531834,0.0154003961305607,0.0126282857995617,0.0199000880415708,0.0207209502206021,0.0211872484534269,0.0157213992233503,0.0180789541640179,0.0285130252916927,0.0193819616984701,0.0242926993391444,0.0128480043887352,0.0172715360243671,0.0160971852881201,0.0189180886314643,0.013820933089989,0.0183284229387723,0.0178140430577491,0.0213230936979907,0.0270813071631068,0.0159960548725241,0.0151566884873776,0.0180543682497353,0.0156008435020348,0.0211321721505705,0.0129247917111806,0.015088118642953,0.0185123775516921,0.0290993226409666,0.0263054894445606,0.0221128723273205,0.0115467063028844,0.0193926224549928,0.0318654982244641,0.0150002830990522,0.0126192831700318,0.0204924855578937,0.0120149890124247,0.0299603518004153,0.0204555582980503,0.0214091688802364,0.0150784968130389,0.02126764427268,0.0238495418274785,0.0176727292992828,0.0122639783005091,0.0156626417765037
"2017-12-07",0.018747998655662,0.0187206027409058,0.0284266981538201,0.0313713335236113,0.0288921352879647,0.0150427978466616,0.0123926316430648,0.0182529608044276,0.0215729501822848,0.0218145169924052,0.0155953539601329,0.0186299553036178,0.0275115236454305,0.0198089026574909,0.0266358129176772,0.0125779304632946,0.0168363423298642,0.0163212584050007,0.0187603689605484,0.0141997344802208,0.0189684252293584,0.0198639698003041,0.020443129253496,0.0282689089576215,0.015239967501752,0.0158444598688431,0.016947782333684,0.0160304193051994,0.0210087054322093,0.0134266272563955,0.0156840523043128,0.0183131230272149,0.0289751157703808,0.0256929172116694,0.0215498665624785,0.0117754104642983,0.0200327138616393,0.0309559017583632,0.0166004859767002,0.0127630945185198,0.018815729104102,0.0121525954231555,0.0296213770339162,0.0207327888989421,0.0211637386109574,0.0155143671481138,0.0203272189731798,0.0242690265959964,0.0176476107436854,0.0116910315571147,0.0175676305623102
"2017-12-08",0.0185931973329006,0.0171052689179282,0.0279796392096516,0.0302363404437608,0.028817065652588,0.0154162113756302,0.0130260726549144,0.0190280930833472,0.0220041783444272,0.0224385395475182,0.0161764168177904,0.0176164559786457,0.0264886217251669,0.0180965086880038,0.0258966670031411,0.013171620035483,0.0179660170530009,0.0167794451223548,0.0196714780898679,0.0145546706567301,0.019522816140998,0.0193547794093461,0.0210888601532834,0.026054991339756,0.0151923347355362,0.0160882979111382,0.0168140586536619,0.0154456220639421,0.0212570509186612,0.0138947670213903,0.0159054617775322,0.0167650155998447,0.0295401465218253,0.0264190116543909,0.0212906874436673,0.0114112002045106,0.0206355840965247,0.0314739777034153,0.0174094807582779,0.0126649282844302,0.0194654490571623,0.0120111434434482,0.0277802268309125,0.0215074990444255,0.0214497241878961,0.0162626595378688,0.0197247434572439,0.0247734797395014,0.017563308638066,0.0123690181798564,0.0178011677586356
"2017-12-11",0.0189981741044004,0.0172832283323164,0.0274576466004182,0.0323694319485606,0.0296466232285398,0.016015495115802,0.0121129155240552,0.0183835396906607,0.0221779543296166,0.0224524791730256,0.0166575757722335,0.0203074215187231,0.0273352419399794,0.0192099405258581,0.0258472915932214,0.0125078068238738,0.0171894197091917,0.0181736190557331,0.019882038241137,0.0148198358753913,0.0195988719153847,0.0189486449935623,0.0204415315866371,0.0247832574538456,0.0144888540960783,0.0152393673100521,0.0163405270354546,0.0149159744362279,0.0210829651804342,0.0127999879609143,0.0163589789178621,0.0163895503998613,0.0291785068006107,0.0272874347473686,0.0198968983087143,0.0113493948823337,0.0204580135237931,0.0308400812212654,0.016378736225514,0.0128674089424972,0.0194466934487632,0.0120804617483361,0.0267237922044209,0.0223674028981721,0.0212668950919097,0.0191329772532287,0.0200383570930721,0.0243952412058514,0.0173714970685942,0.0109652548374832,0.0177387621090188
