"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","datx11.Ticker","saq"
"18M8.F",0.02,0.003,0.053,0.609,1,-0.011,-0.002,0,0.001,0.001,0.003,0.004,0.007,0.009,"18M8.F","AMUNDI ETF MSCI EUROPE INDUSTRIALS_Industrials"
"LYPF.F",0.002,0,0.009,0.898,1,-0.006,-0.002,-0.001,0,0.001,0.003,0.004,0.006,0.01,"LYPF.F","Lyxor ETF MSCI World Industrials TR_Industrials"
"SPYQ.F",0.02,0.003,0.052,0.612,1,-0.012,-0.003,0,0.001,0.001,0.003,0.004,0.006,0.009,"SPYQ.F","SPDR MSCI Europe Industrials ETF_Industrials"
"C070.F",0.006,0.012,0.019,0.301,1,-0.008,-0.004,-0.003,0,0.001,0.003,0.005,0.008,0.01,"C070.F","ComStage ETF STOXX Europe 600 Insurance_Insurance"
"LYYQ.F",0.005,0.012,0.016,0.312,1,-0.007,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.01,"LYYQ.F","Lyxor ETF STOXX Europe 600 Insurance_Insurance"
"^SSMI",0.002,0.01,0.008,0.47,2,-0.009,-0.004,-0.002,0,0,0.002,0.003,0.006,0.013,"-","-"
"^SPEUP",0.001,0.004,0.006,0.493,2,-0.009,-0.003,-0.001,0,0.001,0.003,0.005,0.006,0.008,"-","-"
"^FTSE",0.002,0.002,0.009,0.612,2,-0.01,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.01,"-","-"
"CD91.F",0.002,0.012,0.008,0.3,2,-0.017,-0.009,-0.006,-0.003,-0.002,0.002,0.005,0.008,0.017,"CD91.F","ComStage ETF NYSE Arca Gold BUGS_Basic resources"
"IUSB.F",0.001,0.005,0.003,0.446,2,0,0,0,0,0,0,0,0,0,"IUSB.F","iShares S&P Global Timber&Forestry_Basic resources"
"M9SD.F",0.002,0.013,0.008,0.291,2,-0.017,-0.01,-0.006,-0.003,-0.002,0.003,0.005,0.008,0.016,"M9SD.F","RBS Market Access NYSE Arca Gold Bugs_Basic resources"
"DX2E.F",0.002,0.007,0.01,0.567,2,-0.006,-0.004,-0.002,-0.001,0,0.002,0.004,0.005,0.008,"DX2E.F","db x-trackers S&P Global Infrastructure ETF_Infrastructur"
"C074.F",0.002,0.002,0.007,0.539,2,-0.008,-0.004,-0.003,0,0,0.002,0.004,0.006,0.01,"C074.F","ComStage ETF STOXX Europe 600 Real Est_Real estate"
"IM2A.F",0.001,0.268,0.004,0.112,2,-0.006,-0.003,-0.002,-0.001,0,0.001,0.003,0.005,0.008,"IM2A.F","EasyETF EPRA Eurozone_Real estate"
"LYPL.F",0.002,0.003,0.006,0.482,2,-0.006,-0.003,-0.002,-0.001,0,0.002,0.003,0.005,0.009,"LYPL.F","Lyxor ETF MSCI Europe Real Estate_Real estate"
"LYPM.F",0.003,0.002,0.01,1.01,2,-0.009,-0.004,-0.002,0,0.001,0.003,0.007,0.009,0.016,"LYPM.F","Lyxor ETF MSCI USA Real Estate_Real estate"
"LYPP.F",0.004,0.001,0.012,0.829,2,-0.006,-0.003,-0.001,0,0,0.002,0.004,0.006,0.009,"LYPP.F","Lyxor ETF MSCI World Real Estate_Real estate"
"SPYJ.F",0.004,0.002,0.01,0.865,2,-0.006,-0.003,-0.001,0,0,0.003,0.004,0.006,0.009,"SPYJ.F","SPDR Dow Jones Global Real Estate ETF_Real estate"
"C075.F",0.004,0.001,0.012,0.888,2,-0.01,-0.004,-0.003,-0.001,0,0.002,0.005,0.008,0.013,"C075.F","ComStage ETF STOXX Europe 600 Retail N_Retail"
"EXH8.F",0.004,0.001,0.011,0.863,2,-0.01,-0.005,-0.003,-0.001,0,0.003,0.005,0.009,0.011,"EXH8.F","iShares STOXX Europe 600 Retail (DE)_Retail"
"LYYI.F",0.004,0.001,0.011,0.905,2,-0.01,-0.004,-0.003,-0.001,0,0.002,0.005,0.008,0.012,"LYYI.F","Lyxor ETF STOXX Europe 600 Retail_Retail"
"18M6.F",0.009,0.001,0.022,0.917,3,-0.008,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.011,"18M6.F","AMUNDI ETF MSCI EUROPE HEALTHCARE_Health care"
"C068.F",0.007,0.001,0.02,0.926,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.005,0.011,"C068.F","ComStage ETF STOXX Europe 600 Health C_Health care"
"EXV4.F",0.009,0,0.023,0.922,3,-0.009,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.012,"EXV4.F","iShares STOXX Europe 600 Health Care (DE)_Health care"
"LYPE.F",0.003,0,0.01,1.121,3,-0.005,-0.002,-0.001,0.001,0.001,0.004,0.005,0.007,0.01,"LYPE.F","Lyxor ETF MSCI World Health Care TR_Health care"
"LYYS.F",0.009,0,0.023,0.945,3,-0.008,-0.003,-0.001,0.001,0.001,0.003,0.004,0.006,0.011,"LYYS.F","Lyxor ETF STOXX Europe 600 Health Care_Health care"
"SPYH.F",0.008,0.001,0.019,0.925,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.005,0.011,"SPYH.F","SPDR MSCI Europe Health Care ETF_Health care"
"C071.F",0.003,0.003,0.011,0.589,3,-0.008,-0.003,-0.002,-0.001,0.001,0.003,0.005,0.005,0.008,"C071.F","ComStage ETF STOXX Europe 600 Media NR_Media"
"EXH6.F",0.003,0.003,0.009,0.541,3,-0.009,-0.004,-0.002,0,0,0.003,0.004,0.006,0.01,"EXH6.F","iShares STOXX Europe 600 Media (DE)_Media"
