"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"YRI.TO",0.013,2,-0.022,-0.011,-0.006,-0.001,0.002,0.007,0.012,0.017,0.029,"Yamana Gold Inc.","TOR","Gold","Canada"
"ACD.TO",0.009,3,-0.024,-0.01,-0.005,0,0.001,0.007,0.014,0.017,0.024,"Accord Financial Corp.","TOR","Credit Services","Canada"
"CBL.TO",0.011,3,-0.036,-0.024,-0.017,-0.014,-0.011,-0.001,0.004,0.014,0.029,"Callidus Capital Corporation","TOR","Credit Services","Canada"
"CFP.TO",0.008,3,-0.009,-0.001,0.005,0.01,0.012,0.017,0.02,0.025,0.038,"Canfor Corporation","TOR","Lumber, Wood Production","Canada"
"CTO.V",0.008,3,-0.017,-0.006,-0.003,0,0.002,0.008,0.014,0.022,0.027,"Circa Enterprises Inc.","VAN","Diversified Electronics","Canada"
"CWB.TO",0.014,3,-0.023,-0.005,0.004,0.009,0.01,0.017,0.023,0.029,0.041,"Canadian Western Bank","TOR","Money Center Banks","Canada"
"ENB.TO",0.012,3,-0.032,-0.018,-0.012,-0.004,-0.003,0.005,0.011,0.018,0.038,"Enbridge Inc.","TOR","Oil & Gas Pipelines","Canada"
"ESN.TO",0.012,3,-0.023,-0.013,-0.01,-0.006,-0.005,0,0.005,0.013,0.023,"Essential Energy Services Ltd.","TOR","Oil & Gas Equipment & Services","Canada"
"KUB.V",0.008,3,-0.158,-0.017,-0.01,0,0,0,0,0.01,0.017,"CUB Energy Inc.","VAN","Independent Oil & Gas","Canada"
"LB.TO",0.01,3,-0.025,-0.017,-0.012,-0.005,-0.003,0.005,0.01,0.019,0.037,"Laurentian Bank of Canada","TOR","Money Center Banks","Canada"
"MOZ.TO",0.009,3,-0.021,-0.01,-0.007,-0.004,-0.003,0.001,0.005,0.011,0.026,"Marathon Gold Corporation","TOR","Gold","Canada"
"MRD.TO",0.009,3,-0.021,-0.012,-0.008,-0.002,0,0.007,0.011,0.015,0.025,"Melcor Developments Ltd.","TOR","Real Estate Development","Canada"
"PEY.TO",0.01,3,-0.04,-0.025,-0.019,-0.012,-0.01,-0.003,0.005,0.012,0.022,"Peyto Exploration & Development Corp","TOR","Independent Oil & Gas","Canada"
"PPL.TO",0.016,3,-0.03,-0.018,-0.01,-0.003,0.001,0.007,0.013,0.024,0.047,"Pembina Pipeline Corporation","TOR","Oil & Gas Pipelines","Canada"
