"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"SC05.DE",0.001,0.004,2,0,0,0,0,0,0,0,0.001,0.015,"SC05.DE","Source Markets plc - Source STOXX Europe 600 Optimised Retail UCITS ETF"
"SC00.DE",0.002,0.009,2,-0.005,-0.001,0,0,0,0,0.001,0.007,0.015,"SC00.DE","Source Markets plc - Source STOXX Europe 600 Optimised Chemicals UCITS ETF"
"SC0Y.DE",0.001,0.006,2,0,0,0,0,0,0,0,0.001,0.009,"SC0Y.DE","Source Markets plc - Source STOXX Europe 600 Optimised Insurance UCITS ETF"
"SC0X.DE",0.002,0.008,2,-0.008,0,0,0,0,0,0.002,0.008,0.016,"SC0X.DE","Source Markets plc - Source STOXX Europe 600 Optimised Technology UCITS ETF"
"XSKR.MI",0.001,0.004,2,-0.003,0,0,0,0,0,0,0,0.007,"XSKR.MI","DB X-TRACKERS STOXX600 TELECOM"
"C077.DE",0.002,0.009,2,-0.008,0,0,0,0,0,0,0.002,0.014,"C077.DE","ComStage - STOXX Europe 600 Telecommunications NR UCITS ETF"
"C077.F",0.005,0.018,2,-0.011,-0.005,-0.003,-0.001,0,0.002,0.005,0.007,0.015,"C077.F","ComStage - STOXX Europe 600 Telecommunications NR UCITS ETF"
"SC0R.DE",0.002,0.008,2,-0.009,0,0,0,0,0,0,0.006,0.013,"SC0R.DE","Source Markets plc - Source STOXX Europe 600 Optimised Travel & Leisure UCITS ETF"
"LYYP.SG",0.002,0.01,2,-0.012,-0.007,-0.003,-0.001,0,0.002,0.004,0.009,0.014,"LYYP.SG","Lyx.STOXX Eur.600 Banks U.ETF A"
"C079.DE",0.002,0.007,2,-0.007,0,0,0,0,0,0,0.007,0.012,"C079.DE","ComStage - STOXX Europe 600 Utilities NR UCITS ETF"
"C069.DE",0.003,0.012,2,-0.006,0,0,0,0,0,0.004,0.007,0.012,"C069.DE","ComStage - STOXX Europe 600 Industrial Goods & Services NR UCITS ETF"
"EXH7.F",0.008,0.025,2,-0.008,-0.003,-0.001,0.001,0.001,0.003,0.004,0.007,0.012,"EXH7.F","iShares (DE) I - iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE)"
"SX6PEX.SW",0.001,0.005,2,-0.002,0,0,0,0,0,0,0,0.009,"SX6PEX.SW","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"EXI5.DE",0.004,0.014,2,-0.006,-0.003,-0.002,-0.001,0,0.002,0.003,0.006,0.009,"EXI5.DE","iShares (DE) I - iShares STOXX Europe 600 Real Estate UCITS ETF (DE)"
"SC0S.DE",0.002,0.007,2,-0.007,0,0,0,0,0,0,0.005,0.011,"SC0S.DE","Source Markets plc - Source STOXX Europe 600 Optimised Industrial Goods & Services"
"SC03.DE",0.002,0.007,2,-0.004,0,0,0,0,0,0,0.004,0.013,"SC03.DE","Source Markets plc - Source STOXX Europe 600 Optimised Food & Beverage UCITS ETF"
"SC02.DE",0.001,0.003,2,0,0,0,0,0,0,0,0,0.009,"SC02.DE","Source Markets plc - Source STOXX Europe 600 Optimised Financial Services UCITS ETF"
"SC0Z.DE",0.001,0.006,2,-0.005,0,0,0,0,0,0,0.001,0.011,"SC0Z.DE","Source Markets plc - Source STOXX Europe 600 Optimised Utilities UCITS ETF"
"^CXKCX",0.016,0.046,3,-0.013,-0.006,-0.003,0.001,0.001,0.004,0.006,0.01,0.016,"-","-"
"EXH4.F",0.027,0.082,3,-0.01,-0.002,0,0.001,0.002,0.004,0.005,0.007,0.011,"EXH4.F","iShares (DE) I - iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE)"
"EXV7.F",0.023,0.069,3,-0.011,-0.003,-0.001,0,0.001,0.003,0.005,0.01,0.013,"EXV7.F","iShares (DE) I - iShares STOXX Europe 600 Chemicals UCITS ETF (DE)"
"C064.F",0.022,0.07,3,-0.01,-0.004,-0.001,0.001,0.001,0.003,0.006,0.01,0.013,"C064.F","ComStage - STOXX Europe 600 Chemicals NR UCITS ETF"
"C070.DE",0.007,0.024,3,-0.009,-0.002,0,0,0,0.002,0.004,0.006,0.011,"C070.DE","ComStage - STOXX Europe 600 Insurance NR UCITS ETF"
"C065.F",0.026,0.078,3,-0.011,-0.003,-0.001,0.001,0.002,0.004,0.005,0.006,0.009,"C065.F","ComStage - STOXX Europe 600 Construction & Materials NR UCITS ETF"
"C078.DE",0.004,0.017,3,-0.01,-0.002,0,0,0,0.003,0.004,0.007,0.014,"C078.DE","ComStage - STOXX Europe 600 Travel & Leisure NR UCITS ETF"
"C078.F",0.007,0.023,3,-0.01,-0.003,0,0.001,0.001,0.003,0.004,0.006,0.011,"C078.F","ComStage - STOXX Europe 600 Travel & Leisure NR UCITS ETF"
"C071.F",0.006,0.019,3,-0.007,-0.002,-0.001,0.001,0.001,0.004,0.005,0.007,0.013,"C071.F","ComStage - STOXX Europe 600 Media NR UCITS ETF"
"C066.F",0.024,0.072,3,-0.01,-0.004,-0.001,0,0.001,0.004,0.005,0.007,0.01,"C066.F","ComStage - STOXX Europe 600 Financial Services NR UCITS ETF"
"C060.F",0.023,0.078,3,-0.008,-0.002,-0.002,0,0.001,0.003,0.004,0.007,0.01,"C060.F","ComStage - STOXX Europe 600 NR UCITS ETF"
"C069.F",0.027,0.086,3,-0.01,-0.002,0,0.001,0.001,0.004,0.005,0.007,0.011,"C069.F","ComStage - STOXX Europe 600 Industrial Goods & Services NR UCITS ETF"
