"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"GVC.L",0.006,0.027,1,-0.04,-0.015,-0.006,0.001,0.008,0.018,0.027,0.037,0.054,"GVC Holdings PLC","LSE","Resorts & Casinos","United Kingdom"
"RMV.L",0.006,0.028,1,-0.026,-0.013,-0.005,0.003,0.008,0.019,0.031,0.049,0.075,"Rightmove plc","LSE","Property Management","United Kingdom"
"^STOXX",0.008,0.031,1,-0.037,-0.014,-0.004,0.004,0.007,0.015,0.027,0.034,0.071,"-","-","-","-"
"^STOXX50E",0.008,0.031,1,-0.045,-0.014,-0.005,0.003,0.005,0.016,0.023,0.035,0.057,"-","-","-","-"
"^SPEUP",0.007,0.032,1,-0.024,-0.013,-0.001,0.005,0.008,0.017,0.026,0.042,0.071,"-","-","-","-"
"SIE.DE",0.013,0.055,2,-0.039,-0.023,-0.009,0.002,0.006,0.016,0.029,0.041,0.069,"Siemens Aktiengesellschaft","GER","Diversified Machinery","Germany"
"BEI.DE",0.008,0.036,2,-0.035,-0.018,-0.009,-0.002,0.002,0.014,0.024,0.034,0.065,"Beiersdorf Aktiengesellschaft","GER","Personal Products","Germany"
"BAS.DE",0.017,0.072,2,-0.039,-0.014,-0.005,0,0.003,0.014,0.023,0.036,0.057,"BASF SE","GER","Chemicals - Major Diversified","Germany"
"MUV2.DE",0.009,0.038,2,-0.037,-0.016,-0.009,-0.001,0.005,0.015,0.026,0.039,0.064,"Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft","GER","Property & Casualty Insurance","Germany"
"BAYN.DE",0.008,0.035,2,-0.055,-0.024,-0.015,-0.005,-0.002,0.011,0.017,0.027,0.043,"Bayer Aktiengesellschaft","GER","Drug Manufacturers - Major","Germany"
"ALV.DE",0.014,0.056,2,-0.035,-0.016,-0.008,0.003,0.006,0.017,0.025,0.039,0.071,"Allianz SE","GER","Property & Casualty Insurance","Germany"
"RWE.DE",0.007,0.03,2,-0.039,-0.017,-0.006,0.002,0.006,0.019,0.03,0.048,0.078,"RWE Aktiengesellschaft","GER","Diversified Utilities","Germany"
"LIN.DE",0.007,0.031,2,-0.039,-0.021,-0.008,-0.001,0.002,0.012,0.02,0.03,0.066,"Linde Aktiengesellschaft","GER","Chemicals - Major Diversified","Germany"
"DPW.DE",0.007,0.033,2,-0.043,-0.02,-0.011,-0.004,0.001,0.016,0.026,0.037,0.054,"Deutsche Post AG","GER","Air Delivery & Freight Services","Germany"
"VOW3.DE",0.01,0.042,2,-0.038,-0.021,-0.011,-0.002,0.002,0.011,0.02,0.03,0.056,"Volkswagen Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"DAI.DE",0.011,0.047,2,-0.06,-0.019,-0.005,0.003,0.007,0.017,0.026,0.039,0.058,"Daimler AG","GER","Auto Manufacturers - Major","Germany"
"EOAN.DE",0.007,0.032,2,-0.049,-0.021,-0.012,-0.005,-0.001,0.008,0.02,0.037,0.063,"E.ON SE","GER","Diversified Utilities","Germany"
"HEI.DE",0.007,0.033,2,-0.049,-0.022,-0.015,-0.006,-0.002,0.009,0.015,0.032,0.057,"HeidelbergCement AG","GER","General Building Materials","Germany"
"CON.DE",0.01,0.042,2,-0.032,-0.016,-0.006,0,0.004,0.013,0.019,0.028,0.059,"Continental Aktiengesellschaft","GER","Auto Parts","Germany"
"SAP.DE",0.011,0.048,2,-0.038,-0.014,-0.007,0.002,0.006,0.017,0.026,0.043,0.081,"SAP SE","GER","Technical & System Software","Germany"
"MRK.DE",0.007,0.03,2,-0.037,-0.017,-0.008,-0.004,0,0.007,0.016,0.028,0.046,"Merck Kommanditgesellschaft auf Aktien","GER","Drugs - Generic","Germany"
"IFX.DE",0.009,0.038,2,-0.029,-0.014,-0.004,0.002,0.007,0.019,0.025,0.042,0.074,"Infineon Technologies AG","GER","Semiconductor - Broad Line","Germany"
"HEN3.DE",0.009,0.039,2,-0.039,-0.019,-0.012,-0.005,-0.001,0.009,0.017,0.024,0.055,"Henkel AG & Co. KGaA","GER","Personal Products","Germany"
"FME.DE",0.006,0.028,2,-0.031,-0.012,-0.003,0.002,0.004,0.011,0.018,0.029,0.058,"Fresenius Medical Care AG & Co. KGAA","GER","Hospitals","Germany"
"DTE.DE",0.007,0.032,2,-0.046,-0.024,-0.018,-0.011,-0.007,0.007,0.017,0.029,0.048,"Deutsche Telekom AG","GER","Wireless Communications","Germany"
"BMW.DE",0.011,0.047,2,-0.054,-0.022,-0.01,-0.001,0.001,0.015,0.021,0.031,0.067,"Bayerische Motoren Werke Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"^GDAXI",0.022,0.086,2,-0.032,-0.012,-0.002,0.005,0.008,0.019,0.029,0.04,0.07,"-","-","-","-"
"CAP.PA",0.007,0.031,2,-0.03,-0.013,-0.005,0.001,0.004,0.016,0.024,0.042,0.087,"Capgemini SE","PAR","","France"
"FP.PA",0.01,0.044,2,-0.033,-0.011,-0.004,0.004,0.011,0.025,0.037,0.05,0.087,"TOTAL S.A.","PAR","Major Integrated Oil & Gas","France"
"AI.PA",0.013,0.053,2,-0.032,-0.015,-0.009,-0.001,0.003,0.015,0.025,0.038,0.071,"Air Liquide, société anonyme","PAR","Chemicals - Major Diversified","France"
