"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"FOX",0.006,5,-0.014,-0.006,-0.001,0.003,0.004,0.012,0.017,0.023,0.037,"Twenty-First Century Fox, Inc.","NMS","","USA"
"FOXA",0.006,5,-0.014,-0.005,0,0.003,0.005,0.012,0.016,0.022,0.033,"Twenty-First Century Fox, Inc.","NMS","Entertainment - Diversified","USA"
"AMGN",0.011,6,-0.02,-0.011,-0.005,-0.001,0.003,0.014,0.018,0.025,0.037,"Amgen Inc.","NMS","Biotechnology","USA"
"GILD",0.008,6,-0.022,-0.011,-0.006,-0.003,-0.001,0.006,0.02,0.027,0.037,"Gilead Sciences, Inc.","NMS","Biotechnology","USA"
"BIIB",0.005,6,-0.019,-0.008,-0.004,0.003,0.006,0.01,0.015,0.023,0.038,"Biogen Inc.","NMS","Biotechnology","USA"
"REGN",0.006,6,-0.027,-0.015,-0.012,-0.007,-0.005,0.003,0.009,0.015,0.024,"Regeneron Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"VRTX",0.006,6,-0.022,-0.011,-0.006,-0.002,0.001,0.01,0.016,0.021,0.027,"Vertex Pharmaceuticals Incorporated","NMS","Biotechnology","USA"
"ALXN",0.006,6,-0.025,-0.008,-0.003,0.001,0.003,0.008,0.013,0.02,0.032,"Alexion Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"INCY",0.007,6,-0.023,-0.014,-0.01,-0.006,-0.004,0.003,0.01,0.015,0.025,"Incyte Corporation","NMS","Biotechnology","USA"
"BMRN",0.006,6,-0.017,-0.01,-0.005,-0.001,0.002,0.009,0.012,0.015,0.027,"BioMarin Pharmaceutical Inc.","NMS","Biotechnology","USA"
"JAZZ",0.008,6,-0.018,-0.009,-0.005,0,0.003,0.01,0.015,0.022,0.035,"Jazz Pharmaceuticals Public Limited Company","NMS","Biotechnology","USA"
"OPK",0.005,6,-0.023,-0.012,-0.009,-0.005,-0.004,0.001,0.007,0.013,0.027,"Opko Health, Inc.","NMS","Biotechnology","USA"
"AGIO",0.006,6,-0.018,-0.006,0,0.005,0.008,0.014,0.018,0.023,0.032,"Agios Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"SRPT",0.006,6,-0.014,-0.003,0.003,0.009,0.011,0.017,0.019,0.024,0.034,"Sarepta Therapeutics, Inc.","NMS","Biotechnology","USA"
"CBPO",0.003,6,-0.022,-0.013,-0.009,-0.004,-0.002,0.005,0.009,0.013,0.024,"China Biologic Products Holdings, Inc.","NMS","Biotechnology","USA"
"PRTA",0.005,6,-0.029,-0.016,-0.011,-0.002,0,0.008,0.015,0.026,0.038,"Prothena Corporation plc","NMS","Biotechnology","USA"
"ICPT",0.005,6,-0.022,-0.013,-0.007,-0.002,0.001,0.008,0.014,0.019,0.026,"Intercept Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
