"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"XLF",0.016,0.058,2,-0.028,-0.014,-0.005,0.001,0.004,0.02,0.03,0.045,0.075,"XLF","Financial Select Sector SPDR Fund"
"^GSPC",0.042,0.123,3,-0.021,-0.006,0.002,0.008,0.012,0.023,0.036,0.048,0.085,"-","-"
"^DJI",0.029,0.093,3,-0.022,-0.008,0,0.008,0.014,0.032,0.04,0.053,0.104,"-","-"
"^IXIC",0.022,0.072,3,-0.024,-0.007,0,0.009,0.015,0.023,0.032,0.046,0.071,"-","-"
"^NYA",0.035,0.117,3,-0.025,-0.01,-0.001,0.009,0.012,0.023,0.033,0.044,0.081,"-","-"
"^RUA",0.037,0.128,3,-0.023,-0.006,0.001,0.01,0.012,0.024,0.033,0.05,0.113,"-","-"
"^RUI",0.043,0.124,3,-0.02,-0.005,0.002,0.008,0.012,0.024,0.034,0.046,0.083,"-","-"
"SPYG",0.024,0.077,3,-0.021,-0.007,0,0.008,0.013,0.026,0.036,0.053,0.09,"SPYG","SPDR S&P 500 Growth ETF"
"SYG",0.015,0.053,3,-0.024,-0.008,0,0.009,0.014,0.024,0.034,0.047,0.072,"SYG","SSGA Active Trust - SPDR MFS Systematic Growth Equity ETF"
"SPY",0.037,0.111,3,-0.02,-0.005,0.001,0.008,0.011,0.024,0.035,0.046,0.082,"SPY","SPDR S&P 500 ETF"
"DIA",0.027,0.086,3,-0.025,-0.007,0,0.008,0.013,0.033,0.042,0.056,0.104,"DIA","SPDR Dow Jones Industrial Average ETF"
"XLY",0.009,0.034,3,-0.02,-0.009,-0.001,0.007,0.01,0.025,0.034,0.053,0.109,"XLY","Consumer Discret Sel Sect SPDR ETF"
"SYE",0.013,0.048,3,-0.027,-0.007,-0.002,0.007,0.01,0.02,0.03,0.045,0.07,"SYE","SPDR MFS Systematic Core Equity ETF"
"DGT",0.017,0.059,4,-0.023,-0.01,-0.001,0.006,0.011,0.022,0.031,0.042,0.066,"DGT","SPDR Global Dow ETF"
"GMF",0.013,0.044,4,-0.04,-0.016,-0.006,0.003,0.008,0.018,0.029,0.042,0.064,"GMF","SPDR Index Shares Funds - SPDR S&P Emerging Asia Pacific ETF"
"GAL",0.024,0.084,4,-0.031,-0.011,-0.004,0.005,0.009,0.023,0.033,0.045,0.073,"GAL","SSGA Active Trust - SPDR SSGA Global Allocation ETF"
"INKM",0.01,0.038,4,-0.031,-0.016,-0.006,0.001,0.006,0.015,0.023,0.034,0.061,"INKM","SPDR SSgA Income Allocation ETF"
"QEFA",0.016,0.053,4,-0.029,-0.012,-0.005,0.001,0.004,0.016,0.024,0.039,0.07,"QEFA","SPDR MSCI EAFE StrategicFactors ETF"
"SMEZ",0.013,0.045,4,-0.034,-0.015,-0.009,0,0.003,0.015,0.024,0.038,0.073,"SMEZ","SPDR EURO STOXX Small Cap ETF"
"EBND",0.012,0.041,4,-0.042,-0.022,-0.014,-0.008,-0.006,0.006,0.016,0.027,0.054,"EBND","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF"
"EWX",0.014,0.049,4,-0.038,-0.016,-0.006,0,0.003,0.013,0.022,0.038,0.082,"EWX","SPDR S&P Emerging Markets Small Cap ETF"
