"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"XIU.TO",0.007,0.018,1,-0.005,-0.002,-0.001,0,0.001,0.002,0.003,0.005,0.008,"XIU.TO","iShares S&P/TSX 60 Index ETF"
"XIC.TO",0.008,0.019,1,-0.005,-0.002,-0.001,0,0.001,0.002,0.004,0.005,0.007,"XIC.TO","iShares Core S&P/TSX Capped Composite Index ETF"
"^GSPTSE",0.008,0.019,1,-0.005,-0.002,-0.001,0,0.001,0.002,0.004,0.005,0.007,"^GSPTSE","^GSPTSE"
"VBU.TO",0.003,0.01,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"VBU.TO","Vanguard U.S. Aggregate Bond Index ETF (CAD-hedged)"
"FDE.TO",0.001,0.003,1,-0.003,0,0,0,0,0,0,0,0.015,"FDE.TO","First Trust AlphaDEX Emerging Market Dividend ETF (CAD-Hedged)"
"CYH.TO",0.003,0.011,1,-0.006,-0.003,-0.001,0,0,0.002,0.004,0.006,0.009,"CYH.TO","iShares Global Monthly Dividend Index ETF (CAD-Hedged)"
"ZUB.TO",0.002,0.009,1,-0.012,-0.005,-0.002,0,0.001,0.005,0.008,0.013,0.019,"ZUB.TO","BMO Equal Weight US Banks Hedged to CAD Index ETF"
"ZSU.TO",0.002,0.009,1,-0.002,-0.001,0,0,0,0,0,0.001,0.003,"ZSU.TO","BMO Short-Term US IG Corporate Bond Hedged to CAD Index ETF"
"XPF.TO",0.002,0.008,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"XPF.TO","iShares S&P/TSX North American Preferred Stock Index ETF (CAD-Hedged)"
"XFS.TO",0.002,0.007,1,-0.009,-0.001,0,0,0,0.003,0.004,0.007,0.015,"XFS.TO","iShares Edge MSCI Multifactor USA Index ETF (CAD-Hedged)"
"XEB.TO",0.002,0.008,1,-0.005,-0.002,-0.001,0,0,0,0.001,0.003,0.005,"XEB.TO","iShares J.P. Morgan USD Emerging Markets Bond Index ETF (CAD-Hedged)"
"CSD.TO",0.002,0.007,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.004,"CSD.TO","iShares Short Duration High Income ETF (CAD-Hedged)"
"ZEF.TO",0.002,0.008,1,-0.006,-0.003,-0.002,-0.001,-0.001,0.001,0.002,0.004,0.007,"ZEF.TO","BMO Emerging Markets Bond Hedged to CAD Index ETF"
"XHY.TO",0.002,0.009,1,-0.005,-0.002,-0.001,0,0,0.001,0.002,0.003,0.005,"XHY.TO","iShares U.S. High Yield Bond Index ETF (CAD-Hedged)"
"ZMT.TO",0.002,0.006,1,-0.019,-0.007,-0.003,0,0,0.004,0.009,0.014,0.023,"ZMT.TO","BMO S&P/TSX Equal Weight Global Base Metals Hedged to CAD Index ETF"
"ZMU.TO",0.002,0.009,1,-0.004,-0.002,-0.001,-0.001,-0.001,0.001,0.002,0.003,0.005,"ZMU.TO","BMO Mid-Term US IG Corporate Bond Hedged to CAD Index ETF"
"ZHY.TO",0.002,0.008,1,-0.004,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.006,"ZHY.TO","BMO High Yield US Corporate Bond Hedged to CAD Index ETF"
"FSD.TO",0.001,0.002,1,0,0,0,0,0,0,0,0,0.001,"FSD.TO","First Trust Short Duration High Yield Bond ETF (CAD-Hedged)"
"CHB.TO",0.002,0.007,1,-0.005,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.006,"CHB.TO","iShares U.S. High Yield Fixed Income Index ETF (CAD-Hedged)"
"FSL.TO",0.001,0.005,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"FSL.TO","First Trust Senior Loan ETF (CAD-Hedged)"
"FUD.TO",0.001,0.003,1,0,0,0,0,0,0,0,0,0.008,"FUD.TO","First Trust AlphaDEX U.S. Dividend ETF (CAD-Hedged)"
"VBG.TO",0.003,0.009,1,-0.002,-0.001,0,0,0,0,0.001,0.002,0.003,"VBG.TO","Vanguard Global ex-U.S. Aggregate Bond Index ETF (CAD-hedged)"
"XCD.TO",0.002,0.007,1,-0.01,-0.003,0,0,0,0.003,0.006,0.009,0.014,"XCD.TO","iShares S&P Global Consumer Discretionary Index ETF (CAD-Hedged)"
"XIG.TO",0.003,0.009,1,-0.004,-0.002,-0.001,0,0,0.001,0.001,0.003,0.004,"XIG.TO","iShares U.S. IG Corporate Bond Index ETF (CAD-Hedged)"
"XGI.TO",0.002,0.008,1,-0.011,-0.002,0,0,0,0.002,0.005,0.008,0.013,"XGI.TO","iShares S&P Global Industrials Index ETF (CAD-Hedged)"
"PDF.TO",0.004,0.012,1,-0.006,-0.003,-0.001,0,0,0.002,0.003,0.005,0.008,"PDF.TO","Purpose Fund Corp. - Purpose Core Dividend Fund"
"PHR.TO",0.002,0.006,1,-0.007,-0.003,-0.001,0,0,0.002,0.004,0.006,0.01,"PHR.TO","Purpose Fund Corp. - Purpose Duration Hedged Real Estate Fund"
