"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"^FCHI",0.013,0.009,0.033,0.296,4,-0.011,-0.003,-0.001,0,0,0.003,0.004,0.008,0.01,"^FCHI","^FCHI"
"^N100",0.015,0.006,0.04,0.423,4,-0.009,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.009,"^N100","^N100"
"^SSMI",0.002,0.011,0.008,0.406,4,-0.009,-0.004,-0.002,-0.001,0,0.002,0.003,0.006,0.013,"^SSMI","^SSMI"
"^CXKCX",0.008,0.004,0.022,0.5,4,-0.014,-0.006,-0.003,0.001,0.001,0.004,0.006,0.01,0.016,"^CXKCX","^CXKCX"
"EXH2.F",0.006,0.007,0.017,0.376,4,-0.01,-0.004,-0.001,0.001,0.001,0.003,0.005,0.007,0.009,"EXH2.F","iShares (DE) I - iShares STOXX Europe 600 Financial Services UCITS ETF (DE)"
"C064.F",0.01,0.002,0.028,0.747,4,-0.013,-0.003,-0.001,0.001,0.002,0.003,0.005,0.008,0.012,"C064.F","ComStage - STOXX Europe 600 Chemicals NR UCITS ETF"
"EXV8.F",0.011,0.008,0.032,0.334,4,-0.011,-0.004,-0.001,0,0.001,0.004,0.005,0.006,0.008,"EXV8.F","iShares (DE) I - iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE)"
"EXV7.F",0.009,0.002,0.026,0.736,4,-0.012,-0.003,0,0.001,0.001,0.003,0.005,0.009,0.012,"EXV7.F","iShares (DE) I - iShares STOXX Europe 600 Chemicals UCITS ETF (DE)"
"C060.F",0.009,0.005,0.025,0.443,4,-0.009,-0.002,-0.002,0,0.001,0.003,0.004,0.006,0.008,"C060.F","ComStage - STOXX Europe 600 NR UCITS ETF"
"C066.F",0.007,0.007,0.019,0.368,4,-0.01,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.009,"C066.F","ComStage - STOXX Europe 600 Financial Services NR UCITS ETF"
"C065.F",0.011,0.007,0.03,0.355,4,-0.011,-0.004,-0.001,0,0.001,0.004,0.005,0.006,0.008,"C065.F","ComStage - STOXX Europe 600 Construction & Materials NR UCITS ETF"
"EXH4.F",0.015,0.002,0.043,0.701,4,-0.01,-0.002,0,0.001,0.001,0.003,0.005,0.006,0.009,"EXH4.F","iShares (DE) I - iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE)"
"C069.F",0.011,0.002,0.033,0.687,4,-0.01,-0.003,0,0.001,0.001,0.003,0.005,0.006,0.009,"C069.F","ComStage - STOXX Europe 600 Industrial Goods & Services NR UCITS ETF"
"EXSA.F",0.01,0.005,0.03,0.427,4,-0.009,-0.002,-0.002,0,0.001,0.003,0.004,0.006,0.009,"EXSA.F","iShares STOXX Europe 600 UCITS ETF (DE)"
"EXSA.DE",0.011,0.005,0.035,0.428,4,-0.009,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.008,"EXSA.DE","iShares STOXX Europe 600 UCITS ETF (DE)"
"000001.SS",0.002,0.025,0.008,0.181,4,-0.014,-0.007,-0.005,-0.003,-0.002,0.003,0.005,0.011,0.02,"000001.SS","SSE Composite Index"
"^OMXSPI",0.003,0.003,0.009,0.62,4,-0.008,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.01,"^OMXSPI","OMX Stockholm_PI"
"^OMX",0.003,0.004,0.009,0.596,4,-0.009,-0.004,-0.002,-0.001,0.001,0.004,0.005,0.009,0.011,"^OMX","OMX Stockholm 30 Index"
"^ISEQ",0.002,0.003,0.008,0.599,4,-0.008,-0.004,-0.002,-0.001,0,0.002,0.004,0.005,0.01,"^ISEQ","ISEQ-OVERALL PRICE"
"^OMXH25",0.002,0.002,0.007,0.679,4,-0.012,-0.004,-0.001,0,0.001,0.004,0.005,0.009,0.011,"^OMXH25","OMX Helsinki 25"
"^MXX",0.002,0.011,0.007,0.56,4,-0.008,-0.005,-0.003,-0.001,0.001,0.004,0.006,0.008,0.011,"^MXX","-"
"^N225",0.002,0.005,0.007,0.482,4,-0.01,-0.003,-0.001,0,0.001,0.004,0.005,0.008,0.012,"^N225","-"
"^BFX",0.006,0.013,0.018,0.231,4,-0.008,-0.005,-0.002,0,0,0.002,0.004,0.006,0.01,"^BFX","BEL 20"
"^AEX",0.009,0.004,0.026,0.53,4,-0.009,-0.003,-0.001,0.001,0.001,0.002,0.004,0.006,0.008,"^AEX","AEX-INDEX"
"^IBEX",0.003,0.015,0.012,0.205,4,-0.01,-0.006,-0.003,-0.001,0.001,0.003,0.004,0.007,0.011,"^IBEX","IBEX 35"
"IEMG",0.024,0.018,0.054,0.138,5,-0.015,-0.007,-0.005,-0.002,-0.001,0.004,0.007,0.011,0.015,"IEMG","iShares, Inc. - iShares Core MSCI Emerging Markets ETF"
"VIDI",0.005,0.02,0.015,0.141,5,-0.012,-0.005,-0.004,-0.002,-0.001,0.002,0.005,0.007,0.011,"VIDI","Vident International Equity"
"INDA",0.003,0.017,0.007,0.284,5,-0.013,-0.007,-0.004,-0.003,-0.001,0.004,0.007,0.012,0.016,"INDA","iShares Trust - iShares MSCI India ETF"
"EEMA",0.022,0.013,0.051,0.214,5,-0.015,-0.008,-0.005,-0.001,0,0.003,0.007,0.012,0.016,"EEMA","iShares MSCI Emerging Markets Asia ETF"
"ERUS",0.002,0.005,0.007,0.551,5,-0.019,-0.009,-0.005,-0.002,-0.001,0.008,0.01,0.016,0.024,"ERUS","iShares, Inc. - iShares MSCI Russia Capped ETF"
"ECNS",0.003,0.012,0.01,0.429,5,-0.017,-0.007,-0.005,-0.001,0,0.004,0.007,0.011,0.02,"ECNS","iShares MSCI China Small-Cap ETF"
"AAXJ",0.026,0.012,0.058,0.238,5,-0.015,-0.008,-0.005,-0.002,0,0.004,0.007,0.012,0.015,"AAXJ","iShares MSCI All Country Asia ex Jpn ETF"
"BKF",0.017,0.016,0.044,0.201,5,-0.016,-0.008,-0.005,-0.003,-0.002,0.005,0.008,0.011,0.017,"BKF","iShares MSCI BRIC ETF"
"EWY",0.005,0.032,0.016,0.041,5,-0.019,-0.008,-0.005,-0.002,-0.001,0.004,0.008,0.011,0.017,"EWY","iShares MSCI South Korea Capped ETF"
"^DJAT",0.002,0.012,0.008,0.212,5,-0.011,-0.005,-0.002,-0.001,0,0.002,0.005,0.008,0.011,"^DJAT","Dow Jones Asian Titans 50 Index"
"^XAU",0.001,0.019,0.006,0.337,5,-0.019,-0.007,-0.005,-0.002,-0.001,0.002,0.006,0.01,0.021,"^XAU","PHLX GOLD AND SILVER SECTOR IND"
"FXI",0.009,0.02,0.024,0.208,5,-0.019,-0.009,-0.005,-0.003,-0.002,0.005,0.01,0.014,0.018,"FXI","iShares China Large-Cap ETF"
"INDY",0.003,0.01,0.008,0.434,5,-0.012,-0.006,-0.004,-0.001,0,0.004,0.007,0.01,0.016,"INDY","iShares India 50 ETF"
"EEMS",0.006,0.022,0.017,0.125,5,-0.014,-0.007,-0.005,-0.003,-0.001,0.004,0.005,0.009,0.015,"EEMS","iShares, Inc. - iShares MSCI Emerging Markets Small-Cap ETF"
"EIDO",0.001,0.018,0.006,0.2,5,-0.022,-0.01,-0.006,-0.002,0.001,0.007,0.012,0.015,0.026,"EIDO","iShares MSCI Indonesia ETF"
"EEM",0.025,0.017,0.057,0.149,5,-0.016,-0.008,-0.005,-0.002,0,0.005,0.008,0.013,0.015,"EEM","iShares MSCI Emerging Markets ETF"
"MCHI",0.012,0.013,0.031,0.375,5,-0.019,-0.01,-0.005,-0.003,-0.001,0.005,0.01,0.015,0.02,"MCHI","iShares MSCI China ETF"
"FDE.TO",0,0.031,0.002,0.053,5,-0.002,0,0,0,0,0,0,0,0.009,"FDE.TO","First Trust AlphaDEX Emerging Market Dividend ETF (CAD-Hedged)"
"^RUA",0.002,0.002,0.008,0.83,6,-0.004,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.008,"^RUA","^RUA"
"^GSPTSE",0.004,0.001,0.011,0.81,6,-0.005,-0.002,-0.001,0,0.001,0.002,0.004,0.005,0.006,"^GSPTSE","^GSPTSE"
"ZUE.TO",0.02,0.002,0.051,0.843,6,-0.006,-0.002,-0.001,0,0.001,0.003,0.004,0.006,0.009,"ZUE.TO","BMO S&P 500 Hedged to CAD Index ETF"
"XEH.TO",0.005,0.005,0.017,0.473,6,-0.008,-0.003,-0.002,0,0.001,0.002,0.004,0.005,0.009,"XEH.TO","iShares MSCI Europe IMI Index ETF (CAD-Hedged)"
"VSP.TO",0.019,0.002,0.05,0.859,6,-0.006,-0.002,-0.001,0,0.001,0.003,0.004,0.007,0.008,"VSP.TO","Vanguard S&P 500 Index ETF (CAD-hedged)"
"ZWA.TO",0.009,0.003,0.025,0.699,6,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"ZWA.TO","BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF"
