"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"STL",0.007,2,-0.022,-0.009,-0.004,0.001,0.002,0.008,0.016,0.021,0.04,"Sterling Bancorp","NYQ","Money Center Banks","USA"
"BNP.PA",0.008,2,-0.03,-0.02,-0.013,-0.005,-0.003,0.008,0.014,0.023,0.042,"BNP Paribas SA","PAR","Money Center Banks","France"
"DLTR",0.005,2,-0.019,-0.009,-0.001,0.006,0.008,0.017,0.023,0.029,0.038,"Dollar Tree, Inc.","NMS","Discount, Variety Stores","USA"
"BAC",0.014,2,-0.017,-0.007,-0.001,0.005,0.007,0.016,0.022,0.027,0.045,"Bank of America Corporation","NYQ","Money Center Banks","USA"
"AIG",0.007,2,-0.027,-0.016,-0.011,-0.004,-0.002,0.008,0.017,0.026,0.034,"American International Group, Inc.","NYQ","Property & Casualty Insurance","USA"
"ENB.TO",0.006,2,-0.032,-0.018,-0.012,-0.005,-0.003,0.005,0.01,0.017,0.038,"Enbridge Inc.","TOR","Oil & Gas Pipelines","Canada"
"CWB.TO",0.007,2,-0.023,-0.005,0.004,0.009,0.01,0.017,0.024,0.029,0.041,"Canadian Western Bank","TOR","Money Center Banks","Canada"
"^DJI",0.017,2,-0.011,-0.002,0.004,0.01,0.015,0.025,0.03,0.039,0.055,"-","-","-","-"
"^NYA",0.019,2,-0.013,-0.004,0.001,0.006,0.008,0.019,0.025,0.035,0.045,"-","-","-","-"
"^BANK",0.009,2,-0.018,-0.006,-0.002,0.003,0.004,0.01,0.016,0.025,0.038,"-","-","-","-"
"INTC",0.007,3,-0.024,-0.009,-0.001,0.007,0.01,0.019,0.025,0.032,0.043,"Intel Corporation","NMS","Semiconductor - Broad Line","USA"
"TD",0.008,3,-0.019,-0.008,-0.001,0.006,0.008,0.018,0.024,0.031,0.052,"The Toronto-Dominion Bank","NYQ","Money Center Banks","USA"
"RY",0.012,3,-0.019,-0.009,-0.004,0.001,0.004,0.016,0.023,0.029,0.042,"Royal Bank of Canada","NYQ","Money Center Banks","USA"
"CM",0.008,3,-0.018,-0.009,-0.003,0.001,0.004,0.011,0.018,0.027,0.043,"Canadian Imperial Bank of Commerce","NYQ","Money Center Banks","USA"
"BNS",0.007,3,-0.021,-0.008,-0.001,0.005,0.007,0.013,0.018,0.022,0.031,"The Bank of Nova Scotia","NYQ","Money Center Banks","USA"
"MOZ.TO",0.004,3,-0.021,-0.01,-0.007,-0.004,-0.003,0,0.005,0.011,0.026,"Marathon Gold Corporation","TOR","Gold","Canada"
"^GSPTSE",0.011,3,-0.018,-0.006,-0.002,0.003,0.006,0.012,0.024,0.035,0.057,"-","-","-","-"
"BMO.TO",0.01,3,-0.021,-0.011,-0.004,0.006,0.01,0.021,0.031,0.046,0.066,"Bank of Montreal","TOR","Money Center Banks","Canada"
"BNS.TO",0.007,3,-0.025,-0.013,-0.008,-0.002,0.001,0.011,0.023,0.032,0.049,"The Bank of Nova Scotia","TOR","Money Center Banks","Canada"
"CM.TO",0.009,3,-0.023,-0.013,-0.003,0.003,0.007,0.016,0.021,0.031,0.059,"Canadian Imperial Bank of Commerce","TOR","Money Center Banks","Canada"
"RY.TO",0.012,3,-0.022,-0.011,-0.004,0.002,0.005,0.011,0.019,0.043,0.064,"Royal Bank of Canada","TOR","Money Center Banks","Canada"
"TD.TO",0.009,3,-0.021,-0.009,0,0.005,0.008,0.018,0.027,0.043,0.063,"The Toronto-Dominion Bank","TOR","Money Center Banks","Canada"
"NA.TO",0.009,3,-0.021,-0.006,0.001,0.007,0.01,0.02,0.027,0.038,0.051,"National Bank of Canada","TOR","Money Center Banks","Canada"
"CVX",0.008,4,-0.02,-0.007,-0.001,0.005,0.009,0.018,0.024,0.031,0.04,"Chevron Corporation","NYQ","Major Integrated Oil & Gas","USA"
"GE",0.006,4,-0.033,-0.022,-0.018,-0.014,-0.013,-0.006,-0.001,0.009,0.025,"General Electric Company","NYQ","Diversified Machinery","USA"
"BTE.TO",0.011,4,-0.03,-0.015,-0.006,-0.001,0.001,0.012,0.018,0.026,0.052,"Baytex Energy Corp.","TOR","Independent Oil & Gas","Canada"
"ECA.TO",0.011,4,-0.025,-0.014,-0.006,0,0.003,0.011,0.016,0.026,0.042,"Encana Corporation","TOR","Independent Oil & Gas","Canada"
"CPG.TO",0.01,4,-0.035,-0.023,-0.015,-0.008,-0.004,0.004,0.013,0.025,0.042,"Crescent Point Energy Corp.","TOR","Independent Oil & Gas","Canada"
"PD.TO",0.01,4,-0.031,-0.018,-0.011,-0.006,-0.004,0.006,0.015,0.025,0.042,"Precision Drilling Corporation","TOR","Oil & Gas Equipment & Services","Canada"
"CNQ.TO",0.009,4,-0.03,-0.014,-0.007,-0.001,0.002,0.01,0.015,0.025,0.039,"Canadian Natural Resources Limited","TOR","Independent Oil & Gas","Canada"
"CVE.TO",0.01,4,-0.034,-0.019,-0.009,0,0.002,0.013,0.022,0.03,0.043,"Cenovus Energy Inc.","TOR","Major Integrated Oil & Gas","Canada"
"ATH.TO",0.008,4,-0.026,-0.015,-0.009,-0.004,0,0.01,0.017,0.025,0.037,"Athabasca Oil Corporation","TOR","Independent Oil & Gas","Canada"
"SU.TO",0.011,4,-0.03,-0.015,-0.008,0.002,0.008,0.02,0.028,0.036,0.05,"Suncor Energy Inc.","TOR","Major Integrated Oil & Gas","Canada"
"ESN.TO",0.006,4,-0.023,-0.013,-0.01,-0.006,-0.005,0,0.005,0.013,0.023,"Essential Energy Services Ltd.","TOR","Oil & Gas Equipment & Services","Canada"
"CFW.TO",0.009,4,-0.029,-0.016,-0.004,0.004,0.008,0.017,0.029,0.039,0.052,"Calfrac Well Services Ltd.","TOR","Independent Oil & Gas","Canada"
"TCW.TO",0.008,4,-0.03,-0.016,-0.01,-0.005,-0.002,0.005,0.012,0.02,0.037,"Trican Well Service Ltd.","TOR","Oil & Gas Equipment & Services","Canada"
"^XAX",0.01,4,-0.024,-0.011,-0.007,-0.002,0.002,0.013,0.019,0.027,0.043,"-","-","-","-"
"NKE",0.005,5,-0.019,-0.005,0,0.006,0.008,0.015,0.018,0.026,0.037,"NIKE, Inc.","NYQ","Textile - Apparel Footwear & Accessories","USA"
"DIS",0.006,5,-0.019,-0.011,-0.006,-0.002,0,0.005,0.01,0.015,0.029,"The Walt Disney Company","NYQ","Entertainment - Diversified","USA"
"FOX",0.007,5,-0.015,-0.006,-0.001,0.003,0.004,0.012,0.018,0.023,0.038,"Twenty-First Century Fox, Inc.","NMS","","USA"
"FOXA",0.006,5,-0.015,-0.005,-0.001,0.003,0.004,0.012,0.017,0.023,0.034,"Twenty-First Century Fox, Inc.","NMS","Entertainment - Diversified","USA"
"ORLY",0.007,5,-0.021,-0.012,-0.006,0,0.003,0.014,0.02,0.025,0.035,"O'Reilly Automotive, Inc.","NMS","Auto Parts Stores","USA"
"VRX.TO",0.007,5,-0.027,-0.015,-0.005,0.006,0.01,0.018,0.026,0.034,0.044,"Valeant Pharmaceuticals International, Inc.","TOR","Drugs - Generic","Canada"
"AAPL",0.008,6,-0.02,-0.006,-0.003,0.002,0.004,0.014,0.02,0.029,0.047,"Apple Inc.","NMS","Electronic Equipment","USA"
"MSFT",0.012,6,-0.01,-0.004,0.002,0.006,0.009,0.017,0.021,0.028,0.047,"Microsoft Corporation","NMS","Business Software & Services","USA"
"V",0.007,6,-0.008,0,0.005,0.009,0.012,0.017,0.022,0.036,0.053,"Visa Inc.","NYQ","Credit Services","USA"
"ADBE",0.009,6,-0.01,-0.001,0.003,0.009,0.013,0.02,0.025,0.032,0.045,"Adobe Systems Incorporated","NMS","Application Software","USA"
"AMZN",0.01,6,-0.016,-0.003,0.002,0.008,0.011,0.02,0.03,0.042,0.054,"Amazon.com, Inc.","NMS","Catalog & Mail Order Houses","USA"
"ATVI",0.006,6,-0.014,-0.007,-0.004,0.002,0.004,0.01,0.015,0.021,0.031,"Activision Blizzard, Inc.","NMS","Multimedia & Graphics Software","USA"
"AVGO",0.006,6,-0.019,-0.009,-0.005,-0.001,0.001,0.008,0.014,0.021,0.038,"Broadcom Limited","NMS","Semiconductor - Broad Line","USA"
"FB",0.006,6,-0.012,-0.005,-0.001,0.004,0.006,0.013,0.019,0.025,0.038,"Facebook, Inc.","NMS","Internet Information Providers","USA"
"GOOG",0.012,6,-0.018,-0.008,-0.002,0.002,0.005,0.014,0.022,0.028,0.051,"Alphabet Inc.","NMS","Internet Information Providers","USA"
"GOOGL",0.013,6,-0.017,-0.008,-0.002,0.003,0.005,0.014,0.021,0.028,0.048,"Alphabet Inc.","NMS","Internet Information Providers","USA"
"MCHP",0.009,6,-0.018,-0.01,-0.004,0.004,0.007,0.018,0.026,0.033,0.054,"Microchip Technology Incorporated","NMS","Semiconductor - Broad Line","USA"
"NFLX",0.009,6,-0.018,-0.009,-0.002,0.006,0.01,0.02,0.027,0.033,0.042,"Netflix, Inc.","NMS","CATV Systems","USA"
"NVDA",0.009,6,-0.014,-0.005,0.001,0.007,0.009,0.017,0.023,0.032,0.052,"NVIDIA Corporation","NMS","Semiconductor - Specialized","USA"
"^IXIC",0.016,6,-0.011,-0.003,0.004,0.008,0.01,0.018,0.025,0.033,0.048,"-","-","-","-"
