"","so","mem","Q%10","Q%25","Q%35","Q%45","Q%50","Q%65","Q%75","Q%85","Q%95"
"BAD.TO",0.008,1,-0.025,-0.01,-0.005,0.003,0.005,0.012,0.018,0.027,0.042
"IVX.V",0.008,1,-0.184,-0.147,-0.13,-0.025,-0.017,0.017,0.017,0.017,0.056
"PBH.TO",0.007,1,-0.017,-0.008,-0.005,-0.001,0,0.009,0.016,0.022,0.041
"TIH.TO",0.008,1,-0.021,-0.011,-0.007,-0.002,0,0.009,0.013,0.022,0.031
"ECI.TO",0.008,1,-0.028,-0.013,-0.007,-0.003,-0.001,0.005,0.01,0.017,0.027
"CU.TO",0.007,1,-0.032,-0.02,-0.016,-0.011,-0.008,-0.001,0.006,0.014,0.026
"GEI.TO",0.007,1,-0.027,-0.013,-0.007,-0.001,0.002,0.01,0.017,0.025,0.034
"FCR.TO",0.007,1,-0.023,-0.01,-0.003,0.001,0.004,0.01,0.014,0.02,0.032
"ABX.TO",0.009,2,-0.03,-0.019,-0.011,-0.005,-0.003,0.004,0.01,0.016,0.027
"AEM.TO",0.01,2,-0.023,-0.013,-0.007,-0.002,0.002,0.009,0.014,0.02,0.03
"FM.TO",0.01,2,-0.017,-0.01,-0.003,0.001,0.005,0.017,0.023,0.029,0.04
"HBM.TO",0.011,2,-0.025,-0.012,-0.004,-0.001,0,0.009,0.015,0.022,0.036
"K.TO",0.008,2,-0.028,-0.012,-0.009,-0.005,-0.003,0.006,0.012,0.019,0.029
"LUN.TO",0.009,2,-0.017,-0.009,-0.004,0.001,0.003,0.011,0.016,0.023,0.038
"YRI.TO",0.01,2,-0.022,-0.011,-0.006,-0.002,0.001,0.007,0.012,0.017,0.029
"ATA.TO",0.009,3,-0.019,-0.008,-0.001,0.004,0.007,0.016,0.022,0.034,0.054
"BMO.TO",0.016,3,-0.021,-0.011,-0.004,0.006,0.01,0.021,0.031,0.046,0.066
"BNS.TO",0.011,3,-0.025,-0.013,-0.008,-0.002,0.001,0.011,0.023,0.032,0.049
"CM.TO",0.014,3,-0.023,-0.013,-0.003,0.003,0.007,0.016,0.021,0.031,0.059
"MFC.TO",0.012,3,-0.022,-0.01,-0.005,0,0.003,0.011,0.018,0.026,0.034
"NA.TO",0.014,3,-0.021,-0.006,0.001,0.007,0.01,0.02,0.027,0.038,0.051
"PWF.TO",0.01,3,-0.027,-0.011,-0.007,-0.002,0.003,0.008,0.014,0.025,0.048
"RY.TO",0.015,3,-0.022,-0.011,-0.004,0.002,0.005,0.011,0.019,0.043,0.064
"TD.TO",0.013,3,-0.021,-0.009,0,0.005,0.008,0.018,0.027,0.043,0.063
"WJX.TO",0.009,3,-0.026,-0.012,-0.005,0,0.003,0.01,0.017,0.022,0.033
"^GSPTSE",0.015,3,-0.018,-0.006,-0.002,0.003,0.006,0.012,0.024,0.035,0.057
"SLF.TO",0.01,3,-0.021,-0.009,-0.001,0.007,0.01,0.017,0.023,0.032,0.045
"ITP.TO",0.009,3,-0.047,-0.018,-0.011,-0.003,-0.001,0.007,0.012,0.017,0.025
"TVL.V",0.008,3,-0.027,-0.013,-0.008,-0.005,-0.003,0.002,0.005,0.011,0.022
"IAG.TO",0.011,3,-0.022,-0.011,-0.005,-0.001,0.001,0.01,0.015,0.024,0.041
"ATH.TO",0.014,4,-0.026,-0.015,-0.009,-0.004,0,0.01,0.017,0.025,0.037
"BTE.TO",0.018,4,-0.03,-0.015,-0.006,-0.001,0.001,0.012,0.018,0.026,0.052
"CFW.TO",0.013,4,-0.029,-0.016,-0.004,0.004,0.008,0.017,0.029,0.039,0.052
"CNQ.TO",0.016,4,-0.03,-0.014,-0.007,-0.001,0.002,0.01,0.015,0.025,0.039
"CPG.TO",0.018,4,-0.035,-0.023,-0.015,-0.008,-0.004,0.004,0.013,0.025,0.042
"CVE.TO",0.018,4,-0.034,-0.019,-0.009,0,0.002,0.013,0.022,0.03,0.043
"ECA.TO",0.017,4,-0.025,-0.014,-0.006,0,0.003,0.011,0.016,0.026,0.042
"ESI.TO",0.009,4,-0.023,-0.012,-0.008,-0.006,-0.004,0.002,0.009,0.016,0.038
"ESN.TO",0.009,4,-0.023,-0.013,-0.01,-0.006,-0.005,0,0.005,0.013,0.023
