"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"BAS.DE",0.021,0.083,3,-0.039,-0.013,-0.005,0,0.003,0.014,0.024,0.036,0.057,"BASF SE","GER","Chemicals - Major Diversified","Germany"
"BMW.DE",0.013,0.051,3,-0.055,-0.022,-0.01,-0.002,0.001,0.015,0.021,0.031,0.067,"Bayerische Motoren Werke Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"BAYN.DE",0.009,0.037,3,-0.056,-0.026,-0.017,-0.006,-0.003,0.009,0.017,0.026,0.043,"Bayer Aktiengesellschaft","GER","Drug Manufacturers - Major","Germany"
"SAP.DE",0.013,0.055,3,-0.038,-0.013,-0.006,0.003,0.006,0.017,0.026,0.043,0.081,"SAP SE","GER","Technical & System Software","Germany"
"IFX.DE",0.01,0.043,3,-0.029,-0.014,-0.005,0.003,0.008,0.019,0.025,0.042,0.074,"Infineon Technologies AG","GER","Semiconductor - Broad Line","Germany"
"TKA.DE",0.007,0.03,3,-0.047,-0.021,-0.014,-0.005,0,0.014,0.019,0.031,0.061,"ThyssenKrupp AG","GER","Steel & Iron","Germany"
"^GDAXI",0.028,0.105,3,-0.032,-0.012,-0.003,0.005,0.007,0.018,0.029,0.04,0.07,"-","-","-","-"
"ML.PA",0.008,0.036,3,-0.045,-0.018,-0.009,-0.002,0,0.01,0.017,0.033,0.059,"Compagnie Générale des Etablissements Michelin","PAR","Rubber & Plastics","France"
"OR.PA",0.011,0.047,3,-0.027,-0.011,-0.004,0.002,0.005,0.014,0.022,0.033,0.054,"L'Oréal S.A.","PAR","Personal Products","France"
"AI.PA",0.015,0.06,3,-0.033,-0.016,-0.011,-0.002,0.003,0.015,0.024,0.037,0.071,"Air Liquide, société anonyme","PAR","Chemicals - Major Diversified","France"
"FR.PA",0.011,0.045,3,-0.046,-0.024,-0.014,-0.001,0.002,0.013,0.02,0.03,0.061,"Valeo SA","PAR","Auto Parts","France"
"ATO.PA",0.008,0.033,3,-0.038,-0.018,-0.012,-0.005,0.001,0.009,0.02,0.032,0.067,"Atos SE","PAR","Information Technology Services","France"
"VIV.PA",0.009,0.037,3,-0.037,-0.021,-0.015,-0.007,-0.004,0.009,0.017,0.028,0.057,"Vivendi SA","PAR","Wireless Communications","France"
"SAN.PA",0.008,0.033,3,-0.047,-0.019,-0.01,-0.003,-0.001,0.011,0.018,0.028,0.053,"Sanofi","PAR","Drug Manufacturers - Major","France"
"UG.PA",0.007,0.031,3,-0.036,-0.016,-0.008,0,0.004,0.015,0.023,0.034,0.052,"Peugeot S.A.","PAR","Auto Manufacturers - Major","France"
"CAP.PA",0.008,0.034,3,-0.029,-0.012,-0.004,0.001,0.004,0.016,0.024,0.042,0.087,"Capgemini SE","PAR","","France"
"SW.PA",0.007,0.029,3,-0.036,-0.015,-0.007,-0.001,0.002,0.011,0.019,0.035,0.059,"Sodexo S.A.","PAR","Business Services","France"
"MC.PA",0.013,0.052,3,-0.027,-0.01,-0.004,0.004,0.008,0.018,0.028,0.041,0.065,"LVMH Moët Hennessy Louis Vuitton S.E.","PAR","Jewelry Stores","France"
"KER.PA",0.011,0.046,3,-0.023,-0.002,0.003,0.01,0.014,0.023,0.029,0.043,0.074,"Kering S.A.","PAR","","France"
"UCB.BR",0.006,0.028,3,-0.022,-0.006,0,0.005,0.006,0.014,0.02,0.029,0.043,"UCB SA","BRU","Biotechnology","Belgium"
"^STOXX",0.013,0.046,4,-0.037,-0.015,-0.004,0.003,0.006,0.015,0.024,0.034,0.071,"-","-","-","-"
"^STOXX50E",0.013,0.044,4,-0.045,-0.015,-0.006,0.002,0.005,0.015,0.022,0.035,0.057,"-","-","-","-"
"ACX.MC",0.008,0.035,5,-0.041,-0.017,-0.008,-0.003,0,0.012,0.019,0.029,0.051,"Acerinox, S.A.","MCE","Steel & Iron","Spain"
"GAS.MC",0.007,0.031,5,-0.043,-0.018,-0.01,0.001,0.007,0.019,0.029,0.04,0.083,"Gas Natural SDG, S.A.","MCE","Gas Utilities","Spain"
"EOAN.DE",0.009,0.036,5,-0.049,-0.021,-0.012,-0.005,0,0.009,0.021,0.037,0.063,"E.ON SE","GER","Diversified Utilities","Germany"
"RWE.DE",0.007,0.031,5,-0.039,-0.016,-0.006,0.003,0.006,0.019,0.03,0.048,0.078,"RWE Aktiengesellschaft","GER","Diversified Utilities","Germany"
"FRE.DE",0.008,0.033,5,-0.04,-0.022,-0.014,-0.005,0,0.011,0.018,0.027,0.058,"Fresenius SE & Co. KGaA","GER","Hospitals","Germany"
"ADS.DE",0.006,0.026,5,-0.043,-0.022,-0.014,-0.008,-0.004,0.01,0.02,0.029,0.064,"Adidas AG","GER","Textile - Apparel Footwear & Accessories","Germany"
"EI.PA",0.007,0.032,5,-0.03,-0.013,-0.007,0.001,0.005,0.013,0.02,0.034,0.061,"Essilor International Société Anonyme","PAR","Medical Instruments & Supplies","France"
"VIE.PA",0.008,0.036,5,-0.035,-0.015,-0.005,0.002,0.007,0.018,0.028,0.041,0.081,"Veolia Environnement S.A.","PAR","Waste Management","France"
