"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"URTH",0.013,0.036,1,-0.007,-0.002,-0.001,0,0.001,0.003,0.004,0.007,0.01,"URTH","iShares, Inc. - iShares MSCI World ETF"
"SPY",0.033,0.085,1,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.008,0.012,"SPY","SPDR S&P 500 ETF Trust"
"ITOT",0.041,0.103,1,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.008,0.012,"ITOT","iShares Trust - iShares Core S&P Total U.S. Stock Market ETF"
"IVV",0.041,0.103,1,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.008,0.012,"IVV","iShares Trust - iShares Core S&P 500 ETF"
"IWV",0.046,0.113,1,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.012,"IWV","iShares Trust - iShares Russell 3000 ETF"
"^W5000",0.036,0.087,1,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.008,0.011,"^W5000","^W5000"
"^GSPC",0.049,0.123,1,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.012,"^GSPC","^GSPC"
"^NDX",0.008,0.02,1,-0.011,-0.003,-0.001,0,0.001,0.004,0.007,0.01,0.017,"^NDX","^NDX"
"^DJI",0.012,0.034,1,-0.008,-0.003,-0.001,0.001,0.001,0.003,0.005,0.008,0.014,"^DJI","^DJI"
"^IXIC",0.009,0.023,1,-0.009,-0.003,-0.001,0,0.001,0.004,0.007,0.009,0.015,"^IXIC","^IXIC"
"^NYA",0.013,0.037,1,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.006,0.01,"^NYA","^NYA"
"^RUT",0.005,0.017,1,-0.009,-0.003,-0.001,0.001,0.002,0.004,0.006,0.009,0.013,"^RUT","^RUT"
"^RUA",0.006,0.018,1,-0.006,-0.002,-0.001,0.001,0.001,0.002,0.005,0.007,0.011,"^RUA","^RUA"
"^RUI",0.054,0.135,1,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.012,"^RUI","^RUI"
"CRBN",0.011,0.029,1,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.01,"CRBN","iShares MSCI ACWI Low Carbon Target ETF"
