"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^RUA",0.021,0.086,3,-0.023,-0.006,0.001,0.01,0.012,0.024,0.033,0.05,0.113,"-","-"
"^RUI",0.029,0.095,3,-0.02,-0.005,0.002,0.008,0.012,0.024,0.034,0.046,0.083,"-","-"
"IVV",0.028,0.094,3,-0.022,-0.005,0.001,0.008,0.012,0.025,0.036,0.048,0.08,"IVV","iShares Trust - iShares Core S&P 500 ETF"
"IYW",0.011,0.038,3,-0.027,-0.009,0.001,0.01,0.014,0.024,0.034,0.051,0.079,"IYW","iShares US Technology ETF"
"USMV",0.007,0.028,3,-0.025,-0.007,0.001,0.007,0.01,0.021,0.028,0.043,0.065,"USMV","iShares Trust - iShares Edge MSCI Min Vol USA ETF"
"SIZE",0.008,0.032,3,-0.023,-0.006,-0.001,0.006,0.009,0.018,0.027,0.04,0.077,"SIZE","iShares Trust - iShares Edge MSCI USA Size Factor ETF"
"IVW",0.021,0.071,3,-0.019,-0.006,0.001,0.009,0.013,0.026,0.036,0.057,0.087,"IVW","iShares S&P 500 Growth ETF"
"IHI",0.004,0.017,3,-0.024,-0.008,-0.001,0.006,0.009,0.023,0.034,0.044,0.076,"IHI","iShares US Medical Devices ETF"
"IBB",0.004,0.016,3,-0.033,-0.016,-0.008,-0.001,0.002,0.014,0.024,0.033,0.06,"IBB","iShares Nasdaq Biotechnology ETF"
"IJK",0.016,0.058,3,-0.028,-0.009,0,0.009,0.011,0.021,0.029,0.043,0.074,"IJK","iShares S&P Mid-Cap 400 Growth ETF"
"IWP",0.014,0.052,3,-0.02,-0.005,0.002,0.009,0.013,0.024,0.035,0.049,0.109,"IWP","iShares Russell Mid-Cap Growth ETF"
"IUSG",0.022,0.077,3,-0.02,-0.006,0.001,0.009,0.013,0.026,0.037,0.054,0.087,"IUSG","iShares Core S&P US Growth ETF"
"IWF",0.021,0.071,3,-0.021,-0.005,0.002,0.01,0.015,0.026,0.037,0.055,0.086,"IWF","iShares Russell 1000 Growth ETF"
"IYY",0.027,0.091,3,-0.021,-0.005,0.001,0.009,0.012,0.024,0.036,0.049,0.086,"IYY","iShares Dow Jones US ETF"
"ITOT",0.027,0.092,3,-0.021,-0.005,0.001,0.009,0.012,0.025,0.034,0.046,0.076,"ITOT","iShares Core S&P Total US Stock Mkt ETF"
"IWV",0.029,0.097,3,-0.02,-0.006,0.001,0.009,0.013,0.024,0.033,0.047,0.087,"IWV","iShares Russell 3000 ETF"
"IWY",0.015,0.052,3,-0.019,-0.006,0.002,0.01,0.014,0.027,0.035,0.055,0.089,"IWY","iShares Russell Top 200 Growth ETF"
"SOXX",0.006,0.025,3,-0.027,-0.009,0,0.006,0.011,0.021,0.03,0.048,0.079,"SOXX","iShares PHLX Semiconductor ETF"
"IYC",0.003,0.014,3,-0.022,-0.009,0,0.005,0.008,0.024,0.034,0.052,0.083,"IYC","iShares US Consumer Services ETF"
"DGRO",0.016,0.057,3,-0.026,-0.006,0.003,0.01,0.015,0.027,0.036,0.048,0.082,"DGRO","iShares Core Dividend Growth ETF"
"JKD",0.011,0.041,3,-0.03,-0.01,0,0.007,0.01,0.026,0.031,0.044,0.072,"JKD","iShares Morningstar Large-Cap ETF"
"ISHG",0.003,0.014,4,-0.04,-0.018,-0.01,-0.004,-0.001,0.007,0.015,0.028,0.059,"ISHG","iShares 1-3 Year International TrsBd ETF"
"EWM",0.005,0.02,4,-0.037,-0.016,-0.009,0.003,0.005,0.014,0.023,0.037,0.097,"EWM","iShares MSCI Malaysia ETF"
"ILF",0.006,0.024,4,-0.035,-0.015,-0.011,-0.001,0.001,0.013,0.02,0.03,0.062,"ILF","iShares Trust - iShares Latin America 40 ETF"
"SMIN",0.003,0.014,4,-0.044,-0.019,-0.009,-0.003,0.005,0.022,0.03,0.044,0.071,"SMIN","iShares MSCI India Small-Cap ETF"
"IEMG",0.011,0.044,4,-0.038,-0.015,-0.008,-0.001,0.003,0.014,0.022,0.034,0.068,"IEMG","iShares, Inc. - iShares Core MSCI Emerging Markets ETF"
"EMIF",0.005,0.02,4,-0.035,-0.018,-0.012,-0.005,-0.002,0.005,0.012,0.022,0.041,"EMIF","iShares Trust - iShares Emerging Markets Infrastructure ETF"
"IEV",0.01,0.041,4,-0.032,-0.017,-0.008,0.001,0.006,0.017,0.027,0.038,0.061,"IEV","iShares Europe ETF"
"DVYE",0.008,0.032,4,-0.043,-0.016,-0.011,-0.003,-0.001,0.011,0.022,0.036,0.085,"DVYE","iShares Emerging Markets Dividend ETF"
"EEMS",0.009,0.035,4,-0.033,-0.017,-0.006,0,0.003,0.014,0.022,0.033,0.071,"EEMS","iShares, Inc. - iShares MSCI Emerging Markets Small-Cap ETF"
"EWZ",0.006,0.022,4,-0.032,-0.017,-0.01,-0.004,-0.001,0.011,0.023,0.036,0.066,"EWZ","iShares MSCI Brazil Capped ETF"
"IPFF",0.003,0.015,4,-0.053,-0.023,-0.013,-0.003,0,0.011,0.02,0.036,0.063,"IPFF","iShares International Preferred Stk ETF"
"DVYA",0.003,0.015,4,-0.033,-0.02,-0.01,-0.003,-0.001,0.009,0.019,0.029,0.052,"DVYA","iShares Asia/Pacific Dividend ETF"
"ICLN",0.004,0.016,4,-0.037,-0.018,-0.01,-0.002,0.004,0.015,0.022,0.035,0.073,"ICLN","iShares Global Clean Energy ETF"
"ERUS",0.004,0.016,4,-0.031,-0.015,-0.007,0.002,0.005,0.018,0.027,0.038,0.059,"ERUS","iShares, Inc. - iShares MSCI Russia Capped ETF"
"TUR",0.003,0.014,4,-0.047,-0.024,-0.013,-0.007,-0.005,0.004,0.011,0.024,0.05,"TUR","iShares MSCI Turkey ETF"
"IEFA",0.012,0.046,4,-0.03,-0.015,-0.006,0.003,0.008,0.02,0.029,0.046,0.071,"IEFA","iShares Core MSCI EAFE ETF"
"EDEN",0.006,0.026,4,-0.029,-0.013,-0.005,0.001,0.003,0.016,0.024,0.038,0.081,"EDEN","iShares MSCI Denmark Capped ETF"
"IFEU",0.004,0.015,4,-0.033,-0.012,-0.004,0.003,0.006,0.014,0.021,0.031,0.054,"IFEU","iShares Europe Developed Real Estate ETF"
"EWH",0.005,0.022,4,-0.038,-0.017,-0.007,0.003,0.008,0.017,0.025,0.041,0.07,"EWH","iShares MSCI Hong Kong ETF"
"IAU",0.004,0.019,4,-0.038,-0.02,-0.014,-0.006,0,0.008,0.015,0.027,0.065,"IAU","iShares Gold Trust"
