"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"^SSMI",0.005,0.017,1,-0.009,-0.004,-0.002,0,0,0.002,0.003,0.006,0.013,"-","-"
"^STOXX",0.006,0.014,1,-0.005,-0.002,-0.001,-0.001,-0.001,0.001,0.002,0.005,0.007,"-","-"
"^SPEUP",0.003,0.012,1,-0.009,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.008,"-","-"
"^FTSE",0.009,0.024,1,-0.01,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.01,"-","-"
"^STOXX50E",0.006,0.014,1,-0.007,-0.004,-0.002,-0.002,-0.002,0.002,0.002,0.005,0.009,"-","-"
"XSSX.L",0.004,0.013,1,-0.009,-0.004,-0.002,0,0,0,0.004,0.01,0.014,"XSSX.L","db x-trackers - EURO STOXX 50 Short Daily UCITS ETF"
"XD5F.L",0.002,0.007,1,-0.005,0,0,0,0,0,0,0.003,0.012,"XD5F.L","db x-trackers - EURO STOXX 50 ex Financials UCITS ETF (DR)"
"SX5E.SW",0.005,0.015,1,-0.008,-0.002,0,0,0,0.003,0.004,0.005,0.011,"SX5E.SW","Source Markets plc - Source EURO STOXX 50 UCITS ETF"
"EUN.L",0.01,0.025,1,-0.009,-0.003,-0.001,0,0,0.002,0.004,0.007,0.011,"EUN.L","iShares II Public Limited Company - iShares STOXX Europe 50 UCITS ETF"
"CSSX5E.SW",0.007,0.02,1,-0.01,-0.005,-0.002,0,0.001,0.003,0.005,0.007,0.01,"CSSX5E.SW","iShares VII Public Limited Company - iShares Core EURO STOXX 50 UCITS ETF"
"EXFN.SW",0.001,0.003,1,0,0,0,0,0,0,0,0,0,"EXFN.SW","iShares II Public Limited Company - iShares EURO STOXX 50 ex-Financials UCITS ETF"
"C052.DE",0.003,0.011,1,-0.006,0,0,0,0,0,0,0,0.013,"C052.DE","ComStage - EURO STOXX 50 Daily Short GR UCITS ETF"
"S6X0.DE",0.003,0.011,1,-0.007,0,0,0,0,0,0,0.001,0.008,"S6X0.DE","Source Markets plc - Source EURO STOXX 50 UCITS ETF"
"SX5S.L",0.004,0.012,1,-0.009,-0.002,0,0,0,0,0.002,0.006,0.013,"SX5S.L","Source Markets plc - Source EURO STOXX 50 UCITS ETF"
"E50EUA.MI",0.006,0.019,1,-0.01,-0.003,0,0,0,0.001,0.004,0.007,0.009,"E50EUA.MI","UBS EURO STOXX 50 UCITS ETF A-D"
"EUE.L",0.013,0.029,1,-0.011,-0.005,-0.002,-0.001,0,0.004,0.005,0.007,0.012,"EUE.L","iShares II Public Limited Company - iShares EURO STOXX 50 UCITS ETF (Dist)"
"CSX5.L",0.003,0.009,1,-0.002,0,0,0,0,0,0,0,0.04,"CSX5.L","iShares VII Public Limited Company - iShares Core EURO STOXX 50 UCITS ETF"
"H50E.L",0.014,0.03,1,-0.011,-0.004,-0.002,-0.001,0.001,0.004,0.006,0.007,0.013,"H50E.L","HSBC ETFs Public Limited Company - HSBC EURO STOXX 50 UCITS ETF"
"H50E.SW",0.003,0.009,1,-0.004,0,0,0,0,0,0,0,0,"H50E.SW","HSBC ETFs Public Limited Company - HSBC EURO STOXX 50 UCITS ETF"
"^GDAXI",0.021,0.052,2,-0.014,-0.005,-0.002,-0.001,0.001,0.004,0.005,0.008,0.011,"-","-"
"^FCHI",0.024,0.055,2,-0.011,-0.004,-0.002,0,0,0.002,0.004,0.007,0.01,"-","-"
"^N100",0.027,0.063,2,-0.009,-0.003,-0.001,0,0,0.002,0.004,0.006,0.009,"-","-"
"^CXKCX",0.009,0.023,2,-0.014,-0.006,-0.003,0,0.001,0.004,0.006,0.009,0.016,"-","-"
"EXFN.L",0.002,0.004,2,-0.001,0,0,0,0,0,0,0.002,0.008,"EXFN.L","iShares II Public Limited Company - iShares EURO STOXX 50 ex-Financials UCITS ETF"
"SXRT.F",0.079,0.185,2,-0.01,-0.003,-0.001,0,0.001,0.002,0.005,0.006,0.01,"SXRT.F","iShares VII Public Limited Company - iShares Core EURO STOXX 50 UCITS ETF"
"AE50.F",0.025,0.066,2,-0.009,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"AE50.F","Amundi ETF STOXX Europe 50 UCITS ETF"
"EL4Y.DE",0.005,0.017,2,-0.008,-0.002,0,0,0,0.001,0.003,0.005,0.009,"EL4Y.DE","Deka STOXX Europe 50 UCITS ETF"
"C053.F",0.072,0.168,2,-0.02,-0.007,-0.003,0,0.001,0.005,0.009,0.013,0.019,"C053.F","ComStage - EURO STOXX 50 Daily Leverage UCITS ETF"
"IUSR.F",0.051,0.124,2,-0.01,-0.003,-0.001,0.001,0.001,0.003,0.005,0.007,0.008,"IUSR.F","iShares II Public Limited Company - iShares EURO STOXX 50 ex-Financials UCITS ETF"
"C052.F",0.053,0.123,2,-0.007,-0.004,-0.002,-0.001,-0.001,0.001,0.004,0.006,0.014,"C052.F","ComStage - EURO STOXX 50 Daily Short GR UCITS ETF"
"SXRT.DE",0.031,0.078,2,-0.011,-0.004,-0.001,0,0.001,0.003,0.004,0.007,0.01,"SXRT.DE","iShares VII Public Limited Company - iShares Core EURO STOXX 50 UCITS ETF"
"ELFA.F",0.08,0.188,2,-0.011,-0.004,-0.001,0,0.001,0.002,0.005,0.006,0.009,"ELFA.F","Deka EURO STOXX 50 UCITS ETF"
"EL4Y.F",0.015,0.037,2,-0.009,-0.003,-0.001,0,0,0.002,0.003,0.005,0.007,"EL4Y.F","Deka STOXX Europe 50 UCITS ETF"
"CB1E50.SW",0,0,2,0,0,0,0,0,0,0,0,0,"CB1E50.SW","ComStage 1 - EURO STOXX 50 UCITS ETF"
"C050.F",0.045,0.119,2,-0.011,-0.004,-0.001,0,0.001,0.003,0.004,0.006,0.01,"C050.F","ComStage - EURO STOXX 50 NR UCITS ETF"
"DXSP.F",0.052,0.117,2,-0.007,-0.004,-0.002,-0.001,-0.001,0.001,0.003,0.006,0.013,"DXSP.F","db x-trackers - EURO STOXX 50 Short Daily UCITS ETF"
