"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"BWA",0.005,2,-0.021,-0.013,-0.008,-0.001,0.003,0.01,0.019,0.029,0.048,"BorgWarner Inc.","NYQ","Auto Parts","USA"
"WHR",0.004,2,-0.026,-0.015,-0.01,-0.005,-0.003,0.005,0.011,0.017,0.025,"Whirlpool Corporation","NYQ","Appliances","USA"
"SHW",0.007,2,-0.02,-0.008,-0.002,0.004,0.006,0.013,0.017,0.021,0.033,"The Sherwin-Williams Company","NYQ","Specialty Chemicals","USA"
"MYL",0.006,2,-0.03,-0.01,-0.005,0,0.002,0.009,0.017,0.026,0.038,"Mylan N.V.","NMS","Drugs - Generic","USA"
"CWB.TO",0.005,3,-0.023,-0.005,0.004,0.009,0.01,0.017,0.023,0.029,0.041,"Canadian Western Bank","TOR","Money Center Banks","Canada"
"HD",0.006,3,-0.015,-0.009,-0.003,0.004,0.008,0.019,0.029,0.037,0.056,"The Home Depot, Inc.","NYQ","Home Improvement Stores","USA"
"DIS",0.004,3,-0.019,-0.01,-0.005,-0.001,0,0.006,0.01,0.016,0.029,"The Walt Disney Company","NYQ","Entertainment - Diversified","USA"
"CMCSA",0.004,3,-0.022,-0.014,-0.01,-0.006,-0.003,0.006,0.01,0.014,0.023,"Comcast Corporation","NMS","Entertainment - Diversified","USA"
"COST",0.004,3,-0.021,-0.007,-0.002,0.004,0.005,0.015,0.021,0.028,0.035,"Costco Wholesale Corporation","NMS","Discount, Variety Stores","USA"
"LOW",0.006,3,-0.02,-0.012,-0.004,0.002,0.004,0.015,0.021,0.029,0.052,"Lowe's Companies, Inc.","NYQ","Home Improvement Stores","USA"
"CVS",0.005,3,-0.029,-0.017,-0.009,-0.003,0,0.007,0.011,0.019,0.038,"CVS Health Corporation","NYQ","Health Care Plans","USA"
"TJX",0.004,3,-0.019,-0.009,-0.001,0.003,0.004,0.012,0.018,0.024,0.04,"The TJX Companies, Inc.","NYQ","Department Stores","USA"
"AZO",0.006,3,-0.024,-0.014,-0.008,-0.001,0.003,0.014,0.022,0.031,0.044,"AutoZone, Inc.","NYQ","Auto Parts Stores","USA"
"VFC",0.004,3,-0.011,-0.003,0.002,0.008,0.01,0.019,0.024,0.032,0.047,"V.F. Corporation","NYQ","Textile - Apparel Clothing","USA"
