"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"HSE.TO",NA,1,-0.024,-0.006,-0.002,0.004,0.006,0.014,0.019,0.028,0.043,"Husky Energy Inc.","TOR","Major Integrated Oil & Gas","Canada"
"BCB.TO",NA,1,-0.021,-0.013,-0.006,-0.003,0,0.007,0.012,0.018,0.035,"Cott Corporation","TOR","Beverages - Soft Drinks","Canada"
"SPE.TO",NA,1,-0.03,-0.015,-0.01,-0.003,-0.001,0.009,0.015,0.022,0.036,"Spartan Energy Corp.","TOR","Independent Oil & Gas","Canada"
"EMA.TO",NA,1,-0.026,-0.014,-0.011,-0.007,-0.005,0.002,0.011,0.02,0.037,"Emera Incorporated","TOR","Diversified Utilities","Canada"
"LIF.TO",NA,1,-0.022,-0.007,-0.002,0.004,0.006,0.012,0.016,0.022,0.05,"Labrador Iron Ore Royalty Corporation","TOR","Steel & Iron","Canada"
"STN.TO",NA,1,-0.017,-0.009,-0.003,0.002,0.003,0.011,0.016,0.024,0.041,"Stantec Inc.","TOR","Business Services","Canada"
"RBA.TO",NA,1,-0.019,-0.007,0,0.005,0.006,0.014,0.019,0.024,0.036,"Ritchie Bros. Auctioneers Incorporated","TOR","Business Services","Canada"
"WFT.TO",NA,1,-0.014,-0.004,0.002,0.007,0.009,0.014,0.017,0.021,0.03,"West Fraser Timber Co. Ltd.","TOR","Gold","Canada"
"MSI.TO",NA,1,-0.013,-0.005,-0.001,0.003,0.006,0.013,0.017,0.024,0.038,"Morneau Shepell Inc.","TOR","Staffing & Outsourcing Services","Canada"
"NGD.TO",NA,1,-0.021,-0.015,-0.011,-0.008,-0.006,0,0.005,0.013,0.021,"New Gold Inc.","TOR","Gold","Canada"
"AP-UN.TO",NA,1,-0.016,-0.007,-0.003,0,0.001,0.007,0.011,0.019,0.034,"Allied Properties Real Estate Investment Trust","TOR","Industrial Metals & Minerals","Canada"
"GMV.V",NA,1,-0.021,-0.011,-0.008,-0.004,-0.002,0,0.004,0.01,0.016,"GMV Minerals Inc","VAN","Gold","Canada"
"ATD-B.TO",NA,1,-0.023,-0.013,-0.008,-0.002,0.001,0.006,0.012,0.02,0.036,"Alimentation Couche-Tard Inc.","TOR","Grocery Stores","Canada"
"WPK.TO",NA,1,-0.034,-0.022,-0.015,-0.01,-0.008,-0.002,0.002,0.012,0.031,"Winpak Ltd.","TOR","Packaging & Containers","Canada"
"NWC.TO",NA,1,-0.029,-0.01,-0.003,0.001,0.003,0.008,0.011,0.015,0.029,"The North West Company Inc.","TOR","Grocery Stores","Canada"
"POW.TO",NA,1,-0.017,-0.009,-0.005,0,0.001,0.008,0.012,0.02,0.04,"Power Corporation of Canada","TOR","Property & Casualty Insurance","Canada"
"GPV.V",NA,1,-0.016,-0.01,-0.007,-0.003,0,0.003,0.007,0.012,0.023,"GreenPower Motor Company Inc.","VAN","Auto Manufacturers - Major","Canada"
"BYD-UN.TO",NA,1,-0.016,-0.007,-0.003,0.001,0.003,0.012,0.018,0.025,0.038,"Boyd Group Income Fund","TOR","Personal Services","Canada"
"TXG.TO",NA,1,-0.033,-0.021,-0.015,-0.009,-0.006,0,0.005,0.011,0.027,"Torex Gold Resources Inc","TOR","Gold","Canada"
"UNS.TO",NA,1,-0.027,-0.017,-0.013,-0.007,-0.004,0.002,0.007,0.017,0.032,"Uni-Select Inc.","TOR","Auto Parts","Canada"
"DVT.V",NA,1,-0.023,-0.011,-0.007,0,0,0.003,0.006,0.011,0.019,"Divestco Inc.","VAN","","Canada"
"KIV.V",NA,1,-0.14,-0.016,-0.009,-0.007,0,0,0.005,0.008,0.012,"Kivalliq Energy Corporation","VAN","Industrial Metals & Minerals","Canada"
"RVL.V",NA,1,-0.141,-0.016,-0.01,-0.007,0,0,0,0,0.016,"Revelo Resources Corp.","VAN","","Canada"
"ITP.TO",NA,1,-0.043,-0.018,-0.011,-0.004,-0.002,0.005,0.01,0.014,0.023,"Intertape Polymer Group Inc.","TOR","Packaging & Containers","Canada"
"MG.TO",NA,1,-0.012,-0.004,-0.001,0.004,0.005,0.012,0.018,0.023,0.041,"Magna International Inc.","TOR","","Canada"
"L.TO",NA,1,-0.027,-0.015,-0.01,-0.004,-0.003,0.003,0.009,0.016,0.027,"Loblaw Companies Limited","TOR","Grocery Stores","Canada"
