"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"XRB.TO",0.005,0.016,2,-0.006,-0.003,-0.002,0,0,0.002,0.003,0.005,0.007,"XRB.TO","iShares Canadian Real Return Bond Index ETF"
"XSB.TO",0.006,0.02,2,-0.001,-0.001,0,0,0,0,0.001,0.001,0.001,"XSB.TO","iShares Core Canadian Short Term Bond Index ETF"
"XCB.TO",0.006,0.02,2,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"XCB.TO","iShares Canadian Corporate Bond Index ETF"
"XSE.TO",0.004,0.013,2,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"XSE.TO","iShares Conservative Strategic Fixed Income ETF"
"CBO.TO",0.003,0.012,2,-0.002,-0.001,-0.001,-0.001,0,0.001,0.001,0.001,0.002,"CBO.TO","iShares 1-5 Year Laddered Corporate Bond Index ETF"
"XIG.TO",0.003,0.012,2,-0.004,-0.002,-0.001,0,0,0.001,0.002,0.003,0.004,"XIG.TO","iShares U.S. IG Corporate Bond Index ETF (CAD-Hedged)"
"^GSPTSE",0.039,0.093,3,-0.005,-0.002,-0.001,0,0.001,0.002,0.004,0.005,0.007,"-","-"
"XCV.TO",0.006,0.019,3,-0.006,-0.001,0,0,0,0.002,0.003,0.005,0.008,"XCV.TO","iShares Canadian Value Index ETF"
"XFC.TO",0.004,0.014,3,-0.007,-0.002,-0.001,0,0,0.002,0.005,0.006,0.009,"XFC.TO","iShares Edge MSCI Multifactor Canada Index ETF"
"CDZ.TO",0.025,0.071,3,-0.005,-0.002,-0.001,0,0,0.002,0.003,0.004,0.007,"CDZ.TO","iShares S&P/TSX Canadian Dividend Aristocrats Index ETF"
"XMV.TO",0.009,0.032,3,-0.005,-0.002,-0.001,0,0,0.001,0.002,0.004,0.007,"XMV.TO","iShares Edge MSCI Min Vol Canada Index ETF"
