"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"^N100",0.029,0.077,3,-0.009,-0.003,-0.001,0,0,0.002,0.004,0.006,0.009,"-","-"
"^CXKCX",0.021,0.056,3,-0.014,-0.006,-0.003,0,0.001,0.004,0.006,0.009,0.016,"-","-"
"C066.F",0.02,0.059,3,-0.01,-0.005,-0.001,0,0.001,0.003,0.005,0.007,0.009,"C066.F","ComStage - STOXX Europe 600 Financial Services NR UCITS ETF"
"C065.F",0.037,0.105,3,-0.011,-0.004,-0.001,0,0.001,0.004,0.005,0.006,0.008,"C065.F","ComStage - STOXX Europe 600 Construction & Materials NR UCITS ETF"
"C069.F",0.037,0.11,3,-0.01,-0.003,0,0.001,0.001,0.003,0.005,0.006,0.01,"C069.F","ComStage - STOXX Europe 600 Industrial Goods & Services NR UCITS ETF"
"C076.F",0.016,0.045,3,-0.013,-0.006,-0.003,0,0.001,0.004,0.007,0.01,0.015,"C076.F","ComStage - STOXX Europe 600 Technology NR UCITS ETF"
"EXV7.F",0.03,0.086,3,-0.012,-0.003,-0.001,0,0.001,0.003,0.005,0.009,0.012,"EXV7.F","iShares (DE) I - iShares STOXX Europe 600 Chemicals UCITS ETF (DE)"
"EXH4.F",0.042,0.123,3,-0.01,-0.002,0,0.001,0.001,0.003,0.005,0.007,0.011,"EXH4.F","iShares (DE) I - iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE)"
"C070.F",0.012,0.042,3,-0.008,-0.004,-0.003,-0.001,0,0.003,0.004,0.007,0.01,"C070.F","ComStage - STOXX Europe 600 Insurance NR UCITS ETF"
"EXV5.F",0.007,0.021,3,-0.019,-0.006,-0.004,-0.002,-0.001,0.004,0.006,0.009,0.02,"EXV5.F","iShares (DE) I - iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE)"
"EXV6.DE",0.011,0.028,3,-0.018,-0.009,-0.005,-0.003,0,0.007,0.009,0.013,0.02,"EXV6.DE","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"EXH2.F",0.018,0.051,3,-0.01,-0.004,-0.001,0.001,0.001,0.003,0.005,0.007,0.009,"EXH2.F","iShares (DE) I - iShares STOXX Europe 600 Financial Services UCITS ETF (DE)"
"EXV3.F",0.014,0.039,3,-0.013,-0.005,-0.003,0,0.002,0.005,0.007,0.011,0.014,"EXV3.F","iShares (DE) I - iShares STOXX Europe 600 Technology UCITS ETF (DE)"
"C060.F",0.038,0.12,3,-0.009,-0.002,-0.002,0,0,0.003,0.004,0.006,0.009,"C060.F","ComStage - STOXX Europe 600 NR UCITS ETF"
"EXSA.F",0.037,0.114,3,-0.009,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.009,"EXSA.F","iShares STOXX Europe 600 UCITS ETF (DE)"
"C072.F",0.007,0.022,3,-0.015,-0.006,-0.003,0,0.001,0.005,0.008,0.01,0.016,"C072.F","ComStage - STOXX Europe 600 Oil & Gas NR UCITS ETF"
"EXSA.DE",0.029,0.087,3,-0.009,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.008,"EXSA.DE","iShares STOXX Europe 600 UCITS ETF (DE)"
"EXV6.F",0.013,0.034,3,-0.02,-0.008,-0.006,-0.002,0,0.007,0.009,0.014,0.019,"EXV6.F","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"C063.F",0.012,0.033,3,-0.02,-0.008,-0.006,-0.001,0.001,0.006,0.009,0.015,0.018,"C063.F","ComStage - STOXX Europe 600 Basic Resources NR UCITS ETF"
"C061.F",0.007,0.02,3,-0.019,-0.006,-0.004,-0.002,-0.001,0.003,0.006,0.008,0.02,"C061.F","ComStage - STOXX Europe 600 Automobiles & Parts NR UCITS ETF"
"C064.F",0.03,0.088,3,-0.013,-0.004,-0.001,0.001,0.001,0.003,0.005,0.008,0.012,"C064.F","ComStage - STOXX Europe 600 Chemicals NR UCITS ETF"
"EXH1.F",0.007,0.02,3,-0.014,-0.006,-0.002,0,0.001,0.005,0.008,0.01,0.016,"EXH1.F","iShares (DE) I - iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE)"
"EXV8.F",0.035,0.101,3,-0.011,-0.004,-0.001,0,0.001,0.004,0.005,0.006,0.008,"EXV8.F","iShares (DE) I - iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE)"
"EXH9.F",0.012,0.028,4,-0.012,-0.005,-0.004,-0.001,0,0.003,0.004,0.007,0.011,"EXH9.F","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"C079.F",0.011,0.031,4,-0.011,-0.005,-0.003,-0.001,0,0.002,0.004,0.008,0.011,"C079.F","ComStage - STOXX Europe 600 Utilities NR UCITS ETF"
"SC0Z.F",0.013,0.029,4,-0.01,-0.005,-0.003,-0.001,0,0.003,0.005,0.008,0.011,"SC0Z.F","Source Markets plc - Source STOXX Europe 600 Optimised Utilities UCITS ETF"
"EXH9.DE",0.009,0.023,4,-0.01,-0.004,-0.003,-0.001,0,0.002,0.005,0.006,0.011,"EXH9.DE","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
