"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"IGEA.L",0.012,0.028,4,0,0,0,0,0,0,0,0,0.001,"IGEA.L","iShares III Public Limited Company - iShares Emerging Asia Local Government Bond UCITS ETF"
"IEGZ.L",0.004,0.016,5,-0.005,0,0,0,0,0,0,0.002,0.007,"IEGZ.L","iShares III Public Limited Company - iShares Euro Government Bond 10-15yr UCITS ETF"
"EUN6.F",0.007,0.025,5,0,0,0,0,0,0,0,0,0,"EUN6.F","iShares III Public Limited Company - iShares Euro Government Bond 0-1yr UCITS ETF"
"IEML.SW",0.003,0.011,5,-0.006,0,0,0,0,0,0,0.003,0.007,"IEML.SW","iShares III Public Limited Company - iShares Emerging Markets Local Government Bond UCITS ETF"
"IBGM.SW",0.002,0.008,5,0,0,0,0,0,0,0.001,0.001,0.003,"IBGM.SW","iShares II Public Limited Company - iShares Euro Government Bond 7-10yr UCITS ETF"
"IGLO.SW",0.002,0.009,5,-0.002,0,0,0,0,0,0,0.001,0.004,"IGLO.SW","iShares III Public Limited Company - iShares Global Government Bond UCITS ETF"
"SXRN.DE",0.003,0.012,5,0,0,0,0,0,0,0,0,0,"SXRN.DE","iShares VII Public Limited Company - iShares Euro Government Bond 1-3yr UCITS ETF (Acc)"
"EG20.L",0.004,0.015,5,-0.09,0,0.001,0.001,0.001,0.001,0.002,0.007,0.113,"EG20.L","iShares IV Public Limited Company - iShares Euro Government Bond 20yr Target Duration UCITS ETF"
"SFRB.L",0.006,0.019,5,-0.002,0,0,0.001,0.001,0.001,0.001,0.001,0.007,"SFRB.L","iShares V Public Limited Company - iShares France Government Bond UCITS ETF"
"SESP.L",0.003,0.012,5,-0.004,0,0,0,0,0,0,0.001,0.009,"SESP.L","iShares V Public Limited Company - iShares Spain Government Bond UCITS ETF"
"E20Y.L",0.004,0.015,5,-0.008,-0.002,-0.001,0,0,0.001,0.003,0.005,0.012,"E20Y.L","iShares IV Public Limited Company - iShares Euro Government Bond 20yr Target Duration UCITS ETF"
"IBGL.SW",0.002,0.008,5,0,0,0,0,0,0,0.001,0.002,0.006,"IBGL.SW","iShares II Public Limited Company - iShares Euro Government Bond 15-30yr UCITS ETF"
"IEGE.SW",0.004,0.011,5,0,0,0,0,0,0,0,0,0,"IEGE.SW","iShares III Public Limited Company - iShares Euro Government Bond 0-1yr UCITS ETF"
"E20Y.SW",0.002,0.006,5,0,0,0,0,0,0,0,0,0.001,"E20Y.SW","iShares IV Public Limited Company - iShares Euro Government Bond 20yr Target Duration UCITS ETF"
"IGIL.SW",0.003,0.013,5,-0.003,0,0,0,0,0,0,0.002,0.006,"IGIL.SW","iShares III Public Limited Company - iShares Global Inflation Linked Government Bond UCITS ETF"
"IEML.L",0.005,0.021,5,-0.032,-0.006,-0.004,-0.001,0,0.003,0.007,0.015,0.077,"IEML.L","iShares III Public Limited Company - iShares Emerging Markets Local Government Bond UCITS ETF"
"IAAA.SW",0.003,0.012,5,-0.001,0,0,0,0,0,0,0,0.004,"IAAA.SW","iShares VI Public Limited Company - iShares Global AAA-AA Government Bond UCITS ETF"
"IFRB.L",0.003,0.012,5,-0.002,0,0,0,0,0,0,0.001,0.003,"IFRB.L","iShares V Public Limited Company - iShares France Government Bond UCITS ETF"
"SGEA.L",0.011,0.024,6,-0.004,-0.001,0,0,0,0.001,0.002,0.003,0.005,"SGEA.L","iShares III Public Limited Company - iShares Emerging Asia Local Government Bond UCITS ETF"
"SDEU.L",0.012,0.029,6,-0.002,0,0,0,0,0,0.001,0.001,0.003,"SDEU.L","iShares V Public Limited Company - iShares Germany Government Bond UCITS ETF"
"SGLO.L",0.011,0.023,6,-0.004,-0.002,-0.001,0,0,0.001,0.002,0.003,0.005,"SGLO.L","iShares III Public Limited Company - iShares Global Government Bond UCITS ETF"
