"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"MVID.ME",0.005,0.023,4,-0.042,-0.015,-0.008,-0.002,0,0.007,0.013,0.02,0.039,"Public Joint Stock Company M.video","MCX","","Russia"
"PIKK.ME",0.006,0.025,4,-0.025,-0.011,-0.004,-0.001,0.002,0.012,0.02,0.032,0.055,"PJSC PIK Group","MCX","","Russia"
"NKE",0.005,0.025,4,-0.027,-0.011,-0.003,0.003,0.006,0.016,0.026,0.04,0.063,"NIKE, Inc.","NYQ","Textile - Apparel Footwear & Accessories","USA"
"PSM.DE",0.005,0.025,4,-0.037,-0.022,-0.013,-0.002,0.001,0.015,0.026,0.04,0.058,"ProSiebenSat.1 Media SE","GER","Broadcasting - TV","Germany"
"NLMK.ME",0.006,0.026,4,-0.027,-0.013,-0.005,0.001,0.003,0.012,0.022,0.03,0.051,"Novolipetsk Steel","MCX","","Russia"
"PLZL.ME",0.006,0.026,1,-0.03,-0.016,-0.006,0.001,0.007,0.017,0.023,0.034,0.056,"Public Joint Stock Company Polyus","MCX","","Russia"
"DB1.DE",0.006,0.026,4,-0.03,-0.011,-0.004,0.001,0.006,0.018,0.029,0.044,0.064,"Deutsche Börse Aktiengesellschaft","GER","Asset Management","Germany"
"TRNFP.ME",0.006,0.027,4,-0.029,-0.014,-0.009,-0.004,0,0.008,0.015,0.022,0.046,"Public Joint Stock Company Transneft","MCX","","Russia"
"FEES.ME",0.006,0.027,1,-0.028,-0.015,-0.008,0,0.003,0.011,0.018,0.025,0.045,"Public Joint-Stock Company Federal Grid Company of Unified Energy System","MCX","","Russia"
"NMTP.ME",0.006,0.027,4,-0.044,-0.025,-0.015,-0.007,-0.002,0.003,0.012,0.026,0.044,"Public Joint Stock Company Novorossiysk Commercial Sea Port","MCX","","Russia"
"ALRS.ME",0.006,0.027,1,-0.034,-0.019,-0.011,-0.002,0.003,0.016,0.024,0.033,0.069,"Public Joint Stock Company ALROSA","MCX","","Russia"
"ADS.DE",0.006,0.027,4,-0.045,-0.024,-0.015,-0.01,-0.005,0.008,0.019,0.028,0.064,"Adidas AG","GER","Textile - Apparel Footwear & Accessories","Germany"
"AFLT.ME",0.006,0.028,4,-0.049,-0.032,-0.023,-0.015,-0.01,0.002,0.012,0.023,0.044,"Public Joint Stock Company Aeroflot - Russian Airlines","MCX","","Russia"
"POLY.ME",0.006,0.028,4,-0.042,-0.021,-0.014,-0.004,-0.001,0.007,0.015,0.027,0.061,"Polymetal International Plc","MCX","","Russia"
