"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"BSJL",0.002,0.01,3,-0.003,-0.001,0,0,0,0.001,0.001,0.002,0.003,"BSJL","Invesco BulletShares 2021 HY Corp Bd ETF"
"RYF",0.011,0.037,3,-0.01,-0.003,-0.002,0,0.001,0.004,0.006,0.009,0.015,"RYF","Invesco S&P 500 Equal Weight Fincl ETF"
"KBWB",0.007,0.025,3,-0.011,-0.005,-0.002,0,0.001,0.005,0.006,0.011,0.019,"KBWB","Invesco KBW Bank ETF"
"KBWR",0.005,0.018,3,-0.013,-0.007,-0.003,0,0.001,0.006,0.008,0.011,0.019,"KBWR","Invesco KBW Regional Banking ETF"
"BSCO",0.003,0.011,4,-0.003,-0.001,-0.001,0,0,0,0.001,0.002,0.003,"BSCO","Invesco BulletShares 2024 Corp Bd ETF"
"GSY",0.002,0.006,4,0,0,0,0,0,0,0,0,0,"GSY","Invesco Ultra Short Duration ETF"
"BSCJ",0.002,0.007,4,-0.001,0,0,0,0,0,0,0,0.001,"BSCJ","Invesco BulletShares 2019 Corp Bd ETF"
"BSCN",0.003,0.011,4,-0.002,-0.001,-0.001,0,0,0,0.001,0.001,0.002,"BSCN","Invesco BulletShares 2023 Corp Bd ETF"
"PZA",0.003,0.01,4,-0.003,-0.002,-0.001,0,0,0.001,0.002,0.002,0.003,"PZA","Invesco National AMT-Free Muni Bd ETF"
"BAB",0.003,0.011,4,-0.004,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.005,"BAB","Invesco Taxable Municipal Bond ETF"
"^IXIC",0.029,0.095,5,-0.009,-0.003,-0.001,0,0.001,0.003,0.006,0.009,0.015,"-","-"
"DWAQ",0.005,0.02,5,-0.011,-0.003,-0.001,0,0.001,0.004,0.007,0.01,0.015,"DWAQ","Invesco DWA NASDAQ Momentum ETF"
"PSJ",0.007,0.025,5,-0.013,-0.005,-0.002,0.001,0.002,0.006,0.008,0.012,0.019,"PSJ","Invesco Dynamic Software ETF"
"PGJ",0.003,0.012,5,-0.017,-0.007,-0.004,-0.001,0.001,0.006,0.009,0.014,0.021,"PGJ","Invesco Golden Dragon China ETF"
"PSCT",0.008,0.03,5,-0.014,-0.006,-0.003,-0.001,0.001,0.005,0.007,0.012,0.017,"PSCT","Invesco S&P SmallCap Info Tech ETF"
"PNQI",0.01,0.033,5,-0.012,-0.004,-0.002,0.001,0.002,0.004,0.007,0.012,0.018,"PNQI","Invesco NASDAQ Internet ETF"
"CQQQ",0.003,0.013,5,-0.022,-0.009,-0.003,0,0.002,0.006,0.009,0.015,0.023,"CQQQ","Invesco China Technology ETF"
"QQQ",0.022,0.071,5,-0.011,-0.004,-0.001,0,0.001,0.003,0.007,0.01,0.017,"QQQ","Invesco QQQ Trust"
"PWB",0.026,0.087,5,-0.01,-0.003,-0.001,0.001,0.002,0.004,0.006,0.008,0.014,"PWB","Invesco Dynamic Large Cap Growth ETF"
"RPG",0.029,0.099,5,-0.009,-0.003,-0.001,0.001,0.001,0.003,0.006,0.009,0.014,"RPG","Invesco S&P 500 Pure Growth ETF"
"PSI",0.007,0.024,5,-0.019,-0.008,-0.002,0.001,0.003,0.006,0.009,0.016,0.024,"PSI","Invesco Dynamic Semiconductors ETF"
"PXE",0.004,0.012,6,-0.017,-0.006,-0.002,0,0.002,0.006,0.01,0.015,0.023,"PXE","Invesco Dynamic Engy Explr & Prdtn ETF"
"PXI",0.004,0.012,6,-0.018,-0.007,-0.003,0,0.001,0.006,0.01,0.016,0.025,"PXI","Invesco DWA Energy Momentum ETF"
"RYE",0.004,0.013,6,-0.016,-0.006,-0.004,-0.001,0,0.005,0.009,0.014,0.02,"RYE","Invesco S&P 500 Equal Weight Energy ETF"
