"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"QQQ",0.015,0.05,3,-0.025,-0.009,0,0.009,0.014,0.024,0.033,0.044,0.068,"QQQ","Invesco QQQ Trust"
"PWB",0.022,0.083,3,-0.018,-0.006,0.002,0.009,0.014,0.027,0.035,0.055,0.119,"PWB","Invesco Dynamic Large Cap Growth ETF"
"RPG",0.021,0.073,3,-0.02,-0.005,0.001,0.007,0.011,0.025,0.033,0.048,0.083,"RPG","Invesco S&P 500 Pure Growth ETF"
"RFG",0.022,0.085,3,-0.026,-0.012,-0.001,0.007,0.01,0.02,0.03,0.046,0.078,"RFG","Invesco S&P MidCap 400 Pure Growth ETF"
"PWC",0.015,0.058,3,-0.023,-0.008,-0.001,0.006,0.011,0.026,0.035,0.05,0.072,"PWC","Invesco Dynamic Market ETF"
"PBP",0.006,0.024,3,-0.022,-0.008,0.001,0.006,0.008,0.017,0.022,0.034,0.055,"PBP","Invesco S&P 500 BuyWrite ETF"
"PSI",0.009,0.037,3,-0.028,-0.011,-0.003,0.006,0.008,0.021,0.032,0.047,0.109,"PSI","Invesco Dynamic Semiconductors ETF"
"PSP",0.007,0.03,3,-0.033,-0.018,-0.008,-0.001,0.003,0.018,0.027,0.05,0.077,"PSP","Invesco Global Listed Private Equity ETF"
"^RUT",0.018,0.064,4,-0.028,-0.015,-0.004,0.005,0.009,0.022,0.032,0.045,0.081,"-","-"
"VIOO",0.018,0.062,4,-0.029,-0.016,-0.003,0.005,0.01,0.02,0.03,0.048,0.068,"VIOO","Vanguard S&P Small-Cap 600 ETF"
"RZG",0.012,0.045,4,-0.026,-0.014,-0.003,0.007,0.01,0.022,0.03,0.039,0.076,"RZG","Invesco S&P SmallCap 600 Pure Gr ETF"
"PSCC",0.005,0.022,4,-0.041,-0.016,-0.006,0.003,0.009,0.019,0.03,0.045,0.069,"PSCC","Invesco S&P SmallCap Consumer Stapl ETF"
"PSCH",0.007,0.027,4,-0.022,-0.007,0.003,0.01,0.014,0.026,0.033,0.049,0.097,"PSCH","Invesco S&P SmallCap Health Care ETF"
"PRFZ",0.02,0.073,4,-0.028,-0.014,-0.003,0.004,0.008,0.021,0.031,0.049,0.08,"PRFZ","Invesco FTSE RAFI US 1500 Small-Mid ETF"
"XSLV",0.011,0.04,4,-0.032,-0.013,-0.008,0.002,0.006,0.017,0.027,0.045,0.077,"XSLV","Invesco S&P SmallCap Low Volatility ETF"
"PSL",0.006,0.024,4,-0.025,-0.008,-0.004,0.002,0.006,0.018,0.028,0.036,0.06,"PSL","Invesco DWA Consumer Staples Mom ETF"
"PEJ",0.006,0.025,4,-0.025,-0.013,-0.003,0.004,0.007,0.019,0.027,0.04,0.061,"PEJ","Invesco Dynamic Leisure and Entmnt ETF"
"RHS",0.004,0.018,4,-0.036,-0.015,-0.005,0,0.005,0.015,0.023,0.034,0.063,"RHS","Invesco S&P 500 Eql Wt Cnsm Stapl ETF"
"KBWD",0.005,0.022,4,-0.033,-0.016,-0.009,-0.002,0,0.011,0.019,0.034,0.084,"KBWD","Invesco KBW High Dividend Yield Financial ETF"
"PSCF",0.009,0.034,4,-0.029,-0.013,-0.006,0.002,0.007,0.015,0.023,0.039,0.077,"PSCF","Invesco S&P SmallCap Financials ETF"
"PXE",0.006,0.022,5,-0.038,-0.012,-0.003,0.005,0.007,0.019,0.033,0.053,0.091,"PXE","Invesco Dynamic Engy Explr & Prdtn ETF"
"PXI",0.006,0.022,5,-0.035,-0.012,-0.005,0.002,0.006,0.018,0.03,0.047,0.08,"PXI","Invesco DWA Energy Momentum ETF"
"RYE",0.006,0.021,5,-0.039,-0.012,-0.004,0.003,0.006,0.016,0.028,0.041,0.067,"RYE","Invesco S&P 500 Equal Weight Energy ETF"
