"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"ADS.DE",0.007,0.029,4,-0.045,-0.022,-0.015,-0.008,-0.004,0.01,0.02,0.029,0.064,"Adidas AG","GER","Textile - Apparel Footwear & Accessories","Germany"
"MUV2.DE",0.01,0.043,4,-0.037,-0.016,-0.009,0,0.006,0.016,0.028,0.04,0.063,"Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft","GER","Property & Casualty Insurance","Germany"
"BAYN.DE",0.009,0.04,4,-0.056,-0.026,-0.018,-0.006,-0.004,0.008,0.017,0.026,0.043,"Bayer Aktiengesellschaft","GER","Drug Manufacturers - Major","Germany"
"TKA.DE",0.008,0.033,4,-0.047,-0.021,-0.015,-0.006,-0.001,0.014,0.019,0.031,0.061,"ThyssenKrupp AG","GER","Steel & Iron","Germany"
"ALV.DE",0.014,0.056,4,-0.035,-0.016,-0.007,0.004,0.007,0.017,0.025,0.038,0.068,"Allianz SE","GER","Property & Casualty Insurance","Germany"
"PSM.DE",0.007,0.03,4,-0.037,-0.022,-0.012,-0.002,0.001,0.015,0.026,0.04,0.058,"ProSiebenSat.1 Media SE","GER","Broadcasting - TV","Germany"
"LIN.DE",0.008,0.034,4,-0.041,-0.024,-0.01,-0.002,0,0.011,0.02,0.03,0.066,"Linde Aktiengesellschaft","GER","Chemicals - Major Diversified","Germany"
"VOW3.DE",0.012,0.048,4,-0.042,-0.022,-0.013,-0.003,0,0.01,0.02,0.03,0.056,"Volkswagen Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"DAI.DE",0.013,0.053,4,-0.064,-0.021,-0.006,0.002,0.005,0.017,0.026,0.039,0.058,"Daimler AG","GER","Auto Manufacturers - Major","Germany"
"EOAN.DE",0.008,0.037,4,-0.049,-0.021,-0.012,-0.005,0,0.009,0.021,0.037,0.063,"E.ON SE","GER","Diversified Utilities","Germany"
"HEI.DE",0.008,0.034,4,-0.049,-0.023,-0.016,-0.009,-0.003,0.007,0.015,0.032,0.057,"HeidelbergCement AG","GER","General Building Materials","Germany"
"CON.DE",0.011,0.046,4,-0.034,-0.016,-0.006,-0.001,0.004,0.013,0.018,0.028,0.059,"Continental Aktiengesellschaft","GER","Auto Parts","Germany"
"SAP.DE",0.011,0.047,4,-0.038,-0.013,-0.006,0.003,0.006,0.017,0.026,0.043,0.081,"SAP SE","GER","Technical & System Software","Germany"
"MRK.DE",0.008,0.036,4,-0.043,-0.02,-0.011,-0.005,-0.003,0.006,0.015,0.024,0.045,"Merck Kommanditgesellschaft auf Aktien","GER","Drugs - Generic","Germany"
"IFX.DE",0.009,0.04,4,-0.03,-0.014,-0.005,0.003,0.008,0.019,0.025,0.042,0.074,"Infineon Technologies AG","GER","Semiconductor - Broad Line","Germany"
"CBK.DE",0.009,0.038,4,-0.043,-0.021,-0.012,-0.003,0.001,0.011,0.018,0.027,0.048,"Commerzbank AG","GER","Money Center Banks","Germany"
"HEN3.DE",0.009,0.04,4,-0.039,-0.018,-0.012,-0.005,-0.001,0.01,0.017,0.026,0.055,"Henkel AG & Co. KGaA","GER","Personal Products","Germany"
"LHA.DE",0.008,0.034,4,-0.033,-0.016,-0.008,-0.001,0.004,0.015,0.023,0.035,0.059,"Deutsche Lufthansa Aktiengesellschaft","GER","Major Airlines","Germany"
"DBK.DE",0.009,0.038,4,-0.048,-0.025,-0.015,-0.01,-0.007,0.008,0.018,0.028,0.051,"Deutsche Bank Aktiengesellschaft","GER","Money Center Banks","Germany"
"FME.DE",0.008,0.035,4,-0.033,-0.013,-0.005,0.001,0.003,0.011,0.018,0.029,0.058,"Fresenius Medical Care AG & Co. KGAA","GER","Hospitals","Germany"
"DTE.DE",0.008,0.033,4,-0.046,-0.024,-0.018,-0.011,-0.007,0.004,0.016,0.026,0.047,"Deutsche Telekom AG","GER","Wireless Communications","Germany"
"BMW.DE",0.013,0.052,4,-0.055,-0.024,-0.01,-0.003,0.001,0.015,0.021,0.031,0.067,"Bayerische Motoren Werke Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"^GDAXI",0.022,0.086,4,-0.034,-0.013,-0.004,0.005,0.007,0.018,0.029,0.04,0.07,"-","-","-","-"
"AZN.ST",0.007,0.032,4,-0.033,-0.013,-0.005,0.003,0.006,0.02,0.034,0.048,0.076,"AstraZeneca PLC","STO","Drug Manufacturers - Major","Sweden"
"^N100",0.02,0.081,4,-0.03,-0.01,-0.001,0.006,0.009,0.021,0.032,0.051,0.091,"-","-","-","-"
