"","so","mem","Q%10","Q%25","Q%35","Q%45","Q%50","Q%65","Q%75","Q%85","Q%95"
"TELIA.ST",0.007,3,-0.02,-0.014,-0.009,-0.005,-0.002,0.006,0.011,0.019,0.032
"ALIV-SDB.ST",0.006,3,-0.02,-0.008,0.001,0.005,0.007,0.015,0.019,0.025,0.037
"VOLV-B.ST",0.016,3,-0.019,-0.011,-0.007,-0.003,0.001,0.007,0.013,0.021,0.041
"GETI-B.ST",0.007,3,-0.03,-0.02,-0.015,-0.011,-0.009,0.005,0.01,0.015,0.023
"^OMX",0.02,3,-0.026,-0.013,-0.008,-0.003,-0.001,0.007,0.013,0.027,0.042
"GS",0.012,4,-0.02,-0.009,-0.004,-0.002,0.001,0.008,0.014,0.022,0.033
"BA",0.01,4,-0.005,0.001,0.006,0.01,0.012,0.019,0.027,0.034,0.051
"JPM",0.013,4,-0.017,-0.007,-0.001,0.004,0.006,0.016,0.023,0.032,0.047
"UTX",0.01,4,-0.019,-0.012,-0.007,0.001,0.004,0.013,0.02,0.029,0.048
"DWDP",0.009,4,-0.02,-0.01,-0.004,0.001,0.004,0.01,0.018,0.023,0.035
"JNJ",0.01,4,-0.023,-0.014,-0.008,-0.004,-0.001,0.005,0.013,0.022,0.048
"IBM",0.011,4,-0.025,-0.013,-0.007,-0.002,0.001,0.008,0.011,0.017,0.034
"MMM",0.012,4,-0.02,-0.013,-0.007,0,0.003,0.015,0.023,0.032,0.044
"CAT",0.014,4,-0.012,-0.003,0.001,0.008,0.012,0.021,0.029,0.035,0.051
"AXP",0.012,4,-0.014,-0.004,0,0.006,0.009,0.015,0.021,0.033,0.046
"HD",0.009,4,-0.015,-0.009,-0.004,0.003,0.006,0.016,0.026,0.035,0.048
"TRV",0.011,4,-0.018,-0.011,-0.006,-0.003,0,0.01,0.018,0.026,0.046
"^DJI",0.021,4,-0.011,-0.002,0.003,0.01,0.014,0.025,0.03,0.039,0.055
"SHB-A.ST",0.011,5,-0.025,-0.016,-0.009,-0.006,-0.004,0.001,0.007,0.015,0.028
"SEB-A.ST",0.012,5,-0.026,-0.015,-0.01,-0.007,-0.005,-0.001,0.005,0.012,0.027
"NDA-SEK.ST",0.01,5,-0.025,-0.016,-0.012,-0.007,-0.005,0.004,0.009,0.015,0.032
"SWED-A.ST",0.01,5,-0.03,-0.012,-0.007,-0.001,0,0.006,0.01,0.016,0.028
