"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"C062.DE",0.002,0.006,4,-0.013,-0.006,-0.002,0,0,0.002,0.003,0.006,0.011,"C062.DE","ComStage - STOXX Europe 600 Banks NR UCITS ETF"
"C077.DE",0.001,0.003,4,-0.011,-0.002,0,0,0,0,0,0.001,0.01,"C077.DE","ComStage - STOXX Europe 600 Telecommunications NR UCITS ETF"
"C076.DE",0.003,0.01,4,-0.013,-0.006,-0.002,0,0.001,0.005,0.006,0.009,0.016,"C076.DE","ComStage - STOXX Europe 600 Technology NR UCITS ETF"
"CSX5.AS",0.026,0.065,4,-0.011,-0.005,-0.002,0,0,0.002,0.004,0.006,0.009,"CSX5.AS","iShares VII Public Limited Company - iShares Core EURO STOXX 50 UCITS ETF"
"DXSP.DE",0.033,0.081,4,-0.008,-0.005,-0.003,-0.001,0,0.001,0.004,0.008,0.013,"DXSP.DE","db x-trackers - EURO STOXX 50 Short Daily UCITS ETF"
"C072.DE",0.002,0.007,4,-0.014,-0.006,-0.003,0,0,0.002,0.007,0.01,0.015,"C072.DE","ComStage - STOXX Europe 600 Oil & Gas NR UCITS ETF"
"SC0C.DE",0.02,0.058,4,-0.009,-0.003,-0.002,0,0.001,0.003,0.005,0.006,0.009,"SC0C.DE","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"ISPA.DE",0.003,0.01,4,-0.006,-0.003,-0.002,-0.001,0,0.002,0.003,0.005,0.007,"ISPA.DE","iShares (DE) I - iShares STOXX Global Select Dividend 100 UCITS ETF (DE)"
"SC0G.DE",0.001,0.005,4,-0.004,0,0,0,0,0,0.001,0.004,0.007,"SC0G.DE","Source Markets plc - Source STOXX Europe Mid 200 UCITS ETF"
"EXFN.SW",0,0.001,4,0,0,0,0,0,0,0,0,0,"EXFN.SW","iShares II Public Limited Company - iShares EURO STOXX 50 ex-Financials UCITS ETF"
"C5E.PA",0.011,0.029,4,-0.008,-0.004,-0.002,0,0.001,0.002,0.004,0.006,0.009,"C5E.PA","Amundi ETF STOXX Europe 50 UCITS ETF"
"EL4C.DE",0.002,0.007,4,-0.01,-0.003,-0.001,0.002,0.002,0.005,0.007,0.009,0.013,"EL4C.DE","Deka STOXX Europe Strong Growth 20 UCITS ETF"
"SC00.DE",0.001,0.004,4,-0.008,-0.001,0,0,0,0,0,0.006,0.014,"SC00.DE","Source Markets plc - Source STOXX Europe 600 Optimised Chemicals UCITS ETF"
"SC0V.DE",0.001,0.005,4,-0.011,-0.004,0,0,0,0.002,0.006,0.009,0.016,"SC0V.DE","Source Markets plc - Source STOXX Europe 600 Optimised Oil & Gas UCITS ETF"
"C050.DE",0.021,0.058,4,-0.011,-0.005,-0.002,0,0,0.003,0.004,0.007,0.009,"C050.DE","ComStage - EURO STOXX 50 NR UCITS ETF"
"C078.DE",0.001,0.007,4,-0.009,-0.002,0,0,0,0.001,0.003,0.007,0.013,"C078.DE","ComStage - STOXX Europe 600 Travel & Leisure NR UCITS ETF"
"C061.DE",0.001,0.005,4,-0.018,-0.008,-0.004,-0.001,0,0.002,0.005,0.008,0.016,"C061.DE","ComStage - STOXX Europe 600 Automobiles & Parts NR UCITS ETF"
"SC0D.DE",0.029,0.072,4,-0.011,-0.004,-0.001,0,0,0.003,0.005,0.007,0.01,"SC0D.DE","Source Markets plc - Source EURO STOXX 50 UCITS ETF"
"C070.DE",0.003,0.013,4,-0.009,-0.002,0,0,0,0.002,0.003,0.005,0.008,"C070.DE","ComStage - STOXX Europe 600 Insurance NR UCITS ETF"
"EXSH.DE",0.003,0.011,4,-0.007,-0.004,-0.002,-0.001,0,0.002,0.004,0.005,0.008,"EXSH.DE","iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)"
"IQQM.F",0.004,0.014,4,-0.008,-0.003,-0.002,0,0,0.003,0.004,0.006,0.008,"IQQM.F","iShares Public Limited Company - iShares EURO STOXX Mid UCITS ETF"
"EUHD.SW",0,0.001,4,-0.01,0,0,0,0,0,0,0,0,"EUHD.SW","PowerShares Global Funds Ireland plc - PowerShares EURO STOXX High Dividend Low Volatility UCITS ETF"
"ELFA.DE",0.002,0.007,4,-0.008,-0.003,0,0,0,0.001,0.003,0.006,0.011,"ELFA.DE","Deka EURO STOXX 50 (thes.) UCITS ETF"
"C054.SG",0.003,0.014,4,-0.01,-0.003,-0.001,0,0.001,0.002,0.003,0.004,0.008,"C054.SG","ComStage - FR EURO STOXX 50 UCITS ETF"
"S7XE.DE",0.008,0.021,5,-0.018,-0.008,-0.004,-0.002,0,0.003,0.005,0.008,0.014,"S7XE.DE","Source Markets plc - Source EURO STOXX Optimised Banks UCITS ETF"
"ETSZ.F",0.009,0.022,5,-0.009,-0.002,-0.001,0,0,0.002,0.003,0.006,0.01,"ETSZ.F","Easy ETF - BNP Paribas Easy STOXX Europe 600 UCITS ETF"
"EXV1.DE",0.008,0.022,5,-0.013,-0.007,-0.003,-0.001,0,0.003,0.005,0.007,0.009,"EXV1.DE","iShares (DE) I - iShares STOXX Europe 600 Banks UCITS ETF (DE)"
"EXV1.F",0.009,0.025,5,-0.012,-0.008,-0.003,-0.001,0,0.003,0.005,0.007,0.012,"EXV1.F","iShares (DE) I - iShares STOXX Europe 600 Banks UCITS ETF (DE)"
"EXX1.DE",0.01,0.026,5,-0.017,-0.009,-0.004,-0.002,0,0.003,0.006,0.008,0.014,"EXX1.DE","iShares EURO STOXX Banks 30-15 UCITS ETF (DE)"
"C062.F",0.006,0.02,5,-0.013,-0.007,-0.004,-0.002,0,0.004,0.005,0.008,0.013,"C062.F","ComStage - STOXX Europe 600 Banks NR UCITS ETF"
"EXX1.F",0.008,0.023,5,-0.017,-0.01,-0.004,-0.002,-0.001,0.003,0.006,0.009,0.016,"EXX1.F","iShares EURO STOXX Banks 30-15 UCITS ETF (DE)"
"^STOXX",0.002,0.006,6,-0.005,-0.002,-0.001,-0.001,-0.001,0.001,0.002,0.005,0.007,"-","-"
"^STOXX50E",0.002,0.006,6,-0.007,-0.004,-0.002,-0.002,-0.002,0.002,0.002,0.005,0.009,"-","-"
"DJMC.L",0.001,0.006,6,-0.01,-0.005,-0.003,-0.001,0.001,0.004,0.006,0.008,0.01,"DJMC.L","iShares Public Limited Company - iShares EURO STOXX Mid UCITS ETF"
"EUE.MI",0.007,0.015,6,-0.012,-0.005,-0.002,0,0,0.003,0.005,0.007,0.01,"EUE.MI","ISHARES EURO STOXX 50 UCITS ETF"
"E50EUA.MI",0.002,0.008,6,-0.01,-0.003,0,0,0,0.001,0.004,0.007,0.009,"E50EUA.MI","UBS EURO STOXX 50 UCITS ETF A-D"
"AUTP.MI",0.003,0.009,6,-0.018,-0.008,-0.005,-0.001,0,0.003,0.004,0.008,0.019,"AUTP.MI","LYXOR UCITS ETF STOXX EU 600 AU"
"EXSI.MI",0.006,0.013,6,-0.011,-0.005,-0.002,0,0.001,0.003,0.005,0.007,0.009,"EXSI.MI","ISHARES EURO STOXX UCITS ETF"
"DJLEV.MI",0.006,0.014,6,-0.022,-0.009,-0.003,-0.001,0,0.005,0.01,0.013,0.02,"DJLEV.MI","LYXOR UCITS ETF EUSTOXX50 DAILY"
"BXX.MI",0.007,0.015,6,-0.015,-0.01,-0.006,-0.003,0,0.004,0.009,0.015,0.025,"BXX.MI","LYXOR UCITS ETF EUSTOXX50 DAILY"
"^FTSE",0.003,0.01,7,-0.01,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.01,"-","-"
"DJSC.L",0.003,0.009,7,-0.009,-0.006,-0.003,0,0,0.004,0.005,0.008,0.01,"DJSC.L","iShares Public Limited Company - iShares EURO STOXX Small UCITS ETF"
"H50E.L",0.004,0.012,7,-0.011,-0.005,-0.002,-0.001,0,0.004,0.006,0.007,0.013,"H50E.L","HSBC ETFs Public Limited Company - HSBC EURO STOXX 50 UCITS ETF"
"EUN.L",0.003,0.009,7,-0.009,-0.003,-0.001,0,0,0.002,0.005,0.007,0.011,"EUN.L","iShares II Public Limited Company - iShares STOXX Europe 50 UCITS ETF"
