"","DAAA","DBAA","DCOILWTICO","DEXUSEU","DFEDTARL","DFEDTARU","DFF","DGS1","DGS10","DGS1MO","DGS2","DGS20","DGS3","DGS30","DGS3MO","DGS5","DGS6MO","DGS7","DPCREDIT","DPRIME","DTB1YR","DTWEXM","IOER","T10Y2Y","T10YIE","T5YIE","T5YIFR","TEDRATE"
"2018-11-13",0.0315805548826531,0.0468731647148948,0.00403050089153269,0.00698046565781958,0.00781962535193772,0.0078216034892482,0.0286370877304175,0.0915273013579453,0.0388455488484002,0.0822737216436084,0.0670416129481831,0.0639344339357941,0.0541844535082081,0.0587647261559428,0.0901466837720218,0.0387269934347589,0.0835296487731399,0.0448543251225964,0.0087002156123026,0.0116301415656647,0.0906108184788156,0.0067289344694392,0.00546083827213275,0.00179848032290527,0.00808539895061467,0.00870297171235217,0.00415456039067917,0.0065551880059911
"2018-11-14",0.028958831003848,0.0442509325860501,0.00426140919259736,0.00630734081879231,0.00790261793586888,0.00951349575108739,0.0333162018628362,0.109182849675622,0.0278157522768538,0.0930535805309577,0.0583533087561671,0.0503587174138304,0.0469504802681113,0.0451866231232735,0.106500213917119,0.0311570559650947,0.0944691530508734,0.0352666970952646,0.00946901118004318,0.00857697876599644,0.108984501109145,0.00620299236897475,0.00528077744389141,0.00178602438146375,0.0088019923805272,0.00845281213588117,0.00385595907299116,0.00578368993683786
"2018-11-15",0.0288626059861159,0.0516141226722843,0.00451242722404076,0.00663612844620534,0.00826443601472382,0.00824446784868235,0.0313645662424016,0.103176906373008,0.0335519392950328,0.0861709034619913,0.071123513774346,0.0586144153812308,0.0506514846588076,0.0534441907356625,0.0891854963424131,0.0321705937726043,0.0845645402842031,0.0438467578452029,0.00868755551181727,0.00854199156672706,0.0966310487800321,0.0064750191605532,0.00503424878413892,0.00181140426149654,0.00846553168501266,0.008597604740276,0.00379749051379793,0.00595860863719153
"2018-11-16",0.0243740342347495,0.0475603007539142,0.00475784077340021,0.0060459139725907,0.00821950859696834,0.00904858217278226,0.0320568471736949,0.0931358475850079,0.0325244534521683,0.0923759436027978,0.0657881714670484,0.0564861341797673,0.0495392611598532,0.0492614244840222,0.0893351156398847,0.0522379267931247,0.0925710439204766,0.0430779926380874,0.0110071757188079,0.00990674943288344,0.0900827352379955,0.00623131942434986,0.00493953701190196,0.00166346281417206,0.00903793472716787,0.00891707634449078,0.00431598971798563,0.00550167696990645
"2018-11-19",0.031152838003625,0.0468647618638024,0.0054606246803943,0.00620786305808619,0.00849636863362691,0.00785992268626805,0.0333052365034609,0.0971636724324949,0.0307446983614548,0.0847862562594695,0.0550597100274963,0.054795869891116,0.04931421540482,0.0563164374145671,0.0891198911364995,0.0488930518230934,0.0847480104744427,0.0420928781381297,0.0137964391653244,0.0116618531490585,0.098376538913301,0.00655715341404607,0.00471708471157299,0.00185449287270267,0.00989349511842331,0.00956924234047765,0.0048626964231812,0.00632869709906451
"2018-11-20",0.0267719444401406,0.0500154969471146,0.00570560763237401,0.00662572600137199,0.00753295641103296,0.00875185636944988,0.0288820706823353,0.0889312673445186,0.0373532808715983,0.0764786826608465,0.0665676498281811,0.0633903235147025,0.0519316023941021,0.0548312743528947,0.0856284250226412,0.0495391212463592,0.0907927782686151,0.0435149204665271,0.0102452837197339,0.0112386425007929,0.0891312885815803,0.00690565308459487,0.00440839850742325,0.00189504792549342,0.0113091326539063,0.0106458112183448,0.00535737227971167,0.00561838507361292
"2018-11-21",0.0333327542291967,0.0553103341502743,0.00665400500620614,0.00631577889953853,0.00628853279830457,0.00783758077229112,0.0312038474301026,0.0969973068732152,0.0371345753713514,0.0819099964050875,0.0568829860645916,0.0618117658613428,0.0502626568608857,0.0557481620659046,0.08712584368897,0.0352487515926556,0.0801573191313769,0.0459853598136111,0.0118726158178897,0.0121899676258784,0.0938460899781077,0.00678426499938274,0.00393051151528401,0.00218080097602858,0.0107621484106779,0.0111878446618861,0.00598753882010566,0.00505066017985295
"2018-11-22",0.0364163389201745,0.0536143228688757,0.00753900511627366,0.00609209768305139,0.0084309347904433,0.00873455693577647,0.0365947880632213,0.102581623919812,0.027543201660388,0.0927730729996829,0.0461512712974084,0.0517754474459736,0.0399659540668728,0.0536992847673059,0.0935930026564085,0.0253355853745839,0.0964047786808999,0.0294112814107777,0.0126785659198052,0.0143309390382631,0.106299681277442,0.00682852231987273,0.00438925075676587,0.00194639474524066,0.0120081454127938,0.0115981242062697,0.00709762680322397,0.00616620086239278
"2018-11-23",0.0343718128365723,0.0477513317427999,0.00801363503379011,0.00633638427986037,0.00760240537220593,0.00970025606837134,0.0366114867884046,0.0979327848071264,0.030288309435719,0.097129770854026,0.0475129556923242,0.0592276366962911,0.0421247102690113,0.0527939729625949,0.0973007165097352,0.0213763042741616,0.0988585046977285,0.0227596160413238,0.0168862950990404,0.0186223429311367,0.0961457906756819,0.00717375645093379,0.00465565259211022,0.0021808782851462,0.0121495432027468,0.0114455543522828,0.00685439214943925,0.0061931998994356
"2018-11-26",0.0301038639822114,0.0512638298449222,0.00883269121469788,0.00604060924253741,0.00738366748464693,0.00758954295055398,0.0343113220349217,0.101270126743876,0.0299873270274969,0.095882432687971,0.0454845034234603,0.0533625669987231,0.0383285056903936,0.0511306506814112,0.103343760835165,0.0192048126018497,0.101733937098814,0.0213601097542505,0.0145813392019642,0.0208514044416744,0.104675469899063,0.00709882785452474,0.00404381679258639,0.00227981397916083,0.0129406838908285,0.0126519778750306,0.00743836664941889,0.00682403911784531
