"","BTC","ETH","XRP","BCH","EOS","XLM","LTC","ADA","XMR","USDT","TRX","DASH","MIOTA","BNB","NEO","ETC","XEM","XTZ","ZEC","VET","BTG","MKR","OMG","ZRX","DOGE","BAT","QTUM","DCR","ONT","LSK","ZIL","AE","BCD","BTS","NANO","BCN","ICX","SC","NPXS","DGB","STEEM","XVG","WAVES","PPT","LINK","AOA","ETP","GNT","REP","TUSD","STRAT","ETN","USDC","KMD","PAX","SNT","WTC","CNX"
"2018-03-24 06:59:26",0.0468920471738685,0.0398270075898456,0.0148002034672135,0.0205815247926453,0.0289766880782991,0.0175058449496787,0.0120905712120416,0.0116138409636023,0.0269702173672471,0.00857349833673647,0.0199229141830808,0.0210404449897277,0.0128346653034655,0.0244388329512494,0.0119449489765317,0.0231195545718318,0.00820229611864784,0.0088384638557087,0.0314119694218446,0.00675278938773064,0.0152376419082412,0.0182824087513853,0.0303573623372058,0.0156562366808146,0.0174570857222858,0.0214730446001228,0.0179499243607596,0.0131237827120098,0.00991311084677953,0.0128514045736004,0.00957093934216741,0.0193937258155393,0.00693018055567803,0.0199535883896256,0.0120425487996728,0.0075782557405616,0.0331435680526956,0.0208752287531574,0.00887603333043866,0.019800568805111,0.0185328455847212,0.0272166994989803,0.0156862890476692,0.00938098450764467,0.0113553937980714,0.00624583486281447,0.0193229291457409,0.022058858214058,0.0333428949312169,0.00601480676101625,0.0178703105258316,0.0144775200101388,0.00513106558868728,0.0182172939400165,0.00581762070661416,0.0239201197861035,0.00840079467572331,0.0102027746461026
"2018-03-25 06:59:27",0.04983620848185,0.0387500008202064,0.0145011911212199,0.0209405413464672,0.0361054376722047,0.0178779886543628,0.01256020708364,0.0115741172285314,0.0294838686088843,0.00815891371439646,0.0199385133356916,0.0208969991534084,0.0130379628674345,0.0223125621732013,0.012249935091931,0.0231172343103467,0.00856628543630548,0.00836057316206147,0.0316580059319789,0.00652149239244642,0.0164061392414159,0.0173215224381805,0.0312802755796656,0.0161151980888103,0.0178586432821516,0.0212904104712954,0.0168291949376547,0.012997223928451,0.009635629195319,0.0124862187171467,0.00925210652470219,0.019549498718274,0.00685260513395722,0.0194949484133061,0.011357319202667,0.00766675999014035,0.0272300713787987,0.0221658934534391,0.0087002323828878,0.0184574423205046,0.0186458209527817,0.0250717557979251,0.0151692314222047,0.0099035798804327,0.0102711204573702,0.00605343592842488,0.018651447764288,0.022946327071859,0.0347665593889534,0.00578533163415971,0.0167833680747721,0.0157669494222258,0.00483448815422876,0.0173443429387857,0.00550499984835952,0.0242157721307012,0.00867885654852938,0.0102112405986617
"2018-03-26 06:59:27",0.0503956947371049,0.0475127499435678,0.0139600634794747,0.019303803803514,0.0361722227328839,0.0169201369424093,0.012874200794716,0.0114583266410517,0.0275838983601459,0.00925466371568837,0.0190390606493168,0.0206964080520136,0.0124382875361193,0.0201947601965701,0.0121511190316941,0.0218725370345691,0.00880362521459746,0.00889375753188501,0.0302537455953233,0.00696382333307675,0.0154541026042578,0.0176411275055004,0.0297888068353342,0.0158037148226443,0.0178111022593692,0.0209289753197065,0.0176890233277783,0.0129421421675676,0.00899919418164328,0.0128136366849782,0.00904806367589827,0.0186828872543037,0.00686897857787799,0.0191198959548638,0.0120468431051056,0.00799891324679823,0.0292138669752095,0.02034232796836,0.00800969520932508,0.0185758942439537,0.0203279964189798,0.0250900889553619,0.0147097807905968,0.0103338251725716,0.0103574123182209,0.00636507958184918,0.0182083257616452,0.0227654974775058,0.0353088008520656,0.00547832555771754,0.0163670519756414,0.0154442207096695,0.00501289469309474,0.017926529086727,0.00558915923812796,0.0257747307019074,0.00893549504452374,0.00948270841759586
"2018-03-27 06:49:27",0.0515391152993216,0.048119842829701,0.0137577813978574,0.0211085789966284,0.0337008575806742,0.0169476928288781,0.0128471145565303,0.0118714039781592,0.0354041307963445,0.00948993270545819,0.0176140783275251,0.0213657858602285,0.0131248250175251,0.0186516538215223,0.014098272649108,0.0215437456263063,0.00870066592889397,0.00765474014317655,0.0301748346580138,0.0071592466198234,0.016236079313125,0.0177990481509201,0.030443518455152,0.0158533265114777,0.0172405224908186,0.0225380964415854,0.0205516742031583,0.0125625748870649,0.00852911906854862,0.0120346093000614,0.00907066556679889,0.0192359252407002,0.00666025416807515,0.0197008357154104,0.0114946617903432,0.00807400831272947,0.0309896152328477,0.0212491324543947,0.00748656517937313,0.0176525834626368,0.0193798195911977,0.0193922477268896,0.0145618504622867,0.0101514197766605,0.0108019672661135,0.00644886110342288,0.0170258824656952,0.0242807916513052,0.0320697638022438,0.00544556336616385,0.0161025536562676,0.0151947908915664,0.00482787897079714,0.0165551694287035,0.00574701192001469,0.0222015481454662,0.00938186425428995,0.0101538999540182
"2018-03-28 06:29:27",0.0523622489616598,0.0438187970463153,0.0133007050111394,0.0212965568266985,0.0329843291142898,0.0163645005591348,0.0125544016720864,0.0120492518463224,0.0369543692597298,0.0100063542378516,0.0180110552863451,0.0195291918658383,0.0121741968343729,0.0186446667623316,0.0139416899873177,0.02072704723025,0.00885031863725417,0.00870191176242071,0.0304826801365456,0.0072334675714081,0.0172938795621524,0.0206394545811715,0.0296915754391783,0.0180855207599598,0.0184663099943839,0.0211703290371566,0.0198083752697543,0.0125136945137923,0.0091577470399844,0.0121195558811742,0.00967359000856996,0.0190131361471542,0.00705523946793939,0.0199837910926915,0.0114086708616724,0.00908197914282253,0.0299497851315562,0.0215758273329667,0.00768979202389168,0.0170663109344057,0.0187822165727946,0.0169859214903015,0.0145301474538376,0.0117702487877423,0.0103150423326365,0.00656568456451906,0.0170433673112691,0.0259260054676794,0.0303880398280419,0.00609834600530167,0.015150640108675,0.0168924148887884,0.00529287043303498,0.0175333820612359,0.00581810919130897,0.0198854357960321,0.00896375491537165,0.0106260679597393
"2018-03-29 06:29:27",0.0501314305087167,0.0451711969264906,0.0127711883590451,0.0193622754469859,0.0323928410940386,0.0163467966568419,0.0136370939013863,0.0123478272943036,0.0363188065565543,0.0114206200491649,0.0154714238059441,0.0188108204937984,0.0131949016594001,0.0182955024603913,0.0128457487126061,0.022154671141944,0.0085361391041788,0.00939067674857016,0.0334900997509978,0.00760018009441402,0.0173021409082042,0.0251057465430818,0.0276503131416398,0.0163217130404115,0.0178375014409837,0.0202281577935779,0.019552224812071,0.0117626311246081,0.00972162192933342,0.0115217259841715,0.0102783138775989,0.0203599223014781,0.00761489419601163,0.0197279054076695,0.012249393585704,0.00863997712846805,0.0296891161411683,0.0207350661331602,0.00762491949800866,0.0163191836217451,0.0187935882049768,0.0156666164258068,0.0141773522693211,0.0123466355262104,0.0122394518336766,0.00684543139091386,0.0185293149062548,0.0217110512287966,0.0325296101709275,0.00643321687882866,0.0150038429423093,0.0180710899953841,0.00506022140220543,0.0176043186768374,0.00610444122726945,0.0198495459370958,0.00963169370602003,0.00946986790229738
"2018-03-30 06:19:28",0.0554927294306931,0.0512104256544787,0.0121266827842551,0.0175287066043714,0.0243351779963806,0.0120441552235165,0.0136611855941107,0.0105737367176007,0.0377056578142187,0.0101541462575546,0.0174853924126948,0.0150905532702062,0.0132610876061097,0.0185652561771029,0.0126040356490326,0.0235842522444692,0.008630959494817,0.0072629940731366,0.0376869113812951,0.00760372045115641,0.0175280293149381,0.0276653168756798,0.0264218245097,0.0135157900615251,0.0183250263103668,0.0161946628703672,0.0229042487389954,0.0118178940541947,0.00943528597054263,0.0118433304999853,0.0101152758629126,0.0256759322867772,0.00747579203973738,0.0160449824931182,0.0159213377320777,0.0077319039231854,0.0319407563410108,0.0181227640348397,0.0074618534858762,0.0161334103896169,0.0188389002269033,0.0162896124600314,0.0147330019294745,0.009517912432934,0.0111941332677329,0.00709712542122866,0.0205328441641976,0.0189638734526621,0.0367978151869081,0.00643976585506367,0.0147985225082769,0.0179828280039435,0.00523995335930051,0.0179939989260506,0.00616795067016353,0.0178119049030454,0.0113145003618073,0.00940217223762823
"2018-03-31 06:24:26",0.0506459543724571,0.0518224927784265,0.0133463060383738,0.0193357977362583,0.0256776737672653,0.0130945907813553,0.0131609910405643,0.0111295996073347,0.0379081898821939,0.00943310110459285,0.0185821609686591,0.0156395024172208,0.0140092158531356,0.0174196937168083,0.0129445995491013,0.0221933718856673,0.00855119734640166,0.00767616507102493,0.0372778709796412,0.00591270919101785,0.0171657032123487,0.0303796398523609,0.0264330725933426,0.0144080744473408,0.0178988545446261,0.0170771575402321,0.0230423929237051,0.0116835820201962,0.00943597813748356,0.0117573362802557,0.00994030218168136,0.0255399570454957,0.00751526113208971,0.0164983228815209,0.0149598090305779,0.00702929374626134,0.033003578780699,0.0182606773608033,0.00769224950914025,0.0162472030276345,0.0179785310567458,0.0181393852916197,0.0146170305232856,0.00990798982268255,0.011358652044015,0.00581460949841548,0.0203972183635522,0.0193806383654595,0.0363703562856669,0.00637105279937352,0.0145415016963403,0.0168888720343896,0.00502943819640423,0.0175873362809078,0.00612786077332839,0.0175334382727764,0.010916356307846,0.00931010205189512
"2018-04-01 06:24:26",0.0500238519055829,0.0496091881888146,0.0137714027446722,0.0174519893764431,0.0261349213352431,0.0133852297044867,0.0136918030874059,0.0105965971891635,0.0365652930303114,0.0094371146419648,0.0158459889377386,0.0159769013012469,0.0148435890342803,0.0179844943543076,0.013960307262705,0.0221172730301741,0.00805447621661922,0.00794080747795121,0.0367692989427845,0.00592476991698354,0.0159870643938892,0.0289346054742735,0.0274457159091743,0.0143930828409009,0.0187025811116178,0.0171114559715785,0.0227172192616497,0.0119700010762455,0.00949728516895568,0.0116928608171761,0.0106921147382876,0.0259873890492546,0.00777288250998301,0.0154491994431874,0.0159663460084939,0.00694843040937459,0.0317894538280922,0.020170022485608,0.00752565477334938,0.0166417346050206,0.0186774929631142,0.0171192317362891,0.014514815294507,0.00970571562081561,0.0115520627810332,0.00582018502392265,0.0219092573807572,0.0202958009991251,0.0359067904507634,0.00617032650178363,0.0150437158544476,0.0177277189198557,0.00522490346722121,0.0175468041661962,0.00596740351962848,0.0190967538741836,0.0107043877661882,0.00953623612517617
"2018-04-02 06:24:28",0.0465683007594712,0.0470420591366175,0.0154581437809127,0.0183288739117455,0.0336004054748931,0.0135939607654408,0.0136508342125492,0.0105783862323472,0.0342800788116512,0.00950371933948243,0.0142871436029334,0.0154151826170693,0.0133103143192163,0.0180264606761947,0.0146144967184242,0.0220550722258648,0.00818820716646297,0.00800366277668988,0.0347361675002512,0.00480515042253449,0.0167358122772112,0.0289089097776152,0.0261027618374526,0.0146725358595894,0.0181124031414876,0.0173650523349373,0.0214503175775912,0.0127214892864324,0.010193423988722,0.0124609471207206,0.0111819741286374,0.0257024011009551,0.00767754112796532,0.0147407761182517,0.0158338987729213,0.0065435107613386,0.0332336901226971,0.0219387964825026,0.00744895938096652,0.017008089884218,0.0177275462929118,0.0190854267037286,0.0141249699301834,0.0101848589328938,0.0105827877875508,0.00545686679561588,0.0210510618942998,0.0200273881558249,0.0358934660284228,0.00626516195618819,0.016001488969383,0.0172628922566544,0.00548633081435498,0.0165699541136052,0.00608506020191827,0.0196120575331747,0.0124767371742685,0.0100260329260559
