"","timexxx","coeff"
"1",2013-12-12,0.281820002928286
"2",2013-12-19,0.288764585502024
"3",2013-12-26,0.293088857654862
"4",2014-01-02,0.269876485730405
"5",2014-01-09,0.27205046625723
"6",2014-01-16,0.289861889923271
"7",2014-01-23,0.277037093416416
"8",2014-01-30,0.282665150451027
"9",2014-02-06,0.297885211816481
"10",2014-02-13,0.271763144734629
"11",2014-02-20,0.313205908079039
"12",2014-02-27,0.276225894243266
"13",2014-03-06,0.295604640494204
"14",2014-03-13,0.32431403512601
"15",2014-03-20,0.332359182424499
"16",2014-03-27,0.362837105140113
"17",2014-04-03,0.367027031621653
"18",2014-04-10,0.375090891103882
"19",2014-04-17,0.355056529566283
"20",2014-04-24,0.316222207165757
"21",2014-05-01,0.247702918939519
"22",2014-05-08,0.197515737326615
"23",2014-05-15,0.177147696157778
"24",2014-05-22,0.167106525207114
"25",2014-05-29,0.185482564490433
"26",2014-06-05,0.209767244590462
"27",2014-06-12,0.183938996038399
"28",2014-06-19,0.165348515357639
"29",2014-06-26,0.160412974287649
"30",2014-07-03,0.155632358055858
"31",2014-07-10,0.165105770441799
"32",2014-07-17,0.169219028045572
"33",2014-07-24,0.177157998817934
"34",2014-07-31,0.183135183698665
"35",2014-08-07,0.1798549659268
"36",2014-08-14,0.190590006953935
"37",2014-08-21,0.194188395885612
"38",2014-08-28,0.205265922820562
"39",2014-09-04,0.231538560288684
"40",2014-09-11,0.288436544616502
"41",2014-09-18,0.283347405246216
"42",2014-09-25,0.275166828669523
"43",2014-10-02,0.2644929967775
"44",2014-10-09,0.274971104074605
"45",2014-10-16,0.270492753506444
"46",2014-10-23,0.283477864940399
"47",2014-10-30,0.266182666961571
"48",2014-11-06,0.262619325361944
"49",2014-11-13,0.259612282820355
"50",2014-11-20,0.240052672278673
"51",2014-11-26,0.241315440100322
"52",2014-12-04,0.252092051965519
"53",2014-12-11,0.270998837398053
"54",2014-12-18,0.285669626555316
"55",2014-12-24,0.282649913204819
"56",2014-12-31,0.272286679664256
"57",2015-01-08,0.302483441216271
"58",2015-01-15,0.315012589214233
"59",2015-01-22,0.325686845518173
"60",2015-01-29,0.332550371434735
"61",2015-02-05,0.333193491490981
"62",2015-02-12,0.313979120175992
"63",2015-02-19,0.311976671366279
"64",2015-02-26,0.283752625381722
"65",2015-03-05,0.284422324536436
"66",2015-03-12,0.276158372492623
"67",2015-03-19,0.261748197380087
"68",2015-03-26,0.298486695929438
"69",2015-04-02,0.297781715097765
"70",2015-04-09,0.290934423513962
"71",2015-04-16,0.285292774976972
"72",2015-04-23,0.287380578149401
"73",2015-04-30,0.284151443224017
"74",2015-05-07,0.287381030088616
"75",2015-05-14,0.292358119692587
"76",2015-05-21,0.295164769916479
"77",2015-05-28,0.299752507482968
"78",2015-06-04,0.287376020947804
"79",2015-06-11,0.28572681655672
"80",2015-06-18,0.260063677573827
"81",2015-06-25,0.233437439415728
"82",2015-07-02,0.216822357913743
"83",2015-07-09,0.222427275918871
"84",2015-07-16,0.216984689717157
"85",2015-07-23,0.208561168327241
"86",2015-07-30,0.202887486914057
"87",2015-08-06,0.207461852969118
"88",2015-08-13,0.228781470005752
"89",2015-08-20,0.211016005702093
"90",2015-08-27,0.204651070657773
"91",2015-09-03,0.193369562051718
"92",2015-09-10,0.192797256082143
"93",2015-09-17,0.213215913853723
"94",2015-09-24,0.189524446185621
"95",2015-10-01,0.190215294587124
"96",2015-10-08,0.183706565667108
"97",2015-10-15,0.174110592973699
"98",2015-10-22,0.180065528417592
"99",2015-10-29,0.182865657402372
"100",2015-11-05,0.189347422171757
"101",2015-11-12,0.17682448390539
"102",2015-11-19,0.186659777241395
"103",2015-11-25,0.187072845639942
"104",2015-12-03,0.172957240583106
"105",2015-12-10,0.168409091252176
"106",2015-12-17,0.174817419731691
"107",2015-12-24,0.195191573168338
"108",2015-12-31,0.182314140442787
"109",2016-01-07,0.182081519748835
"110",2016-01-14,0.181319422875224
"111",2016-01-21,0.163932265298627
"112",2016-01-28,0.133986657185204
"113",2016-02-04,0.110310589083519
"114",2016-02-11,0.106355203002597
"115",2016-02-18,0.122941076369915
"116",2016-02-25,0.122818451850065
"117",2016-03-03,0.121907589110538
"118",2016-03-10,0.11774146719349
"119",2016-03-17,0.113976900873292
"120",2016-03-24,0.114579647760049
"121",2016-03-31,0.122784161505457
"122",2016-04-07,0.122586661196069
"123",2016-04-14,0.141716783053923
"124",2016-04-21,0.15357677369109
"125",2016-04-28,0.164887978748179
"126",2016-05-05,0.158691821276541
"127",2016-05-12,0.158850666447371
"128",2016-05-19,0.161992124916972
"129",2016-05-26,0.160811814241688
"130",2016-06-02,0.156873000864314
"131",2016-06-09,0.162864495657071
"132",2016-06-16,0.155682667128738
"133",2016-06-23,0.165255124821709
"134",2016-06-30,0.163651187526081
"135",2016-07-07,0.171413132596599
"136",2016-07-14,0.192851454585165
"137",2016-07-21,0.204532335667148
"138",2016-07-28,0.206981891276272
"139",2016-08-04,0.20295023032834
"140",2016-08-11,0.202401427634365
"141",2016-08-18,0.19449748384239
"142",2016-08-25,0.196635189066845
"143",2016-09-01,0.199636725915289
"144",2016-09-08,0.179577507422332
"145",2016-09-15,0.176416171907195
"146",2016-09-22,0.174049922398912
"147",2016-09-29,0.172302810794589
"148",2016-10-06,0.182812494281214
"149",2016-10-13,0.20125581082708
"150",2016-10-20,0.210923713581949
"151",2016-10-27,0.220436020682189
"152",2016-11-03,0.232500754598895
"153",2016-11-10,0.223224496121009
"154",2016-11-17,0.234124824099451
