"","DAAA","DBAA","DGS30","FF","MORTGAGE30US","WAAA","WBAA","WGS10YR","WGS1YR","WGS2YR","WGS30YR","WGS3YR","WGS5YR","WGS7YR","WTB3MS","WTB6MS"
"2013-12-12",0.0802259068673438,0.0689279961623469,0.0965165493490321,0.00963088063804298,0.0779506335477684,0.093775289289626,0.0907010209260143,0.0880795457910592,0.00252150284924877,0.0206794232708204,0.0896403234578246,0.0858493456688133,0.0960867433200917,0.0914216385372854,0.00381381228714015,0.00417938803754189
"2013-12-19",0.0767197525808119,0.0690927937985743,0.0857176267475254,0.0111970994070177,0.0824559605504145,0.0958418431803005,0.0904367182352626,0.08658885053397,0.00285529068677847,0.0197234187520872,0.086207987950565,0.0823807539631766,0.100278788693953,0.101783310415561,0.00431588535527904,0.00440391914872269
"2013-12-26",0.0750633977837921,0.0672761616235567,0.0894921094100929,0.0167705457937328,0.0783178752240376,0.0918823803957622,0.0875773555213377,0.089508463286032,0.00306870934295745,0.0223573148811726,0.0861128050313163,0.0834244949928879,0.100272201936621,0.0991232454426429,0.00469854583628644,0.0050543934977717
"2014-01-02",0.0703015109331355,0.0672643070268344,0.0880480426080571,0.0111324806688106,0.0755972207023092,0.094377475239327,0.0893103531361709,0.0907246094044837,0.00298949246250402,0.0281668451566911,0.0870065807715109,0.0877220525836892,0.0997419180969467,0.0974705306212254,0.00494523459832467,0.00520134598997951
"2014-01-09",0.072329912712971,0.0658677546407417,0.0898527009400728,0.0155418092444772,0.0758638262235353,0.0933131750790717,0.0858056002078894,0.0929613289321714,0.00309732901962738,0.0240194629209281,0.0916995756826801,0.0837326468571388,0.0978022560978714,0.0982780864984915,0.00475593432991608,0.00507860061241604
"2014-01-16",0.0683349286877437,0.060024650409987,0.0901450916494244,0.0105708551970483,0.074219742716829,0.0919702426318163,0.0882034420414241,0.093920387659664,0.00324918357840826,0.0291906130155842,0.0917450282825738,0.0832673129004781,0.10894053769947,0.0973159081224967,0.00429797653184221,0.00460409887520996
"2014-01-23",0.0696915696245959,0.0610868692920258,0.0911182863285842,0.0124870311307399,0.0752367947158536,0.0903503604811067,0.0847210598629678,0.0928449125821501,0.00342354043463813,0.0297385685029917,0.0898106460845437,0.0879473558495721,0.100312751784787,0.101136752926306,0.00475919928507858,0.00533430111405838
"2014-01-30",0.0712841490170318,0.0430937246121771,0.0911848024917269,0.0104567410700507,0.0746390652278754,0.0920022421460533,0.079347357485719,0.0992817318410704,0.00379504039653161,0.0273086240154921,0.0956557472938575,0.0917841852604333,0.105359154697785,0.102818498899381,0.00550670989594435,0.00648222564887124
"2014-02-06",0.0747086604107629,0.0380297930971188,0.093417989405178,0.0186204633134934,0.076854824626131,0.0884474218402682,0.0666494194713263,0.0992688948450337,0.00364769721906319,0.0301110783595802,0.0909100788958006,0.0927488456157977,0.111291458687436,0.101592086395541,0.00616276194504197,0.00753852587242756
"2014-02-13",0.0735985911573212,0.042720606739639,0.0910079228783,0.0178582359278099,0.0762686074226886,0.0948054566483951,0.064125555418398,0.0944346424722113,0.0044802440358863,0.0310374159719823,0.0916318402428042,0.0913083134382453,0.110190572496795,0.103677828799653,0.0058406692449925,0.00701349710487884
"2014-02-20",0.0776383342828885,0.041386621504048,0.0946500216809281,0.0121495171698466,0.0758539186058942,0.0981039107531976,0.060105174565974,0.0926346752371493,0.00361972450394788,0.0287208201345906,0.0942889460363561,0.0935811425668595,0.10757256420113,0.106807490325227,0.00578050050710591,0.00710663792485689
