"","Item","StationaryDistribution"
"Clothing.and.clothing.accessories.stores.","Clothing and clothing accessories stores (x 1,000,000)",0.00440410950907095
"Facilities.and.other.support.services.","Facilities and other support services (x 1,000,000)",0.00423852282882402
"Activities.related.to.credit.intermediation.","Activities related to credit intermediation (x 1,000,000)",0.00422527432220253
"Information.and.cultural.industries.","Information and cultural industries (x 1,000,000)",0.00417904694555907
"Sawmills.and.wood.preservation.","Sawmills and wood preservation (x 1,000,000)",0.00415951586418676
"Metal.ore.mining.","Metal ore mining (x 1,000,000)",0.00414382788941674
"Rail.transportation.","Rail transportation (x 1,000,000)",0.00399623285054518
"Other.food.manufacturing.","Other food manufacturing (x 1,000,000)",0.0039295986872055
"Printing.and.related.support.activities.","Printing and related support activities (x 1,000,000)",0.00392003182765203
"Water..sewage.and.other.systems.","Water, sewage and other systems (x 1,000,000)",0.00383698404400348
"Insurance.carriers.and.related.activities.","Insurance carriers and related activities (x 1,000,000)",0.00375595480945835
"Crude.oil.and.other.pipeline.transportation.","Crude oil and other pipeline transportation (x 1,000,000)",0.00372085837916009
"Motor.vehicle.and.parts.wholesaler.distributors.","Motor vehicle and parts wholesaler-distributors (x 1,000,000)",0.00330801933759542
"Non.business.sector..goods.","Non-business sector, goods (x 1,000,000)",0.00317103475460198
"Sand..gravel..clay..and.ceramic.and.refractory.minerals.mining.and.quarrying.","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying (x 1,000,000)",0.00314993567637133
"Non.depository.credit.intermediation.","Non-depository credit intermediation (x 1,000,000)",0.00309553646382302
"Wood.product.manufacturing.","Wood product manufacturing (x 1,000,000)",0.0029216541259936
"Amusement.and.recreation.industries.","Amusement and recreation industries (x 1,000,000)",0.00286573288724585
"Public.administration.","Public administration (x 1,000,000)",0.00284966691408809
"Other.professional..scientific.and.technical.services.","Other professional, scientific and technical services (x 1,000,000)",0.002818222037336
"Mining.and.quarrying..except.oil.and.gas..","Mining and quarrying (except oil and gas) (x 1,000,000)",0.00280401441769102
"Industrial.production.","Industrial production (x 1,000,000)",0.00274277218028569
"Industrial.production..1950.definition..","Industrial production (1950 definition) (x 1,000,000)",0.0024483403625279
"Pay.and.specialty.television.","Pay and specialty television (x 1,000,000)",0.00244595580205661
"Motor.vehicle.parts.manufacturing.","Motor vehicle parts manufacturing (x 1,000,000)",0.00239836498794745
"Office.administrative.services.","Office administrative services (x 1,000,000)",0.00236337702666249
"Non.depository.credit.intermediation.and.activities.related.to.credit.intermediation.","Non-depository credit intermediation and activities related to credit intermediation (x 1,000,000)",0.00236132083409889
"Aboriginal.public.administration.","Aboriginal public administration (x 1,000,000)",0.00226523334050328
"Animal.food.manufacturing.","Animal food manufacturing (x 1,000,000)",0.0022569712771679
"Engineering.and.other.construction.activities.","Engineering and other construction activities (x 1,000,000)",0.0022564054186587
"Agriculture..forestry..fishing.and.hunting.","Agriculture, forestry, fishing and hunting (x 1,000,000)",0.00225590190404443
"Plastics.and.rubber.products.manufacturing.","Plastics and rubber products manufacturing (x 1,000,000)",0.00213837548083953
"Building.material.and.supplies.wholesaler.distributors.","Building material and supplies wholesaler-distributors (x 1,000,000)",0.00204238892863768
"Legal..accounting.and.related.services.","Legal, accounting and related services (x 1,000,000)",0.00203805705846127
"Plastic.product.manufacturing.","Plastic product manufacturing (x 1,000,000)",0.00200978904682869
"Arts..entertainment.and.recreation.","Arts, entertainment and recreation (x 1,000,000)",0.00195326707867471
"Manufacturing.","Manufacturing (x 1,000,000)",0.00194464639654251
"Crop.production.","Crop production (x 1,000,000)",0.00192959245696186
"Crop.and.animal.production.","Crop and animal production (x 1,000,000)",0.00192592586531765
"Support.activities.for.agriculture.and.forestry.","Support activities for agriculture and forestry (x 1,000,000)",0.00190683228765657
"Business.support.services.","Business support services (x 1,000,000)",0.00185976554671404
"Grain.and.oilseed.milling.","Grain and oilseed milling (x 1,000,000)",0.0018448025553003
"Food.manufacturing.","Food manufacturing (x 1,000,000)",0.00180392831913388
"Energy.sector.","Energy sector (x 1,000,000)",0.00179040229654183
"Architectural..engineering.and.related.services.","Architectural, engineering and related services (x 1,000,000)",0.0017176398596224
"Machinery..equipment.and.supplies.wholesaler.distributors.","Machinery, equipment and supplies wholesaler-distributors (x 1,000,000)",0.00170011986424231
"Amusement..gambling.and.recreation.industries.","Amusement, gambling and recreation industries (x 1,000,000)",0.00167649432544626
"Transit..ground.passenger..scenic.and.sightseeing.transportation.","Transit, ground passenger, scenic and sightseeing transportation (x 1,000,000)",0.0016430774542794
"Federal.government.public.administration..except.defence..","Federal government public administration (except defence) (x 1,000,000)",0.00160094098133478
"Mining..quarrying..and.oil.and.gas.extraction.","Mining, quarrying, and oil and gas extraction (x 1,000,000)",0.00153628818611104
"Religious..grant.making..civic..and.professional.and.similar.organizations.","Religious, grant-making, civic, and professional and similar organizations (x 1,000,000)",0.00150761485886511
"Taxi.and.limousine.service.","Taxi and limousine service (x 1,000,000)",0.00148563534223476
