"Australia","Austria","Belgium","Brazil","Canada","Chile","Democratic.Republic.Of.The.Congo","Denmark","England","France","Germany","Ghana","Greece","Hungary","Ireland","Israel","Italy","Mexico","Netherlands","Nigeria","Norway","Peru","Poland","Portugal","Scotland","Slovenia","Spain","Sweden","Switzerland","United.States","ALLOFTHEM"
35.1722380783904,42.2000204745258,69.3263958905625,75.9369367895309,55.9978165368721,104.090123316724,2.33196056387247,113.841591424949,33.1962809577941,73.7112113998057,32.5511066191292,30.8703546803839,103.784998257462,29.7096736618967,47.5137329927888,41.4513657896164,36.4578103014644,113.838268042266,42.6229975179749,29.5079792237158,34.8388827328502,51.8189983451945,121.812369752594,22.9028913921356,29.1112501589682,68.7165507508206,45.5929631188599,38.5304754221725,36.2793496405041,100.821292875039,75.5710590557041
35.350305748166,41.5087989196888,71.5486214580184,90.5543703936401,57.0029595043416,99.3222034419101,7.69770569010003,128.236511932807,33.3362769714741,77.993664680856,32.5220936281519,33.0671500850502,109.544599490756,29.0526038510175,45.5868485090141,40.8049398509285,36.4895195907882,120.564515689467,43.5975433435653,29.6453310639672,34.1283409601263,54.3985696024181,127.6427253236,23.1871334782997,28.9776585916306,67.1437688192854,45.9692768963498,37.2845604196235,35.8157971072776,100.210010769943,88.8364538548544
35.540466028798,40.2178062387344,70.8978393023896,94.8280175682679,56.6863933753668,99.5144363861963,7.17364750586021,110.392796730645,33.3121097470204,79.6625195097361,32.3396308618228,36.1859266899781,106.687142480651,28.5824957316404,42.274974215994,39.5703813782431,36.2388836115287,109.010069949077,44.3553755113285,29.7901062620924,33.5151171873212,57.2763253985727,121.224841709355,23.4414777811426,28.6728411502418,92.331631464647,45.6836313286864,35.7031522306084,35.0285716305384,97.9943875898255,90.9217111520229
35.8323859654232,38.809785106041,66.5532460148632,91.8784320383532,54.7427907010537,98.9583228850018,6.98135502363697,112.110394943162,32.9425426510735,78.1806050547665,32.2215840138537,39.7850331251671,112.931871623388,28.3002996443883,43.1223598979568,38.2880277106209,35.565160858948,100.184519276291,44.7536491676981,29.9350170785661,33.2151548998982,59.9514387053121,116.079110355396,23.4356599310694,28.1707378707834,105.756741441582,44.4805809735537,36.1073055535589,34.2045189659835,98.1297256319629,83.987118264606
36.966447877166,36.8719766961246,58.6832217939205,91.3718993848658,58.4301565988825,92.1289066207979,4.74162015186137,112.755215960001,32.1890427710757,89.1459917040844,32.1341172220785,44.2474416482867,104.957593141309,28.0086237808598,43.4286206965333,37.3785559404932,35.5493662861674,92.1786812095192,44.4694758116634,30.0697688135668,33.0987320810919,62.8732857114553,115.795434640568,23.4024712893402,27.4520263937029,107.723058266976,44.4769604086373,36.5907694987879,34.3966838656385,100.620243311498,85.7786549585855
36.3610739911706,37.4724798486876,64.6024288612865,94.5250684780573,61.9186108484347,94.6637423007747,5.88276439723073,123.693020369293,32.7696041293342,100.745556647367,32.2707158080399,49.2895846173745,112.184925623264,28.0805511026902,42.8847165676494,35.9462418152722,35.19130987175,53.9725245844906,45.3191320965499,30.1749002809439,33.0961549755997,64.3062290947804,118.983162183092,23.2800053998075,27.3579862840486,107.74502377686,43.602539282982,36.9853959823246,34.4001002034263,96.5315383286445,93.6209121560589
40.8857733999808,37.9273761681664,71.3499828890103,88.768115265292,64.4784586202649,92.7571914417218,9.4510266276964,114.474212681334,33.1833076649906,99.4400872241385,32.2262740417808,56.7495687674668,108.840676301494,28.0939784294801,41.3450899832773,35.6382016819515,34.3805104859066,54.3919760162741,45.4561957682001,30.2216484997007,33.0222377900278,75.0877285670416,130.37617688193,23.0347232979138,27.0974785736715,117.868700027657,41.6362477983356,37.2092188459878,34.1273346454528,95.4299759264276,89.3063809579297
46.8842560022718,38.0946115983856,77.1379928486431,85.8361266513842,64.2117730313799,86.7741449518963,9.43012930896574,103.799175897677,33.3299209266745,99.8484193855274,31.9413538292003,63.0136023534572,107.620614142712,27.8668900611037,38.2012764306992,34.9138863397186,33.0906785447706,52.7636595828375,44.4904084923852,30.1691107727162,32.7825049986982,81.9915868801021,124.434444076712,22.559834417345,26.6277173188381,107.291003902621,38.5460108933641,37.121030080152,33.4702581040243,92.2309453595558,87.6811547921761
42.3129591516625,37.7926812166313,83.5389841285239,82.5828539305847,60.9748530770528,88.4131502503197,7.81445359459093,97.1317719343291,33.0476520669818,92.4325050743856,31.6731965548787,70.555833278657,108.46342360772,27.5097861042411,34.3527265020522,33.7102582980213,33.539575790358,51.7822921489217,42.2049510371045,29.967037435207,32.7175907400494,80.631814973289,133.161956094066,21.8858371611592,25.9224794676145,110.140737220369,38.6404858043509,36.3340006085112,32.9244789224729,95.6647373722751,77.0912853030433
45.2142239013048,36.8493111350537,79.7969971993263,81.5412617028276,63.719184878794,93.0630079365959,7.37539566408229,89.9092643547163,32.6478144702314,94.395282833758,31.6072009464215,82.172284228724,98.8104317760485,26.9348418765789,30.1790687191998,33.5284118146448,33.7762993311748,48.7252116794816,41.4048964459618,29.7744092669341,32.4618718129611,74.9785751989646,132.689900450124,20.9583662423741,25.4250466975944,124.252707826535,37.960232486569,37.2817071232252,32.8135855673277,86.4510368057093,66.0374414698569
