"Item","IteminPlot","StationaryDistributionValue"
"Total, Government of Canada, direct and guaranteed bonds (x 1,000,000)","TotalGovernmentofCanadadirectandguaranteedbonds",0.00486743179542265
"Total, liquid Canadian assets (excluding chartered banks instruments) (x 1,000,000)","TotalliquidCanadianassetsexcludingcharteredbanksinstruments",0.00483678103020137
"Credit card loans (x 1,000,000)","Creditcardloans",0.00414726587975355
"Total, corporate excluding securities of associated corporations 8111-8902 (x 1,000,000)","Totalcorporateexcludingsecuritiesofassociatedcorporations81118902",0.00386092818931656
"Canadian dollar assets, total (x 1,000,000)","Canadiandollarassetstotal",0.00383743388269164
"Subordinated debt payable in Canadian dollars (x 1,000,000)","SubordinateddebtpayableinCanadiandollars",0.00345789206432024
"Canadian municipal securities, total (x 1,000,000)","Canadianmunicipalsecuritiestotal",0.00213399881897623
"Total, other Canadian securities (x 1,000,000)","TotalotherCanadiansecurities",0.0020341533353321
"Canadian securities, corporations associated with banks, total (x 1,000,000)","Canadiansecuritiescorporationsassociatedwithbankstotal",0.0020276602103172
"Other personal loans (x 1,000,000)","Otherpersonalloans",0.00202660873038089
"Canadian securities, corporations associated with banks (excluding short-term paper) (x 1,000,000)","Canadiansecuritiescorporationsassociatedwithbanksexcludingshorttermpaper",0.00201382249155947
"Total, other Canadian securities (excluding short-term paper) (x 1,000,000)","TotalotherCanadiansecuritiesexcludingshorttermpaper",0.00201056782538881
"Canadian corporate securities (excluding short-term paper) (x 1,000,000)","Canadiancorporatesecuritiesexcludingshorttermpaper",0.00196637635159366
"Call and short-term loans, to investment dealers (x 1,000,000)","Callandshorttermloanstoinvestmentdealers",0.00193078386726343
"Canadian corporate securities, total (x 1,000,000)","Canadiancorporatesecuritiestotal",0.00187676102709213
"Chartered bank deposits, personal, term, other (x 1,000,000)","Charteredbankdepositspersonaltermother",0.00168307105165537
"Chartered bank deposits, personal, term (x 1,000,000)","Charteredbankdepositspersonalterm",0.0016005251141338
"Canadian dollar chequable personal savings deposits, other (x 1,000,000)","Canadiandollarchequablepersonalsavingsdepositsother",0.00144822916695253
"Canadian municipal securities (excluding short-term paper) (x 1,000,000)","Canadianmunicipalsecuritiesexcludingshorttermpaper",0.00140319158474669
"Net foreign assets (x 1,000,000)","Netforeignassets",0.00135075414284553
"Call and short-term loans, to stockbrokers (x 1,000,000)","Callandshorttermloanstostockbrokers",0.00126721834469351
"Chartered bank deposits, personal, term, tax sheltered (x 1,000,000)","Charteredbankdepositspersonaltermtaxsheltered",0.00123138411490762
"Chartered bank deposits, Government of Canada (x 1,000,000)","CharteredbankdepositsGovernmentofCanada",0.00122162262627784
"Canadian dollar chequable personal savings deposits, daily interest (x 1,000,000)","Canadiandollarchequablepersonalsavingsdepositsdailyinterest",0.00121324616318407
"Loans in Canadian dollars, to installment finance companies (x 1,000,000)","LoansinCanadiandollarstoinstallmentfinancecompanies",0.00109514333650568
"Foreign currency deposits of Canadian residents, swapped (x 1,000,000)","ForeigncurrencydepositsofCanadianresidentsswapped",0.00106674103839059
"Call and short-term loans, other (x 1,000,000)","Callandshorttermloansother",0.00104380749266143
"Short-term paper (included in less Canadian liquid assets) (x 1,000,000)","ShorttermpaperincludedinlessCanadianliquidassets",0.000968242390898326
